participant_id,condition,dismissed_w1,dismissed_w6,attempted_w1,attempted_w6
0006F470-71F5-4743-BDB5-6E281CDDF0CF,ACC,14,NA,20,NA
00B2E996-861C-4EB9-A3F4-06CEB9893B1A,CCC,19,NA,57,NA
00B65324-C0A7-417A-8136-733D0D825110,ACC,44,NA,299,NA
00C7DC22-AB67-4D7A-ADF0-B8AA665767BC,BCC,0,NA,1,NA
011B6B0B-DFB4-4469-809D-643277DE9A67,ABC,33,NA,78,NA
01275D7E-29A2-418D-AFD7-9A4F971E054A,ACC,21,NA,77,NA
012C07FF-59AA-4B24-A863-DE76DBB32220,ABC,59,NA,110,NA
01BAA7E1-28DA-41D6-9A98-315FC8AAE4FA,ABC,68,NA,307,NA
01D91AA7-EB95-4F8D-8067-5BC173EDCD77,ACC,43,NA,236,NA
01F9651C-0107-4FF7-93DA-FF00C616D5FF,ACC,1,NA,1,NA
023DF4AC-FC89-425C-B5BD-4077536AF4EF,ABC,7,NA,53,NA
02B5712B-6C6C-474B-AB29-8BE15CAA4185,BCC,12,NA,17,NA
036CE412-FFB3-40FC-BE2A-B15CB8A4E5BF,BCC,0,NA,3,NA
046636CA-EAA0-42A1-81C3-D75FBE7609FD,CCC,1,NA,1,NA
052B7C79-3A8D-47E7-9EE7-168F5B17A40E,ACC,51,NA,109,NA
05A32404-68DA-44BE-889D-BE7328E22E7F,ABC,0,NA,5,NA
05A4EE97-3CC5-47AC-B311-23BA78B2AE51,ACC,54,NA,159,NA
06708BAE-EA94-4B94-9361-F785AB8796F3,CCC,9,NA,68,NA
06B3245D-3A98-4532-A940-4A9B6FB63110,ACC,1,NA,1,NA
0769750B-1428-433B-A1AB-0EBBA3138E58,ACC,37,NA,351,NA
080ED80E-2818-4BD5-BF97-A37485DA693B,CCC,12,NA,63,NA
08282A27-E37E-4781-AA5D-D29F965EC882,ABC,11,NA,39,NA
082F3BFA-9052-4730-9879-93447510F2B9,CCC,60,NA,140,NA
08425063-F269-49B5-8690-A797AD8E37F6,BCC,48,10,141,42
0906B557-9D43-4A96-8DCA-4E675A61BABA,ACC,5,NA,7,NA
091EAB99-84AB-4748-86E2-544962CF1B77,ACC,2,NA,6,NA
097A7465-3B53-4E36-9F08-62CE8B957FB1,CCC,175,149,362,380
