participant_id,condition,phase,study_week,attempted,dismissed,executed,delay_type,delay_secs
0006F470-71F5-4743-BDB5-6E281CDDF0CF,ACC,phase2,1,19,13,6,A,3
0035B40B-7D47-4E2B-BEBF-224F4452CBAA,ACC,phase1,1,1,0,1,A,3
0082F3E1-DF11-4F51-8998-6F58BAA77F25,BCC,phase2,1,3,1,2,B,6
00B2E996-861C-4EB9-A3F4-06CEB9893B1A,CCC,phase2,1,57,19,38,C,10
00B65324-C0A7-417A-8136-733D0D825110,ACC,phase2,1,299,44,255,A,3
00B65324-C0A7-417A-8136-733D0D825110,ACC,phase2,2,65,11,54,A,3
00B9CC53-D074-41AD-B36E-5B9470081736,CCC,phase1,1,16,15,1,C,10
00B9CC53-D074-41AD-B36E-5B9470081736,CCC,phase1,2,8,6,2,C,10
00B9CC53-D074-41AD-B36E-5B9470081736,CCC,phase1,3,11,9,2,C,10
00B9CC53-D074-41AD-B36E-5B9470081736,CCC,phase1,4,25,23,2,C,10
00B9CC53-D074-41AD-B36E-5B9470081736,CCC,phase1,5,14,14,0,C,10
00B9CC53-D074-41AD-B36E-5B9470081736,CCC,phase1,6,13,13,0,C,10
00C7DC22-AB67-4D7A-ADF0-B8AA665767BC,BCC,phase2,1,1,0,1,B,6
00EE0F8D-F4D2-44B8-8E72-51D7A405383A,ACC,phase1,1,132,6,126,A,3
00EE0F8D-F4D2-44B8-8E72-51D7A405383A,ACC,phase1,2,90,3,87,A,3
00EE0F8D-F4D2-44B8-8E72-51D7A405383A,ACC,phase1,3,83,12,71,C,10
00EE0F8D-F4D2-44B8-8E72-51D7A405383A,ACC,phase1,4,81,4,77,C,10
00EE0F8D-F4D2-44B8-8E72-51D7A405383A,ACC,phase1,5,64,6,58,C,10
00EE0F8D-F4D2-44B8-8E72-51D7A405383A,ACC,phase1,6,4,0,4,C,10
0100A9D5-5152-437D-8B44-9DBD02E4089A,ACC,phase1,1,56,9,47,A,3
0100A9D5-5152-437D-8B44-9DBD02E4089A,ACC,phase1,2,57,6,51,A,3
0100A9D5-5152-437D-8B44-9DBD02E4089A,ACC,phase1,3,37,4,33,C,10
0100A9D5-5152-437D-8B44-9DBD02E4089A,ACC,phase1,4,34,8,26,C,10
0100A9D5-5152-437D-8B44-9DBD02E4089A,ACC,phase1,5,23,6,17,C,10
0100A9D5-5152-437D-8B44-9DBD02E4089A,ACC,phase1,6,11,1,10,C,10
011B6B0B-DFB4-4469-809D-643277DE9A67,ABC,phase2,1,78,33,45,A,3
011B6B0B-DFB4-4469-809D-643277DE9A67,ABC,phase2,2,163,84,79,A,3
01275D7E-29A2-418D-AFD7-9A4F971E054A,ACC,phase2,1,74,21,53,A,3
012C07FF-59AA-4B24-A863-DE76DBB32220,ABC,phase2,1,99,59,40,A,3
012C07FF-59AA-4B24-A863-DE76DBB32220,ABC,phase2,2,135,41,94,A,3
012C07FF-59AA-4B24-A863-DE76DBB32220,ABC,phase2,3,136,43,93,B,6
012C07FF-59AA-4B24-A863-DE76DBB32220,ABC,phase2,4,50,13,37,B,6
0156E4F8-B21A-421A-9CBA-020296EAB812,ACC,phase1,1,172,38,134,A,3
0156E4F8-B21A-421A-9CBA-020296EAB812,ACC,phase1,2,134,24,110,A,3
0156E4F8-B21A-421A-9CBA-020296EAB812,ACC,phase1,3,110,20,90,C,10
0156E4F8-B21A-421A-9CBA-020296EAB812,ACC,phase1,4,161,28,133,C,10
0156E4F8-B21A-421A-9CBA-020296EAB812,ACC,phase1,5,193,51,142,C,10
0156E4F8-B21A-421A-9CBA-020296EAB812,ACC,phase1,6,107,20,87,C,10
01B707BA-2FAD-4AB2-8BA0-CE44C83963CA,CCC,phase1,1,1,1,0,C,10
01B8AAE1-4BF9-4B62-9836-6E3F8E07C385,ABC,phase1,1,91,9,82,A,3
01B8AAE1-4BF9-4B62-9836-6E3F8E07C385,ABC,phase1,2,84,2,82,A,3
01B8AAE1-4BF9-4B62-9836-6E3F8E07C385,ABC,phase1,3,82,8,74,B,6
01B8AAE1-4BF9-4B62-9836-6E3F8E07C385,ABC,phase1,4,36,0,36,B,6
01BAA7E1-28DA-41D6-9A98-315FC8AAE4FA,ABC,phase2,1,307,68,239,A,3
01CA7A36-7B8A-4A0B-A6A0-EC8112738E45,ABC,phase1,1,1,1,0,A,3
01D91AA7-EB95-4F8D-8067-5BC173EDCD77,ACC,phase2,1,236,43,193,A,3
01D91AA7-EB95-4F8D-8067-5BC173EDCD77,ACC,phase2,2,202,29,173,A,3
01D91AA7-EB95-4F8D-8067-5BC173EDCD77,ACC,phase2,3,116,28,88,C,10
01D91AA7-EB95-4F8D-8067-5BC173EDCD77,ACC,phase2,4,122,40,82,C,10
01D91AA7-EB95-4F8D-8067-5BC173EDCD77,ACC,phase2,5,152,22,130,C,10
01D91AA7-EB95-4F8D-8067-5BC173EDCD77,ACC,phase2,6,185,45,140,C,10
01F9651C-0107-4FF7-93DA-FF00C616D5FF,ACC,phase2,1,1,1,0,A,3
0211D548-9B16-495C-AA6E-CF5FF98B3692,ABC,phase1,1,3,2,1,A,3
