participant_id,ResponseId,StartDate,EndDate,solved_problems,achieved_goals,helpful_problems,helpful_goals,satisfied_interv,satisfied_progr,sm_problematic_post,sm_happiness_post,sm_general_prob_post,sm_comparison_post,prefer_own_delay,pref_delay_secs,prefer_increasing,pref_pattern,pref_week1,pref_week2,pref_week3,pref_week4,pref_week5,pref_week6,appSetupTimeStamp,condition,has_behavioral
B5E65A35-511F-47FD-8D2E-CA62306EB23A,R_8ezR3l68E9T2R1Q,2025-01-19 11:04:31,2025-01-19 11:05:20,4,4,4,4,4,4,4,4,4,4,No,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,ABC,TRUE
B2F6C59E-5746-4B0D-B8B1-767047219F0C,R_3eZRJg5P0PrPLj3,2025-02-05 19:23:12,2025-02-05 19:24:19,6,7,7,7,7,7,2,6,6,2,Yes,10,No,NA,NA,NA,NA,NA,NA,NA,NA,ABC,TRUE
42A23D9D-9CE4-4649-97EF-5ABE90AD6956,R_4pMrye9eKmSFaLL,2025-02-15 22:05:38,2025-02-15 22:07:29,3,2,5,5,5,5,7,1,7,6,Yes,5,Yes,Option 1,NA,NA,NA,NA,NA,NA,NA,ACC,TRUE
7DCDABFC-58C1-4001-9210-6693698BE8D7,R_8179YkpPNBClilq,2025-02-19 04:04:44,2025-02-19 04:06:30,3,3,7,6,7,7,7,1,6,6,Yes,30,Yes,Option 3,NA,NA,NA,NA,NA,NA,NA,BCC,TRUE
AD625FB3-42C8-428A-A717-1DE75167F472,R_2m1shE24XY4dkG7,2025-03-03 06:17:57,2025-03-03 06:21:16,5,5,5,5,5,5,3,3,7,3,Yes,20,Yes,Option 1,NA,NA,NA,NA,NA,NA,NA,CCC,TRUE
6A5994EC-3532-4B6F-BD15-92D5CBAEC692,R_2HykfWGt5iZfnCF,2025-03-10 03:48:46,2025-03-10 03:51:03,6,6,7,7,7,7,5,4,7,3,No,NA,Yes,Option 1,NA,NA,NA,NA,NA,NA,NA,ABC,TRUE
FDDE76EC-7053-4814-AC74-03D1DF6066A4,R_825dvYZVwjN73gG,2025-03-10 10:46:15,2025-03-10 10:48:36,1,1,3,4,4,1,6,1,7,4,Yes,80,Yes,Other,40,50,60,70,80,80,NA,BCC,TRUE
D89138C1-2D22-4975-821F-678643276168,R_9JsFunUR6TbtNHW,2025-03-16 03:44:00,2025-03-16 03:47:42,5,6,6,6,5,5,6,6,7,3,No,NA,Yes,Other,10,15,20,25,30,35,NA,BCC,TRUE
4AB393DF-32F1-4DD5-997F-982CB29A79C7,R_5cnJfsXvS3Po4rq,2025-03-17 08:05:00,2025-03-17 08:06:45,2,3,6,6,5,5,4,5,6,5,Yes,120,Yes,Option 2,NA,NA,NA,NA,NA,NA,NA,BCC,TRUE
8A6CC61D-1D50-44CF-AB4F-9CB710F48756,R_5lm1w4vKGqjmnhm,2025-03-21 21:39:44,2025-03-21 21:42:42,5,5,6,6,6,6,5,3,7,2,Yes,10,No,NA,NA,NA,NA,NA,NA,NA,NA,ACC,TRUE
E972A06D-0E2F-447A-9B50-E134391FD46E,R_8KVL6UCyq54jTUq,2025-03-23 12:05:02,2025-03-23 12:07:58,5,3,6,4,6,5,6,5,7,4,Yes,30,Yes,Option 3,NA,NA,NA,NA,NA,NA,NA,BCC,TRUE
8A78A660-7854-4E8D-B0A8-50446846D2F6,R_6P83Ahycu4jS0ux,2025-03-24 06:19:55,2025-03-24 06:24:44,5,6,6,7,5,6,5,4,7,5,Yes,2,Yes,Option 1,NA,NA,NA,NA,NA,NA,NA,BCC,TRUE
47123396-7052-47A9-B1CB-43A19AB38DE5,R_7zwoQ98EM90VWAJ,2025-03-31 21:10:08,2025-03-31 21:11:19,5,5,6,6,6,6,3,5,3,5,Yes,5,Yes,Option 1,NA,NA,NA,NA,NA,NA,NA,ABC,TRUE
C4837D82-A391-4A01-B4FB-2617F1844302,R_4DXOtcCwBBGTZKQ,2025-04-03 08:38:27,2025-04-03 08:41:17,3,3,6,6,6,6,5,4,7,2,Yes,20,Yes,Option 1,NA,NA,NA,NA,NA,NA,NA,ACC,TRUE
E1FF9D4F-9E84-4F60-8EE8-E2CA4327AEF9,R_8NycZkxImx45Qxj,2025-04-04 00:03:01,2025-04-04 00:04:41,3,3,5,5,5,5,5,3,6,3,No,NA,Yes,Option 1,NA,NA,NA,NA,NA,NA,NA,BCC,TRUE
816CC772-44D3-49CD-8E81-48897641AA57,R_81vDvEDlFJo1vh1,2025-04-04 03:09:48,2025-04-04 03:12:10,3,5,5,6,6,5,6,1,7,3,Yes,45,Yes,Other,5,5,8,8,12,15,NA,CCC,TRUE
BAF605E7-19D9-4D9D-806C-6FE20715AE24,R_5pyRJ8TmNU6Ur4F,2025-04-04 07:07:25,2025-04-04 07:09:45,5,6,7,7,6,6,4,4,6,5,Yes,5,Yes,Option 1,NA,NA,NA,NA,NA,NA,NA,ACC,TRUE
99C58232-E7A8-4540-BAB7-107A09BC946A,R_2kqgO0YcuWpcSqI,2025-04-04 12:00:57,2025-04-04 12:02:55,6,5,6,7,6,6,4,3,7,4,Yes,6,Yes,Option 1,NA,NA,NA,NA,NA,NA,NA,ACC,TRUE
1E0F1900-E764-440D-8898-84FA4101EC21,R_2vjqEn711qjlBtT,2025-04-05 11:28:42,2025-04-05 11:31:39,2,2,4,4,5,2,6,2,6,5,Yes,30,Yes,Option 1,NA,NA,NA,NA,NA,NA,NA,ACC,TRUE
494FFF12-288E-4E18-B21E-60DB822E6307,R_5m08Tlpfv4zcawp,2025-04-06 13:56:07,2025-04-07 02:25:27,2,1,5,5,5,4,6,2,6,5,Yes,20,Yes,Option 1,NA,NA,NA,NA,NA,NA,NA,CCC,TRUE
AB716170-9777-465E-9BE3-EA501B273DC9,R_2EFFW3HPCt1D7UT,2025-04-07 06:06:21,2025-04-07 06:07:54,3,3,6,6,6,5,6,3,7,6,Yes,30,Yes,Option 1,NA,NA,NA,NA,NA,NA,NA,ACC,TRUE
6DC57494-2E9F-4A47-99C5-37814861D5E4,R_4AMysj0aFpC2m74,2025-04-07 14:35:24,2025-04-07 14:36:46,5,6,7,6,7,6,6,5,6,3,Yes,300,Yes,Option 3,NA,NA,NA,NA,NA,NA,NA,BCC,TRUE
615D6A86-783F-4DB7-89FA-4BB905BFBFE7,R_6iQXiuzftOKsQKt,2025-04-08 08:35:41,2025-04-08 08:38:45,5,5,6,6,7,5,6,5,7,7,Yes,20,Yes,Option 3,NA,NA,NA,NA,NA,NA,NA,ABC,TRUE
AB6AB9AC-F00A-4FE5-BDAA-55AFECDBC741,R_8tsdQKaq7xpdpQc,2025-04-09 03:49:33,2025-04-09 03:52:40,5,5,7,7,5,5,5,3,7,4,Yes,20,No,NA,NA,NA,NA,NA,NA,NA,NA,CCC,TRUE
F07AF57F-37C8-4CC9-B9AB-DEAA846E7CB8,R_5ilcYALygepJAGE,2025-04-13 08:40:27,2025-04-13 08:42:45,4,5,5,6,5,6,7,3,7,2,Yes,60,Yes,Option 3,NA,NA,NA,NA,NA,NA,NA,ACC,TRUE
3DD21EE5-10BA-4B45-83F0-705D675A9649,R_6WXsmL7D8YTF5Xb,2025-04-14 23:12:30,2025-04-14 23:13:54,2,2,4,4,5,2,6,2,6,6,No,NA,Yes,Option 1,NA,NA,NA,NA,NA,NA,NA,ABC,TRUE
375B165B-A589-48EC-87A6-7DF82D8CCF78,R_8iDL6Q2z2VnqWL6,2025-04-15 08:08:25,2025-04-15 08:11:13,7,7,7,7,7,7,6,6,7,1,Yes,40,Yes,Other,15,20,25,30,35,40,NA,CCC,TRUE
1D60433E-6977-4C9D-A686-053940991EDA,R_80YGHEbSOTNntEf,2025-04-15 12:04:12,2025-04-15 12:06:23,6,6,7,7,7,6,6,3,7,3,No,NA,Yes,Option 3,NA,NA,NA,NA,NA,NA,NA,CCC,TRUE
5BCFEA08-E3C9-47B3-9553-D2EA5096EB26,R_5NWiMep7LaeHfnv,2025-04-15 16:13:00,2025-04-15 16:22:02,5,6,6,6,6,5,6,3,6,4,No,NA,Yes,Option 3,NA,NA,NA,NA,NA,NA,NA,ABC,TRUE
B9677323-21BB-4AE3-8F4A-E2073FBDF6BD,R_7Cd715XRBrY7aXb,2025-04-16 06:13:58,2025-04-16 06:16:22,4,4,5,5,5,4,5,3,6,5,Yes,10,Yes,Option 1,NA,NA,NA,NA,NA,NA,NA,ABC,TRUE
2887E9A7-CEF5-4057-8012-7F41F69F601D,R_3rfCuujFB3MSwTt,2025-04-19 04:03:12,2025-04-19 04:06:20,5,3,5,5,5,5,6,2,7,6,No,NA,Yes,Option 2,NA,NA,NA,NA,NA,NA,NA,BCC,TRUE
F628D8F4-CE42-4ADF-8444-6AF2765104EF,R_3ZVwIX2KZaHG51m,2025-04-21 10:42:17,2025-04-21 10:44:38,3,3,5,5,5,4,7,1,7,5,Yes,5,Yes,Option 1,NA,NA,NA,NA,NA,NA,NA,ABC,TRUE
BF809D36-EF55-4A0A-BC81-2AE75D3CC033,R_3k5OdW5V7Hxi3FY,2025-04-21 12:54:41,2025-04-21 12:56:11,5,6,5,5,5,6,5,3,7,4,No,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,CCC,TRUE
EA6E113A-F9BE-4E9E-93DD-35B4956069C7,R_8zw0MnQwCpaE2Ut,2025-04-22 17:19:20,2025-04-22 17:21:53,5,5,6,5,6,5,6,5,7,6,No,NA,Yes,Option 1,NA,NA,NA,NA,NA,NA,NA,ABC,TRUE
3BF210A8-89C3-4185-ACC7-05F0C73D0BEE,R_4msB0v7seGApPB8,2025-06-20 01:11:26,2025-06-20 01:13:08,6,4,6,6,5,5,6,3,7,6,No,NA,Yes,Option 1,NA,NA,NA,NA,NA,NA,NA,CCC,TRUE
19D034B0-9018-4D04-86D7-4F34FBD0B4FF,R_82RrKGl8ERdIKKw,2025-06-21 00:04:56,2025-06-21 00:06:31,5,5,6,6,6,6,5,5,5,5,Yes,2,No,NA,NA,NA,NA,NA,NA,NA,NA,ACC,TRUE
8F3721E8-B802-4866-8F5C-49189628B776,R_2YLZlqrtEWQR8Jn,2025-06-23 15:31:45,2025-06-23 15:33:42,4,4,5,6,6,4,6,2,7,3,Yes,15,Yes,Option 1,NA,NA,NA,NA,NA,NA,NA,ABC,TRUE
D4D4E27B-E174-4829-BC2C-2A245CE75673,R_2QDtV2zpnaMaVWf,2025-07-14 00:13:50,2025-07-14 00:18:10,6,6,7,6,6,5,3,3,6,6,Yes,30,Yes,Other,5,10,15,20,25,30,NA,ABC,TRUE
4D9C1CD2-BF47-4709-8120-E67ADCB4B967,R_5VvGXGCeEpJ0hQr,2025-07-24 05:10:45,2025-07-24 05:12:46,3,3,5,4,6,4,5,3,6,5,Yes,120,Yes,Other,10,20,30,40,50,60,NA,BCC,TRUE
75C19B26-A150-48CD-8D98-31E6A2BF2C29,R_5Hi89GEVYnJ4yqV,2025-07-24 14:33:54,2025-07-24 14:35:33,2,3,3,4,4,4,5,4,7,3,Yes,20,Yes,Option 1,NA,NA,NA,NA,NA,NA,NA,ABC,TRUE
4285F583-DEDD-41B8-ABE4-AD427320BBF4,R_8OHUR1hNN2zQ39H,2025-07-28 04:21:21,2025-07-28 04:31:11,3,5,6,6,6,6,6,3,5,3,Yes,15,No,NA,NA,NA,NA,NA,NA,NA,NA,ACC,TRUE
9B663334-0149-4443-8B0D-2AFF737F61C7,R_5HTZgAVT2Ko1wjv,2025-08-01 09:09:09,2025-08-01 09:10:43,3,3,5,5,5,4,5,3,6,5,Yes,10,Yes,Option 2,NA,NA,NA,NA,NA,NA,NA,ACC,TRUE
0A55E3AA-F124-4786-83C3-DB9EE909FF9D,R_5lfAqNBjJO9bN4t,2025-08-03 21:02:08,2025-08-03 21:04:24,3,3,5,5,5,4,5,3,7,4,No,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,BCC,TRUE
1C73AD0C-D4B9-43C1-A2B4-1EDB6877B76E,R_88cP2I2uiPLjzax,2025-08-05 04:39:20,2025-08-05 04:42:19,5,5,5,5,5,4,7,2,7,3,Yes,4,Yes,Option 1,NA,NA,NA,NA,NA,NA,NA,CCC,TRUE
