isReIntervention,timezone,resolution,timestamp,app,interventionType,interventionDuration,timeIntervalUntilReIntervention,purpose
False,America/Chicago,openedApp,1749565281.8505049,instagram,,,,
False,America/Chicago,closedApp,1749565401.8505058,instagram,,,,
False,America/Chicago,dismissedAppOpening,1749565401.8505058,instagram,,,,
False,America/Chicago,dismissedAppOpening,1749569739.465442,instagram,journaling,,,
False,America/Chicago,dismissedAppOpening,1749576406.200749,instagram,journaling,,,
False,America/Chicago,dismissedAppOpening,1749585511.073884,instagram,journaling,,,
False,America/Chicago,dismissedAppOpening,1749585555.919141,instagram,journaling,,,
False,America/Chicago,dismissedAppOpening,1749586986.5784168,instagram,breathingExercise,6.0,,
False,America/Chicago,dismissedAppOpening,1749587025.8757548,instagram,breathingExercise,6.0,,
False,America/Chicago,dismissedAppOpening,1749587801.6428819,instagram,breathingExercise,6.0,,
False,America/Chicago,dismissedAppOpening,1749588014.244018,instagram,breathingExercise,6.0,,
False,America/Chicago,openedApp,1749589983.6391668,instagram,breathingExercise,6.0,900.0,i need to find a grad photographer 
False,America/Chicago,dismissedAppOpening,1749590311.006845,instagram,breathingExercise,6.0,,
False,America/Chicago,openedApp,1749590340.364701,instagram,breathingExercise,6.0,900.0,i need a grad photographer
False,America/Chicago,dismissedAppOpening,1749590515.1098561,instagram,breathingExercise,6.0,,
False,America/Chicago,openedApp,1749590536.767457,instagram,breathingExercise,6.0,900.0,i need a grad photographer 
False,America/Chicago,openedApp,1749591469.424638,instagram,breathingExercise,6.0,900.0,grad
False,America/Chicago,dismissedAppOpening,1749591879.877198,instagram,breathingExercise,6.0,,
False,America/Chicago,openedApp,1749591898.312825,instagram,breathingExercise,6.0,900.0,t
False,America/Chicago,openedApp,1749592445.8030019,instagram,breathingExercise,6.0,900.0,rr
False,America/Chicago,openedApp,1749593242.598826,instagram,breathingExercise,6.0,900.0,grad
False,America/Chicago,dismissedAppOpening,1749594012.149621,instagram,breathingExercise,6.0,,
False,America/Chicago,dismissedAppOpening,1749595928.061136,instagram,breathingExercise,6.0,,
False,America/Chicago,dismissedAppOpening,1749596262.8459659,instagram,breathingExercise,6.0,,
False,America/Chicago,dismissedAppOpening,1749596363.03371,instagram,breathingExercise,6.0,,
False,America/Chicago,openedApp,1749599184.627737,instagram,breathingExercise,6.0,900.0,i want to check on my notifs ans then be done and get to bed
False,America/Chicago,openedApp,1749599337.664175,instagram,breathingExercise,6.0,900.0,to talk to marcus
False,America/Chicago,dismissedAppOpening,1749600086.346045,instagram,breathingExercise,6.0,,
False,America/Chicago,dismissedAppOpening,1749600088.084697,instagram,breathingExercise,6.0,,
False,America/Chicago,dismissedAppOpening,1749600089.894174,instagram,breathingExercise,6.0,,
False,America/Chicago,dismissedAppOpening,1749612187.480907,instagram,breathingExercise,6.0,,
False,America/Chicago,openedApp,1749612221.711911,instagram,breathingExercise,6.0,600.0,i just wanna chevk my notifs
False,America/Chicago,openedApp,1749613969.294822,instagram,breathingExercise,6.0,360.0,to see a vod my friend sent me
False,America/Chicago,dismissedAppOpening,1749614086.768756,instagram,breathingExercise,6.0,,
False,America/Chicago,openedApp,1749614405.753728,instagram,breathingExercise,6.0,600.0,to see marcuses reply
False,America/Chicago,dismissedAppOpening,1749646994.105918,instagram,journaling,,,
False,America/Chicago,dismissedAppOpening,1749646998.170086,instagram,journaling,,,
False,America/Chicago,dismissedAppOpening,1749647003.580622,instagram,journaling,,,
False,America/Chicago,openedApp,1749647068.0866508,instagram,breathingExercise,6.0,540.0,i need to check notifs
False,America/Chicago,openedApp,1749647169.279572,instagram,breathingExercise,6.0,600.0,i
True,America/Chicago,openedApp,1749655689.578743,instagram,breathingExercise,6.0,300.0,i just wanna check notifs
True,America/Chicago,openedApp,1749656108.195642,instagram,breathingExercise,6.0,300.0,just 5 minutes please
