timestamp,interventionType,app,interventionDuration,resolution,timezone,isReIntervention,terminationReason
1749677892.515904,breathingExercise,shortcuts,40.0,openedApp,Europe/Zurich,0.0,
1749712018.0549212,breathingExercise,shortcuts,40.0,openedApp,Europe/Zurich,0.0,
1749721170.110764,breathingExercise,facebook,6.0,openedApp,Europe/Zurich,0.0,
1749721364.442892,,facebook,,closedApp,Europe/Zurich,0.0,
1749731149.902451,breathingExercise,facebook,6.0,openedApp,Europe/Zurich,0.0,
1749731538.763729,,facebook,,closedApp,Europe/Zurich,0.0,
1749749123.783942,breathingExercise,facebook,6.0,openedApp,Europe/Zurich,0.0,
1749749137.5255818,,facebook,,closedApp,Europe/Zurich,0.0,
1749762842.377036,breathingExercise,facebook,6.0,openedApp,Europe/Zurich,0.0,
1749763461.463671,,facebook,,closedApp,Europe/Zurich,0.0,
1749765790.467218,breathingExercise,instagram,6.0,openedApp,Europe/Zurich,0.0,
1749765803.054603,,instagram,,closedApp,Europe/Zurich,0.0,
1749766245.195804,breathingExercise,facebook,6.0,openedApp,Europe/Zurich,0.0,
1749766390.781601,,facebook,,closedApp,Europe/Zurich,0.0,
1749792042.615316,breathingExercise,facebook,6.0,dismissedAppOpening,Europe/Zurich,0.0,
1749792069.493016,breathingExercise,facebook,6.0,openedApp,Europe/Zurich,0.0,
1749792358.300616,,facebook,,closedApp,Europe/Zurich,0.0,
1749806775.5981789,breathingExercise,facebook,6.0,openedApp,Europe/Zurich,0.0,
1749807048.001889,,facebook,,closedApp,Europe/Zurich,0.0,
1749822700.402577,breathingExercise,facebook,6.0,openedApp,Europe/Zurich,0.0,
1749822898.403362,,facebook,,closedApp,Europe/Zurich,0.0,
1749827210.78878,breathingExercise,facebook,6.0,openedApp,Europe/Zurich,0.0,
1749827304.116987,,facebook,,closedApp,Europe/Zurich,0.0,
1749828035.801803,breathingExercise,facebook,6.0,openedApp,Europe/Zurich,0.0,
1749828057.841422,,facebook,,closedApp,Europe/Zurich,0.0,
1749828104.3072891,breathingExercise,facebook,6.0,openedApp,Europe/Zurich,0.0,
1749828619.602994,,facebook,,closedApp,Europe/Zurich,0.0,
1749832709.3386421,breathingExercise,facebook,6.0,openedApp,Europe/Zurich,0.0,
1749832941.295691,,facebook,,closedApp,Europe/Zurich,0.0,
1749850521.3734388,breathingExercise,facebook,6.0,openedApp,Europe/Zurich,0.0,
1749878411.9098868,breathingExercise,facebook,6.0,openedApp,Europe/Zurich,0.0,
1749878999.3533502,,facebook,,closedApp,Europe/Zurich,0.0,
1749897603.950994,breathingExercise,facebook,6.0,openedApp,Europe/Zurich,0.0,
1749897688.891099,,facebook,,closedApp,Europe/Zurich,0.0,
1749898248.4109201,breathingExercise,facebook,6.0,openedApp,Europe/Zurich,0.0,
1749898281.352264,,facebook,,closedApp,Europe/Zurich,0.0,
1749898454.1129189,breathingExercise,facebook,6.0,openedApp,Europe/Zurich,0.0,
1749898797.8376231,,facebook,,closedApp,Europe/Zurich,0.0,
1749908194.7552528,breathingExercise,facebook,6.0,openedApp,Europe/Zurich,0.0,
1749908276.4983091,,facebook,,closedApp,Europe/Zurich,0.0,
1749936679.3505778,breathingExercise,facebook,6.0,openedApp,Europe/Zurich,0.0,
1749936688.281265,,facebook,,closedApp,Europe/Zurich,0.0,
1749936725.608924,breathingExercise,facebook,6.0,openedApp,Europe/Zurich,0.0,
1749937194.041122,,facebook,,closedApp,Europe/Zurich,0.0,
1749954086.708393,breathingExercise,facebook,6.0,dismissedAppOpening,Europe/Zurich,0.0,
1749963683.560507,breathingExercise,facebook,6.0,openedApp,Europe/Zurich,0.0,
1749963764.7202492,,facebook,,closedApp,Europe/Zurich,0.0,
1749969295.259081,breathingExercise,facebook,6.0,openedApp,Europe/Zurich,0.0,
1749969438.0168371,,facebook,,closedApp,Europe/Zurich,0.0,
1749969534.5692868,breathingExercise,facebook,6.0,openedApp,Europe/Zurich,0.0,
1749969725.350277,,facebook,,closedApp,Europe/Zurich,0.0,
1749971840.9067411,breathingExercise,facebook,6.0,openedApp,Europe/Zurich,0.0,
1749972120.297756,,facebook,,closedApp,Europe/Zurich,0.0,
1749974774.422327,breathingExercise,facebook,6.0,openedApp,Europe/Zurich,0.0,
1749975324.48323,,facebook,,closedApp,Europe/Zurich,0.0,
1749977196.898865,breathingExercise,facebook,6.0,openedApp,Europe/Zurich,0.0,
1749977413.6636,,facebook,,closedApp,Europe/Zurich,0.0,
1749992446.172326,breathingExercise,facebook,6.0,openedApp,Europe/Zurich,0.0,
1749992489.380295,,facebook,,closedApp,Europe/Zurich,0.0,
1749992508.417619,,facebook,,closedApp,Europe/Zurich,0.0,
1749992550.605506,breathingExercise,facebook,6.0,openedApp,Europe/Zurich,0.0,
1749992607.31092,,facebook,,closedApp,Europe/Zurich,0.0,
1749996338.7810159,breathingExercise,facebook,6.0,openedApp,Europe/Zurich,0.0,
1749996347.989469,,facebook,,closedApp,Europe/Zurich,0.0,
1749996851.241354,breathingExercise,facebook,6.0,openedApp,Europe/Zurich,0.0,
1749997149.080081,,facebook,,closedApp,Europe/Zurich,0.0,
1750004695.649562,breathingExercise,facebook,6.0,openedApp,Europe/Zurich,0.0,
1750005173.6003752,,facebook,,closedApp,Europe/Zurich,0.0,
1750005902.76132,breathingExercise,facebook,6.0,openedApp,Europe/Zurich,0.0,
1750006020.3975139,,facebook,,closedApp,Europe/Zurich,0.0,
1750006295.9448462,,facebook,,closedApp,Europe/Zurich,0.0,
1750007919.354953,breathingExercise,facebook,6.0,openedApp,Europe/Zurich,0.0,
1750008081.997683,,facebook,,closedApp,Europe/Zurich,0.0,
1750020583.430949,breathingExercise,facebook,6.0,openedApp,Europe/Zurich,0.0,
1750020868.298909,,facebook,,closedApp,Europe/Zurich,0.0,
1750021058.3950272,breathingExercise,facebook,6.0,openedApp,Europe/Zurich,0.0,
1750021495.058008,,facebook,,closedApp,Europe/Zurich,0.0,
1750023825.773452,breathingExercise,facebook,6.0,openedApp,Europe/Zurich,0.0,
1750024030.751524,,facebook,,closedApp,Europe/Zurich,0.0,
1750043583.810452,breathingExercise,facebook,6.0,openedApp,Europe/Zurich,0.0,
1750043730.361545,,facebook,,closedApp,Europe/Zurich,0.0,
1750055589.948977,breathingExercise,facebook,6.0,openedApp,Europe/Zurich,0.0,
1750056085.63557,,facebook,,closedApp,Europe/Zurich,0.0,
1750057944.971262,breathingExercise,facebook,6.0,openedApp,Europe/Zurich,0.0,
1750058058.8765712,,facebook,,closedApp,Europe/Zurich,0.0,
1750068200.502141,breathingExercise,facebook,6.0,openedApp,Europe/Zurich,0.0,
1750068211.037422,,facebook,,closedApp,Europe/Zurich,0.0,
1750085599.3287292,breathingExercise,facebook,6.0,openedApp,Europe/Zurich,0.0,
1750085634.964247,,facebook,,closedApp,Europe/Zurich,0.0,
