timezone,isReIntervention,purpose,interventionType,resolution,timestamp,interventionDuration,app
America/Toronto,False,Relax,breathingExercise,openedApp,1748714676.59475,6,youtube
America/Toronto,False,Relax,breathingExercise,openedApp,1748715523.897938,6,youtube
America/Toronto,False,Break,breathingExercise,openedApp,1748716803.430254,6,youtube
America/Toronto,False,Relax,breathingExercise,openedApp,1748796858.3691092,6,youtube
America/Toronto,False,Break,breathingExercise,openedApp,1748797191.293229,6,youtube
America/Toronto,False,,breathingExercise,dismissedAppOpening,1748798456.8385181,6,youtube
America/Toronto,False,Break,breathingExercise,openedApp,1748798473.547818,6,youtube
America/Toronto,False,Relax,breathingExercise,openedApp,1748805198.835009,6,youtube
America/Toronto,False,Relax,breathingExercise,openedApp,1748833202.923994,6,youtube
America/Toronto,False,,breathingExercise,dismissedAppOpening,1748835823.142978,6,youtube
America/Toronto,False,,breathingExercise,dismissedAppOpening,1748835826.646857,6,youtube
America/Toronto,False,Break,breathingExercise,openedApp,1748835910.490093,6,youtube
America/Toronto,False,Break,breathingExercise,openedApp,1748835993.3715181,6,youtube
America/Toronto,False,Relax,breathingExercise,openedApp,1748882433.494398,6,youtube
America/Toronto,False,Break,breathingExercise,openedApp,1748883353.386078,6,youtube
America/Toronto,False,Break,breathingExercise,openedApp,1748898179.197902,6,youtube
America/Toronto,False,Break,breathingExercise,openedApp,1748898267.356841,6,youtube
America/Toronto,False,Break,breathingExercise,openedApp,1748900027.397917,6,youtube
America/Toronto,False,Break,breathingExercise,openedApp,1748900925.56574,6,youtube
America/Toronto,False,Break,breathingExercise,openedApp,1748901156.7031732,6,youtube
America/Toronto,False,Relax,breathingExercise,openedApp,1748919209.675051,6,youtube
America/Toronto,False,,breathingExercise,dismissedAppOpening,1748919823.8065748,6,youtube
America/Toronto,False,Break,breathingExercise,openedApp,1748919848.5034142,6,youtube
America/Toronto,False,Break,breathingExercise,openedApp,1748919901.2309089,6,youtube
America/Toronto,False,,breathingExercise,dismissedAppOpening,1748920330.028816,6,youtube
America/Toronto,False,Break,breathingExercise,openedApp,1748924454.909402,6,youtube
America/Toronto,False,Break,breathingExercise,openedApp,1748989736.066869,6,youtube
America/Toronto,False,,breathingExercise,dismissedAppOpening,1748991345.050895,6,youtube
America/Toronto,False,Break,breathingExercise,openedApp,1749056294.1746821,6,youtube
America/Toronto,False,Break,breathingExercise,openedApp,1749082245.772996,6,youtube
America/Toronto,False,Break,breathingExercise,openedApp,1749158654.402698,6,youtube
America/New_York,False,Relax,breathingExercise,openedApp,1749614897.435564,6,youtube
America/New_York,False,Break,breathingExercise,openedApp,1749688868.3401241,6,youtube
America/New_York,False,Break,breathingExercise,openedApp,1749700768.568826,6,youtube
America/New_York,False,Break,breathingExercise,openedApp,1749731329.648392,6,youtube
America/Toronto,False,Break,breathingExercise,openedApp,1749774442.6663132,6,youtube
America/Toronto,False,Break,breathingExercise,openedApp,1749776347.79875,6,youtube
America/Toronto,False,Break,breathingExercise,openedApp,1749826244.093256,6,youtube
America/Toronto,False,Break,breathingExercise,openedApp,1749839140.162951,6,youtube
America/Toronto,False,,breathingExercise,dismissedAppOpening,1749846655.52879,6,youtube
America/Toronto,False,,breathingExercise,dismissedAppOpening,1749846664.659421,6,youtube
America/Toronto,False,,breathingExercise,dismissedAppOpening,1749846667.58598,6,youtube
America/Toronto,False,,breathingExercise,dismissedAppOpening,1749846669.592973,6,youtube
America/Toronto,False,,breathingExercise,dismissedAppOpening,1749846671.53952,6,youtube
America/Toronto,False,,breathingExercise,dismissedAppOpening,1749846675.471066,6,youtube
America/Toronto,False,Break,breathingExercise,openedApp,1749848588.042021,6,youtube
America/Toronto,False,Break,breathingExercise,openedApp,1749850315.67804,6,youtube
America/Toronto,False,,breathingExercise,dismissedAppOpening,1749855164.6388478,6,youtube
America/Toronto,False,,breathingExercise,dismissedAppOpening,1749855166.249228,6,youtube
America/Toronto,False,,breathingExercise,dismissedAppOpening,1749855168.592575,6,youtube
America/Toronto,False,Break,breathingExercise,openedApp,1749861761.289144,6,youtube
America/Toronto,False,Bored,breathingExercise,openedApp,1749862314.777471,6,youtube
America/Toronto,False,Relax,breathingExercise,openedApp,1749863521.507812,6,youtube
America/Toronto,False,Break,breathingExercise,openedApp,1749916874.425628,6,youtube
America/Toronto,False,,breathingExercise,dismissedAppOpening,1749925435.280251,6,youtube
America/Toronto,False,Relax,breathingExercise,openedApp,1749925453.570214,6,youtube
