resolution,timezone,timestamp,interventionType,isReIntervention,interventionDuration,app
openedApp,America/Mexico_City,1749527386.987941,breathingExercise,False,6,instagram
dismissedAppOpening,America/Mexico_City,1749529632.452958,breathingExercise,False,6,instagram
openedApp,America/Mexico_City,1749536861.0553699,breathingExercise,False,6,instagram
openedApp,America/Mexico_City,1749573331.744998,breathingExercise,False,6,instagram
openedApp,America/Mexico_City,1749579188.613797,breathingExercise,False,6,instagram
openedApp,America/Mexico_City,1749587993.6338692,breathingExercise,False,6,instagram
openedApp,America/Mexico_City,1749606094.158293,breathingExercise,False,6,instagram
openedApp,America/Mexico_City,1749622953.9028912,breathingExercise,False,6,instagram
openedApp,America/Mexico_City,1749654222.107276,breathingExercise,False,6,instagram
openedApp,America/Mexico_City,1749654440.524915,breathingExercise,False,6,instagram
dismissedAppOpening,America/Mexico_City,1749654543.5066772,breathingExercise,False,6,instagram
openedApp,America/Mexico_City,1749655087.111027,breathingExercise,False,6,instagram
openedApp,America/Mexico_City,1749656872.631311,breathingExercise,False,6,instagram
openedApp,America/Mexico_City,1749657194.566869,breathingExercise,False,6,instagram
openedApp,America/Mexico_City,1749659929.4718409,breathingExercise,False,6,instagram
openedApp,America/Mexico_City,1749660476.776329,breathingExercise,False,6,instagram
openedApp,America/Mexico_City,1749660914.576159,breathingExercise,False,6,instagram
openedApp,America/Mexico_City,1749661518.689691,breathingExercise,False,6,instagram
openedApp,America/Mexico_City,1749664034.871131,breathingExercise,False,6,instagram
dismissedAppOpening,America/Mexico_City,1749664203.157092,breathingExercise,False,6,instagram
openedApp,America/Mexico_City,1749664223.869832,breathingExercise,False,6,instagram
openedApp,America/Mexico_City,1749666269.513977,breathingExercise,False,6,instagram
openedApp,America/Mexico_City,1749675745.295106,breathingExercise,False,6,instagram
openedApp,America/Mexico_City,1749675911.592145,breathingExercise,False,6,instagram
openedApp,America/Mexico_City,1749682800.21474,breathingExercise,False,6,instagram
dismissedAppOpening,America/Mexico_City,1749684142.4371262,breathingExercise,False,6,instagram
dismissedAppOpening,America/Mexico_City,1749684281.303505,breathingExercise,False,6,instagram
dismissedAppOpening,America/Mexico_City,1749684287.880608,breathingExercise,False,6,instagram
dismissedAppOpening,America/Mexico_City,1749687145.5234451,breathingExercise,False,6,instagram
openedApp,America/Mexico_City,1749687589.261561,breathingExercise,False,6,instagram
openedApp,America/Mexico_City,1749688637.519697,breathingExercise,False,6,instagram
openedApp,America/Mexico_City,1749688662.600071,breathingExercise,False,6,instagram
openedApp,America/Mexico_City,1749698294.654986,breathingExercise,False,6,instagram
openedApp,America/Mexico_City,1749701682.450687,breathingExercise,False,6,instagram
dismissedAppOpening,America/Mexico_City,1749702290.455271,breathingExercise,False,6,instagram
openedApp,America/Mexico_City,1749713302.069426,breathingExercise,False,6,instagram
openedApp,America/Mexico_City,1749738580.652102,breathingExercise,False,6,instagram
dismissedAppOpening,America/Mexico_City,1749740600.689745,breathingExercise,False,6,instagram
openedApp,America/Mexico_City,1749745559.8701859,breathingExercise,False,6,instagram
openedApp,America/Mexico_City,1749759703.898109,breathingExercise,False,6,instagram
openedApp,America/Mexico_City,1749760327.061059,breathingExercise,False,6,instagram
openedApp,America/Mexico_City,1749760625.9258199,breathingExercise,False,6,instagram
openedApp,America/Mexico_City,1749761196.279572,breathingExercise,False,6,instagram
openedApp,America/Mexico_City,1749761247.5912051,breathingExercise,False,6,instagram
openedApp,America/Mexico_City,1749761276.9346728,breathingExercise,False,6,instagram
dismissedAppOpening,America/Mexico_City,1749784696.3074322,breathingExercise,False,6,instagram
openedApp,America/Mexico_City,1749785042.153553,breathingExercise,False,6,instagram
