isReIntervention,app,interventionDuration,interventionType,timestamp,resolution,timezone,purpose
False,tikTok,6.0,breathingExercise,1750761563.3706322,dismissedAppOpening,Europe/Madrid,
False,instagram,6.0,breathingExercise,1750764066.317315,dismissedAppOpening,Europe/Madrid,
False,instagram,6.0,breathingExercise,1750764085.8858,dismissedAppOpening,Europe/Madrid,
False,instagram,6.0,breathingExercise,1750764826.2264938,openedApp,Europe/Madrid,Mensaje
False,instagram,6.0,breathingExercise,1750765622.9603581,dismissedAppOpening,Europe/Madrid,
False,instagram,6.0,breathingExercise,1750765639.761364,openedApp,Europe/Madrid,Mensaje
False,instagram,6.0,breathingExercise,1750766574.1889791,dismissedAppOpening,Europe/Madrid,
False,instagram,6.0,breathingExercise,1750767682.9859881,openedApp,Europe/Madrid,Mensaje
False,instagram,6.0,breathingExercise,1750769391.1552792,dismissedAppOpening,Europe/Madrid,
False,instagram,6.0,breathingExercise,1750771630.294529,openedApp,Europe/Madrid,Mantente Informado
False,instagram,6.0,breathingExercise,1750773189.614016,openedApp,Europe/Madrid,Publicar algo
False,instagram,6.0,breathingExercise,1750773680.573252,openedApp,Europe/Madrid,Publicar algo
False,instagram,6.0,breathingExercise,1750773843.508741,dismissedAppOpening,Europe/Madrid,
False,tikTok,6.0,breathingExercise,1750773860.131647,openedApp,Europe/Madrid,Publicar algo
False,tikTok,6.0,breathingExercise,1750774302.671979,openedApp,Europe/Madrid,Publicar algo
False,tikTok,6.0,breathingExercise,1750774824.050751,openedApp,Europe/Madrid,Publicar algo
False,tikTok,6.0,breathingExercise,1750775294.844271,dismissedAppOpening,Europe/Madrid,
False,tikTok,6.0,breathingExercise,1750775331.578061,openedApp,Europe/Madrid,Publicar algo
False,instagram,6.0,breathingExercise,1750775487.9106112,openedApp,Europe/Madrid,Publicar algo
False,instagram,6.0,breathingExercise,1750775883.058094,openedApp,Europe/Madrid,Publicar algo
False,tikTok,6.0,breathingExercise,1750776407.672573,openedApp,Europe/Madrid,Publicar algo
False,instagram,6.0,breathingExercise,1750776576.609427,openedApp,Europe/Madrid,Mensaje
False,tikTok,6.0,breathingExercise,1750776599.119982,dismissedAppOpening,Europe/Madrid,
False,instagram,6.0,breathingExercise,1750777555.01986,openedApp,Europe/Madrid,Comprobar stats de un vídeo subido 
False,tikTok,6.0,breathingExercise,1750777599.778263,openedApp,Europe/Madrid,Publicar algo
