timestamp,isReIntervention,app,interventionType,interventionDuration,timezone,resolution,purpose
1749656982.220872,False,youtube,breathingExercise,6.0,Europe/Zurich,openedApp,Unterhaltung
1749666961.343574,False,youtube,breathingExercise,6.0,Europe/Zurich,openedApp,Unterhaltung
1749667308.441879,False,youtube,breathingExercise,6.0,Europe/Zurich,dismissedAppOpening,
1749667324.1730552,False,youtube,breathingExercise,6.0,Europe/Zurich,openedApp,Unterhaltung
1749677443.36659,False,disneyPlus,breathingExercise,6.0,Europe/Zurich,openedApp,Klo
1749700828.5256581,False,youtube,breathingExercise,6.0,Europe/Zurich,openedApp,Unterhaltung
1749701656.314105,False,youtube,breathingExercise,6.0,Europe/Zurich,openedApp,Unterhaltung
1749703392.3843431,False,youtube,breathingExercise,6.0,Europe/Zurich,openedApp,Unterhaltung
1749703536.141399,False,youtube,breathingExercise,6.0,Europe/Zurich,dismissedAppOpening,
1749703696.583558,False,youtube,breathingExercise,6.0,Europe/Zurich,openedApp,Unterhaltung
1749703697.067198,False,youtube,breathingExercise,6.0,Europe/Zurich,openedApp,Unterhaltung
1749713982.514147,False,youtube,breathingExercise,6.0,Europe/Zurich,openedApp,Unterhaltung
1749721042.5129771,False,youtube,breathingExercise,6.0,Europe/Zurich,dismissedAppOpening,
1749727803.7410622,False,youtube,breathingExercise,6.0,Europe/Zurich,openedApp,Unterhaltung
1749728129.668174,False,youtube,breathingExercise,6.0,Europe/Zurich,openedApp,Unterhaltung
1749730753.3128,False,youtube,breathingExercise,6.0,Europe/Zurich,openedApp,Unterhaltung
1749731516.894436,False,youtube,breathingExercise,6.0,Europe/Zurich,openedApp,Unterhaltung
1749731778.960757,False,youtube,breathingExercise,6.0,Europe/Zurich,openedApp,Unterhaltung
1749732605.714332,False,youtube,breathingExercise,6.0,Europe/Zurich,dismissedAppOpening,
1749732757.325459,False,youtube,breathingExercise,6.0,Europe/Zurich,dismissedAppOpening,
1749734882.516398,False,youtube,breathingExercise,6.0,Europe/Zurich,dismissedAppOpening,
1749734987.1047158,False,instagram,breathingExercise,6.0,Europe/Zurich,dismissedAppOpening,
1749735380.55306,False,snapchat,breathingExercise,6.0,Europe/Zurich,openedApp,Nachricht / Schreiben
1749735664.008883,False,youtube,breathingExercise,6.0,Europe/Zurich,openedApp,Unterhaltung
