isReIntervention,timestamp,resolution,timezone,app,interventionDuration,interventionType,purpose
False,1748773354.381166,openedApp,Asia/Kolkata,youtube,,,
False,1748773654.381166,closedApp,Asia/Kolkata,youtube,,,
False,1748773654.381166,dismissedAppOpening,Asia/Kolkata,youtube,,,
False,1748773658.767877,dismissedAppOpening,Asia/Kolkata,twitter,6.0,breathingExercise,
False,1748773779.227457,dismissedAppOpening,Asia/Kolkata,twitter,6.0,breathingExercise,
False,1748773913.2739282,dismissedAppOpening,Asia/Kolkata,twitter,6.0,breathingExercise,
False,1748774305.895503,dismissedAppOpening,Asia/Kolkata,twitter,6.0,breathingExercise,
False,1748774459.887312,dismissedAppOpening,Asia/Kolkata,twitter,6.0,breathingExercise,
False,1748774493.0191622,openedApp,Asia/Kolkata,twitter,6.0,breathingExercise,Bored
False,1748776909.668764,dismissedAppOpening,Asia/Kolkata,twitter,6.0,breathingExercise,
False,1748776936.920188,openedApp,Asia/Kolkata,twitter,6.0,breathingExercise,Stay In the Loop
False,1748778607.370049,openedApp,Asia/Kolkata,twitter,6.0,breathingExercise,Message
False,1748778655.587216,dismissedAppOpening,Asia/Kolkata,twitter,6.0,breathingExercise,
False,1748778658.3820782,dismissedAppOpening,Asia/Kolkata,twitter,6.0,breathingExercise,
False,1748778752.394515,dismissedAppOpening,Asia/Kolkata,twitter,6.0,breathingExercise,
False,1748778801.14269,openedApp,Asia/Kolkata,twitter,6.0,breathingExercise,Can’t sleep
False,1748778935.4141002,dismissedAppOpening,Asia/Kolkata,twitter,6.0,breathingExercise,
False,1748780554.026359,openedApp,Asia/Kolkata,twitter,6.0,breathingExercise,Escape / Avoid
False,1748780554.6106791,openedApp,Asia/Kolkata,twitter,6.0,breathingExercise,Escape / Avoid
False,1748783706.968801,openedApp,Asia/Kolkata,twitter,6.0,breathingExercise,Message
False,1748783947.115437,dismissedAppOpening,Asia/Kolkata,twitter,6.0,breathingExercise,
False,1748783963.3321362,openedApp,Asia/Kolkata,youtube,,,
False,1748784263.3321362,closedApp,Asia/Kolkata,youtube,,,
False,1748784263.332137,dismissedAppOpening,Asia/Kolkata,youtube,,,
False,1748787001.259769,openedApp,Asia/Kolkata,twitter,6.0,breathingExercise,Message
False,1748787099.7547832,dismissedAppOpening,Asia/Kolkata,twitter,6.0,breathingExercise,
False,1748787254.531942,dismissedAppOpening,Asia/Kolkata,twitter,6.0,breathingExercise,
False,1748788001.621745,openedApp,Asia/Kolkata,twitter,6.0,breathingExercise,Bored
False,1748788002.2247438,openedApp,Asia/Kolkata,twitter,6.0,breathingExercise,Bored
False,1748788460.243866,openedApp,Asia/Kolkata,twitter,6.0,breathingExercise,Message
False,1748789588.39577,dismissedAppOpening,Asia/Kolkata,twitter,6.0,breathingExercise,
False,1748794089.9452019,openedApp,Asia/Kolkata,twitter,6.0,breathingExercise,Stay In the Loop
False,1748795339.303344,dismissedAppOpening,Asia/Kolkata,twitter,6.0,breathingExercise,
False,1748795814.839766,dismissedAppOpening,Asia/Kolkata,twitter,6.0,breathingExercise,
False,1748795818.35223,dismissedAppOpening,Asia/Kolkata,twitter,6.0,breathingExercise,
False,1748797699.923197,openedApp,Asia/Kolkata,twitter,6.0,breathingExercise,Message
False,1748798084.930515,openedApp,Asia/Kolkata,youtube,,,
False,1748798984.930515,closedApp,Asia/Kolkata,youtube,,,
False,1748798984.930515,dismissedAppOpening,Asia/Kolkata,youtube,,,
False,1748799004.2789369,openedApp,Asia/Kolkata,twitter,6.0,breathingExercise,Stay In the Loop
False,1748799421.1807718,dismissedAppOpening,Asia/Kolkata,twitter,6.0,breathingExercise,
False,1748800123.5806952,dismissedAppOpening,Asia/Kolkata,twitter,6.0,breathingExercise,
False,1748800731.0646172,openedApp,Asia/Kolkata,twitter,6.0,breathingExercise,Stay In the Loop
False,1748802931.401232,dismissedAppOpening,Asia/Kolkata,twitter,6.0,breathingExercise,
False,1748803448.129206,openedApp,Asia/Kolkata,twitter,6.0,breathingExercise,Message
False,1748832299.572898,openedApp,Asia/Kolkata,twitter,6.0,breathingExercise,Message
False,1748834492.316869,dismissedAppOpening,Asia/Kolkata,twitter,6.0,breathingExercise,
False,1748836618.6775231,openedApp,Asia/Kolkata,twitter,6.0,breathingExercise,Message
False,1748836619.2514129,openedApp,Asia/Kolkata,twitter,6.0,breathingExercise,Message
False,1748837106.6872249,dismissedAppOpening,Asia/Kolkata,twitter,6.0,breathingExercise,
False,1748837288.098695,dismissedAppOpening,Asia/Kolkata,twitter,6.0,breathingExercise,
False,1748836604.872586,openedApp,Asia/Kolkata,youtube,,,
False,1748837504.872586,closedApp,Asia/Kolkata,youtube,,,
False,1748837504.872587,dismissedAppOpening,Asia/Kolkata,youtube,,,
False,1748837590.4678469,dismissedAppOpening,Asia/Kolkata,twitter,6.0,breathingExercise,
False,1748840209.730215,openedApp,Asia/Kolkata,twitter,6.0,breathingExercise,Entertainment
False,1748840344.3253279,openedApp,Asia/Kolkata,twitter,6.0,breathingExercise,Entertainment
False,1748842080.3436131,openedApp,Asia/Kolkata,twitter,6.0,breathingExercise,Post something
False,1748843212.378584,openedApp,Asia/Kolkata,twitter,6.0,breathingExercise,Escape / Avoid
False,1748844853.293322,openedApp,Asia/Kolkata,twitter,6.0,breathingExercise,Bored
False,1748844853.940023,openedApp,Asia/Kolkata,twitter,6.0,breathingExercise,Bored
False,1748845000.3906221,openedApp,Asia/Kolkata,twitter,6.0,breathingExercise,Escape / Avoid
False,1748845001.013013,openedApp,Asia/Kolkata,twitter,6.0,breathingExercise,Escape / Avoid
False,1748845214.6432981,openedApp,Asia/Kolkata,twitter,6.0,breathingExercise,Message
False,1748846030.0731258,openedApp,Asia/Kolkata,twitter,6.0,breathingExercise,Relax
False,1748846812.705584,openedApp,Asia/Kolkata,youtube,,,
False,1748847712.705584,closedApp,Asia/Kolkata,youtube,,,
False,1748847712.705584,dismissedAppOpening,Asia/Kolkata,youtube,,,
False,1748848154.517602,openedApp,Asia/Kolkata,twitter,6.0,breathingExercise,Escape / Avoid
False,1748848267.154495,openedApp,Asia/Kolkata,youtube,6.0,breathingExercise,Escape / Avoid
False,1748847372.1884398,openedApp,Asia/Kolkata,youtube,,,
False,1748848272.1884398,closedApp,Asia/Kolkata,youtube,,,
False,1748848272.1884398,dismissedAppOpening,Asia/Kolkata,youtube,,,
False,1748847409.021291,openedApp,Asia/Kolkata,youtube,,,
False,1748848309.021291,closedApp,Asia/Kolkata,youtube,,,
False,1748848309.021291,dismissedAppOpening,Asia/Kolkata,youtube,,,
False,1748847436.163536,openedApp,Asia/Kolkata,youtube,,,
False,1748848336.163537,closedApp,Asia/Kolkata,youtube,,,
False,1748848336.163537,dismissedAppOpening,Asia/Kolkata,youtube,,,
False,1748847450.725438,openedApp,Asia/Kolkata,youtube,,,
False,1748848350.725439,closedApp,Asia/Kolkata,youtube,,,
False,1748848350.725439,dismissedAppOpening,Asia/Kolkata,youtube,,,
False,1748847503.752183,openedApp,Asia/Kolkata,youtube,,,
False,1748848403.752183,closedApp,Asia/Kolkata,youtube,,,
False,1748848403.752183,dismissedAppOpening,Asia/Kolkata,youtube,,,
False,1748847550.990104,openedApp,Asia/Kolkata,youtube,,,
False,1748848450.990104,closedApp,Asia/Kolkata,youtube,,,
False,1748848450.9901052,dismissedAppOpening,Asia/Kolkata,youtube,,,
False,1748847561.87217,openedApp,Asia/Kolkata,youtube,,,
False,1748848461.872171,closedApp,Asia/Kolkata,youtube,,,
False,1748848461.872171,dismissedAppOpening,Asia/Kolkata,youtube,,,
False,1748848502.474951,dismissedAppOpening,Asia/Kolkata,twitter,6.0,breathingExercise,
False,1748848586.680097,dismissedAppOpening,Asia/Kolkata,twitter,6.0,breathingExercise,
False,1748848589.495127,dismissedAppOpening,Asia/Kolkata,twitter,6.0,breathingExercise,
