timezone,interventionType,isReIntervention,app,resolution,timestamp,interventionDuration,purpose,timeIntervalUntilReIntervention
Europe/Brussels,breathingExercise,False,instagram,dismissedAppOpening,1750806811.436027,6.0,,
Europe/Brussels,breathingExercise,False,youtube,dismissedAppOpening,1750806964.5920038,6.0,,
Europe/Brussels,breathingExercise,False,instagram,dismissedAppOpening,1750807581.918539,6.0,,
Europe/Brussels,breathingExercise,False,pinterest,dismissedAppOpening,1750808008.580843,6.0,,
Europe/Brussels,breathingExercise,False,youtube,dismissedAppOpening,1750808031.500156,6.0,,
Europe/Brussels,breathingExercise,False,instagram,dismissedAppOpening,1750839829.205731,6.0,,
Europe/Brussels,breathingExercise,False,instagram,dismissedAppOpening,1750842157.212112,6.0,,
Europe/Brussels,breathingExercise,False,instagram,dismissedAppOpening,1750842556.82867,6.0,,
Europe/Brussels,breathingExercise,False,youtube,openedApp,1750844082.36502,6.0,Search Info,
Europe/Brussels,breathingExercise,False,youtube,openedApp,1750844318.181536,6.0,Search Info,
Europe/Brussels,breathingExercise,False,instagram,dismissedAppOpening,1750848386.901846,6.0,,
Europe/Brussels,breathingExercise,False,instagram,dismissedAppOpening,1750848404.53509,6.0,,
Europe/Brussels,breathingExercise,False,instagram,openedApp,1750851631.5357199,6.0,Message,60.0
Europe/Brussels,breathingExercise,False,youtube,dismissedAppOpening,1750856184.55352,6.0,,
Europe/Brussels,breathingExercise,False,youtube,dismissedAppOpening,1750861005.731336,6.0,,
Europe/Brussels,breathingExercise,False,youtube,dismissedAppOpening,1750861079.964474,6.0,,
Europe/Brussels,breathingExercise,False,youtube,openedApp,1750861166.266238,6.0,Escape / Avoid,
Europe/Brussels,breathingExercise,False,youtube,openedApp,1750861596.200306,6.0,Escape / Avoid,
Europe/Brussels,breathingExercise,False,instagram,openedApp,1750864513.7702088,6.0,Message,60.0
Europe/Brussels,breathingExercise,False,youtube,dismissedAppOpening,1750864674.0651,6.0,,
Europe/Brussels,breathingExercise,False,instagram,openedApp,1750865143.209904,6.0,Message,300.0
Europe/Brussels,breathingExercise,False,instagram,dismissedAppOpening,1750869682.1773229,6.0,,
Europe/Brussels,breathingExercise,False,instagram,dismissedAppOpening,1750869684.192558,6.0,,
Europe/Brussels,breathingExercise,False,instagram,openedApp,1750872186.4370198,6.0,Message,300.0
Europe/Brussels,breathingExercise,False,instagram,dismissedAppOpening,1750874370.019366,6.0,,
Europe/Brussels,breathingExercise,False,youtube,dismissedAppOpening,1750878398.7516441,6.0,,
Europe/Brussels,breathingExercise,False,youtube,openedApp,1750878659.695743,6.0,Search Info,
Europe/Brussels,breathingExercise,False,youtube,openedApp,1750878991.5898619,6.0,Search Info,
Europe/Brussels,breathingExercise,False,youtube,dismissedAppOpening,1750879465.241857,6.0,,
Europe/Brussels,breathingExercise,False,instagram,openedApp,1750881643.8158631,6.0,Message,60.0
Europe/Brussels,breathingExercise,False,instagram,openedApp,1750884602.73172,6.0,Message,180.0
Europe/Brussels,breathingExercise,False,instagram,dismissedAppOpening,1750887495.4061332,6.0,,
Europe/Brussels,breathingExercise,False,instagram,openedApp,1750889372.4205189,6.0,Message,600.0
Europe/Brussels,breathingExercise,False,instagram,openedApp,1750889416.741218,6.0,Message,600.0
Europe/Brussels,breathingExercise,False,pinterest,openedApp,1750925510.300016,6.0,Search Info,
Europe/Brussels,breathingExercise,False,instagram,dismissedAppOpening,1750928372.795445,6.0,,
Europe/Brussels,breathingExercise,False,instagram,openedApp,1750928399.983484,6.0,Message,60.0
Europe/Brussels,structured,False,instagram,dismissedByStructuredIntervention,1750928400.696323,,,
Europe/Brussels,structured,False,instagram,dismissedByStructuredIntervention,1750928423.034772,,,
Europe/Brussels,structured,False,youtube,dismissedByStructuredIntervention,1750929473.148474,,,
Europe/Brussels,structured,False,youtube,dismissedByStructuredIntervention,1750929526.81461,,,
Europe/Brussels,structured,False,youtube,dismissedByStructuredIntervention,1750929533.589971,,,
Europe/Brussels,structured,False,youtube,dismissedByStructuredIntervention,1750929584.6245399,,,
Europe/Brussels,structured,False,youtube,dismissedByStructuredIntervention,1750929592.4969,,,
Europe/Brussels,structured,False,youtube,dismissedByStructuredIntervention,1750929608.577146,,,
Europe/Brussels,breathingExercise,False,youtube,openedApp,1750929763.6014528,6.0,Search Info,300.0
Europe/Brussels,breathingExercise,False,youtube,openedApp,1750930869.682111,6.0,Search Info,480.0
Europe/Brussels,breathingExercise,False,instagram,openedApp,1750935867.5979939,6.0,Message,60.0
Europe/Brussels,breathingExercise,False,instagram,dismissedAppOpening,1750935922.562379,6.0,,
Europe/Brussels,breathingExercise,False,instagram,dismissedAppOpening,1750936058.1441,6.0,,
Europe/Brussels,breathingExercise,False,youtube,openedApp,1750972919.706305,6.0,Entertainment,180.0
Europe/Brussels,breathingExercise,False,youtube,dismissedAppOpening,1750973000.2046509,6.0,,
Europe/Brussels,breathingExercise,False,pinterest,dismissedAppOpening,1751008624.157874,6.0,,
Europe/Brussels,breathingExercise,False,instagram,dismissedAppOpening,1751022157.832422,6.0,,
Europe/Brussels,structured,False,instagram,dismissedByStructuredIntervention,1751041554.5822759,,,
Europe/Brussels,structured,False,instagram,dismissedByStructuredIntervention,1751041562.464839,,,
Europe/Brussels,breathingExercise,False,instagram,dismissedAppOpening,1751041577.166051,6.0,,
Europe/Brussels,structured,False,instagram,dismissedByStructuredIntervention,1751041577.218453,,,
Europe/Brussels,breathingExercise,False,instagram,openedApp,1751041606.496577,6.0,Post something,300.0
Europe/Brussels,breathingExercise,True,instagram,openedApp,1751042031.300191,6.0,Post something,420.0
Europe/Brussels,breathingExercise,False,instagram,dismissedAppOpening,1751042326.387339,6.0,,
Europe/Brussels,breathingExercise,False,instagram,openedApp,1751051803.2625952,6.0,Message,600.0
Europe/Brussels,breathingExercise,False,instagram,openedApp,1751052968.13229,6.0,Post something,600.0
Europe/Brussels,breathingExercise,False,instagram,openedApp,1751059546.532506,6.0,Entertainment,540.0
Europe/Brussels,breathingExercise,False,instagram,openedApp,1751059979.449623,6.0,Entertainment,600.0
Europe/Brussels,breathingExercise,False,instagram,openedApp,1751060668.525686,6.0,Entertainment,60.0
Europe/Brussels,breathingExercise,False,instagram,openedApp,1751061449.4166799,6.0,Entertainment,600.0
Europe/Brussels,breathingExercise,False,instagram,openedApp,1751061847.863323,6.0,Entertainment,600.0
Europe/Brussels,breathingExercise,False,instagram,openedApp,1751062265.5086222,6.0,Entertainment,300.0
Europe/Brussels,breathingExercise,False,youtube,dismissedAppOpening,1751072223.1759539,6.0,,
Europe/Brussels,breathingExercise,False,youtube,openedApp,1751072312.1443748,6.0,Can’t sleep,600.0
Europe/Brussels,breathingExercise,True,youtube,openedApp,1751072958.39355,6.0,Can’t sleep,600.0
Europe/Brussels,breathingExercise,False,youtube,openedApp,1751095579.557405,6.0,Entertainment,600.0
Europe/Brussels,breathingExercise,False,youtube,openedApp,1751095805.207583,6.0,Can’t sleep,600.0
Europe/Brussels,breathingExercise,True,youtube,openedApp,1751096435.9211211,6.0,Can’t sleep,600.0
Europe/Brussels,breathingExercise,False,youtube,openedApp,1751103566.311531,6.0,Search Info,600.0
Europe/Brussels,breathingExercise,False,youtube,dismissedAppOpening,1751104143.761014,6.0,,
Europe/Brussels,breathingExercise,False,youtube,dismissedAppOpening,1751104294.1108022,6.0,,
Europe/Brussels,breathingExercise,False,youtube,dismissedAppOpening,1751104362.616945,6.0,,
Europe/Brussels,breathingExercise,False,instagram,openedApp,1751156638.971102,6.0,Entertainment,600.0
Europe/Brussels,breathingExercise,True,instagram,openedApp,1751157261.178203,6.0,Entertainment,600.0
Europe/Brussels,breathingExercise,True,instagram,openedApp,1751157879.341157,6.0,Entertainment,600.0
Europe/Brussels,breathingExercise,False,instagram,openedApp,1751158634.143578,6.0,Entertainment,600.0
Europe/Brussels,breathingExercise,True,instagram,openedApp,1751159259.728447,6.0,Entertainment,600.0
Europe/Brussels,breathingExercise,True,instagram,openedApp,1751159873.1585898,6.0,Entertainment,600.0
Europe/Brussels,breathingExercise,False,instagram,openedApp,1751160674.2780452,6.0,Entertainment,600.0
Europe/Brussels,breathingExercise,True,instagram,openedApp,1751161299.683353,6.0,Entertainment,600.0
Europe/Brussels,breathingExercise,True,instagram,openedApp,1751161917.83603,6.0,Entertainment,600.0
Europe/Brussels,breathingExercise,False,instagram,openedApp,1751162614.366183,6.0,Entertainment,600.0
Europe/Brussels,breathingExercise,False,youtube,dismissedAppOpening,1751163229.971839,6.0,,
Europe/Brussels,breathingExercise,False,youtube,openedApp,1751163277.2866821,6.0,Entertainment,1800.0
Europe/Brussels,breathingExercise,False,youtube,openedApp,1751179950.847382,6.0,Can’t sleep,1800.0
Europe/Brussels,breathingExercise,False,youtube,dismissedAppOpening,1751181201.828429,6.0,,
Europe/Brussels,breathingExercise,False,youtube,openedApp,1751181231.808199,6.0,Entertainment,1800.0
Europe/Brussels,breathingExercise,False,instagram,dismissedAppOpening,1751186046.145513,6.0,,
Europe/Brussels,breathingExercise,False,instagram,dismissedAppOpening,1751186236.122141,6.0,,
Europe/Brussels,breathingExercise,False,instagram,dismissedAppOpening,1751186308.577205,6.0,,
Europe/Brussels,breathingExercise,False,instagram,dismissedAppOpening,1751187902.130274,6.0,,
Europe/Brussels,breathingExercise,False,instagram,dismissedAppOpening,1751187959.695375,6.0,,
Europe/Brussels,breathingExercise,False,instagram,dismissedAppOpening,1751187998.632566,6.0,,
Europe/Brussels,breathingExercise,False,youtube,dismissedAppOpening,1751193654.0034451,6.0,,
Europe/Brussels,breathingExercise,False,youtube,dismissedAppOpening,1751193657.9694428,6.0,,
Europe/Brussels,breathingExercise,False,youtube,openedApp,1751193678.831675,6.0,Search Info,900.0
Europe/Brussels,breathingExercise,False,instagram,openedApp,1751202345.2594419,6.0,Entertainment,600.0
Europe/Brussels,breathingExercise,False,youtube,openedApp,1751210579.399082,6.0,Search Info,960.0
Europe/Brussels,breathingExercise,False,youtube,dismissedAppOpening,1751210913.8079882,6.0,,
