interventionDuration,resolution,timestamp,isReIntervention,timezone,interventionType,app
6,dismissedAppOpening,1752916702.552353,False,Europe/London,breathingExercise,tikTok
6,dismissedAppOpening,1752931593.01619,False,Europe/London,breathingExercise,tikTok
6,openedApp,1752952871.916291,False,Europe/London,breathingExercise,tikTok
6,dismissedAppOpening,1753003552.183782,False,Europe/London,breathingExercise,tikTok
6,openedApp,1753003974.117172,False,Europe/London,breathingExercise,tikTok
6,dismissedAppOpening,1753015925.37614,False,Europe/London,breathingExercise,tikTok
6,openedApp,1753016785.106549,False,Europe/London,breathingExercise,tikTok
6,openedApp,1753017122.689831,False,Europe/London,breathingExercise,tikTok
6,dismissedAppOpening,1753018011.247046,False,Europe/London,breathingExercise,tikTok
6,openedApp,1753018029.555409,False,Europe/London,breathingExercise,tikTok
6,openedApp,1753018424.052932,False,Europe/London,breathingExercise,tikTok
6,dismissedAppOpening,1753090565.1251059,False,Europe/London,breathingExercise,tikTok
6,openedApp,1753092233.460421,False,Europe/London,breathingExercise,tikTok
6,dismissedAppOpening,1753098065.664737,False,Europe/London,breathingExercise,tikTok
6,openedApp,1753139380.763832,False,Europe/London,breathingExercise,tikTok
6,dismissedAppOpening,1753140058.236799,False,Europe/London,breathingExercise,tikTok
6,dismissedAppOpening,1753143949.4540591,False,Europe/London,breathingExercise,tikTok
6,openedApp,1753174288.238606,False,Europe/London,breathingExercise,tikTok
6,dismissedAppOpening,1753177650.162644,False,Europe/London,breathingExercise,tikTok
6,openedApp,1753186039.970736,False,Europe/London,breathingExercise,tikTok
6,dismissedAppOpening,1753221818.117336,False,Europe/London,breathingExercise,tikTok
6,openedApp,1753222373.652816,False,Europe/London,breathingExercise,tikTok
6,openedApp,1753223161.764749,False,Europe/London,breathingExercise,tikTok
6,dismissedAppOpening,1753223970.229188,False,Europe/London,breathingExercise,tikTok
6,openedApp,1753224227.7383661,False,Europe/London,breathingExercise,tikTok
6,openedApp,1753224341.57312,False,Europe/London,breathingExercise,tikTok
6,openedApp,1753224380.492711,False,Europe/London,breathingExercise,tikTok
6,dismissedAppOpening,1753349298.301044,False,Europe/London,breathingExercise,tikTok
6,openedApp,1753350006.905566,False,Europe/London,breathingExercise,tikTok
6,dismissedAppOpening,1753351624.644308,False,Europe/London,breathingExercise,tikTok
6,openedApp,1753354779.227639,False,Europe/London,breathingExercise,tikTok
6,openedApp,1753366761.578474,False,Europe/London,breathingExercise,tikTok
6,openedApp,1753392146.524716,False,Europe/London,breathingExercise,tikTok
6,openedApp,1753394242.400354,False,Europe/London,breathingExercise,tikTok
6,dismissedAppOpening,1753445985.271338,False,Europe/London,breathingExercise,tikTok
6,dismissedAppOpening,1753446508.5176501,False,Europe/London,breathingExercise,tikTok
6,openedApp,1753446789.5656571,False,Europe/London,breathingExercise,tikTok
6,openedApp,1753459401.970825,False,Europe/London,breathingExercise,tikTok
6,openedApp,1753468731.110987,False,Europe/London,breathingExercise,tikTok
6,openedApp,1753533801.654908,False,Europe/London,breathingExercise,tikTok
6,openedApp,1753534719.6098351,False,Europe/London,breathingExercise,tikTok
6,openedApp,1753616562.6127229,False,Europe/London,breathingExercise,tikTok
6,openedApp,1753616889.698293,False,Europe/London,breathingExercise,tikTok
6,openedApp,1753647764.6415582,False,Europe/London,breathingExercise,tikTok
6,dismissedAppOpening,1753697354.806202,False,Europe/London,breathingExercise,tikTok
6,openedApp,1753698412.0174289,False,Europe/London,breathingExercise,tikTok
6,openedApp,1753699394.904652,False,Europe/London,breathingExercise,tikTok
6,dismissedAppOpening,1753699464.74294,False,Europe/London,breathingExercise,tikTok
6,dismissedAppOpening,1753700311.429613,False,Europe/London,breathingExercise,tikTok
6,openedApp,1753714563.044646,False,Europe/London,breathingExercise,tikTok
6,openedApp,1753743568.476367,False,Europe/London,breathingExercise,tikTok
6,dismissedAppOpening,1753780354.808093,False,Europe/London,breathingExercise,tikTok
6,openedApp,1753800258.977191,False,Europe/London,breathingExercise,tikTok
6,openedApp,1753894079.2267241,False,Europe/London,breathingExercise,tikTok
6,openedApp,1753894813.4219198,False,Europe/London,breathingExercise,tikTok
6,openedApp,1753974726.521463,False,Europe/London,breathingExercise,tikTok
6,openedApp,1754037421.880969,False,Europe/London,breathingExercise,tikTok
6,dismissedAppOpening,1754038605.138416,False,Europe/London,breathingExercise,tikTok
6,dismissedAppOpening,1754047139.505938,False,Europe/London,breathingExercise,tikTok
6,dismissedAppOpening,1754047153.171781,False,Europe/London,breathingExercise,tikTok
6,dismissedAppOpening,1754051300.66395,False,Europe/London,breathingExercise,tikTok
6,openedApp,1754089124.91083,False,Europe/London,breathingExercise,tikTok
6,openedApp,1754163275.09431,False,Europe/London,breathingExercise,tikTok
6,dismissedAppOpening,1754226747.779531,False,Europe/London,breathingExercise,tikTok
