interventionDuration,timezone,isReIntervention,app,resolution,interventionType,timestamp,timeIntervalUntilReIntervention
6,Europe/Berlin,False,instagram,openedApp,breathingExercise,1752225954.5189009,
6,Europe/Berlin,False,instagram,openedApp,breathingExercise,1752226086.608654,600.0
6,Europe/Berlin,True,instagram,openedApp,breathingExercise,1752226718.45312,360.0
6,Europe/Berlin,False,instagram,dismissedAppOpening,breathingExercise,1752256551.97999,
6,Europe/Berlin,False,instagram,openedApp,breathingExercise,1752269301.535094,600.0
6,Europe/Berlin,False,instagram,openedApp,breathingExercise,1752269587.4311209,600.0
6,Europe/Berlin,False,instagram,dismissedAppOpening,breathingExercise,1752297972.827801,
6,Europe/Berlin,False,instagram,dismissedAppOpening,breathingExercise,1752311280.239133,
6,Europe/Berlin,False,instagram,openedApp,breathingExercise,1752322078.495352,600.0
6,Europe/Berlin,False,instagram,openedApp,breathingExercise,1752339108.5147161,600.0
6,Europe/Berlin,True,instagram,openedApp,breathingExercise,1752339732.6948838,360.0
6,Europe/Berlin,False,instagram,openedApp,breathingExercise,1752345769.798459,600.0
6,Europe/Berlin,False,instagram,openedApp,breathingExercise,1752354896.907018,600.0
6,Europe/Berlin,True,instagram,openedApp,breathingExercise,1752355520.923376,600.0
6,Europe/Berlin,False,instagram,dismissedAppOpening,breathingExercise,1752357276.566077,
6,Europe/Berlin,False,instagram,openedApp,breathingExercise,1752393698.564886,600.0
6,Europe/Berlin,False,instagram,dismissedAppOpening,breathingExercise,1752394114.835372,
6,Europe/Berlin,False,instagram,openedApp,breathingExercise,1752398538.2943292,600.0
6,Europe/Berlin,False,instagram,openedApp,breathingExercise,1752416833.31763,600.0
6,Europe/Berlin,False,instagram,openedApp,breathingExercise,1752421942.208848,600.0
6,Europe/Berlin,False,instagram,dismissedAppOpening,breathingExercise,1752422258.211,
6,Europe/Berlin,False,instagram,openedApp,breathingExercise,1752422283.055335,600.0
6,Europe/Berlin,False,instagram,openedApp,breathingExercise,1752422310.986999,360.0
6,Europe/Berlin,False,instagram,openedApp,breathingExercise,1752434958.674083,600.0
6,Europe/Berlin,False,instagram,openedApp,breathingExercise,1752441648.421458,360.0
6,Europe/Berlin,False,instagram,openedApp,breathingExercise,1752442048.381374,300.0
6,Europe/Berlin,False,instagram,openedApp,breathingExercise,1752500640.190837,600.0
6,Europe/Berlin,True,instagram,openedApp,breathingExercise,1752501264.9187741,360.0
6,Europe/Berlin,False,instagram,openedApp,breathingExercise,1752505581.724123,480.0
6,Europe/Berlin,False,instagram,openedApp,breathingExercise,1752519366.249099,600.0
6,Europe/Berlin,False,instagram,openedApp,breathingExercise,1752519962.365588,360.0
6,Europe/Berlin,False,instagram,dismissedAppOpening,breathingExercise,1752520272.7375178,
6,Europe/Berlin,False,instagram,dismissedAppOpening,breathingExercise,1752520275.7368631,
6,Europe/Berlin,False,instagram,openedApp,breathingExercise,1752520295.8190532,600.0
6,Europe/Berlin,False,instagram,openedApp,breathingExercise,1752524880.647577,600.0
6,Europe/Berlin,False,instagram,openedApp,breathingExercise,1752558111.2605429,600.0
6,Europe/Berlin,False,instagram,openedApp,breathingExercise,1752581862.5110478,600.0
6,Europe/Berlin,False,instagram,openedApp,breathingExercise,1752590313.1541471,300.0
6,Europe/Berlin,True,instagram,openedApp,breathingExercise,1752590649.5373058,600.0
6,Europe/Berlin,False,instagram,openedApp,breathingExercise,1752590733.82515,600.0
6,Europe/Berlin,False,instagram,openedApp,breathingExercise,1752595836.083278,600.0
6,Europe/Berlin,False,instagram,openedApp,breathingExercise,1752607634.203907,600.0
6,Europe/Berlin,False,instagram,openedApp,breathingExercise,1752608718.156196,600.0
6,Europe/Berlin,False,instagram,openedApp,breathingExercise,1752620914.263554,600.0
6,Europe/Berlin,True,instagram,openedApp,breathingExercise,1752621549.4439812,600.0
6,Europe/Berlin,False,instagram,openedApp,breathingExercise,1752680495.620682,600.0
6,Europe/Berlin,False,instagram,openedApp,breathingExercise,1752681436.863198,600.0
6,Europe/Berlin,False,instagram,dismissedAppOpening,breathingExercise,1752681531.526056,
6,Europe/Berlin,False,instagram,dismissedAppOpening,breathingExercise,1752681545.75965,
6,Europe/Berlin,False,instagram,dismissedAppOpening,breathingExercise,1752692015.768451,
6,Europe/Berlin,False,instagram,openedApp,breathingExercise,1752696137.107835,600.0
6,Europe/Berlin,False,instagram,dismissedAppOpening,breathingExercise,1752696172.424526,
6,Europe/Berlin,False,instagram,dismissedAppOpening,breathingExercise,1752759626.640356,
6,Europe/Berlin,False,instagram,openedApp,breathingExercise,1752780410.2665858,600.0
6,Europe/Berlin,True,instagram,openedApp,breathingExercise,1752781146.8199348,600.0
6,Europe/Berlin,True,instagram,openedApp,breathingExercise,1752781768.706551,600.0
6,Europe/Berlin,False,instagram,dismissedAppOpening,breathingExercise,1752781924.3721051,
6,Europe/Berlin,False,instagram,openedApp,breathingExercise,1752782038.639991,600.0
6,Europe/Berlin,False,instagram,openedApp,breathingExercise,1752782097.755883,600.0
6,Europe/Berlin,False,instagram,openedApp,breathingExercise,1752782132.251927,60.0
6,Europe/Berlin,False,instagram,openedApp,breathingExercise,1752782907.403153,600.0
6,Europe/Berlin,False,instagram,openedApp,breathingExercise,1752783217.637341,600.0
6,Europe/Berlin,True,instagram,openedApp,breathingExercise,1752783850.710774,600.0
6,Europe/Berlin,False,instagram,openedApp,breathingExercise,1752793262.310426,600.0
6,Europe/Berlin,False,instagram,openedApp,breathingExercise,1752845188.604179,600.0
6,Europe/Berlin,False,instagram,openedApp,breathingExercise,1752845287.164414,600.0
6,Europe/Berlin,False,instagram,dismissedAppOpening,breathingExercise,1752845354.668477,
6,Europe/Berlin,False,instagram,dismissedAppOpening,breathingExercise,1752845544.648649,
6,Europe/Berlin,False,instagram,openedApp,breathingExercise,1752878033.69003,600.0
6,Europe/Berlin,False,instagram,openedApp,breathingExercise,1752900582.652924,600.0
6,Europe/Berlin,False,instagram,openedApp,breathingExercise,1752908075.618556,360.0
6,Europe/Berlin,False,instagram,openedApp,breathingExercise,1752916709.987397,600.0
6,Europe/Berlin,True,instagram,openedApp,breathingExercise,1752917337.5712152,600.0
6,Europe/Berlin,False,instagram,dismissedAppOpening,breathingExercise,1752917785.725853,
6,Europe/Berlin,False,instagram,openedApp,breathingExercise,1752927246.5682402,600.0
6,Europe/Berlin,False,instagram,openedApp,breathingExercise,1752927341.19458,600.0
6,Europe/Berlin,False,instagram,openedApp,breathingExercise,1752932686.5710669,600.0
6,Europe/Berlin,False,instagram,openedApp,breathingExercise,1752941872.226129,600.0
6,Europe/Berlin,True,instagram,openedApp,breathingExercise,1752942493.2384129,600.0
6,Europe/Berlin,True,instagram,openedApp,breathingExercise,1752943112.581071,300.0
6,Europe/Berlin,False,instagram,openedApp,breathingExercise,1753304460.596328,600.0
6,Europe/Berlin,False,instagram,openedApp,breathingExercise,1753304841.259368,600.0
6,Europe/Berlin,False,instagram,openedApp,breathingExercise,1753304977.215886,600.0
6,Europe/Berlin,False,instagram,dismissedAppOpening,breathingExercise,1753305303.8664231,
6,Europe/Berlin,False,instagram,openedApp,breathingExercise,1753364728.628046,600.0
6,Europe/Berlin,False,instagram,dismissedAppOpening,breathingExercise,1753365496.020053,
6,Europe/Berlin,False,instagram,openedApp,breathingExercise,1753375755.3184981,600.0
6,Europe/Berlin,False,instagram,openedApp,breathingExercise,1753383190.404488,600.0
6,Europe/Berlin,True,instagram,openedApp,breathingExercise,1753383813.9686642,600.0
6,Europe/Berlin,False,instagram,openedApp,breathingExercise,1753430353.329447,600.0
6,Europe/Berlin,False,instagram,openedApp,breathingExercise,1753464246.653548,600.0
6,Europe/Berlin,False,instagram,dismissedAppOpening,breathingExercise,1753464247.083102,
6,Europe/Berlin,False,instagram,dismissedAppOpening,breathingExercise,1753465003.657309,
6,Europe/Berlin,False,instagram,dismissedAppOpening,breathingExercise,1753465005.786618,
6,Europe/Berlin,False,instagram,dismissedAppOpening,breathingExercise,1753469709.0497022,
6,Europe/Berlin,False,instagram,openedApp,breathingExercise,1753469910.635023,600.0
6,Europe/Berlin,False,instagram,openedApp,breathingExercise,1753471925.5082831,600.0
6,Europe/Berlin,False,instagram,openedApp,breathingExercise,1753472798.793057,600.0
6,Europe/Berlin,False,instagram,openedApp,breathingExercise,1753475289.6425219,600.0
6,Europe/Berlin,False,instagram,openedApp,breathingExercise,1753476927.602923,600.0
6,Europe/Berlin,False,instagram,openedApp,breathingExercise,1753477820.188437,600.0
6,Europe/Berlin,True,instagram,openedApp,breathingExercise,1753478444.242228,600.0
6,Europe/Berlin,False,instagram,openedApp,breathingExercise,1753511298.364341,600.0
6,Europe/Berlin,True,instagram,openedApp,breathingExercise,1753511919.5346189,600.0
6,Europe/Berlin,False,instagram,openedApp,breathingExercise,1753525133.783441,600.0
6,Europe/Berlin,False,instagram,openedApp,breathingExercise,1753526235.397235,600.0
6,Europe/Berlin,False,instagram,openedApp,breathingExercise,1753528949.93451,600.0
6,Europe/Berlin,False,instagram,dismissedAppOpening,breathingExercise,1753529297.073169,
6,Europe/Berlin,False,instagram,openedApp,breathingExercise,1753531810.474825,600.0
6,Europe/Berlin,False,instagram,openedApp,breathingExercise,1753532137.705608,600.0
6,Europe/Berlin,False,instagram,openedApp,breathingExercise,1753533293.364872,600.0
6,Europe/Berlin,False,instagram,openedApp,breathingExercise,1753536946.814203,600.0
6,Europe/Berlin,False,instagram,openedApp,breathingExercise,1753538112.203174,600.0
6,Europe/Berlin,False,instagram,openedApp,breathingExercise,1753540124.2193031,600.0
6,Europe/Berlin,False,instagram,openedApp,breathingExercise,1753551124.3309522,600.0
6,Europe/Berlin,False,instagram,openedApp,breathingExercise,1753592540.883047,600.0
6,Europe/Berlin,False,instagram,openedApp,breathingExercise,1753598583.99757,600.0
6,Europe/Berlin,False,instagram,dismissedAppOpening,breathingExercise,1753598951.608813,
6,Europe/Berlin,False,instagram,dismissedAppOpening,breathingExercise,1753598955.328697,
6,Europe/Berlin,False,instagram,dismissedAppOpening,breathingExercise,1753607654.999568,
6,Europe/Berlin,False,instagram,openedApp,breathingExercise,1753612471.070981,600.0
6,Europe/Berlin,False,instagram,dismissedAppOpening,breathingExercise,1753623189.227215,
6,Europe/Berlin,False,instagram,openedApp,breathingExercise,1753623215.2299619,600.0
6,Europe/Berlin,False,instagram,openedApp,breathingExercise,1753625006.464839,600.0
6,Europe/Berlin,False,instagram,openedApp,breathingExercise,1753625354.664001,600.0
6,Europe/Berlin,False,instagram,openedApp,breathingExercise,1753632549.8305202,600.0
6,Europe/Berlin,False,instagram,dismissedAppOpening,breathingExercise,1753638900.660835,
6,Europe/Berlin,False,instagram,openedApp,breathingExercise,1753647824.287763,600.0
6,Europe/Berlin,False,instagram,openedApp,breathingExercise,1753691229.569769,600.0
6,Europe/Berlin,False,instagram,openedApp,breathingExercise,1753691876.824053,600.0
6,Europe/Berlin,False,instagram,dismissedAppOpening,breathingExercise,1753692875.1370258,
6,Europe/Berlin,False,instagram,openedApp,breathingExercise,1753719451.454145,600.0
6,Europe/Berlin,False,instagram,openedApp,breathingExercise,1753731248.8161159,600.0
6,Europe/Berlin,False,instagram,dismissedAppOpening,breathingExercise,1753731663.726942,
6,Europe/Berlin,False,instagram,openedApp,breathingExercise,1753731760.618319,600.0
6,Europe/Berlin,False,instagram,openedApp,breathingExercise,1753735930.094579,600.0
6,Europe/Berlin,False,instagram,openedApp,breathingExercise,1753736703.989861,600.0
6,Europe/Berlin,False,instagram,openedApp,breathingExercise,1753792138.763273,600.0
6,Europe/Berlin,False,instagram,openedApp,breathingExercise,1753792766.425899,600.0
6,Europe/Berlin,True,instagram,openedApp,breathingExercise,1753793382.220484,600.0
6,Europe/Berlin,True,instagram,openedApp,breathingExercise,1753794001.4040642,600.0
6,Europe/Berlin,False,instagram,openedApp,breathingExercise,1753802488.339583,600.0
6,Europe/Berlin,False,instagram,openedApp,breathingExercise,1753803061.032017,600.0
6,Europe/Berlin,False,instagram,openedApp,breathingExercise,1753816369.630728,600.0
6,Europe/Berlin,False,instagram,openedApp,breathingExercise,1753817263.008967,600.0
6,Europe/Berlin,False,instagram,openedApp,breathingExercise,1753817372.68579,600.0
6,Europe/Berlin,False,instagram,openedApp,breathingExercise,1753817497.2126598,600.0
6,Europe/Berlin,True,instagram,openedApp,breathingExercise,1753818118.470866,600.0
6,Europe/Berlin,False,instagram,openedApp,breathingExercise,1753886891.5200648,600.0
6,Europe/Berlin,False,instagram,openedApp,breathingExercise,1753888877.922499,600.0
6,Europe/Berlin,False,instagram,openedApp,breathingExercise,1753889772.223171,600.0
6,Europe/Berlin,False,instagram,dismissedAppOpening,breathingExercise,1753892951.439289,
6,Europe/Berlin,False,instagram,openedApp,breathingExercise,1753911642.560214,600.0
6,Europe/Berlin,False,instagram,dismissedAppOpening,breathingExercise,1753912013.033692,
6,Europe/Berlin,False,instagram,openedApp,breathingExercise,1753912946.989966,480.0
6,Europe/Berlin,True,instagram,openedApp,breathingExercise,1753913456.874222,600.0
6,Europe/Berlin,False,instagram,dismissedAppOpening,breathingExercise,1753976168.830298,
6,Europe/Berlin,False,instagram,dismissedAppOpening,breathingExercise,1753976207.5618792,
6,Europe/Berlin,False,instagram,dismissedAppOpening,breathingExercise,1753976505.2646298,
6,Europe/Berlin,False,instagram,openedApp,breathingExercise,1754007431.660604,600.0
6,Europe/Berlin,False,instagram,openedApp,breathingExercise,1754061055.467464,600.0
6,Europe/Berlin,True,instagram,openedApp,breathingExercise,1754061694.898714,600.0
6,Europe/Berlin,False,instagram,openedApp,breathingExercise,1754062582.085166,600.0
6,Europe/Berlin,False,instagram,dismissedAppOpening,breathingExercise,1754063238.6639938,
6,Europe/Berlin,False,instagram,dismissedAppOpening,breathingExercise,1754063242.523717,
6,Europe/Berlin,False,instagram,dismissedAppOpening,breathingExercise,1754063245.633671,
6,Europe/Berlin,False,instagram,dismissedAppOpening,breathingExercise,1754064955.440545,
6,Europe/Berlin,False,instagram,openedApp,breathingExercise,1754075556.0317879,600.0
6,Europe/Berlin,False,instagram,dismissedAppOpening,breathingExercise,1754075812.432808,
6,Europe/Berlin,False,instagram,openedApp,breathingExercise,1754076629.434242,600.0
6,Europe/Berlin,False,instagram,dismissedAppOpening,breathingExercise,1754076837.3006558,
6,Europe/Berlin,False,instagram,openedApp,breathingExercise,1754077049.6937342,600.0
6,Europe/Berlin,False,instagram,openedApp,breathingExercise,1754084539.646812,600.0
6,Europe/Berlin,False,instagram,openedApp,breathingExercise,1754084665.5237,600.0
6,Europe/Berlin,False,instagram,openedApp,breathingExercise,1754126879.19677,600.0
6,Europe/Berlin,False,instagram,dismissedAppOpening,breathingExercise,1754132248.282357,
6,Europe/Berlin,False,instagram,dismissedAppOpening,breathingExercise,1754155205.221418,
6,Europe/Berlin,False,instagram,openedApp,breathingExercise,1754155282.499045,600.0
6,Europe/Berlin,False,instagram,openedApp,breathingExercise,1754155629.3462539,600.0
6,Europe/Berlin,False,instagram,openedApp,breathingExercise,1754155847.169224,600.0
6,Europe/Berlin,False,instagram,openedApp,breathingExercise,1754156194.201445,600.0
6,Europe/Berlin,True,instagram,openedApp,breathingExercise,1754156819.1484551,600.0
