app,interventionDuration,resolution,timestamp,timezone,isReIntervention,interventionType,purpose,timeIntervalUntilReIntervention,terminationReason
instagram,6.0,dismissedAppOpening,1750348943.644582,Asia/Kolkata,0.0,breathingExercise,,,
instagram,6.0,dismissedAppOpening,1750348946.361404,Asia/Kolkata,0.0,breathingExercise,,,
instagram,6.0,dismissedAppOpening,1750349077.846808,Asia/Kolkata,0.0,breathingExercise,,,
instagram,6.0,dismissedAppOpening,1750349078.974211,Asia/Kolkata,0.0,breathingExercise,,,
instagram,6.0,dismissedAppOpening,1750349081.461917,Asia/Kolkata,0.0,breathingExercise,,,
instagram,6.0,openedApp,1750349124.851582,Asia/Kolkata,0.0,breathingExercise,Stay In the Loop,120.0,
instagram,6.0,openedApp,1750351252.176847,Asia/Kolkata,0.0,breathingExercise,Stay In the Loop,120.0,
instagram,6.0,openedApp,1750351815.3069448,Asia/Kolkata,0.0,breathingExercise,Escape / Avoid,180.0,
instagram,6.0,dismissedAppOpening,1750354023.697068,Asia/Kolkata,0.0,breathingExercise,,,
instagram,6.0,openedApp,1750354044.132102,Asia/Kolkata,0.0,breathingExercise,Stay In the Loop,180.0,
instagram,6.0,dismissedAppOpening,1750354322.674145,Asia/Kolkata,0.0,breathingExercise,,,
instagram,,closedApp,1750349252.311109,Asia/Kolkata,0.0,,,,
instagram,,closedApp,1750351286.311991,Asia/Kolkata,0.0,,,,
instagram,,closedApp,1750352000.474638,Asia/Kolkata,0.0,,,,
instagram,,closedApp,1750352100.9821172,Asia/Kolkata,0.0,,,,
instagram,,closedApp,1750354256.976341,Asia/Kolkata,0.0,,,,
instagram,6.0,dismissedAppOpening,1750354324.284432,Asia/Kolkata,0.0,breathingExercise,,,
instagram,6.0,openedApp,1750355272.54146,Asia/Kolkata,0.0,breathingExercise,Stay In the Loop,120.0,
instagram,6.0,openedApp,1750359646.328133,Asia/Kolkata,0.0,breathingExercise,Stay In the Loop,360.0,
instagram,6.0,openedApp,1750359889.2165132,Asia/Kolkata,0.0,breathingExercise,Stay In the Loop,240.0,
instagram,,closedApp,1750355402.3824549,Asia/Kolkata,0.0,,,,
instagram,,closedApp,1750359786.6617,Asia/Kolkata,0.0,,,,
instagram,,closedApp,1750360135.989053,Asia/Kolkata,0.0,,,,
instagram,6.0,openedApp,1750401838.7374291,Asia/Kolkata,0.0,breathingExercise,Stay In the Loop,360.0,
instagram,6.0,openedApp,1750403246.445359,Asia/Kolkata,0.0,breathingExercise,Stay In the Loop,300.0,
instagram,,closedApp,1750402207.040947,Asia/Kolkata,0.0,,,,
instagram,,closedApp,1750403279.460308,Asia/Kolkata,0.0,,,,
,,,1750403337.171788,,,,,,terminatedByUser
