isReIntervention,timestamp,resolution,timezone,interventionType,interventionDuration,app,timeIntervalUntilReIntervention,purpose
False,1751464626.6522331,openedApp,Europe/Berlin,askForTimeLimit,6.0,romeo,60.0,
False,1751464649.7561898,openedApp,Europe/Berlin,askForTimeLimit,6.0,romeo,60.0,
False,1751464666.7183619,openedApp,Europe/Berlin,askForTimeLimit,6.0,romeo,60.0,
False,1751464688.801083,dismissedAppOpening,Europe/Berlin,askForTimeLimit,6.0,jodel,,
False,1751464694.510274,dismissedAppOpening,Europe/Berlin,askForTimeLimit,6.0,jodel,,
False,1751464749.235371,dismissedAppOpening,Europe/Berlin,breathingExercise,6.0,instagram,,
False,1751464840.622291,openedApp,Europe/Berlin,askForTimeLimit,6.0,jodel,60.0,
False,1751464986.799837,openedApp,Europe/Berlin,askForTimeLimit,6.0,telegram,60.0,
False,1751464995.139217,dismissedAppOpening,Europe/Berlin,askForTimeLimit,6.0,jodel,,
False,1751465001.3516412,openedApp,Europe/Berlin,askForTimeLimit,6.0,jodel,60.0,
False,1751465195.0860128,dismissedAppOpening,Europe/Berlin,askForTimeLimit,6.0,jodel,,
False,1751466262.271237,openedApp,Europe/Berlin,askForTimeLimit,6.0,jodel,60.0,
False,1751466307.406941,openedApp,Europe/Berlin,breathingExercise,6.0,romeo,180.0,Pause
True,1751466555.279499,openedApp,Europe/Berlin,breathingExercise,6.0,romeo,60.0,“Abfertigen“
False,1751466597.254535,dismissedAppOpening,Europe/Berlin,askForTimeLimit,6.0,jodel,,
False,1751466602.9091659,openedApp,Europe/Berlin,askForTimeLimit,6.0,telegram,60.0,
False,1751466618.3022208,dismissedAppOpening,Europe/Berlin,askForTimeLimit,6.0,jodel,,
False,1751468461.8515239,openedApp,Europe/Berlin,askForTimeLimit,6.0,romeo,60.0,
False,1751468496.0129051,openedApp,Europe/Berlin,askForTimeLimit,6.0,telegram,60.0,
False,1751468507.2129421,dismissedAppOpening,Europe/Berlin,askForTimeLimit,6.0,romeo,,
False,1751468635.631836,dismissedAppOpening,Europe/Berlin,askForTimeLimit,6.0,romeo,,
False,1751468641.275466,openedApp,Europe/Berlin,askForTimeLimit,6.0,romeo,60.0,
True,1751468735.857082,openedApp,Europe/Berlin,breathingExercise,6.0,romeo,60.0,Saw hot dude
False,1751468808.458164,dismissedAppOpening,Europe/Berlin,askForTimeLimit,6.0,jodel,,
False,1751470322.606717,openedApp,Europe/Berlin,askForTimeLimit,6.0,romeo,600.0,
False,1751470480.2529101,openedApp,Europe/Berlin,askForTimeLimit,6.0,romeo,60.0,
False,1751470631.390098,openedApp,Europe/Berlin,askForTimeLimit,6.0,romeo,60.0,
True,1751470739.623141,openedApp,Europe/Berlin,breathingExercise,6.0,romeo,600.0,Klo
False,1751470838.895144,dismissedAppOpening,Europe/Berlin,askForTimeLimit,6.0,romeo,,
False,1751470849.06335,openedApp,Europe/Berlin,askForTimeLimit,6.0,romeo,600.0,
False,1751471164.096659,openedApp,Europe/Berlin,askForTimeLimit,6.0,telegram,60.0,
False,1751471181.561317,openedApp,Europe/Berlin,askForTimeLimit,6.0,romeo,360.0,
False,1751471378.496942,openedApp,Europe/Berlin,askForTimeLimit,6.0,romeo,480.0,
False,1751471407.131495,openedApp,Europe/Berlin,askForTimeLimit,6.0,telegram,720.0,
False,1751471517.460137,openedApp,Europe/Berlin,askForTimeLimit,6.0,romeo,420.0,
False,1751471535.429151,openedApp,Europe/Berlin,askForTimeLimit,6.0,telegram,780.0,
False,1751471585.499747,openedApp,Europe/Berlin,askForTimeLimit,6.0,romeo,660.0,
False,1751471636.675932,openedApp,Europe/Berlin,askForTimeLimit,6.0,telegram,780.0,
False,1751471660.945101,dismissedAppOpening,Europe/Berlin,askForTimeLimit,6.0,romeo,,
False,1751471668.201498,dismissedAppOpening,Europe/Berlin,askForTimeLimit,6.0,romeo,,
False,1751471673.7717528,openedApp,Europe/Berlin,askForTimeLimit,6.0,romeo,720.0,
False,1751471695.672463,openedApp,Europe/Berlin,askForTimeLimit,6.0,telegram,840.0,
False,1751471707.4495568,openedApp,Europe/Berlin,askForTimeLimit,6.0,romeo,840.0,
False,1751471730.5683498,openedApp,Europe/Berlin,askForTimeLimit,6.0,telegram,1140.0,
False,1751471744.344688,openedApp,Europe/Berlin,askForTimeLimit,6.0,romeo,540.0,
False,1751471753.534564,openedApp,Europe/Berlin,askForTimeLimit,6.0,telegram,960.0,
False,1751471762.122695,openedApp,Europe/Berlin,askForTimeLimit,6.0,romeo,960.0,
False,1751471775.449263,openedApp,Europe/Berlin,askForTimeLimit,6.0,telegram,1080.0,
False,1751471780.7363749,openedApp,Europe/Berlin,askForTimeLimit,6.0,romeo,1080.0,
False,1751471860.8245769,openedApp,Europe/Berlin,askForTimeLimit,6.0,telegram,720.0,
False,1751471878.304415,openedApp,Europe/Berlin,askForTimeLimit,6.0,romeo,840.0,
False,1751471908.7903519,openedApp,Europe/Berlin,askForTimeLimit,6.0,romeo,960.0,
False,1751471917.078588,openedApp,Europe/Berlin,askForTimeLimit,6.0,telegram,960.0,
False,1751471947.903841,openedApp,Europe/Berlin,askForTimeLimit,6.0,romeo,780.0,
False,1751471973.1253262,dismissedAppOpening,Europe/Berlin,askForTimeLimit,6.0,telegram,,
False,1751471978.78615,openedApp,Europe/Berlin,askForTimeLimit,6.0,telegram,600.0,
False,1751472001.76782,openedApp,Europe/Berlin,askForTimeLimit,6.0,romeo,1080.0,
False,1751472016.260357,openedApp,Europe/Berlin,askForTimeLimit,6.0,jodel,1080.0,
False,1751472155.924302,openedApp,Europe/Berlin,askForTimeLimit,6.0,romeo,900.0,
False,1751473155.494069,openedApp,Europe/Berlin,breathingExercise,6.0,instagram,,Likes checken
True,1751473225.8023748,dismissedAppOpening,Europe/Berlin,breathingExercise,6.0,romeo,,
False,1751474240.224215,dismissedAppOpening,Europe/Berlin,breathingExercise,6.0,instagram,,
False,1751474271.514106,openedApp,Europe/Berlin,breathingExercise,6.0,instagram,,Nachricht / Schreiben
False,1751474386.403904,dismissedAppOpening,Europe/Berlin,breathingExercise,6.0,instagram,,
False,1751474420.351328,openedApp,Europe/Berlin,breathingExercise,6.0,instagram,,Infos suchen
False,1751474513.8396,dismissedAppOpening,Europe/Berlin,breathingExercise,6.0,instagram,,
