interventionType,isReIntervention,resolution,timestamp,interventionDuration,timezone,app,purpose
breathingExercise,False,dismissedAppOpening,1753023208.8309422,6,America/New_York,facebook,
breathingExercise,False,dismissedAppOpening,1753023212.7135649,6,America/New_York,facebook,
breathingExercise,False,dismissedAppOpening,1753023226.252874,6,America/New_York,facebook,
breathingExercise,False,openedApp,1753023316.5155392,6,America/New_York,snapchat,Message
breathingExercise,False,dismissedAppOpening,1753023365.272266,6,America/New_York,snapchat,
breathingExercise,False,openedApp,1753023830.3794641,6,America/New_York,facebook,Message
breathingExercise,False,dismissedAppOpening,1753024063.823024,6,America/New_York,facebook,
breathingExercise,False,dismissedAppOpening,1753024176.771824,6,America/New_York,facebook,
breathingExercise,False,openedApp,1753024557.92963,6,America/New_York,snapchat,Message
breathingExercise,False,openedApp,1753024873.170223,6,America/New_York,facebook,Message
breathingExercise,False,openedApp,1753029399.041712,6,America/New_York,facebook,Message
breathingExercise,False,dismissedAppOpening,1753029437.261215,6,America/New_York,facebook,
breathingExercise,False,openedApp,1753030026.435668,6,America/New_York,facebook,Message
breathingExercise,False,openedApp,1753034657.328597,6,America/New_York,facebook,Message
breathingExercise,False,dismissedAppOpening,1753037846.422377,6,America/New_York,facebook,
breathingExercise,False,dismissedAppOpening,1753037848.1573548,6,America/New_York,facebook,
breathingExercise,False,dismissedAppOpening,1753056657.597533,6,America/New_York,facebook,
breathingExercise,False,openedApp,1753056692.8217402,6,America/New_York,snapchat,Message
breathingExercise,False,openedApp,1753057066.488944,6,America/New_York,tikTok,Message
breathingExercise,False,openedApp,1753057170.867722,6,America/New_York,tikTok,Message
breathingExercise,False,openedApp,1753057234.696496,6,America/New_York,tikTok,Message
breathingExercise,False,openedApp,1753094388.414867,6,America/New_York,facebook,Message
breathingExercise,False,openedApp,1753098503.002688,6,America/New_York,facebook,Message
breathingExercise,False,dismissedAppOpening,1753100678.007113,6,America/New_York,facebook,
breathingExercise,False,openedApp,1753105987.4572911,6,America/New_York,tikTok,Message
breathingExercise,False,openedApp,1753107142.400996,6,America/New_York,facebook,Message
breathingExercise,False,dismissedAppOpening,1753108137.439769,6,America/New_York,facebook,
breathingExercise,False,openedApp,1753109365.999156,6,America/New_York,facebook,Message
breathingExercise,False,openedApp,1753110905.6046062,6,America/New_York,facebook,Message
breathingExercise,False,dismissedAppOpening,1753113252.850737,6,America/New_York,facebook,
breathingExercise,False,dismissedAppOpening,1753113287.55625,6,America/New_York,facebook,
breathingExercise,False,dismissedAppOpening,1753119034.320255,6,America/New_York,facebook,
breathingExercise,False,dismissedAppOpening,1753119107.50136,6,America/New_York,facebook,
breathingExercise,False,openedApp,1753119293.06791,6,America/New_York,facebook,Message
breathingExercise,False,openedApp,1753120495.58147,6,America/New_York,facebook,Search Info
breathingExercise,False,openedApp,1753123117.365921,6,America/New_York,facebook,Message
breathingExercise,False,dismissedAppOpening,1753124402.7584891,6,America/New_York,facebook,
breathingExercise,False,openedApp,1753129102.32636,6,America/New_York,tikTok,Message
breathingExercise,False,openedApp,1753130639.918828,6,America/New_York,snapchat,Message
breathingExercise,False,openedApp,1753149837.3815498,6,America/New_York,facebook,Message
breathingExercise,False,openedApp,1753151178.4026752,6,America/New_York,facebook,Message
breathingExercise,False,dismissedAppOpening,1753151203.395189,6,America/New_York,facebook,
breathingExercise,False,dismissedAppOpening,1753151213.8014889,6,America/New_York,facebook,
breathingExercise,False,openedApp,1753151939.038152,6,America/New_York,facebook,Message
breathingExercise,False,openedApp,1753184179.872957,6,America/New_York,facebook,Message
breathingExercise,False,openedApp,1753192741.453399,6,America/New_York,facebook,Message
breathingExercise,False,openedApp,1753196997.678883,6,America/New_York,facebook,Message
breathingExercise,False,dismissedAppOpening,1753197081.860662,6,America/New_York,facebook,
breathingExercise,False,openedApp,1753197902.3300471,6,America/New_York,snapchat,Message
breathingExercise,False,openedApp,1753200890.810574,6,America/New_York,facebook,Message
breathingExercise,False,openedApp,1753202244.686075,6,America/New_York,facebook,Message
breathingExercise,False,openedApp,1753204038.23191,6,America/New_York,facebook,Message
breathingExercise,False,dismissedAppOpening,1753204193.5127668,6,America/New_York,facebook,
breathingExercise,False,openedApp,1753209847.387886,6,America/New_York,facebook,Message
breathingExercise,False,openedApp,1753239960.267585,6,America/New_York,tikTok,Message
breathingExercise,False,openedApp,1753240329.179439,6,America/New_York,tikTok,Message
breathingExercise,False,openedApp,1753244969.1367412,6,America/New_York,tikTok,Can’t sleep
breathingExercise,False,dismissedAppOpening,1753280589.113296,6,America/New_York,facebook,
breathingExercise,False,openedApp,1753284528.726763,6,America/New_York,facebook,Message
breathingExercise,False,openedApp,1753286736.581572,6,America/New_York,facebook,Message
breathingExercise,False,openedApp,1753292650.060797,6,America/New_York,facebook,Message
breathingExercise,False,openedApp,1753292704.956046,6,America/New_York,facebook,Message
breathingExercise,False,dismissedAppOpening,1753293079.674144,6,America/New_York,facebook,
breathingExercise,False,openedApp,1753296015.358397,6,America/New_York,snapchat,Message
