interventionDuration,timezone,interventionType,resolution,app,isReIntervention,timestamp
6.0,America/Toronto,breathingExercise,openedApp,instagram,False,1749519182.406487
,America/Toronto,,closedApp,instagram,False,1749519182.901184
,America/Toronto,,closedApp,instagram,False,1749520309.2621942
,America/Toronto,,closedApp,instagram,False,1749520323.9136229
6.0,America/Toronto,breathingExercise,openedApp,instagram,False,1749520343.179137
,America/Toronto,,closedApp,instagram,False,1749520343.66696
,America/Toronto,,closedApp,instagram,False,1749521283.361971
6.0,America/Toronto,breathingExercise,openedApp,instagram,False,1749523574.8826718
,America/Toronto,,closedApp,instagram,False,1749549339.4797359
,America/Toronto,,closedApp,instagram,False,1749549367.7043262
,America/Toronto,,closedApp,instagram,False,1749549392.17859
,America/Toronto,,closedApp,instagram,False,1749550370.712223
,America/Toronto,,closedApp,instagram,False,1749552140.747462
,America/Toronto,,closedApp,instagram,False,1749559930.386434
6.0,America/Toronto,breathingExercise,openedApp,instagram,False,1749559953.42013
,America/Toronto,,closedApp,instagram,False,1749559954.888716
,America/Toronto,,closedApp,instagram,False,1749560397.394528
,America/Toronto,,closedApp,instagram,False,1749560411.1000109
,America/Toronto,,closedApp,instagram,False,1749560752.202564
,America/Toronto,,closedApp,instagram,False,1749566153.2739658
,America/Toronto,,closedApp,instagram,False,1749566162.172508
,America/Toronto,,closedApp,instagram,False,1749566216.800703
,America/Toronto,,closedApp,instagram,False,1749566233.684809
,America/Toronto,,closedApp,instagram,False,1749566454.139557
,America/Toronto,,closedApp,instagram,False,1749567454.915475
,America/Toronto,,closedApp,instagram,False,1749567528.362382
,America/Toronto,,closedApp,instagram,False,1749567974.118104
,America/Toronto,,closedApp,instagram,False,1749576391.063508
,America/Toronto,,closedApp,instagram,False,1749576408.4389338
,America/Toronto,,closedApp,instagram,False,1749576414.322987
,America/Toronto,,closedApp,instagram,False,1749576561.225986
,America/Toronto,,closedApp,instagram,False,1749576567.0137649
,America/Toronto,,closedApp,instagram,False,1749577064.9245281
6.0,America/Toronto,breathingExercise,openedApp,instagram,False,1749582083.510601
,America/Toronto,,closedApp,instagram,False,1749582086.2434158
6.0,America/Toronto,breathingExercise,dismissedAppOpening,instagram,False,1749582743.779347
,America/Toronto,,closedApp,instagram,False,1749582820.753374
,America/Toronto,,closedApp,instagram,False,1749607525.3475308
,America/Toronto,,closedApp,instagram,False,1749607525.799464
,America/Toronto,,closedApp,instagram,False,1749607566.5467381
6.0,America/Toronto,breathingExercise,openedApp,instagram,False,1749609315.001786
,America/Toronto,,closedApp,instagram,False,1749609315.53316
,America/Toronto,,closedApp,instagram,False,1749609773.41379
6.0,America/Toronto,breathingExercise,openedApp,instagram,False,1749642417.718395
,America/Toronto,,closedApp,instagram,False,1749642419.2933378
,America/Toronto,,closedApp,instagram,False,1749642914.155184
,America/Toronto,,closedApp,instagram,False,1749657551.68117
,America/Toronto,,closedApp,instagram,False,1749659683.819354
,America/Toronto,,closedApp,instagram,False,1749659773.894391
,America/Toronto,,closedApp,instagram,False,1749661010.214087
,America/Toronto,,closedApp,instagram,False,1749661220.858523
,America/Toronto,,closedApp,instagram,False,1749663291.507016
6.0,America/Toronto,breathingExercise,openedApp,instagram,False,1749665620.347877
6.0,America/Toronto,breathingExercise,openedApp,instagram,False,1749675088.1251059
,America/Toronto,,closedApp,instagram,False,1749665621.572732
,America/Toronto,,closedApp,instagram,False,1749665714.275107
,America/Toronto,,closedApp,instagram,False,1749671018.244032
