app,resolution,timestamp,interventionDuration,isReIntervention,timezone,interventionType
instagram,dismissedAppOpening,1749574450.096418,6,False,Europe/Berlin,breathingExercise
instagram,openedApp,1749574463.9771662,6,False,Europe/Berlin,breathingExercise
instagram,openedApp,1749574888.907291,6,False,Europe/Berlin,breathingExercise
instagram,dismissedAppOpening,1749578410.660419,6,False,Europe/Berlin,breathingExercise
instagram,dismissedAppOpening,1749578411.850678,6,False,Europe/Berlin,breathingExercise
instagram,dismissedAppOpening,1749578416.2112808,6,False,Europe/Berlin,breathingExercise
instagram,dismissedAppOpening,1749578930.5878081,6,False,Europe/Berlin,breathingExercise
instagram,dismissedAppOpening,1749579436.4518452,6,False,Europe/Berlin,breathingExercise
instagram,dismissedAppOpening,1749579802.293045,6,False,Europe/Berlin,breathingExercise
instagram,openedApp,1749582950.634865,6,False,Europe/Berlin,breathingExercise
instagram,dismissedAppOpening,1749583313.189684,6,False,Europe/Berlin,breathingExercise
instagram,dismissedAppOpening,1749583338.7473478,6,False,Europe/Berlin,breathingExercise
instagram,dismissedAppOpening,1749584331.034591,6,False,Europe/Berlin,breathingExercise
instagram,openedApp,1749587875.2118502,6,False,Europe/Berlin,breathingExercise
instagram,dismissedAppOpening,1749617530.484363,6,False,Europe/Berlin,breathingExercise
instagram,openedApp,1749619114.253689,6,False,Europe/Berlin,breathingExercise
instagram,openedApp,1749627532.94925,6,False,Europe/Berlin,breathingExercise
instagram,dismissedAppOpening,1749631929.939915,6,False,Europe/Berlin,breathingExercise
instagram,dismissedAppOpening,1749636020.3720021,6,False,Europe/Berlin,breathingExercise
instagram,openedApp,1749645709.645122,6,False,Europe/Berlin,breathingExercise
instagram,openedApp,1749658892.879672,6,False,Europe/Berlin,breathingExercise
youtube,dismissedAppOpening,1749660870.2968469,6,False,Europe/Berlin,breathingExercise
youtube,dismissedAppOpening,1749660874.151815,6,False,Europe/Berlin,breathingExercise
instagram,dismissedAppOpening,1749662132.650428,6,False,Europe/Berlin,breathingExercise
instagram,openedApp,1749662145.730864,6,False,Europe/Berlin,breathingExercise
youtube,openedApp,1749668060.769429,6,False,Europe/Berlin,breathingExercise
instagram,openedApp,1749675026.153328,6,False,Europe/Berlin,breathingExercise
youtube,dismissedAppOpening,1749676261.151835,6,False,Europe/Berlin,breathingExercise
youtube,dismissedAppOpening,1749676264.3037791,6,False,Europe/Berlin,breathingExercise
instagram,openedApp,1749677555.1630812,6,False,Europe/Berlin,breathingExercise
instagram,openedApp,1749678156.4661431,6,False,Europe/Berlin,breathingExercise
instagram,openedApp,1749678655.238807,6,False,Europe/Berlin,breathingExercise
instagram,openedApp,1749678728.680789,6,False,Europe/Berlin,breathingExercise
instagram,dismissedAppOpening,1749679034.388084,6,False,Europe/Berlin,breathingExercise
instagram,openedApp,1749679047.7754722,6,False,Europe/Berlin,breathingExercise
instagram,dismissedAppOpening,1749680159.7386599,6,False,Europe/Berlin,breathingExercise
instagram,dismissedAppOpening,1749680161.5896878,6,False,Europe/Berlin,breathingExercise
instagram,openedApp,1749680174.51512,6,False,Europe/Berlin,breathingExercise
instagram,dismissedAppOpening,1749680695.078063,6,False,Europe/Berlin,breathingExercise
youtube,openedApp,1749680714.460089,6,False,Europe/Berlin,breathingExercise
instagram,openedApp,1749681187.219429,6,False,Europe/Berlin,breathingExercise
instagram,dismissedAppOpening,1749681286.923131,6,False,Europe/Berlin,breathingExercise
instagram,dismissedAppOpening,1749681288.4807749,6,False,Europe/Berlin,breathingExercise
instagram,dismissedAppOpening,1749681290.648032,6,False,Europe/Berlin,breathingExercise
instagram,openedApp,1749712424.9238791,6,False,Europe/Berlin,breathingExercise
instagram,dismissedAppOpening,1749712491.587922,6,False,Europe/Berlin,breathingExercise
instagram,dismissedAppOpening,1749713279.4148831,6,False,Europe/Berlin,breathingExercise
youtube,openedApp,1749715274.2811332,6,False,Europe/Berlin,breathingExercise
youtube,openedApp,1749715510.305464,6,False,Europe/Berlin,breathingExercise
youtube,openedApp,1749715621.649085,6,False,Europe/Berlin,breathingExercise
instagram,dismissedAppOpening,1749718564.7466822,6,False,Europe/Berlin,breathingExercise
instagram,openedApp,1749718587.980766,6,False,Europe/Berlin,breathingExercise
instagram,openedApp,1749742622.358172,6,False,Europe/Berlin,breathingExercise
instagram,openedApp,1749767130.698714,6,False,Europe/Berlin,breathingExercise
instagram,openedApp,1749767493.5103688,6,False,Europe/Berlin,breathingExercise
youtube,openedApp,1749782514.525845,6,False,Europe/Berlin,breathingExercise
instagram,openedApp,1749783002.5923991,6,False,Europe/Berlin,breathingExercise
instagram,dismissedAppOpening,1749783131.257735,6,False,Europe/Berlin,breathingExercise
instagram,dismissedAppOpening,1749786803.985165,6,False,Europe/Berlin,breathingExercise
instagram,dismissedAppOpening,1749786807.5298362,6,False,Europe/Berlin,breathingExercise
instagram,openedApp,1749822982.884808,6,False,Europe/Vienna,breathingExercise
instagram,openedApp,1749830894.597375,6,False,Europe/Vienna,breathingExercise
instagram,openedApp,1749832032.507947,6,False,Europe/Vienna,breathingExercise
instagram,dismissedAppOpening,1749832279.194164,6,False,Europe/Vienna,breathingExercise
instagram,openedApp,1749832293.717623,6,False,Europe/Vienna,breathingExercise
instagram,openedApp,1749843758.897882,6,False,Europe/Vienna,breathingExercise
instagram,openedApp,1749843985.802166,6,False,Europe/Vienna,breathingExercise
instagram,dismissedAppOpening,1749844320.3216162,6,False,Europe/Vienna,breathingExercise
instagram,dismissedAppOpening,1749844348.048523,6,False,Europe/Vienna,breathingExercise
instagram,dismissedAppOpening,1749844351.357403,6,False,Europe/Vienna,breathingExercise
instagram,dismissedAppOpening,1749848980.286942,6,False,Europe/Vienna,breathingExercise
instagram,dismissedAppOpening,1749848982.0642428,6,False,Europe/Vienna,breathingExercise
instagram,dismissedAppOpening,1749848984.5339398,6,False,Europe/Vienna,breathingExercise
instagram,dismissedAppOpening,1749848987.036322,6,False,Europe/Vienna,breathingExercise
instagram,openedApp,1749848999.982631,6,False,Europe/Vienna,breathingExercise
instagram,dismissedAppOpening,1749849473.4818292,6,False,Europe/Vienna,breathingExercise
youtube,openedApp,1749849488.121273,6,False,Europe/Vienna,breathingExercise
instagram,openedApp,1749882455.739026,6,False,Europe/Vienna,breathingExercise
instagram,dismissedAppOpening,1749883399.588976,6,False,Europe/Vienna,breathingExercise
youtube,openedApp,1749883658.3318748,6,False,Europe/Vienna,breathingExercise
youtube,openedApp,1749883712.044931,6,False,Europe/Vienna,breathingExercise
instagram,dismissedAppOpening,1749887513.250194,6,False,Europe/Vienna,breathingExercise
instagram,openedApp,1749897518.075101,6,False,Europe/Vienna,breathingExercise
instagram,openedApp,1749901310.135262,6,False,Europe/Vienna,breathingExercise
instagram,openedApp,1749907899.467989,6,False,Europe/Vienna,breathingExercise
instagram,dismissedAppOpening,1749908760.556045,6,False,Europe/Vienna,breathingExercise
instagram,openedApp,1749908777.342853,6,False,Europe/Vienna,breathingExercise
instagram,openedApp,1749909115.6545138,6,False,Europe/Vienna,breathingExercise
instagram,openedApp,1749911529.635556,6,False,Europe/Vienna,breathingExercise
instagram,openedApp,1749913211.659682,6,False,Europe/Vienna,breathingExercise
instagram,dismissedAppOpening,1749913227.589565,6,False,Europe/Vienna,breathingExercise
instagram,openedApp,1749914585.400233,6,False,Europe/Vienna,breathingExercise
instagram,dismissedAppOpening,1749914942.267885,6,False,Europe/Vienna,breathingExercise
instagram,dismissedAppOpening,1749914943.843302,6,False,Europe/Vienna,breathingExercise
instagram,dismissedAppOpening,1749923450.5171142,6,False,Europe/Vienna,breathingExercise
instagram,openedApp,1749923888.773954,6,False,Europe/Vienna,breathingExercise
instagram,openedApp,1749926557.835791,6,False,Europe/Vienna,breathingExercise
instagram,dismissedAppOpening,1749927659.656289,6,False,Europe/Vienna,breathingExercise
instagram,openedApp,1749927675.202744,6,False,Europe/Vienna,breathingExercise
instagram,openedApp,1749927820.699374,6,False,Europe/Vienna,breathingExercise
instagram,openedApp,1749931105.427659,6,False,Europe/Vienna,breathingExercise
instagram,openedApp,1749932955.383697,6,False,Europe/Vienna,breathingExercise
instagram,openedApp,1749933255.8645,6,False,Europe/Vienna,breathingExercise
instagram,dismissedAppOpening,1749933310.32479,6,False,Europe/Vienna,breathingExercise
youtube,openedApp,1749933966.530208,6,False,Europe/Vienna,breathingExercise
instagram,openedApp,1749936364.842752,6,False,Europe/Vienna,breathingExercise
instagram,dismissedAppOpening,1749936908.211793,6,False,Europe/Vienna,breathingExercise
instagram,openedApp,1749936924.323529,6,False,Europe/Vienna,breathingExercise
instagram,openedApp,1749937456.667482,6,False,Europe/Vienna,breathingExercise
instagram,openedApp,1749938086.668525,6,False,Europe/Vienna,breathingExercise
instagram,openedApp,1749938193.968145,6,False,Europe/Vienna,breathingExercise
instagram,dismissedAppOpening,1749938451.050809,6,False,Europe/Vienna,breathingExercise
instagram,openedApp,1749938464.062398,6,False,Europe/Vienna,breathingExercise
instagram,dismissedAppOpening,1749938550.2534099,6,False,Europe/Vienna,breathingExercise
instagram,openedApp,1749966391.544323,6,False,Europe/Vienna,breathingExercise
instagram,dismissedAppOpening,1749966925.830103,6,False,Europe/Vienna,breathingExercise
instagram,dismissedAppOpening,1749966926.910572,6,False,Europe/Vienna,breathingExercise
instagram,openedApp,1749966941.284944,6,False,Europe/Vienna,breathingExercise
instagram,openedApp,1749967024.595053,6,False,Europe/Vienna,breathingExercise
instagram,dismissedAppOpening,1749967132.847911,6,False,Europe/Vienna,breathingExercise
instagram,openedApp,1749971371.981748,6,False,Europe/Vienna,breathingExercise
instagram,openedApp,1749981610.802928,6,False,Europe/Vienna,breathingExercise
instagram,dismissedAppOpening,1749981811.259078,6,False,Europe/Vienna,breathingExercise
instagram,dismissedAppOpening,1749981978.326511,6,False,Europe/Vienna,breathingExercise
instagram,openedApp,1749985610.449492,6,False,Europe/Vienna,breathingExercise
instagram,dismissedAppOpening,1749985736.8189368,6,False,Europe/Vienna,breathingExercise
instagram,openedApp,1749991679.359196,6,False,Europe/Berlin,breathingExercise
instagram,openedApp,1749993634.896813,6,False,Europe/Berlin,breathingExercise
instagram,openedApp,1749995029.380838,6,False,Europe/Berlin,breathingExercise
instagram,openedApp,1750001031.915489,6,False,Europe/Berlin,breathingExercise
instagram,openedApp,1750002435.954562,6,False,Europe/Berlin,breathingExercise
instagram,dismissedAppOpening,1750002608.295042,6,False,Europe/Berlin,breathingExercise
youtube,dismissedAppOpening,1750002937.904283,6,False,Europe/Berlin,breathingExercise
youtube,openedApp,1750002950.623002,6,False,Europe/Berlin,breathingExercise
youtube,openedApp,1750003251.280343,6,False,Europe/Berlin,breathingExercise
youtube,dismissedAppOpening,1750003347.409706,6,False,Europe/Berlin,breathingExercise
instagram,openedApp,1750003379.81598,6,False,Europe/Berlin,breathingExercise
instagram,dismissedAppOpening,1750005241.554074,6,False,Europe/Berlin,breathingExercise
instagram,openedApp,1750006190.817774,6,False,Europe/Berlin,breathingExercise
youtube,openedApp,1750006549.272299,6,False,Europe/Berlin,breathingExercise
youtube,openedApp,1750006577.087862,6,False,Europe/Berlin,breathingExercise
instagram,openedApp,1750007039.170988,6,False,Europe/Berlin,breathingExercise
instagram,dismissedAppOpening,1750008339.9193769,6,False,Europe/Berlin,breathingExercise
instagram,openedApp,1750011398.2908502,6,False,Europe/Berlin,breathingExercise
instagram,openedApp,1750014227.45627,6,False,Europe/Berlin,breathingExercise
instagram,dismissedAppOpening,1750014369.694896,6,False,Europe/Berlin,breathingExercise
instagram,openedApp,1750016967.192867,6,False,Europe/Berlin,breathingExercise
instagram,openedApp,1750020650.838301,6,False,Europe/Berlin,breathingExercise
instagram,dismissedAppOpening,1750022213.6626182,6,False,Europe/Berlin,breathingExercise
instagram,openedApp,1750052753.408029,6,False,Europe/Berlin,breathingExercise
instagram,openedApp,1750056683.213717,6,False,Europe/Berlin,breathingExercise
instagram,openedApp,1750062855.22774,6,False,Europe/Berlin,breathingExercise
instagram,openedApp,1750066428.8271341,6,False,Europe/Berlin,breathingExercise
instagram,openedApp,1750069197.568471,6,False,Europe/Berlin,breathingExercise
instagram,dismissedAppOpening,1750071307.100758,6,False,Europe/Berlin,breathingExercise
instagram,dismissedAppOpening,1750071320.699274,6,False,Europe/Berlin,breathingExercise
instagram,openedApp,1750081175.803905,6,False,Europe/Berlin,breathingExercise
instagram,dismissedAppOpening,1750082968.6087499,6,False,Europe/Berlin,breathingExercise
instagram,openedApp,1750091741.769896,6,False,Europe/Berlin,breathingExercise
instagram,dismissedAppOpening,1750099576.705446,6,False,Europe/Berlin,breathingExercise
