timezone,timestamp,isReIntervention,app,resolution,interventionDuration,purpose,interventionType
America/Denver,1749994496.757391,False,facebook,openedApp,,,
America/Denver,1749994556.757391,False,facebook,closedApp,,,
America/Denver,1749994556.757391,False,facebook,dismissedAppOpening,,,
America/Denver,1749994565.157887,False,bluesky,openedApp,,,
America/Denver,1749994625.157888,False,bluesky,closedApp,,,
America/Denver,1749994625.157888,False,bluesky,dismissedAppOpening,,,
America/Denver,1750011745.1740022,False,facebook,openedApp,6.0,Search Info,breathingExercise
America/Denver,1750011748.7835,False,facebook,openedApp,,,
America/Denver,1750011808.7835,False,facebook,closedApp,,,
America/Denver,1750011808.7835011,False,facebook,dismissedAppOpening,,,
America/Denver,1750011844.0506392,False,facebook,openedApp,6.0,Search Info,breathingExercise
America/Denver,1750026081.685106,False,facebook,openedApp,6.0,Stay In the Loop,breathingExercise
America/Denver,1750026513.526139,False,facebook,openedApp,6.0,Search Info,breathingExercise
America/Denver,1750026597.407538,False,bluesky,openedApp,,,
America/Denver,1750026657.407539,False,bluesky,closedApp,,,
America/Denver,1750026657.407539,False,bluesky,dismissedAppOpening,,,
America/Denver,1750028813.3503752,False,facebook,dismissedAppOpening,6.0,,breathingExercise
America/Denver,1750028860.777787,False,facebook,openedApp,6.0,Search Info,breathingExercise
America/Denver,1750033269.8724809,False,facebook,dismissedAppOpening,6.0,,breathingExercise
America/Denver,1750079223.668849,False,facebook,openedApp,6.0,Stay In the Loop,breathingExercise
America/Denver,1750079491.814444,False,facebook,openedApp,6.0,Stay In the Loop,breathingExercise
America/Denver,1750089699.093131,False,facebook,openedApp,6.0,Stay In the Loop,breathingExercise
America/Denver,1750107035.915091,False,facebook,openedApp,6.0,Stay In the Loop,breathingExercise
America/Denver,1750109459.127064,False,facebook,openedApp,6.0,Search Info,breathingExercise
America/Denver,1750123219.0257192,False,facebook,openedApp,,,
America/Denver,1750123279.0257192,False,facebook,closedApp,,,
America/Denver,1750123279.0257192,False,facebook,dismissedAppOpening,,,
America/Denver,1750127012.61419,False,facebook,openedApp,6.0,Entertainment,breathingExercise
America/Denver,1750127337.61534,False,facebook,openedApp,6.0,Search Info,breathingExercise
America/Denver,1750166124.178999,False,facebook,openedApp,6.0,Entertainment,breathingExercise
America/Denver,1750194994.02507,False,facebook,openedApp,6.0,Search Info,breathingExercise
America/Denver,1750197685.731219,False,facebook,openedApp,6.0,Stay In the Loop,breathingExercise
America/Denver,1750200264.9663901,False,facebook,openedApp,6.0,Entertainment,breathingExercise
America/Denver,1750201657.476011,False,facebook,openedApp,6.0,Entertainment,breathingExercise
America/Denver,1750208931.9767451,False,facebook,openedApp,6.0,Entertainment,breathingExercise
America/Denver,1750211820.1646729,False,facebook,dismissedAppOpening,6.0,,breathingExercise
America/Denver,1750213017.0839949,False,facebook,openedApp,6.0,Search Info,breathingExercise
America/Denver,1750246502.300613,False,facebook,openedApp,6.0,Stay In the Loop,breathingExercise
America/Denver,1750246825.966113,False,facebook,openedApp,6.0,Stay In the Loop,breathingExercise
America/Denver,1750247088.21578,False,facebook,openedApp,6.0,Stay In the Loop,breathingExercise
America/Denver,1750256979.589106,False,facebook,openedApp,6.0,Stay In the Loop,breathingExercise
America/Denver,1750258318.5662909,False,facebook,openedApp,6.0,Stay In the Loop,breathingExercise
America/Denver,1750258640.008115,False,facebook,openedApp,6.0,Stay In the Loop,breathingExercise
America/Denver,1750261652.9309568,False,facebook,openedApp,6.0,Stay In the Loop,breathingExercise
America/Denver,1750285088.0134,False,facebook,openedApp,6.0,Stay In the Loop,breathingExercise
America/Denver,1750292366.460222,False,facebook,openedApp,6.0,Stay In the Loop,breathingExercise
America/Denver,1750294157.268779,False,bluesky,openedApp,,,
America/Denver,1750294217.26878,False,bluesky,closedApp,,,
America/Denver,1750294217.26878,False,bluesky,dismissedAppOpening,,,
