timeIntervalUntilReIntervention,isReIntervention,interventionType,app,resolution,timezone,interventionDuration,timestamp
300.0,False,breathingExercise,instagram,openedApp,America/Denver,6,1748439517.930956
60.0,False,breathingExercise,instagram,openedApp,America/Denver,6,1748440594.578395
,False,breathingExercise,instagram,dismissedAppOpening,America/Denver,6,1748440659.019136
360.0,False,breathingExercise,instagram,openedApp,America/Denver,6,1748441057.488607
240.0,False,breathingExercise,instagram,openedApp,America/Denver,6,1748441294.892307
300.0,False,breathingExercise,instagram,openedApp,America/Denver,6,1748441556.077005
240.0,False,breathingExercise,instagram,openedApp,America/Denver,6,1748441612.50975
,False,breathingExercise,youtube,openedApp,America/Denver,6,1748442289.706861
,False,breathingExercise,youtube,openedApp,America/Denver,6,1748442892.141234
,False,breathingExercise,tikTok,openedApp,America/Denver,6,1748443511.805728
,False,breathingExercise,tikTok,openedApp,America/Denver,6,1748443558.946301
,False,breathingExercise,tikTok,openedApp,America/Denver,6,1748443733.4610739
,False,breathingExercise,tikTok,dismissedAppOpening,America/Denver,6,1748444814.2137098
,False,breathingExercise,instagram,dismissedAppOpening,America/Denver,6,1748445573.848226
,False,breathingExercise,instagram,dismissedAppOpening,America/Denver,6,1748445580.6398659
,False,breathingExercise,instagram,dismissedAppOpening,America/Denver,6,1748445581.257347
,False,breathingExercise,instagram,dismissedAppOpening,America/Denver,6,1748445582.98884
,False,breathingExercise,instagram,dismissedAppOpening,America/Denver,6,1748445988.1075091
,False,breathingExercise,instagram,dismissedAppOpening,America/Denver,6,1748448753.9663901
240.0,False,breathingExercise,instagram,openedApp,America/Denver,6,1748451517.2323909
420.0,False,breathingExercise,instagram,openedApp,America/Denver,6,1748452509.678413
360.0,False,breathingExercise,instagram,openedApp,America/Denver,6,1748454484.9062982
360.0,False,breathingExercise,instagram,openedApp,America/Denver,6,1748461444.452218
300.0,False,breathingExercise,instagram,openedApp,America/Denver,6,1748463495.803495
360.0,False,breathingExercise,instagram,openedApp,America/Denver,6,1748464333.9932919
240.0,False,breathingExercise,instagram,openedApp,America/Denver,6,1748467217.637214
