isReIntervention,app,interventionType,timestamp,resolution,interventionDuration,timezone,purpose
False,instagram,breathingExercise,1750375872.644055,dismissedAppOpening,6.0,America/Sao_Paulo,
False,instagram,breathingExercise,1750375902.68771,openedApp,6.0,America/Sao_Paulo,Mensagem
False,tikTok,breathingExercise,1750375931.942033,openedApp,6.0,America/Sao_Paulo,Relaxar
False,instagram,breathingExercise,1750375962.282865,dismissedAppOpening,6.0,America/Sao_Paulo,
False,instagram,breathingExercise,1750377283.2939692,dismissedAppOpening,6.0,America/Sao_Paulo,
False,instagram,breathingExercise,1750377300.848273,dismissedAppOpening,6.0,America/Sao_Paulo,
False,instagram,breathingExercise,1750377312.784275,dismissedAppOpening,6.0,America/Sao_Paulo,
False,tikTok,breathingExercise,1750381128.7141562,openedApp,6.0,America/Sao_Paulo,Entretenimento
False,tikTok,breathingExercise,1750381983.978966,openedApp,6.0,America/Sao_Paulo,Entretenimento
False,tikTok,journaling,1750383362.821556,dismissedAppOpening,,America/Sao_Paulo,
False,instagram,breathingExercise,1750409569.135963,openedApp,6.0,America/Sao_Paulo,Distração
False,tikTok,breathingExercise,1750409917.158226,openedApp,6.0,America/Sao_Paulo,Distração
False,instagram,breathingExercise,1750411526.297584,dismissedAppOpening,6.0,America/Sao_Paulo,
False,tikTok,breathingExercise,1750411541.764051,dismissedAppOpening,6.0,America/Sao_Paulo,
False,tikTok,breathingExercise,1750411900.2706919,openedApp,6.0,America/Sao_Paulo,Entretenimento
False,tikTok,breathingExercise,1750411983.220691,dismissedAppOpening,6.0,America/Sao_Paulo,
False,instagram,breathingExercise,1750415544.286559,dismissedAppOpening,6.0,America/Sao_Paulo,
False,instagram,breathingExercise,1750415565.5641909,openedApp,6.0,America/Sao_Paulo,Ficar por dentro
False,tikTok,breathingExercise,1750415719.2377682,openedApp,6.0,America/Sao_Paulo,Entretenimento
False,tikTok,breathingExercise,1750416839.216825,openedApp,6.0,America/Sao_Paulo,Entretenimento
False,tikTok,breathingExercise,1750417420.724639,dismissedAppOpening,6.0,America/Sao_Paulo,
False,instagram,breathingExercise,1750418953.0065742,openedApp,6.0,America/Sao_Paulo,Ficar por dentro
False,instagram,breathingExercise,1750419462.3729649,openedApp,6.0,America/Sao_Paulo,Entretenimento
False,instagram,breathingExercise,1750424604.754391,dismissedAppOpening,6.0,America/Sao_Paulo,
False,instagram,breathingExercise,1750424651.469466,openedApp,6.0,America/Sao_Paulo,Ficar por dentro
False,instagram,breathingExercise,1750424698.568781,openedApp,6.0,America/Sao_Paulo,Distração
False,instagram,breathingExercise,1750429691.719358,dismissedAppOpening,6.0,America/Sao_Paulo,
False,instagram,breathingExercise,1750432212.584729,openedApp,6.0,America/Sao_Paulo,Verificar curtidas
False,instagram,breathingExercise,1750432235.204578,dismissedAppOpening,6.0,America/Sao_Paulo,
False,instagram,breathingExercise,1750434263.538515,dismissedAppOpening,6.0,America/Sao_Paulo,
False,instagram,breathingExercise,1750437078.178917,dismissedAppOpening,6.0,America/Sao_Paulo,
False,instagram,breathingExercise,1750437086.457849,dismissedAppOpening,6.0,America/Sao_Paulo,
False,instagram,breathingExercise,1750437124.527616,dismissedAppOpening,6.0,America/Sao_Paulo,
False,instagram,breathingExercise,1750437168.0992951,dismissedAppOpening,6.0,America/Sao_Paulo,
False,instagram,breathingExercise,1750438577.294804,dismissedAppOpening,6.0,America/Sao_Paulo,
False,instagram,breathingExercise,1750439113.5003738,dismissedAppOpening,6.0,America/Sao_Paulo,
False,instagram,breathingExercise,1750439414.145996,openedApp,6.0,America/Sao_Paulo,Mensagem
False,instagram,breathingExercise,1750442084.449594,dismissedAppOpening,6.0,America/Sao_Paulo,
False,instagram,breathingExercise,1750442102.373739,dismissedAppOpening,6.0,America/Sao_Paulo,
False,instagram,breathingExercise,1750442153.3152652,dismissedAppOpening,6.0,America/Sao_Paulo,
False,instagram,breathingExercise,1750446291.081821,dismissedAppOpening,6.0,America/Sao_Paulo,
False,instagram,breathingExercise,1750446410.167694,dismissedAppOpening,6.0,America/Sao_Paulo,
False,instagram,breathingExercise,1750446478.98123,dismissedAppOpening,6.0,America/Sao_Paulo,
False,instagram,breathingExercise,1750448016.073677,openedApp,6.0,America/Sao_Paulo,Ficar por dentro
False,tikTok,breathingExercise,1750448059.055928,openedApp,6.0,America/Sao_Paulo,Distração
False,tikTok,breathingExercise,1750449059.538826,openedApp,6.0,America/Sao_Paulo,Entretenimento
False,instagram,breathingExercise,1750462096.46718,openedApp,6.0,America/Sao_Paulo,Ficar por dentro
False,instagram,breathingExercise,1750467440.403561,openedApp,6.0,America/Sao_Paulo,Ficar por dentro
False,tikTok,breathingExercise,1750474527.447628,dismissedAppOpening,6.0,America/Sao_Paulo,
False,tikTok,breathingExercise,1750474556.553973,dismissedAppOpening,6.0,America/Sao_Paulo,
False,tikTok,breathingExercise,1750474591.3437638,openedApp,6.0,America/Sao_Paulo,Entretenimento
False,tikTok,breathingExercise,1750474906.382503,openedApp,6.0,America/Sao_Paulo,Entretenimento
False,instagram,breathingExercise,1750519542.8893151,dismissedAppOpening,6.0,America/Sao_Paulo,
False,instagram,breathingExercise,1750523632.980576,dismissedAppOpening,6.0,America/Sao_Paulo,
False,instagram,breathingExercise,1750527098.296468,openedApp,6.0,America/Sao_Paulo,Ficar por dentro
False,tikTok,breathingExercise,1750527252.5551891,openedApp,6.0,America/Sao_Paulo,Ficar por dentro
False,tikTok,breathingExercise,1750527778.261184,dismissedAppOpening,6.0,America/Sao_Paulo,
False,tikTok,breathingExercise,1750533760.173168,openedApp,6.0,America/Sao_Paulo,Distração
False,tikTok,breathingExercise,1750536678.297704,dismissedAppOpening,6.0,America/Sao_Paulo,
False,tikTok,breathingExercise,1750537218.931411,openedApp,6.0,America/Sao_Paulo,Ficar por dentro
False,tikTok,breathingExercise,1750538245.709141,openedApp,6.0,America/Sao_Paulo,Entretenimento
False,tikTok,breathingExercise,1750540377.285536,dismissedAppOpening,6.0,America/Sao_Paulo,
False,tikTok,breathingExercise,1750540380.444296,dismissedAppOpening,6.0,America/Sao_Paulo,
False,tikTok,breathingExercise,1750541513.722426,dismissedAppOpening,6.0,America/Sao_Paulo,
False,instagram,breathingExercise,1750541640.92317,openedApp,6.0,America/Sao_Paulo,Ficar por dentro
False,tikTok,breathingExercise,1750542183.52421,openedApp,6.0,America/Sao_Paulo,Pesquisar informações
False,instagram,breathingExercise,1750542872.752963,dismissedAppOpening,6.0,America/Sao_Paulo,
False,tikTok,breathingExercise,1750548190.422279,openedApp,6.0,America/Sao_Paulo,Entretenimento
False,tikTok,breathingExercise,1750556178.033483,openedApp,6.0,America/Sao_Paulo,Entretenimento
False,instagram,breathingExercise,1750596145.020417,dismissedAppOpening,6.0,America/Sao_Paulo,
False,instagram,breathingExercise,1750596572.250698,openedApp,6.0,America/Sao_Paulo,Ficar por dentro
False,instagram,breathingExercise,1750598319.535688,dismissedAppOpening,6.0,America/Sao_Paulo,
False,tikTok,breathingExercise,1750605026.220502,openedApp,6.0,America/Sao_Paulo,Distração
False,instagram,breathingExercise,1750605883.7864351,dismissedAppOpening,6.0,America/Sao_Paulo,
False,instagram,breathingExercise,1750608978.264909,openedApp,6.0,America/Sao_Paulo,Mensagem
False,instagram,breathingExercise,1750609301.5750542,openedApp,6.0,America/Sao_Paulo,Ficar por dentro
False,instagram,breathingExercise,1750610431.4631429,dismissedAppOpening,6.0,America/Sao_Paulo,
False,instagram,breathingExercise,1750610450.946904,openedApp,6.0,America/Sao_Paulo,Distração
False,tikTok,breathingExercise,1750610940.11956,openedApp,6.0,America/Sao_Paulo,Entretenimento
False,tikTok,breathingExercise,1750611068.029145,openedApp,6.0,America/Sao_Paulo,Entretenimento
False,tikTok,breathingExercise,1750611267.9067879,dismissedAppOpening,6.0,America/Sao_Paulo,
False,tikTok,breathingExercise,1750611287.984489,openedApp,6.0,America/Sao_Paulo,Entretenimento
False,tikTok,breathingExercise,1750611806.643577,openedApp,6.0,America/Sao_Paulo,Ficar por dentro
False,instagram,breathingExercise,1750611977.488204,dismissedAppOpening,6.0,America/Sao_Paulo,
False,instagram,breathingExercise,1750612132.512105,dismissedAppOpening,6.0,America/Sao_Paulo,
False,tikTok,breathingExercise,1750617532.774812,openedApp,6.0,America/Sao_Paulo,Pesquisar informações
False,instagram,breathingExercise,1750620944.760189,openedApp,6.0,America/Sao_Paulo,Ficar por dentro
False,instagram,breathingExercise,1750621398.832097,dismissedAppOpening,6.0,America/Sao_Paulo,
False,instagram,breathingExercise,1750621489.841998,dismissedAppOpening,6.0,America/Sao_Paulo,
False,instagram,breathingExercise,1750621566.076874,dismissedAppOpening,6.0,America/Sao_Paulo,
False,instagram,breathingExercise,1750627392.1668959,openedApp,6.0,America/Sao_Paulo,Entretenimento
False,instagram,breathingExercise,1750629223.844994,dismissedAppOpening,6.0,America/Sao_Paulo,
False,instagram,breathingExercise,1750634062.662224,dismissedAppOpening,6.0,America/Sao_Paulo,
False,tikTok,breathingExercise,1750636537.3615608,dismissedAppOpening,6.0,America/Sao_Paulo,
False,tikTok,breathingExercise,1750636668.2946491,dismissedAppOpening,6.0,America/Sao_Paulo,
False,tikTok,breathingExercise,1750636694.414369,openedApp,6.0,America/Sao_Paulo,Entretenimento
False,tikTok,breathingExercise,1750638164.838738,openedApp,6.0,America/Sao_Paulo,Distração
False,tikTok,breathingExercise,1750639928.095937,dismissedAppOpening,6.0,America/Sao_Paulo,
False,tikTok,breathingExercise,1750642963.4023008,openedApp,6.0,America/Sao_Paulo,Ficar por dentro
False,tikTok,breathingExercise,1750643053.519084,openedApp,6.0,America/Sao_Paulo,Ficar por dentro
False,instagram,breathingExercise,1750644641.074213,openedApp,6.0,America/Sao_Paulo,Ficar por dentro
False,instagram,breathingExercise,1750678260.574467,dismissedAppOpening,6.0,America/Sao_Paulo,
False,instagram,breathingExercise,1750678306.840122,openedApp,6.0,America/Sao_Paulo,Ficar por dentro
False,instagram,breathingExercise,1750678735.137034,dismissedAppOpening,6.0,America/Sao_Paulo,
False,instagram,breathingExercise,1750679422.666542,dismissedAppOpening,6.0,America/Sao_Paulo,
False,instagram,breathingExercise,1750685439.912418,dismissedAppOpening,6.0,America/Sao_Paulo,
False,instagram,breathingExercise,1750688092.8474631,openedApp,6.0,America/Sao_Paulo,Ficar por dentro
False,instagram,breathingExercise,1750688364.041552,dismissedAppOpening,6.0,America/Sao_Paulo,
False,instagram,breathingExercise,1750688370.856643,dismissedAppOpening,6.0,America/Sao_Paulo,
False,instagram,breathingExercise,1750688718.333822,openedApp,6.0,America/Sao_Paulo,Ficar por dentro
False,instagram,breathingExercise,1750688926.871381,dismissedAppOpening,6.0,America/Sao_Paulo,
False,instagram,breathingExercise,1750693881.567055,openedApp,6.0,America/Sao_Paulo,Ficar por dentro
False,instagram,breathingExercise,1750696798.6933799,openedApp,6.0,America/Sao_Paulo,Distração
False,instagram,breathingExercise,1750701900.784305,dismissedAppOpening,6.0,America/Sao_Paulo,
False,instagram,breathingExercise,1750704069.6532311,dismissedAppOpening,6.0,America/Sao_Paulo,
False,instagram,breathingExercise,1750704091.2773252,openedApp,6.0,America/Sao_Paulo,Ficar por dentro
False,instagram,breathingExercise,1750705633.7158442,dismissedAppOpening,6.0,America/Sao_Paulo,
False,instagram,breathingExercise,1750707763.362063,dismissedAppOpening,6.0,America/Sao_Paulo,
False,tikTok,breathingExercise,1750707787.860482,openedApp,6.0,America/Sao_Paulo,Distração
False,instagram,breathingExercise,1750711485.84341,openedApp,6.0,America/Sao_Paulo,Distração
False,instagram,breathingExercise,1750713153.733489,dismissedAppOpening,6.0,America/Sao_Paulo,
False,instagram,breathingExercise,1750713248.9156241,dismissedAppOpening,6.0,America/Sao_Paulo,
False,instagram,breathingExercise,1750713273.079019,dismissedAppOpening,6.0,America/Sao_Paulo,
False,instagram,breathingExercise,1750713728.638217,dismissedAppOpening,6.0,America/Sao_Paulo,
False,instagram,breathingExercise,1750713747.115113,openedApp,6.0,America/Sao_Paulo,Entretenimento
False,instagram,breathingExercise,1750714180.114135,dismissedAppOpening,6.0,America/Sao_Paulo,
False,instagram,breathingExercise,1750714224.827322,openedApp,6.0,America/Sao_Paulo,Distração
False,instagram,breathingExercise,1750714377.475291,dismissedAppOpening,6.0,America/Sao_Paulo,
False,tikTok,breathingExercise,1750714466.471239,openedApp,6.0,America/Sao_Paulo,Entretenimento
False,instagram,breathingExercise,1750715060.844199,dismissedAppOpening,6.0,America/Sao_Paulo,
False,tikTok,breathingExercise,1750715712.470696,openedApp,6.0,America/Sao_Paulo,Entretenimento
False,instagram,breathingExercise,1750718223.80178,dismissedAppOpening,6.0,America/Sao_Paulo,
False,tikTok,breathingExercise,1750718241.221194,openedApp,6.0,America/Sao_Paulo,Ficar por dentro
False,tikTok,breathingExercise,1750719072.098915,openedApp,6.0,America/Sao_Paulo,Distração
False,tikTok,breathingExercise,1750722787.403675,dismissedAppOpening,6.0,America/Sao_Paulo,
False,tikTok,breathingExercise,1750722867.743588,openedApp,6.0,America/Sao_Paulo,Distração
False,tikTok,breathingExercise,1750726509.724747,openedApp,6.0,America/Sao_Paulo,Distração
False,tikTok,breathingExercise,1750726923.382288,dismissedAppOpening,6.0,America/Sao_Paulo,
