resolution,timezone,timestamp,interventionType,timeIntervalUntilReIntervention,isReIntervention,interventionDuration,app,purpose
openedApp,Europe/Berlin,1750066559.070867,askForTimeLimit,300.0,False,6,instagram,
openedApp,Europe/Berlin,1750068829.450414,askForTimeLimit,300.0,False,6,instagram,
dismissedAppOpening,Europe/Berlin,1750070058.706736,askForTimeLimit,,False,6,instagram,
dismissedAppOpening,Europe/Berlin,1750070115.205416,askForTimeLimit,,False,6,instagram,
dismissedAppOpening,Europe/Berlin,1750070252.5737,askForTimeLimit,,False,6,instagram,
openedApp,Europe/Berlin,1750070599.775159,askForTimeLimit,600.0,False,6,instagram,
openedApp,Europe/Berlin,1750070650.83103,askForTimeLimit,540.0,False,6,instagram,
dismissedAppOpening,Europe/Berlin,1750070969.1361852,askForTimeLimit,,False,6,instagram,
dismissedAppOpening,Europe/Berlin,1750071254.399507,askForTimeLimit,,False,6,instagram,
openedApp,Europe/Berlin,1750071259.740128,askForTimeLimit,420.0,False,6,instagram,
openedApp,Europe/Berlin,1750078399.876015,askForTimeLimit,300.0,False,6,instagram,
openedApp,Europe/Berlin,1750078990.383528,breathingExercise,300.0,False,6,instagram,weil mir langweilig ist und ich prokastiniere 
openedApp,Europe/Berlin,1750082165.520671,askForTimeLimit,360.0,False,6,instagram,
openedApp,Europe/Berlin,1750082557.930207,breathingExercise,300.0,False,6,instagram,:(
openedApp,Europe/Berlin,1750084362.223007,breathingExercise,600.0,False,6,instagram,damit ich kacken ksnn 
openedApp,Europe/Berlin,1750085784.3049378,askForTimeLimit,120.0,False,6,instagram,
openedApp,Europe/Berlin,1750089331.3197498,askForTimeLimit,480.0,False,6,instagram,
openedApp,Europe/Berlin,1750089979.512317,askForTimeLimit,300.0,False,6,instagram,
openedApp,Europe/Berlin,1750090314.0639238,breathingExercise,600.0,False,6,instagram,langweile 
openedApp,Europe/Berlin,1750090948.7489161,breathingExercise,480.0,False,6,instagram,CH WARTEEE
openedApp,Europe/Berlin,1750091565.254256,breathingExercise,600.0,False,6,instagram,😭😭
