interventionType,isReIntervention,timezone,interventionDuration,timestamp,resolution,app,purpose,timeIntervalUntilReIntervention
breathingExercise,False,Asia/Kolkata,6.0,1752313366.278166,dismissedAppOpening,instagram,,
breathingExercise,False,Asia/Kolkata,6.0,1752313382.039132,openedApp,instagram,Message,
,False,Asia/Kolkata,,1752313323.721525,openedApp,instagram,,
,False,Asia/Kolkata,,1752313383.7215261,closedApp,instagram,,
,False,Asia/Kolkata,,1752313383.7215261,dismissedAppOpening,instagram,,
,False,Asia/Kolkata,,1752313397.1707149,openedApp,youtube,,
,False,Asia/Kolkata,,1752313577.170716,closedApp,youtube,,
,False,Asia/Kolkata,,1752313577.170716,dismissedAppOpening,youtube,,
,False,Asia/Kolkata,,1752339765.769233,openedApp,instagram,,
,False,Asia/Kolkata,,1752339825.769233,closedApp,instagram,,
,False,Asia/Kolkata,,1752339825.769233,dismissedAppOpening,instagram,,
,False,Asia/Kolkata,,1752345221.708497,openedApp,instagram,,
,False,Asia/Kolkata,,1752345281.708497,closedApp,instagram,,
,False,Asia/Kolkata,,1752345281.708497,dismissedAppOpening,instagram,,
breathingExercise,False,Asia/Kolkata,6.0,1752346343.8002129,openedApp,youtube,Need to check,600.0
,False,Asia/Kolkata,,1752346046.321713,openedApp,youtube,,
,False,Asia/Kolkata,,1752346346.321714,closedApp,youtube,,
,False,Asia/Kolkata,,1752346346.321714,dismissedAppOpening,youtube,,
,False,Asia/Kolkata,,1752346366.2251601,closedApp,youtube,,
,False,Asia/Kolkata,,1752346446.4138842,closedApp,youtube,,
breathingExercise,False,Asia/Kolkata,6.0,1752370203.299049,dismissedAppOpening,instagram,,
breathingExercise,True,Asia/Kolkata,6.0,1752370692.018776,openedApp,youtube,Need to check,240.0
breathingExercise,False,Asia/Kolkata,6.0,1752370830.766298,openedApp,youtube,Need to check,
,False,Asia/Kolkata,,1752370595.753065,openedApp,youtube,,
,False,Asia/Kolkata,,1752370895.753066,closedApp,youtube,,
,False,Asia/Kolkata,,1752370895.753066,dismissedAppOpening,youtube,,
breathingExercise,False,Asia/Kolkata,6.0,1752373590.919149,openedApp,instagram,Due to wife,
,False,Asia/Kolkata,,1752373413.9999151,openedApp,instagram,,
,False,Asia/Kolkata,,1752373653.9999151,closedApp,instagram,,
,False,Asia/Kolkata,,1752373653.9999151,dismissedAppOpening,instagram,,
breathingExercise,False,Asia/Kolkata,6.0,1752374744.7493172,openedApp,instagram,Due to wife,
breathingExercise,False,Asia/Kolkata,6.0,1752374826.808766,openedApp,instagram,Due to wife,
breathingExercise,False,Asia/Kolkata,6.0,1752375085.2378101,openedApp,instagram,Message,
breathingExercise,False,Asia/Kolkata,6.0,1752375344.723699,openedApp,instagram,Due to wife,
,False,Asia/Kolkata,,1752375164.644884,openedApp,instagram,,
,False,Asia/Kolkata,,1752375404.644884,closedApp,instagram,,
,False,Asia/Kolkata,,1752375404.644884,dismissedAppOpening,instagram,,
breathingExercise,False,Asia/Kolkata,6.0,1752379568.724886,openedApp,youtube,Need to check,
breathingExercise,False,Asia/Kolkata,6.0,1752386781.87964,openedApp,instagram,Due to wife,
breathingExercise,False,Asia/Kolkata,6.0,1752387161.1674361,openedApp,instagram,Due to wife,
,False,Asia/Kolkata,,1752387341.1540399,openedApp,instagram,,
,False,Asia/Kolkata,,1752387581.1540442,closedApp,instagram,,
,False,Asia/Kolkata,,1752387581.1540442,dismissedAppOpening,instagram,,
breathingExercise,False,Asia/Kolkata,6.0,1752394719.177328,openedApp,youtube,Message,
breathingExercise,False,Asia/Kolkata,6.0,1752395160.519135,openedApp,youtube,Message,
,False,Asia/Kolkata,,1752395224.387152,openedApp,youtube,,
,False,Asia/Kolkata,,1752395524.387152,closedApp,youtube,,
,False,Asia/Kolkata,,1752395524.387152,dismissedAppOpening,youtube,,
breathingExercise,False,Asia/Kolkata,6.0,1752396102.93607,openedApp,instagram,Message,
breathingExercise,False,Asia/Kolkata,6.0,1752396652.0125542,dismissedAppOpening,instagram,,
breathingExercise,False,Asia/Kolkata,6.0,1752396777.3626251,openedApp,instagram,Message,
breathingExercise,False,Asia/Kolkata,6.0,1752397098.093711,openedApp,instagram,Check likes,
breathingExercise,False,Asia/Kolkata,6.0,1752397178.252132,openedApp,instagram,Message,
breathingExercise,False,Asia/Kolkata,6.0,1752413797.9118009,openedApp,youtube,Check likes,
breathingExercise,False,Asia/Kolkata,6.0,1752413879.1433191,openedApp,youtube,Relax,
breathingExercise,False,Asia/Kolkata,6.0,1752414258.68167,openedApp,youtube,Message,
