resolution,timezone,app,isReIntervention,interventionType,interventionDuration,timestamp,purpose
dismissedAppOpening,Asia/Riyadh,snapchat,False,breathingExercise,6.0,1750199040.3072162,
dismissedAppOpening,Asia/Riyadh,snapchat,False,breathingExercise,6.0,1750292810.4511418,
dismissedAppOpening,Asia/Riyadh,whastapp,False,breathingExercise,6.0,1750436228.8454142,
dismissedAppOpening,Asia/Riyadh,snapchat,False,breathingExercise,6.0,1750440240.48963,
dismissedAppOpening,Asia/Riyadh,whastapp,False,breathingExercise,6.0,1750514760.720605,
openedApp,Asia/Riyadh,whastapp,False,breathingExercise,6.0,1750514810.87289,to respond to my friend; he has a serious topic with his sis
openedApp,Asia/Riyadh,whastapp,False,breathingExercise,6.0,1750515669.022011,really I need to use it
openedApp,Asia/Riyadh,snapchat,False,breathingExercise,6.0,1750550861.1915932,Entertainment
openedApp,Asia/Riyadh,whastapp,False,breathingExercise,6.0,1750642697.090963,To check my friend's response regarding his lil sis health condition
openedApp,Asia/Riyadh,whastapp,False,breathingExercise,6.0,1750704170.913288,Look for an important thing
openedApp,Asia/Riyadh,youtube,False,breathingExercise,6.0,1750774294.986357,Entertainment
dismissedAppOpening,Asia/Riyadh,snapchat,False,breathingExercise,6.0,1750805978.2568479,
openedApp,Asia/Riyadh,snapchat,False,breathingExercise,6.0,1750806005.1842,Learning
openedApp,Asia/Riyadh,snapchat,False,breathingExercise,6.0,1750806240.2552361,Learning about investment
openedApp,Asia/Riyadh,youtube,False,breathingExercise,6.0,1750860346.8154712,Entertainment until I finish my lunch
openedApp,Asia/Riyadh,whastapp,False,breathingExercise,6.0,1750862788.059513,To send a request
openedApp,Asia/Riyadh,snapchat,False,breathingExercise,6.0,1750869145.493197,Entertainment
openedApp,Asia/Riyadh,whastapp,False,breathingExercise,6.0,1751059124.095418,Fix a mistake
closedApp,Asia/Riyadh,twitter,False,,,1751069903.2900538,
closedApp,Asia/Riyadh,twitter,False,,,1751071606.4671612,
closedApp,Asia/Riyadh,twitter,False,,,1751075207.064312,
closedApp,Asia/Riyadh,twitter,False,,,1751075234.558696,
closedApp,Asia/Riyadh,twitter,False,,,1751075251.872927,
closedApp,Asia/Riyadh,twitter,False,,,1751075263.415835,
dismissedAppOpening,Asia/Riyadh,twitter,False,breathingExercise,6.0,1751075301.743607,
openedApp,Asia/Riyadh,whastapp,False,breathingExercise,6.0,1751133652.1850262,The app is glitchy and I have to check Whatsapp
closedApp,Asia/Riyadh,instagram,False,,,1751133848.844938,
closedApp,Asia/Riyadh,instagram,False,,,1751134314.14976,
closedApp,Asia/Riyadh,instagram,False,,,1751134452.021071,
closedApp,Asia/Riyadh,instagram,False,,,1751134454.092054,
dismissedAppOpening,Asia/Riyadh,youtube,False,breathingExercise,6.0,1751134472.976814,
closedApp,Asia/Riyadh,instagram,False,,,1751138565.1841068,
dismissedAppOpening,Asia/Riyadh,youtube,False,breathingExercise,6.0,1751139008.311446,
openedApp,Asia/Riyadh,twitter,False,breathingExercise,6.0,1751140694.3565369,Entertainment
openedApp,Asia/Riyadh,snapchat,False,breathingExercise,6.0,1751152042.713603,Entertainment
closedApp,Asia/Riyadh,tikTok,False,,,1751152803.838763,
closedApp,Asia/Riyadh,tikTok,False,,,1751152811.4821448,
closedApp,Asia/Riyadh,tikTok,False,,,1751153203.982362,
openedApp,Asia/Riyadh,youtube,False,breathingExercise,6.0,1751155604.164637,To look for cookies recipe
openedApp,Asia/Riyadh,twitter,False,breathingExercise,6.0,1751160580.645268,To check news
closedApp,Asia/Riyadh,twitter,False,,,1751161658.868473,
openedApp,Asia/Riyadh,whastapp,False,breathingExercise,6.0,1751193748.862163,to respond to my friend
openedApp,Asia/Riyadh,youtube,False,breathingExercise,6.0,1751238669.721377,Entertainment
