resolution,isReIntervention,timestamp,timezone,app,interventionDuration,interventionType
openedApp,False,1751021228.334855,America/Sao_Paulo,instagram,,
closedApp,False,1751021408.334855,America/Sao_Paulo,instagram,,
dismissedAppOpening,False,1751021408.334855,America/Sao_Paulo,instagram,,
openedApp,False,1751043734.004426,America/Sao_Paulo,instagram,,
closedApp,False,1751043914.004426,America/Sao_Paulo,instagram,,
dismissedAppOpening,False,1751043914.004426,America/Sao_Paulo,instagram,,
openedApp,False,1751045237.309288,America/Sao_Paulo,instagram,,
closedApp,False,1751045417.309288,America/Sao_Paulo,instagram,,
dismissedAppOpening,False,1751045417.309288,America/Sao_Paulo,instagram,,
openedApp,False,1751045522.0704598,America/Sao_Paulo,instagram,,
closedApp,False,1751045702.0704598,America/Sao_Paulo,instagram,,
dismissedAppOpening,False,1751045702.0704598,America/Sao_Paulo,instagram,,
dismissedAppOpening,False,1751045771.768081,America/Sao_Paulo,instagram,6.0,breathingExercise
openedApp,False,1751050223.725991,America/Sao_Paulo,instagram,,
closedApp,False,1751050403.725992,America/Sao_Paulo,instagram,,
dismissedAppOpening,False,1751050403.725992,America/Sao_Paulo,instagram,,
openedApp,False,1751052415.096435,America/Sao_Paulo,instagram,,
closedApp,False,1751052595.096435,America/Sao_Paulo,instagram,,
dismissedAppOpening,False,1751052595.096435,America/Sao_Paulo,instagram,,
openedApp,False,1751060109.2643209,America/Sao_Paulo,instagram,,
closedApp,False,1751060289.2643209,America/Sao_Paulo,instagram,,
dismissedAppOpening,False,1751060289.2643209,America/Sao_Paulo,instagram,,
openedApp,False,1751064541.297625,America/Sao_Paulo,instagram,,
closedApp,False,1751064721.297625,America/Sao_Paulo,instagram,,
dismissedAppOpening,False,1751064721.297625,America/Sao_Paulo,instagram,,
openedApp,False,1751069037.3636742,America/Sao_Paulo,instagram,,
closedApp,False,1751069217.3636742,America/Sao_Paulo,instagram,,
dismissedAppOpening,False,1751069217.363675,America/Sao_Paulo,instagram,,
openedApp,False,1751072537.302402,America/Sao_Paulo,instagram,,
closedApp,False,1751072717.302403,America/Sao_Paulo,instagram,,
dismissedAppOpening,False,1751072717.302403,America/Sao_Paulo,instagram,,
openedApp,False,1751120814.7451138,America/Sao_Paulo,instagram,,
closedApp,False,1751120994.7451138,America/Sao_Paulo,instagram,,
dismissedAppOpening,False,1751120994.7451138,America/Sao_Paulo,instagram,,
