timestamp,isReIntervention,app,resolution,timezone,interventionType,interventionDuration
1750286299.243537,False,instagram,openedApp,America/Santiago,,
1750286359.243537,False,instagram,closedApp,America/Santiago,,
1750286359.243537,False,instagram,dismissedAppOpening,America/Santiago,,
1750286385.191392,False,instagram,openedApp,America/Santiago,breathingExercise,6.0
1750295425.301419,False,instagram,dismissedAppOpening,America/Santiago,breathingExercise,6.0
1750297675.3396258,False,instagram,openedApp,America/Santiago,,
1750297735.3396258,False,instagram,closedApp,America/Santiago,,
1750297735.3396258,False,instagram,dismissedAppOpening,America/Santiago,,
1750297755.717544,False,instagram,openedApp,America/Santiago,breathingExercise,6.0
1750298078.649516,False,instagram,openedApp,America/Santiago,breathingExercise,6.0
1750298401.30626,False,instagram,openedApp,America/Santiago,breathingExercise,6.0
1750298497.754784,False,instagram,openedApp,America/Santiago,breathingExercise,6.0
1750351816.321466,False,instagram,openedApp,America/Santiago,breathingExercise,6.0
1750355717.693914,False,instagram,openedApp,America/Santiago,breathingExercise,6.0
1750356618.3930821,False,instagram,openedApp,America/Santiago,breathingExercise,6.0
1750358205.88146,False,instagram,openedApp,America/Santiago,breathingExercise,6.0
1750360844.462439,False,instagram,openedApp,America/Santiago,breathingExercise,6.0
1750361287.714449,False,instagram,openedApp,America/Santiago,,
1750361347.714449,False,instagram,closedApp,America/Santiago,,
1750361347.714449,False,instagram,dismissedAppOpening,America/Santiago,,
1750361925.014419,False,instagram,openedApp,America/Santiago,breathingExercise,6.0
1750366486.8052921,False,instagram,openedApp,America/Santiago,breathingExercise,6.0
1750370911.931525,False,instagram,openedApp,America/Santiago,,
1750370971.931525,False,instagram,closedApp,America/Santiago,,
1750370971.931525,False,instagram,dismissedAppOpening,America/Santiago,,
1750370958.04497,False,instagram,openedApp,America/Santiago,,
1750371018.04497,False,instagram,closedApp,America/Santiago,,
1750371018.04497,False,instagram,dismissedAppOpening,America/Santiago,,
1750371921.8175821,False,instagram,openedApp,America/Santiago,breathingExercise,6.0
1750373264.553618,False,instagram,openedApp,America/Santiago,,
1750373324.553618,False,instagram,closedApp,America/Santiago,,
1750373324.553618,False,instagram,dismissedAppOpening,America/Santiago,,
1750373796.726181,False,instagram,openedApp,America/Santiago,breathingExercise,6.0
1750374192.903994,False,instagram,openedApp,America/Santiago,breathingExercise,6.0
1750377004.4342709,False,instagram,openedApp,America/Santiago,,
1750377064.4342709,False,instagram,closedApp,America/Santiago,,
1750377064.4342709,False,instagram,dismissedAppOpening,America/Santiago,,
1750377553.442137,False,instagram,openedApp,America/Santiago,breathingExercise,6.0
1750377820.2064219,False,instagram,openedApp,America/Santiago,,
1750377880.206423,False,instagram,closedApp,America/Santiago,,
1750377880.206423,False,instagram,dismissedAppOpening,America/Santiago,,
1750378442.006476,False,instagram,openedApp,America/Santiago,breathingExercise,6.0
1750385693.855225,False,instagram,openedApp,America/Santiago,,
1750385753.855226,False,instagram,closedApp,America/Santiago,,
1750385753.855226,False,instagram,dismissedAppOpening,America/Santiago,,
1750387488.8842192,False,instagram,openedApp,America/Santiago,,
1750387548.8842192,False,instagram,closedApp,America/Santiago,,
1750387548.8842192,False,instagram,dismissedAppOpening,America/Santiago,,
1750387496.417708,False,instagram,openedApp,America/Santiago,,
1750387556.417708,False,instagram,closedApp,America/Santiago,,
1750387556.417708,False,instagram,dismissedAppOpening,America/Santiago,,
1750387505.9490361,False,instagram,openedApp,America/Santiago,,
