resolution,interventionDuration,interventionType,timestamp,timezone,timeIntervalUntilReIntervention,app,isReIntervention
openedApp,1.5,breathingExercise,1752000807.591703,America/Sao_Paulo,180.0,instagram,True
openedApp,1.5,breathingExercise,1752000846.847575,America/Sao_Paulo,180.0,instagram,True
openedApp,1.5,askForTimeLimit,1752003855.194654,America/Sao_Paulo,180.0,instagram,False
openedApp,1.5,askForTimeLimit,1752003895.6168451,America/Sao_Paulo,1920.0,tikTok,False
openedApp,1.5,askForTimeLimit,1752005019.714213,America/Sao_Paulo,120.0,instagram,False
openedApp,1.5,askForTimeLimit,1752005126.835598,America/Sao_Paulo,180.0,instagram,False
dismissedAppOpening,1.5,askForTimeLimit,1752005345.055214,America/Sao_Paulo,,instagram,False
openedApp,1.5,askForTimeLimit,1752006305.5565748,America/Sao_Paulo,120.0,instagram,False
openedApp,1.5,askForTimeLimit,1752006960.372631,America/Sao_Paulo,180.0,instagram,False
openedApp,1.5,askForTimeLimit,1752006967.357774,America/Sao_Paulo,1800.0,tikTok,False
openedApp,1.5,askForTimeLimit,1752012177.1026192,America/Sao_Paulo,120.0,instagram,False
openedApp,1.5,askForTimeLimit,1752012403.789258,America/Sao_Paulo,120.0,instagram,False
openedApp,1.5,askForTimeLimit,1752012501.7113008,America/Sao_Paulo,180.0,instagram,False
openedApp,1.5,askForTimeLimit,1752012661.326266,America/Sao_Paulo,180.0,instagram,False
openedApp,1.5,askForTimeLimit,1752012829.099479,America/Sao_Paulo,180.0,instagram,False
openedApp,1.5,askForTimeLimit,1752014446.551725,America/Sao_Paulo,120.0,instagram,False
openedApp,1.5,breathingExercise,1752017017.8570619,America/Sao_Paulo,180.0,instagram,True
openedApp,1.5,askForTimeLimit,1752017116.386107,America/Sao_Paulo,180.0,tikTok,False
openedApp,1.5,askForTimeLimit,1752017270.841062,America/Sao_Paulo,480.0,tikTok,False
openedApp,1.5,askForTimeLimit,1752021214.069551,America/Sao_Paulo,180.0,instagram,False
openedApp,1.5,askForTimeLimit,1752021684.324296,America/Sao_Paulo,180.0,instagram,False
openedApp,1.5,askForTimeLimit,1752022096.463938,America/Sao_Paulo,180.0,instagram,False
dismissedAppOpening,1.5,askForTimeLimit,1752022280.176087,America/Sao_Paulo,,tikTok,False
openedApp,1.5,askForTimeLimit,1752022286.7434568,America/Sao_Paulo,720.0,tikTok,False
openedApp,1.5,askForTimeLimit,1752022525.940377,America/Sao_Paulo,480.0,tikTok,False
openedApp,1.5,breathingExercise,1752023016.784173,America/Sao_Paulo,1380.0,tikTok,True
openedApp,1.5,breathingExercise,1752024409.205431,America/Sao_Paulo,240.0,tikTok,False
openedApp,1.5,askForTimeLimit,1752057269.062356,America/Sao_Paulo,180.0,instagram,False
openedApp,1.5,askForTimeLimit,1752057347.665825,America/Sao_Paulo,300.0,tikTok,False
openedApp,1.5,breathingExercise,1752057657.617982,America/Sao_Paulo,720.0,tikTok,True
openedApp,1.5,askForTimeLimit,1752058382.255947,America/Sao_Paulo,120.0,instagram,False
dismissedAppOpening,1.5,breathingExercise,1752058417.193681,America/Sao_Paulo,,tikTok,False
dismissedAppOpening,1.5,askForTimeLimit,1752058812.413578,America/Sao_Paulo,,instagram,False
openedApp,1.5,askForTimeLimit,1752059352.927051,America/Sao_Paulo,120.0,instagram,False
openedApp,1.5,askForTimeLimit,1752060008.1129122,America/Sao_Paulo,120.0,instagram,False
dismissedAppOpening,1.5,askForTimeLimit,1752060147.286417,America/Sao_Paulo,,instagram,False
openedApp,1.5,askForTimeLimit,1752060809.034796,America/Sao_Paulo,120.0,instagram,False
dismissedAppOpening,1.5,askForTimeLimit,1752060884.046298,America/Sao_Paulo,,instagram,False
openedApp,1.5,askForTimeLimit,1752060887.1571789,America/Sao_Paulo,300.0,tikTok,False
openedApp,1.5,askForTimeLimit,1752061156.439892,America/Sao_Paulo,120.0,instagram,False
openedApp,1.5,breathingExercise,1752061286.708077,America/Sao_Paulo,120.0,instagram,True
openedApp,1.5,askForTimeLimit,1752061377.12253,America/Sao_Paulo,780.0,tikTok,False
openedApp,1.5,askForTimeLimit,1752061659.4361172,America/Sao_Paulo,120.0,instagram,False
openedApp,1.5,askForTimeLimit,1752061674.029222,America/Sao_Paulo,720.0,tikTok,False
openedApp,1.5,askForTimeLimit,1752061806.561243,America/Sao_Paulo,180.0,instagram,False
