resolution,timezone,timestamp,interventionType,app,interventionDuration,isReIntervention,purpose,timeIntervalUntilReIntervention,terminationReason
openedApp,America/New_York,1752710221.795829,breathingExercise,safari,6.0,0.0,,,
openedApp,America/New_York,1752710409.632997,breathingExercise,safari,6.0,0.0,testing 1 app setup,60.0,
openedApp,America/New_York,1752710496.390934,breathingExercise,safari,6.0,0.0,testing bro,60.0,
dismissedAppOpening,America/New_York,1752710674.810255,breathingExercise,applePhotos,6.0,0.0,,,
dismissedAppOpening,America/New_York,1752711119.393601,breathingExercise,safari,6.0,0.0,,,
dismissedAppOpening,America/New_York,1752712707.480068,breathingExercise,spotify,6.0,0.0,,,
openedApp,America/New_York,1752712734.04252,breathingExercise,spotify,6.0,0.0,audiobook,,
dismissedAppOpening,America/New_York,1752712885.871345,breathingExercise,spotify,6.0,0.0,,,
dismissedAppOpening,America/New_York,1752712903.174422,breathingExercise,safari,6.0,0.0,,,
dismissedAppOpening,America/New_York,1752713243.553375,breathingExercise,safari,6.0,0.0,,,
dismissedAppOpening,America/New_York,1752713664.593937,breathingExercise,whastapp,6.0,0.0,,,
dismissedAppOpening,America/New_York,1752713832.763157,breathingExercise,whastapp,6.0,0.0,,,
openedApp,America/New_York,1752713960.885077,breathingExercise,safari,6.0,0.0,you,60.0,
openedApp,America/New_York,1752718536.3029351,breathingExercise,whastapp,6.0,0.0,y,900.0,
closedApp,America/New_York,1752713976.139457,,safari,,0.0,,,
dismissedAppOpening,America/New_York,1752718769.466127,breathingExercise,whastapp,6.0,0.0,,,
dismissedAppOpening,America/New_York,1752719659.455412,breathingExercise,whastapp,6.0,0.0,,,
dismissedAppOpening,America/New_York,1752720107.0585132,breathingExercise,whastapp,6.0,0.0,,,
dismissedAppOpening,America/New_York,1752722060.993145,breathingExercise,whastapp,6.0,0.0,,,
openedApp,America/New_York,1752722130.881971,breathingExercise,whastapp,6.0,0.0,y,300.0,
dismissedAppOpening,America/New_York,1752728006.9717932,breathingExercise,whastapp,6.0,0.0,,,
dismissedAppOpening,America/New_York,1752728009.149551,breathingExercise,whastapp,6.0,0.0,,,
dismissedAppOpening,America/New_York,1752728560.354034,breathingExercise,whastapp,6.0,0.0,,,
dismissedAppOpening,America/New_York,1752809229.5262408,breathingExercise,whastapp,6.0,0.0,,,
dismissedAppOpening,America/New_York,1752809293.027182,breathingExercise,whastapp,6.0,0.0,,,
openedApp,America/New_York,1752809327.588557,breathingExercise,whastapp,6.0,0.0,ya,300.0,
dismissedAppOpening,America/New_York,1752809783.7298899,breathingExercise,whastapp,6.0,0.0,,,
dismissedAppOpening,America/New_York,1752809963.723195,breathingExercise,whastapp,6.0,0.0,,,
openedApp,America/New_York,1752810112.270183,breathingExercise,safari,6.0,0.0,y,900.0,
openedApp,America/New_York,1752810150.1215448,breathingExercise,whastapp,6.0,0.0,whatsapp,900.0,
dismissedAppOpening,America/New_York,1752810885.922591,breathingExercise,whastapp,6.0,0.0,,,
dismissedAppOpening,America/New_York,1752810895.7143722,breathingExercise,whastapp,6.0,0.0,,,
dismissedAppOpening,America/New_York,1752810897.801563,breathingExercise,whastapp,6.0,0.0,,,
openedApp,America/New_York,1752810933.6280298,breathingExercise,whastapp,6.0,0.0,y,900.0,
openedApp,America/New_York,1752811210.900239,breathingExercise,whastapp,6.0,0.0,y,900.0,
dismissedAppOpening,America/New_York,1752813012.4610748,breathingExercise,whastapp,6.0,0.0,,,
openedApp,America/New_York,1752861919.802267,breathingExercise,whastapp,6.0,0.0,y,900.0,
dismissedAppOpening,America/New_York,1752868080.709652,breathingExercise,whastapp,6.0,0.0,,,
openedApp,America/New_York,1752868137.596703,breathingExercise,whastapp,6.0,0.0,y,480.0,
openedApp,America/New_York,1752871357.015276,breathingExercise,whastapp,6.0,0.0,y,600.0,
openedApp,America/New_York,1752874034.069807,breathingExercise,whastapp,6.0,0.0,y,480.0,
openedApp,America/New_York,1752874162.309098,breathingExercise,whastapp,6.0,0.0,y,900.0,
openedApp,America/New_York,1752874340.045049,breathingExercise,whastapp,6.0,0.0,yaraa,900.0,
dismissedAppOpening,America/New_York,1752874749.153331,breathingExercise,whastapp,6.0,0.0,,,
openedApp,America/New_York,1752874796.906414,breathingExercise,whastapp,6.0,0.0,yara,900.0,
openedApp,America/New_York,1752874946.0283341,breathingExercise,whastapp,6.0,0.0,y,240.0,
openedApp,America/New_York,1752875395.7774758,breathingExercise,whastapp,6.0,0.0,yara,180.0,
openedApp,America/New_York,1752875610.550744,breathingExercise,whastapp,6.0,1.0,y,180.0,
dismissedAppOpening,America/New_York,1752878320.855754,breathingExercise,safari,6.0,0.0,,,
openedApp,America/New_York,1752878347.1225219,breathingExercise,safari,6.0,0.0,poses,480.0,
closedApp,America/New_York,1752878417.761858,,safari,,0.0,,,
openedApp,America/New_York,1752879719.6706228,breathingExercise,safari,6.0,0.0,y,900.0,
closedApp,America/New_York,1752879887.587256,,safari,,0.0,,,
openedApp,America/New_York,1752880279.794568,breathingExercise,safari,6.0,0.0,t,60.0,
closedApp,America/New_York,1752880343.171679,,safari,,0.0,,,
openedApp,America/New_York,1752880376.426036,breathingExercise,safari,6.0,1.0,y,540.0,
openedApp,America/New_York,1752882039.043895,breathingExercise,safari,6.0,0.0,dog,900.0,
closedApp,America/New_York,1752882146.0478091,,safari,,0.0,,,
dismissedAppOpening,America/New_York,1752882529.3752,breathingExercise,safari,6.0,0.0,,,
openedApp,America/New_York,1752882562.5880089,breathingExercise,applePhotos,6.0,0.0,duck,900.0,
openedApp,America/New_York,1752884792.2036982,breathingExercise,applePhotos,6.0,0.0,jeremy,900.0,
openedApp,America/New_York,1752884941.295586,breathingExercise,applePhotos,6.0,0.0,t,900.0,
dismissedAppOpening,America/New_York,1752885796.991612,breathingExercise,applePhotos,6.0,1.0,,,
openedApp,America/New_York,1752885835.2663631,breathingExercise,applePhotos,6.0,0.0,j,900.0,
dismissedAppOpening,America/New_York,1752886459.5230188,breathingExercise,applePhotos,6.0,0.0,,,
openedApp,America/New_York,1752886586.391403,breathingExercise,whastapp,6.0,0.0,y,900.0,
openedApp,America/New_York,1752889942.367055,breathingExercise,whastapp,6.0,0.0,yara,900.0,
openedApp,America/New_York,1752890351.171509,breathingExercise,applePhotos,6.0,0.0,y,900.0,
openedApp,America/New_York,1752943634.4730659,breathingExercise,whastapp,6.0,0.0,jeremy,900.0,
openedApp,America/New_York,1752944019.1682448,breathingExercise,whastapp,6.0,0.0,yaraaa,900.0,
openedApp,America/New_York,1752944663.093917,breathingExercise,gmail,6.0,0.0,gmail,,
openedApp,America/New_York,1752944798.0540051,breathingExercise,gmail,6.0,0.0,.,,
