app,interventionType,timezone,interventionDuration,timestamp,isReIntervention,resolution
instagram,breathingExercise,Europe/Berlin,6,1750436483.8867102,False,dismissedAppOpening
instagram,breathingExercise,Europe/Berlin,6,1750438161.776371,False,dismissedAppOpening
instagram,breathingExercise,Europe/Berlin,6,1750438227.741674,False,dismissedAppOpening
instagram,breathingExercise,Europe/Berlin,6,1750438687.797658,False,dismissedAppOpening
instagram,breathingExercise,Europe/Berlin,6,1750440423.76894,False,dismissedAppOpening
instagram,breathingExercise,Europe/Berlin,6,1750455167.7173162,False,openedApp
instagram,breathingExercise,Europe/Berlin,6,1750457014.841682,False,dismissedAppOpening
instagram,breathingExercise,Europe/Berlin,6,1750457138.930801,False,dismissedAppOpening
instagram,breathingExercise,Europe/Berlin,6,1750459790.0850282,False,dismissedAppOpening
instagram,breathingExercise,Europe/Berlin,6,1750459839.1100888,False,dismissedAppOpening
instagram,breathingExercise,Europe/Berlin,6,1750503903.794788,False,dismissedAppOpening
instagram,breathingExercise,Europe/Berlin,6,1750505635.375679,False,openedApp
instagram,breathingExercise,Europe/Berlin,6,1750507785.59792,False,dismissedAppOpening
instagram,breathingExercise,Europe/Berlin,6,1750507807.703984,False,openedApp
instagram,breathingExercise,Europe/Berlin,6,1750507926.802233,False,openedApp
instagram,breathingExercise,Europe/Berlin,6,1750508207.6911159,False,dismissedAppOpening
instagram,breathingExercise,Europe/Berlin,6,1750508208.913533,False,dismissedAppOpening
instagram,breathingExercise,Europe/Berlin,6,1750510364.040951,False,dismissedAppOpening
instagram,breathingExercise,Europe/Berlin,6,1750517024.1809258,False,dismissedAppOpening
instagram,breathingExercise,Europe/Berlin,6,1750517144.015959,False,dismissedAppOpening
instagram,breathingExercise,Europe/Berlin,6,1750517659.209783,False,dismissedAppOpening
instagram,breathingExercise,Europe/Berlin,6,1750517993.774633,False,dismissedAppOpening
instagram,breathingExercise,Europe/Berlin,6,1750545722.4278789,False,openedApp
instagram,breathingExercise,Europe/Berlin,6,1750546272.243534,False,dismissedAppOpening
instagram,breathingExercise,Europe/Berlin,6,1750546311.282071,False,openedApp
instagram,breathingExercise,Europe/Berlin,6,1750548131.831902,False,dismissedAppOpening
instagram,breathingExercise,Europe/Berlin,6,1750555989.6857162,False,openedApp
instagram,breathingExercise,Europe/Berlin,6,1750556367.626673,False,dismissedAppOpening
instagram,breathingExercise,Europe/Berlin,6,1750571126.62613,False,dismissedAppOpening
instagram,breathingExercise,Europe/Berlin,6,1750571888.518145,False,openedApp
instagram,breathingExercise,Europe/Berlin,6,1750572763.2086558,False,dismissedAppOpening
instagram,breathingExercise,Europe/Berlin,6,1750575780.980019,False,dismissedAppOpening
instagram,breathingExercise,Europe/Berlin,6,1750580955.206073,False,dismissedAppOpening
instagram,breathingExercise,Europe/Berlin,6,1750580971.597003,False,openedApp
instagram,breathingExercise,Europe/Berlin,6,1750581024.6189098,False,dismissedAppOpening
instagram,breathingExercise,Europe/Berlin,6,1750581097.91191,False,openedApp
instagram,breathingExercise,Europe/Berlin,6,1750611320.5920591,False,dismissedAppOpening
instagram,breathingExercise,Europe/Berlin,6,1750634232.698296,False,openedApp
instagram,breathingExercise,Europe/Berlin,6,1750657534.15042,False,openedApp
instagram,breathingExercise,Europe/Berlin,6,1750660139.836762,False,openedApp
instagram,breathingExercise,Europe/Berlin,6,1750662491.205275,False,openedApp
instagram,breathingExercise,Europe/Berlin,6,1750663630.118701,False,openedApp
instagram,breathingExercise,Europe/Berlin,6,1750666299.150288,False,dismissedAppOpening
