interventionDuration,timezone,interventionType,timestamp,resolution,app,isReIntervention
6,Europe/Madrid,breathingExercise,1748930519.593461,dismissedAppOpening,instagram,False
6,Europe/Madrid,breathingExercise,1748933659.958571,dismissedAppOpening,instagram,False
6,Europe/Madrid,breathingExercise,1748936168.8511019,dismissedAppOpening,instagram,False
6,Europe/Madrid,breathingExercise,1748936778.506624,dismissedAppOpening,instagram,False
6,Europe/Madrid,breathingExercise,1748942224.475364,dismissedAppOpening,instagram,False
6,Europe/Madrid,breathingExercise,1748946405.791918,dismissedAppOpening,instagram,False
6,Europe/Madrid,breathingExercise,1748946425.081787,openedApp,instagram,False
6,Europe/Madrid,breathingExercise,1748949829.053725,dismissedAppOpening,instagram,False
6,Europe/Madrid,breathingExercise,1748954080.6989222,openedApp,instagram,False
6,Europe/Madrid,breathingExercise,1748959091.440786,dismissedAppOpening,instagram,False
6,Europe/Madrid,breathingExercise,1748963028.696305,openedApp,instagram,False
6,Europe/Madrid,breathingExercise,1748963302.655088,dismissedAppOpening,instagram,False
6,Europe/Madrid,breathingExercise,1748963833.9934158,dismissedAppOpening,instagram,False
6,Europe/Madrid,breathingExercise,1748964913.2020879,dismissedAppOpening,instagram,False
6,Europe/Madrid,breathingExercise,1748969127.1281528,dismissedAppOpening,instagram,False
6,Europe/Madrid,breathingExercise,1748969129.781316,dismissedAppOpening,instagram,False
6,Europe/Madrid,breathingExercise,1748969135.402803,dismissedAppOpening,instagram,False
6,Europe/Madrid,breathingExercise,1748973312.9361029,openedApp,instagram,False
6,Europe/Madrid,breathingExercise,1748976888.5248961,openedApp,twitter,False
6,Europe/Madrid,breathingExercise,1748976988.702876,openedApp,instagram,False
6,Europe/Madrid,breathingExercise,1748979296.262568,dismissedAppOpening,instagram,False
6,Europe/Madrid,breathingExercise,1748980965.8242521,dismissedAppOpening,instagram,False
6,Europe/Madrid,breathingExercise,1748983898.810457,dismissedAppOpening,instagram,False
6,Europe/Madrid,breathingExercise,1749018563.3733392,openedApp,instagram,False
6,Europe/Madrid,breathingExercise,1749018602.744734,openedApp,instagram,False
6,Europe/Madrid,breathingExercise,1749023959.654509,openedApp,instagram,False
6,Europe/Madrid,breathingExercise,1749024478.195198,dismissedAppOpening,instagram,False
6,Europe/Madrid,breathingExercise,1749036820.120792,openedApp,instagram,False
6,Europe/Madrid,breathingExercise,1749040717.797686,dismissedAppOpening,instagram,False
6,Europe/Madrid,breathingExercise,1749040917.665066,openedApp,instagram,False
6,Europe/Madrid,breathingExercise,1749041375.692267,dismissedAppOpening,instagram,False
6,Europe/Madrid,breathingExercise,1749043671.050198,dismissedAppOpening,instagram,False
6,Europe/Madrid,breathingExercise,1749043858.583231,dismissedAppOpening,instagram,False
6,Europe/Madrid,breathingExercise,1749047867.927637,dismissedAppOpening,instagram,False
6,Europe/Madrid,breathingExercise,1749047869.915874,dismissedAppOpening,instagram,False
6,Europe/Madrid,breathingExercise,1749052312.2528548,openedApp,instagram,False
6,Europe/Madrid,breathingExercise,1749052585.809098,openedApp,instagram,False
