interventionDuration,timezone,timestamp,purpose,resolution,isReIntervention,interventionType,app
6.0,Europe/Zurich,1750840333.1392322,sport,openedApp,False,breathingExercise,youtube
6.0,Europe/Zurich,1750845323.965668,Mensaje,openedApp,False,breathingExercise,youtube
6.0,Europe/Zurich,1750921028.074269,Revisar me gusta,openedApp,False,breathingExercise,youtube
6.0,Europe/Zurich,1750921930.404731,,dismissedAppOpening,False,breathingExercise,youtube
6.0,Europe/Zurich,1750925509.891185,sport,openedApp,False,breathingExercise,youtube
6.0,Europe/Zurich,1750927901.789012,Mensaje,openedApp,False,breathingExercise,youtube
6.0,Europe/Zurich,1750928290.7733002,Aburrido,openedApp,False,breathingExercise,youtube
6.0,Europe/Zurich,1750928393.375159,Mensaje,openedApp,False,breathingExercise,youtube
6.0,Europe/Zurich,1750928583.7965322,Mensaje,openedApp,False,breathingExercise,youtube
6.0,Europe/Zurich,1751098638.74614,sport,openedApp,False,breathingExercise,youtube
6.0,Europe/Zurich,1751187583.507355,Mantente Informado,openedApp,False,breathingExercise,youtube
6.0,Europe/Zurich,1751193350.320644,Mensaje,openedApp,False,breathingExercise,youtube
6.0,Europe/Zurich,1751356706.476398,Mensaje,openedApp,False,breathingExercise,youtube
6.0,Europe/Zurich,1751373039.17148,Mensaje,openedApp,False,breathingExercise,youtube
6.0,Europe/Zurich,1751442768.0570269,Mantente Informado,openedApp,False,breathingExercise,youtube
,Europe/Zurich,1751544786.495222,,closedApp,False,,tikTok
,Europe/Zurich,1751544828.624796,,closedApp,False,,tikTok
,Europe/Zurich,1751546074.770293,,closedApp,False,,tikTok
6.0,Europe/Zurich,1751546223.046949,Mensaje,openedApp,False,breathingExercise,youtube
6.0,Europe/Zurich,1751546480.467519,Mensaje,openedApp,False,breathingExercise,youtube
6.0,Europe/Zurich,1751552450.580764,sport,openedApp,False,breathingExercise,youtube
6.0,Europe/Zurich,1751629829.80862,,dismissedAppOpening,False,breathingExercise,youtube
6.0,Europe/Zurich,1751649783.19382,,dismissedAppOpening,False,breathingExercise,youtube
,Europe/Zurich,1751657522.146706,,closedApp,False,,aliexpress
,Europe/Zurich,1751657707.433433,,closedApp,False,,aliexpress
,Europe/Zurich,1751657826.291641,,closedApp,False,,aliexpress
,Europe/Zurich,1751657828.1144118,,closedApp,False,,aliexpress
,Europe/Zurich,1751657830.619592,,closedApp,False,,aliexpress
,Europe/Zurich,1751657836.192843,,closedApp,False,,aliexpress
,Europe/Zurich,1751657837.629973,,closedApp,False,,aliexpress
,Europe/Zurich,1751657839.160682,,closedApp,False,,aliexpress
,Europe/Zurich,1751657840.5715141,,closedApp,False,,aliexpress
,Europe/Zurich,1751657842.5525532,,closedApp,False,,aliexpress
,Europe/Zurich,1751657903.984725,,closedApp,False,,aliexpress
,Europe/Zurich,1751657987.326952,,closedApp,False,,aliexpress
,Europe/Zurich,1751658004.010332,,closedApp,False,,aliexpress
6.0,Europe/Zurich,1751671749.694783,Escapar / Evitar,openedApp,False,breathingExercise,youtube
6.0,Europe/Zurich,1751731114.9133081,Escapar / Evitar,openedApp,False,breathingExercise,youtube
6.0,Europe/Zurich,1751805335.3844218,Mensaje,openedApp,False,breathingExercise,youtube
6.0,Europe/Zurich,1752416339.9108272,,dismissedAppOpening,False,breathingExercise,youtube
6.0,Europe/Zurich,1752416369.647039,,dismissedAppOpening,False,breathingExercise,youtube
6.0,Europe/Zurich,1752534220.2258801,Escapar / Evitar,openedApp,False,breathingExercise,youtube
6.0,Europe/Zurich,1752659181.991297,Mensaje,openedApp,False,breathingExercise,youtube
6.0,Europe/Zurich,1752684957.589044,,dismissedAppOpening,False,breathingExercise,youtube
6.0,Europe/Zurich,1752684996.621979,,dismissedAppOpening,False,breathingExercise,youtube
6.0,Europe/Zurich,1752746951.048495,Mensaje,openedApp,False,breathingExercise,youtube
6.0,Europe/Zurich,1752747051.9260411,Mensaje,openedApp,False,breathingExercise,youtube
6.0,Europe/Zurich,1752747960.707233,Mensaje,openedApp,False,breathingExercise,youtube
6.0,Europe/Zurich,1752757235.150512,Mensaje,openedApp,False,breathingExercise,youtube
6.0,Europe/Zurich,1752830267.87964,,dismissedAppOpening,False,breathingExercise,youtube
6.0,Europe/Zurich,1752855813.0458112,,dismissedAppOpening,False,breathingExercise,youtube
6.0,Europe/Zurich,1752858689.855598,Mensaje,openedApp,False,breathingExercise,youtube
6.0,Europe/Zurich,1752916997.164334,Mensaje,openedApp,False,breathingExercise,youtube
6.0,Europe/Zurich,1752920604.3413482,Mensaje,openedApp,False,breathingExercise,youtube
6.0,Africa/Algiers,1752966820.824801,Mensaje,openedApp,False,breathingExercise,youtube
6.0,Africa/Algiers,1752992611.1522331,,dismissedAppOpening,False,breathingExercise,youtube
6.0,Africa/Algiers,1752995846.46243,Mantente Informado,openedApp,False,breathingExercise,youtube
6.0,Africa/Algiers,1752999498.1329598,Mantente Informado,openedApp,False,breathingExercise,youtube
,Africa/Algiers,1753023223.663941,,closedApp,False,,xhamster
,Africa/Algiers,1753023234.484009,,closedApp,False,,xhamster
,Africa/Algiers,1753023247.489952,,closedApp,False,,xhamster
,Africa/Algiers,1753023263.752861,,closedApp,False,,xhamster
,Africa/Algiers,1753023267.547476,,closedApp,False,,xhamster
,Africa/Algiers,1753023272.402175,,closedApp,False,,xhamster
,Africa/Algiers,1753023275.7734299,,closedApp,False,,xhamster
,Africa/Algiers,1753023277.807386,,closedApp,False,,xhamster
,Africa/Algiers,1753023282.706324,,closedApp,False,,xhamster
,Africa/Algiers,1753023284.207337,,closedApp,False,,xhamster
,Africa/Algiers,1753023295.252088,,closedApp,False,,xhamster
,Africa/Algiers,1753023297.176019,,closedApp,False,,xhamster
,Africa/Algiers,1753023302.4135962,,closedApp,False,,xhamster
,Africa/Algiers,1753023306.239373,,closedApp,False,,xhamster
,Africa/Algiers,1753023359.37778,,closedApp,False,,xhamster
,Africa/Algiers,1753023434.834028,,closedApp,False,,xhamster
,Africa/Algiers,1753023435.289657,,closedApp,False,,xhamster
,Africa/Algiers,1753023437.4245229,,closedApp,False,,xhamster
,Africa/Algiers,1753023137.6821141,,closedApp,False,,xvideos
,Africa/Algiers,1753023204.71069,,closedApp,False,,xvideos
,Africa/Algiers,1753023220.8022099,,closedApp,False,,xvideos
,Africa/Algiers,1753023223.028878,,closedApp,False,,xvideos
,Africa/Algiers,1753023437.940995,,closedApp,False,,xvideos
6.0,Africa/Algiers,1753108247.8654861,,dismissedAppOpening,False,breathingExercise,youtube
,Africa/Algiers,1753108723.9710479,,closedApp,False,,steam
,Africa/Algiers,1753108740.318361,,closedApp,False,,steam
,Africa/Algiers,1753109042.435698,,closedApp,False,,xhamster
,Africa/Algiers,1753109054.6985002,,closedApp,False,,xhamster
,Africa/Algiers,1753109068.900968,,closedApp,False,,xhamster
,Africa/Algiers,1753109078.607668,,closedApp,False,,xhamster
,Africa/Algiers,1753109081.4618812,,closedApp,False,,xhamster
,Africa/Algiers,1753109118.1220021,,closedApp,False,,xhamster
,Africa/Algiers,1753109186.7908401,,closedApp,False,,xhamster
,Africa/Algiers,1753109187.7683349,,closedApp,False,,xhamster
,Africa/Algiers,1753143314.5175161,,closedApp,False,,xhamster
,Africa/Algiers,1753143340.4660969,,closedApp,False,,xhamster
,Africa/Algiers,1753143346.742962,,closedApp,False,,xhamster
,Africa/Algiers,1753143358.279261,,closedApp,False,,xhamster
,Africa/Algiers,1753143359.5856729,,closedApp,False,,xhamster
,Africa/Algiers,1753143375.303139,,closedApp,False,,xhamster
