interventionDuration,app,resolution,isReIntervention,timezone,interventionType,timestamp,timeIntervalUntilReIntervention,purpose
6.0,instagram,dismissedAppOpening,False,Asia/Kolkata,breathingExercise,1751098241.1651611,,
6.0,instagram,dismissedAppOpening,False,Asia/Kolkata,breathingExercise,1751098540.989594,,
,instagram,dismissedAppOpening,False,Asia/Kolkata,journaling,1751098913.2628589,,
6.0,instagram,dismissedAppOpening,False,Asia/Kolkata,breathingExercise,1751098921.1620212,,
6.0,instagram,dismissedAppOpening,False,Asia/Kolkata,breathingExercise,1751098958.7061992,,
6.0,instagram,dismissedAppOpening,False,Asia/Kolkata,breathingExercise,1751098975.841517,,
6.0,instagram,dismissedAppOpening,False,Asia/Kolkata,breathingExercise,1751098978.701136,,
6.0,instagram,dismissedAppOpening,False,Asia/Kolkata,breathingExercise,1751099057.456614,,
6.0,instagram,dismissedAppOpening,False,Asia/Kolkata,breathingExercise,1751099059.867683,,
,instagram,dismissedAppOpening,False,Asia/Kolkata,journaling,1751099102.070214,,
6.0,instagram,openedApp,False,Asia/Kolkata,breathingExercise,1751099222.36582,60.0,
,instagram,dismissedAppOpening,False,Asia/Kolkata,journaling,1751099243.138941,,
,instagram,closedApp,False,Asia/Kolkata,,1751100308.593346,,
6.0,instagram,dismissedAppOpening,True,Asia/Kolkata,breathingExercise,1751100313.244374,,
6.0,instagram,openedApp,False,Asia/Kolkata,breathingExercise,1751106082.56079,60.0,
,instagram,closedApp,False,Asia/Kolkata,,1751106149.80623,,
6.0,instagram,dismissedAppOpening,True,Asia/Kolkata,breathingExercise,1751106152.3577418,,
6.0,instagram,dismissedAppOpening,False,Asia/Kolkata,breathingExercise,1751106222.270132,,
6.0,instagram,openedApp,False,Asia/Kolkata,breathingExercise,1751107648.760285,60.0,
,instagram,closedApp,False,Asia/Kolkata,,1751107717.855217,,
6.0,instagram,dismissedAppOpening,False,Asia/Kolkata,breathingExercise,1751112565.155246,,
6.0,instagram,openedApp,False,Asia/Kolkata,breathingExercise,1751112665.02144,60.0,
,instagram,closedApp,False,Asia/Kolkata,,1751112731.717999,,
6.0,instagram,openedApp,True,Asia/Kolkata,breathingExercise,1751112746.1762738,120.0,
,instagram,closedApp,False,Asia/Kolkata,,1751112867.412092,,
6.0,instagram,openedApp,False,Asia/Kolkata,breathingExercise,1751114915.686079,60.0,
,instagram,closedApp,False,Asia/Kolkata,,1751114982.368092,,
6.0,instagram,dismissedAppOpening,False,Asia/Kolkata,breathingExercise,1751118175.883126,,
6.0,instagram,openedApp,False,Asia/Kolkata,breathingExercise,1751118567.988412,60.0,
,instagram,closedApp,False,Asia/Kolkata,,1751118622.438795,,
6.0,instagram,openedApp,False,Asia/Kolkata,breathingExercise,1751119823.799078,60.0,
,instagram,closedApp,False,Asia/Kolkata,,1751119895.979116,,
6.0,instagram,openedApp,False,Asia/Kolkata,breathingExercise,1751133762.3806891,60.0,
,instagram,closedApp,False,Asia/Kolkata,,1751133829.161919,,
6.0,instagram,openedApp,True,Asia/Kolkata,breathingExercise,1751133850.745627,60.0,
,instagram,closedApp,False,Asia/Kolkata,,1751133880.66684,,
6.0,instagram,openedApp,False,Asia/Kolkata,breathingExercise,1751140882.0728421,120.0,
,instagram,closedApp,False,Asia/Kolkata,,1751140992.703862,,
6.0,instagram,openedApp,False,Asia/Kolkata,breathingExercise,1751159938.613025,60.0,
,instagram,closedApp,False,Asia/Kolkata,,1751160005.666206,,
6.0,instagram,openedApp,True,Asia/Kolkata,breathingExercise,1751160022.0590138,180.0,
,instagram,closedApp,False,Asia/Kolkata,,1751160071.0305839,,
6.0,instagram,openedApp,False,Asia/Kolkata,breathingExercise,1751160503.2699342,300.0,
6.0,instagram,openedApp,False,Asia/Kolkata,breathingExercise,1751160534.49319,300.0,
,instagram,closedApp,False,Asia/Kolkata,,1751160744.874977,,
6.0,instagram,openedApp,False,Asia/Kolkata,breathingExercise,1751162277.512558,300.0,
,instagram,closedApp,False,Asia/Kolkata,,1751162349.689398,,
6.0,instagram,openedApp,False,Asia/Kolkata,breathingExercise,1751162430.737601,240.0,
,instagram,closedApp,False,Asia/Kolkata,,1751162580.335329,,
6.0,instagram,openedApp,False,Asia/Kolkata,breathingExercise,1751162787.62774,180.0,
6.0,instagram,openedApp,False,Asia/Kolkata,breathingExercise,1751162818.90639,300.0,
,instagram,closedApp,False,Asia/Kolkata,,1751163025.280603,,
6.0,instagram,openedApp,False,Asia/Kolkata,breathingExercise,1751163556.928644,180.0,
,instagram,closedApp,False,Asia/Kolkata,,1751163744.934787,,
6.0,instagram,openedApp,True,Asia/Kolkata,breathingExercise,1751163759.046565,300.0,
,instagram,closedApp,False,Asia/Kolkata,,1751164044.456887,,
6.0,instagram,openedApp,False,Asia/Kolkata,breathingExercise,1751164789.454852,300.0,
,instagram,closedApp,False,Asia/Kolkata,,1751164813.479759,,
6.0,instagram,openedApp,False,Asia/Kolkata,breathingExercise,1751164889.3594332,180.0,
,instagram,closedApp,False,Asia/Kolkata,,1751164994.654192,,
6.0,instagram,openedApp,False,Asia/Kolkata,breathingExercise,1751165059.4745111,300.0,
,instagram,closedApp,False,Asia/Kolkata,,1751165336.374593,,
6.0,instagram,openedApp,False,Asia/Kolkata,breathingExercise,1751165398.909224,300.0,
,instagram,closedApp,False,Asia/Kolkata,,1751165703.316066,,
6.0,instagram,openedApp,True,Asia/Kolkata,breathingExercise,1751165717.054817,180.0,
,instagram,closedApp,False,Asia/Kolkata,,1751165884.98562,,
6.0,instagram,openedApp,True,Asia/Kolkata,breathingExercise,1751165898.788993,300.0,
,instagram,closedApp,False,Asia/Kolkata,,1751166186.81069,,
6.0,instagram,openedApp,True,Asia/Kolkata,breathingExercise,1751166200.7008471,300.0,
,instagram,closedApp,False,Asia/Kolkata,,1751166489.351501,,
6.0,instagram,openedApp,True,Asia/Kolkata,breathingExercise,1751166503.216848,240.0,
,instagram,closedApp,False,Asia/Kolkata,,1751166731.856824,,
6.0,instagram,openedApp,False,Asia/Kolkata,breathingExercise,1751166889.300174,180.0,
,instagram,closedApp,False,Asia/Kolkata,,1751167075.546855,,
6.0,instagram,openedApp,True,Asia/Kolkata,breathingExercise,1751167089.490969,180.0,
,instagram,closedApp,False,Asia/Kolkata,,1751167258.156358,,
6.0,instagram,openedApp,True,Asia/Kolkata,breathingExercise,1751167271.826236,300.0,
,instagram,closedApp,False,Asia/Kolkata,,1751167560.624465,,
