resolution,isReIntervention,interventionType,timestamp,app,interventionDuration,timezone,purpose
dismissedAppOpening,False,breathingExercise,1749993676.670922,instagram,6,America/Toronto,
dismissedAppOpening,False,breathingExercise,1749994814.058816,instagram,6,America/Toronto,
dismissedAppOpening,False,breathingExercise,1749997243.227781,instagram,6,America/Toronto,
dismissedAppOpening,False,breathingExercise,1750002323.692941,instagram,6,America/Toronto,
dismissedAppOpening,False,breathingExercise,1750002435.389755,instagram,6,America/Toronto,
dismissedAppOpening,False,breathingExercise,1750003040.000297,instagram,6,America/Toronto,
openedApp,False,breathingExercise,1750006037.94537,instagram,6,America/Toronto,Relax
dismissedAppOpening,False,breathingExercise,1750006878.21048,instagram,6,America/Toronto,
dismissedAppOpening,False,breathingExercise,1750006894.3901901,instagram,6,America/Toronto,
openedApp,False,breathingExercise,1750026344.157048,instagram,6,America/Toronto,Escape / Avoid
dismissedAppOpening,False,breathingExercise,1750026715.201607,instagram,6,America/Toronto,
openedApp,False,breathingExercise,1750030752.478868,instagram,6,America/Toronto,Entertainment
dismissedAppOpening,False,breathingExercise,1750030779.7240071,instagram,6,America/Toronto,
dismissedAppOpening,False,breathingExercise,1750030797.227675,instagram,6,America/Toronto,
openedApp,False,breathingExercise,1750033222.7520962,instagram,6,America/Toronto,Entertainment
openedApp,False,breathingExercise,1750039536.5210428,instagram,6,America/Toronto,Escape / Avoid
dismissedAppOpening,False,breathingExercise,1750044521.007076,instagram,6,America/Toronto,
dismissedAppOpening,False,breathingExercise,1750072320.123001,instagram,6,America/Toronto,
dismissedAppOpening,False,breathingExercise,1750072858.887992,instagram,6,America/Toronto,
dismissedAppOpening,False,breathingExercise,1750074742.244989,instagram,6,America/Toronto,
dismissedAppOpening,False,breathingExercise,1750074744.840042,instagram,6,America/Toronto,
dismissedAppOpening,False,breathingExercise,1750076746.486535,instagram,6,America/Toronto,
dismissedAppOpening,False,breathingExercise,1750076763.825516,instagram,6,America/Toronto,
dismissedAppOpening,False,breathingExercise,1750076766.2504091,instagram,6,America/Toronto,
dismissedAppOpening,False,breathingExercise,1750076861.964145,instagram,6,America/Toronto,
dismissedAppOpening,False,breathingExercise,1750076864.826651,instagram,6,America/Toronto,
openedApp,False,breathingExercise,1750084461.242082,instagram,6,America/Toronto,Escape / Avoid
dismissedAppOpening,False,breathingExercise,1750084529.250133,instagram,6,America/Toronto,
dismissedAppOpening,False,breathingExercise,1750085616.2472959,instagram,6,America/Toronto,
dismissedAppOpening,False,breathingExercise,1750085641.2737908,instagram,6,America/Toronto,
openedApp,False,breathingExercise,1750093541.95175,instagram,6,America/Toronto,Entertainment
openedApp,False,breathingExercise,1750111995.371849,instagram,6,America/Toronto,Escape / Avoid
dismissedAppOpening,False,breathingExercise,1750117578.471415,instagram,6,America/Toronto,
openedApp,False,breathingExercise,1750123179.5984979,instagram,6,America/Toronto,Escape / Avoid
openedApp,False,breathingExercise,1750126625.567428,instagram,6,America/Toronto,Escape / Avoid
dismissedAppOpening,False,breathingExercise,1750154488.3699489,instagram,6,America/Toronto,
openedApp,False,breathingExercise,1750160958.5033932,instagram,6,America/Toronto,Escape / Avoid
dismissedAppOpening,False,breathingExercise,1750163368.0540118,instagram,6,America/Toronto,
openedApp,False,breathingExercise,1750165018.24622,instagram,6,America/Toronto,Entertainment
openedApp,False,breathingExercise,1750185332.4654121,instagram,6,America/Toronto,Entertainment
dismissedAppOpening,False,breathingExercise,1750185870.7834291,instagram,6,America/Toronto,
dismissedAppOpening,False,breathingExercise,1750185874.3953052,instagram,6,America/Toronto,
dismissedAppOpening,False,breathingExercise,1750197190.984055,instagram,6,America/Toronto,
openedApp,False,breathingExercise,1750197218.060765,instagram,6,America/Toronto,Entertainment
dismissedAppOpening,False,breathingExercise,1750197441.62584,instagram,6,America/Toronto,
openedApp,False,breathingExercise,1750197469.276846,instagram,6,America/Toronto,Entertainment
dismissedAppOpening,False,breathingExercise,1750204051.174467,instagram,6,America/Toronto,
openedApp,False,breathingExercise,1750205689.3586779,instagram,6,America/Toronto,Entertainment
openedApp,False,breathingExercise,1750206710.4801621,instagram,6,America/Toronto,Entertainment
dismissedAppOpening,False,breathingExercise,1750206769.893378,instagram,6,America/Toronto,
