app,resolution,interventionDuration,timestamp,interventionType,timezone,isReIntervention
instagram,openedApp,1.5,1751582272.53252,breathingExercise,Europe/Berlin,False
instagram,openedApp,1.5,1751582363.6764212,breathingExercise,Europe/Berlin,False
instagram,dismissedAppOpening,1.5,1751587446.835084,breathingExercise,Europe/Berlin,False
instagram,openedApp,1.5,1751629123.0873551,breathingExercise,Europe/Berlin,False
instagram,dismissedAppOpening,1.5,1751629209.8771858,breathingExercise,Europe/Berlin,False
instagram,openedApp,1.5,1751630099.7425961,breathingExercise,Europe/Berlin,False
instagram,openedApp,1.5,1751631949.342619,breathingExercise,Europe/Berlin,False
instagram,dismissedAppOpening,1.5,1751638198.5748482,breathingExercise,Europe/Berlin,False
instagram,openedApp,1.5,1751638203.699444,breathingExercise,Europe/Berlin,False
instagram,dismissedAppOpening,1.5,1751640397.6493769,breathingExercise,Europe/Berlin,False
instagram,dismissedAppOpening,1.5,1751640403.920127,breathingExercise,Europe/Berlin,False
instagram,openedApp,1.5,1751640409.943678,breathingExercise,Europe/Berlin,False
instagram,openedApp,1.5,1751645209.859124,breathingExercise,Europe/Berlin,False
instagram,openedApp,1.5,1751651866.728687,breathingExercise,Europe/Berlin,False
instagram,dismissedAppOpening,1.5,1751653026.9531941,breathingExercise,Europe/Berlin,False
instagram,dismissedAppOpening,1.5,1751653029.1506162,breathingExercise,Europe/Berlin,False
instagram,openedApp,1.5,1751659449.463688,breathingExercise,Europe/Berlin,False
instagram,openedApp,1.5,1751668676.203041,breathingExercise,Europe/Berlin,False
instagram,openedApp,1.5,1751708745.9187179,breathingExercise,Europe/Berlin,False
instagram,openedApp,1.5,1751714530.752181,breathingExercise,Europe/Berlin,False
instagram,openedApp,1.5,1751718973.697237,breathingExercise,Europe/Berlin,False
instagram,dismissedAppOpening,1.5,1751720861.11126,breathingExercise,Europe/Berlin,False
instagram,openedApp,1.5,1751722971.2566152,breathingExercise,Europe/Berlin,False
instagram,openedApp,1.5,1751723628.84112,breathingExercise,Europe/Berlin,False
instagram,dismissedAppOpening,1.5,1751727257.0666509,breathingExercise,Europe/Berlin,False
instagram,openedApp,1.5,1751737636.8301492,breathingExercise,Europe/Vienna,False
instagram,openedApp,1.5,1751807426.0805101,breathingExercise,Europe/Berlin,False
instagram,openedApp,1.5,1751808339.556242,breathingExercise,Europe/Berlin,False
instagram,openedApp,1.5,1751815278.960706,breathingExercise,Europe/Berlin,False
instagram,openedApp,1.5,1751821256.693966,breathingExercise,Europe/Berlin,False
instagram,openedApp,1.5,1751821285.3135772,breathingExercise,Europe/Berlin,False
instagram,openedApp,1.5,1751821810.2556062,breathingExercise,Europe/Berlin,False
instagram,openedApp,1.5,1751823294.332046,breathingExercise,Europe/Berlin,False
instagram,dismissedAppOpening,1.5,1751823932.073798,breathingExercise,Europe/Berlin,False
instagram,openedApp,1.5,1751824634.448306,breathingExercise,Europe/Berlin,False
instagram,dismissedAppOpening,1.5,1751825806.61163,breathingExercise,Europe/Berlin,False
instagram,openedApp,1.5,1751825916.526393,breathingExercise,Europe/Berlin,False
instagram,openedApp,1.5,1751826010.241551,breathingExercise,Europe/Berlin,False
instagram,openedApp,1.5,1751826273.275054,breathingExercise,Europe/Berlin,False
instagram,dismissedAppOpening,1.5,1751826358.404552,breathingExercise,Europe/Berlin,False
instagram,openedApp,1.5,1751827753.5672379,breathingExercise,Europe/Berlin,False
instagram,openedApp,1.5,1751828322.7140598,breathingExercise,Europe/Berlin,False
instagram,openedApp,1.5,1751829088.453308,breathingExercise,Europe/Berlin,False
instagram,openedApp,1.5,1751829453.737952,breathingExercise,Europe/Berlin,False
instagram,dismissedAppOpening,1.5,1751829528.145432,breathingExercise,Europe/Berlin,False
instagram,openedApp,1.5,1751832021.0574179,breathingExercise,Europe/Berlin,False
instagram,openedApp,1.5,1751834549.325208,breathingExercise,Europe/Berlin,False
instagram,openedApp,1.5,1751834571.973566,breathingExercise,Europe/Berlin,False
instagram,dismissedAppOpening,1.5,1751834630.021409,breathingExercise,Europe/Berlin,False
instagram,openedApp,1.5,1751835673.0519,breathingExercise,Europe/Berlin,False
instagram,openedApp,1.5,1751835964.013435,breathingExercise,Europe/Berlin,False
instagram,openedApp,1.5,1751885642.315229,breathingExercise,Europe/Berlin,False
instagram,openedApp,1.5,1751888710.9253101,breathingExercise,Europe/Berlin,False
instagram,openedApp,1.5,1751889548.739568,breathingExercise,Europe/Berlin,False
instagram,openedApp,1.5,1751895343.329671,breathingExercise,Europe/Berlin,False
instagram,openedApp,1.5,1751896741.9649181,breathingExercise,Europe/Berlin,False
instagram,openedApp,1.5,1751897336.602073,breathingExercise,Europe/Berlin,False
instagram,dismissedAppOpening,1.5,1751897489.425699,breathingExercise,Europe/Berlin,False
instagram,openedApp,1.5,1751897546.326545,breathingExercise,Europe/Berlin,False
