interventionDuration,timestamp,isReIntervention,interventionType,app,timezone,resolution,timeIntervalUntilReIntervention
1.5,1751280624.063095,False,breathingExercise,tikTok,Europe/Madrid,dismissedAppOpening,
1.5,1751295635.412558,False,breathingExercise,tikTok,Europe/Madrid,dismissedAppOpening,
1.5,1751300211.9140139,False,breathingExercise,tikTok,Europe/Madrid,dismissedAppOpening,
1.5,1751301458.684413,False,breathingExercise,tikTok,Europe/Madrid,dismissedAppOpening,
1.5,1751305095.247437,False,breathingExercise,tikTok,Europe/Madrid,dismissedAppOpening,
1.5,1751308558.676763,False,breathingExercise,tikTok,Europe/Madrid,dismissedAppOpening,
1.5,1751308753.925396,False,breathingExercise,tikTok,Europe/Madrid,dismissedAppOpening,
1.5,1751310967.4731832,False,breathingExercise,tikTok,Europe/Madrid,dismissedAppOpening,
1.5,1751315386.558567,False,breathingExercise,tikTok,Europe/Madrid,dismissedAppOpening,
1.5,1751317758.1527638,False,breathingExercise,tikTok,Europe/Madrid,dismissedAppOpening,
1.5,1751319367.537497,False,breathingExercise,tikTok,Europe/Madrid,dismissedAppOpening,
1.5,1751319501.138432,False,breathingExercise,tikTok,Europe/Madrid,dismissedAppOpening,
1.5,1751353585.524698,False,breathingExercise,tikTok,Europe/Madrid,dismissedAppOpening,
1.5,1751392894.836084,False,breathingExercise,tikTok,Europe/Madrid,dismissedAppOpening,
1.5,1751392906.260909,False,breathingExercise,tikTok,Europe/Madrid,openedApp,60.0
1.5,1751396390.4389791,False,breathingExercise,tikTok,Europe/Madrid,dismissedAppOpening,
1.5,1751480665.996079,False,breathingExercise,tikTok,Europe/Madrid,dismissedAppOpening,
1.5,1751533178.763492,False,breathingExercise,tikTok,Europe/Madrid,openedApp,180.0
1.5,1751561245.715419,False,breathingExercise,tikTok,Europe/Madrid,dismissedAppOpening,
1.5,1751631551.14096,False,breathingExercise,tikTok,Europe/Madrid,dismissedAppOpening,
1.5,1751807423.658183,False,breathingExercise,tikTok,Europe/Madrid,openedApp,120.0
1.5,1751872274.0635738,False,breathingExercise,tikTok,Europe/Madrid,openedApp,240.0
1.5,1751886059.7313352,False,breathingExercise,tikTok,Europe/Madrid,openedApp,240.0
1.5,1751971761.006308,False,breathingExercise,tikTok,Europe/Madrid,openedApp,180.0
1.5,1752018130.737257,False,breathingExercise,tikTok,Europe/Madrid,openedApp,300.0
1.5,1752136137.567233,False,breathingExercise,tikTok,Europe/Madrid,openedApp,240.0
