isReIntervention,timestamp,interventionType,app,timezone,interventionDuration,resolution,purpose
False,1750658357.836114,breathingExercise,instagram,Europe/Madrid,1.5,dismissedAppOpening,
False,1750658381.149082,breathingExercise,instagram,Europe/Madrid,1.5,openedApp,Revisar me gusta
False,1750662742.1398969,breathingExercise,instagram,Europe/Madrid,1.5,dismissedAppOpening,
False,1750666708.157254,breathingExercise,instagram,Europe/Madrid,1.5,dismissedAppOpening,
False,1750666723.464079,breathingExercise,instagram,Europe/Madrid,1.5,dismissedAppOpening,
False,1750667050.077213,breathingExercise,instagram,Europe/Madrid,1.5,dismissedAppOpening,
False,1750669032.542829,breathingExercise,instagram,Europe/Madrid,1.5,dismissedAppOpening,
False,1750669037.847413,breathingExercise,instagram,Europe/Madrid,1.5,dismissedAppOpening,
False,1750669277.622703,breathingExercise,instagram,Europe/Madrid,1.5,dismissedAppOpening,
False,1750670223.245829,breathingExercise,instagram,Europe/Madrid,1.5,dismissedAppOpening,
False,1750670633.812994,breathingExercise,instagram,Europe/Madrid,1.5,dismissedAppOpening,
False,1750670914.441932,breathingExercise,instagram,Europe/Madrid,1.5,dismissedAppOpening,
False,1750671162.212564,breathingExercise,instagram,Europe/Madrid,1.5,dismissedAppOpening,
False,1750671174.3079572,breathingExercise,tikTok,Europe/Madrid,1.5,openedApp,Inodoro
False,1750671886.40447,breathingExercise,tikTok,Europe/Madrid,1.5,dismissedAppOpening,
False,1750671894.586216,breathingExercise,tikTok,Europe/Madrid,1.5,openedApp,Inodoro
False,1750672087.8184838,breathingExercise,tikTok,Europe/Madrid,1.5,openedApp,Inodoro
False,1750672138.713521,breathingExercise,instagram,Europe/Madrid,1.5,dismissedAppOpening,
False,1750672176.212724,breathingExercise,tikTok,Europe/Madrid,1.5,openedApp,Inodoro
False,1750672568.096479,breathingExercise,tikTok,Europe/Madrid,1.5,dismissedAppOpening,
False,1750672582.8028831,breathingExercise,tikTok,Europe/Madrid,1.5,openedApp,Obsesionarse con un crush
False,1750675404.265125,breathingExercise,instagram,Europe/Madrid,1.5,dismissedAppOpening,
False,1750675422.104548,breathingExercise,tikTok,Europe/Madrid,1.5,openedApp,Buscar info
False,1750677400.132689,breathingExercise,instagram,Europe/Madrid,1.5,dismissedAppOpening,
False,1750677406.806126,breathingExercise,instagram,Europe/Madrid,1.5,dismissedAppOpening,
False,1750680653.9947019,breathingExercise,instagram,Europe/Madrid,1.5,dismissedAppOpening,
False,1750681049.326953,breathingExercise,instagram,Europe/Madrid,1.5,dismissedAppOpening,
False,1750685588.802309,breathingExercise,instagram,Europe/Madrid,1.5,dismissedAppOpening,
False,1750685601.112385,breathingExercise,tikTok,Europe/Madrid,1.5,openedApp,Inodoro
False,1750687840.0215669,breathingExercise,tikTok,Europe/Madrid,1.5,dismissedAppOpening,
False,1750687967.973445,breathingExercise,tikTok,Europe/Madrid,1.5,openedApp,Relajarse
False,1750693300.0785499,breathingExercise,tikTok,Europe/Madrid,1.5,openedApp,Entretenimiento
False,1750697597.499319,breathingExercise,instagram,Europe/Madrid,1.5,openedApp,Mantente Informado
False,1750698577.0994081,breathingExercise,instagram,Europe/Madrid,1.5,dismissedAppOpening,
False,1750698581.556386,breathingExercise,instagram,Europe/Madrid,1.5,dismissedAppOpening,
False,1750698596.868649,breathingExercise,instagram,Europe/Madrid,1.5,openedApp,Buscar info
False,1750698671.739547,breathingExercise,instagram,Europe/Madrid,1.5,dismissedAppOpening,
False,1750699017.6193728,breathingExercise,instagram,Europe/Madrid,1.5,dismissedAppOpening,
False,1750699209.294191,breathingExercise,instagram,Europe/Madrid,1.5,dismissedAppOpening,
False,1750699707.243404,breathingExercise,instagram,Europe/Madrid,1.5,dismissedAppOpening,
False,1750699722.9785361,breathingExercise,tikTok,Europe/Madrid,1.5,openedApp,Relajarse
False,1750700523.970974,breathingExercise,instagram,Europe/Madrid,1.5,openedApp,Mensaje
False,1750701365.522955,breathingExercise,instagram,Europe/Madrid,1.5,openedApp,Relajarse
False,1750701543.917742,breathingExercise,instagram,Europe/Madrid,1.5,dismissedAppOpening,
False,1750701547.7530742,breathingExercise,instagram,Europe/Madrid,1.5,dismissedAppOpening,
False,1750701551.066386,breathingExercise,instagram,Europe/Madrid,1.5,dismissedAppOpening,
False,1750701622.224364,breathingExercise,instagram,Europe/Madrid,1.5,dismissedAppOpening,
False,1750701637.92821,breathingExercise,instagram,Europe/Madrid,1.5,openedApp,Mantente Informado
False,1750701947.4053369,breathingExercise,instagram,Europe/Madrid,1.5,openedApp,Entretenimiento
False,1750702029.125918,breathingExercise,instagram,Europe/Madrid,1.5,openedApp,Aburrido
False,1750702103.422827,breathingExercise,instagram,Europe/Madrid,1.5,openedApp,Relajarse
False,1750702213.157237,breathingExercise,instagram,Europe/Madrid,1.5,openedApp,Relajarse
False,1750702306.781736,breathingExercise,instagram,Europe/Madrid,1.5,openedApp,Inodoro
False,1750702923.130087,breathingExercise,instagram,Europe/Madrid,1.5,openedApp,Publicar algo
False,1750703948.969914,breathingExercise,instagram,Europe/Madrid,1.5,openedApp,Inodoro
False,1750704113.859925,breathingExercise,instagram,Europe/Madrid,1.5,openedApp,Publicar algo
False,1750706019.285307,journaling,instagram,Europe/Madrid,,dismissedAppOpening,
False,1750706284.336765,breathingExercise,instagram,Europe/Madrid,1.5,openedApp,Publicar algo
False,1750707584.048845,breathingExercise,instagram,Europe/Madrid,1.5,openedApp,Relajarse
False,1750707696.464973,breathingExercise,tikTok,Europe/Madrid,1.5,openedApp,Obsesionarse con un crush
False,1750708375.801516,breathingExercise,tikTok,Europe/Madrid,1.5,openedApp,Entretenimiento
False,1750710557.7681808,breathingExercise,tikTok,Europe/Madrid,1.5,openedApp,Entretenimiento
False,1750711828.574956,breathingExercise,instagram,Europe/Madrid,1.5,openedApp,Relajarse
False,1750712701.4179091,breathingExercise,instagram,Europe/Madrid,1.5,dismissedAppOpening,
False,1750712778.308716,breathingExercise,instagram,Europe/Madrid,1.5,openedApp,Birra
False,1750713213.875685,breathingExercise,instagram,Europe/Madrid,1.5,dismissedAppOpening,
False,1750715990.6127172,breathingExercise,instagram,Europe/Madrid,1.5,dismissedAppOpening,
False,1750715994.2543778,breathingExercise,instagram,Europe/Madrid,1.5,dismissedAppOpening,
False,1750716000.6704888,breathingExercise,instagram,Europe/Madrid,1.5,openedApp,Relajarse
False,1750754884.388414,breathingExercise,tikTok,Europe/Madrid,1.5,openedApp,Relajarse
False,1750758991.848304,breathingExercise,tikTok,Europe/Madrid,1.5,openedApp,Relajarse
False,1750762398.126764,breathingExercise,instagram,Europe/Madrid,1.5,dismissedAppOpening,
False,1750762406.830587,breathingExercise,tikTok,Europe/Madrid,1.5,dismissedAppOpening,
False,1750763207.644414,breathingExercise,instagram,Europe/Madrid,1.5,dismissedAppOpening,
False,1750767279.140359,breathingExercise,instagram,Europe/Madrid,1.5,dismissedAppOpening,
False,1750768441.856687,breathingExercise,instagram,Europe/Madrid,1.5,openedApp,Publicar algo
False,1750768943.539947,breathingExercise,instagram,Europe/Madrid,1.5,dismissedAppOpening,
False,1750768948.023734,breathingExercise,instagram,Europe/Madrid,1.5,dismissedAppOpening,
False,1750769432.252316,breathingExercise,instagram,Europe/Madrid,1.5,dismissedAppOpening,
False,1750769435.8389812,breathingExercise,instagram,Europe/Madrid,1.5,dismissedAppOpening,
False,1750769650.613085,breathingExercise,instagram,Europe/Madrid,1.5,openedApp,Entretenimiento
False,1750770077.461046,breathingExercise,instagram,Europe/Madrid,1.5,dismissedAppOpening,
False,1750770081.3714309,breathingExercise,instagram,Europe/Madrid,1.5,dismissedAppOpening,
False,1750770201.0165892,breathingExercise,tikTok,Europe/Madrid,1.5,openedApp,Relajarse
False,1750771169.9571018,breathingExercise,tikTok,Europe/Madrid,1.5,dismissedAppOpening,
False,1750771178.614223,breathingExercise,tikTok,Europe/Madrid,1.5,openedApp,Entretenimiento
False,1750771663.0093122,breathingExercise,instagram,Europe/Madrid,1.5,openedApp,Relajarse
False,1750772395.363198,breathingExercise,instagram,Europe/Madrid,1.5,openedApp,Birra
False,1750772899.039485,breathingExercise,instagram,Europe/Madrid,1.5,dismissedAppOpening,
False,1750772911.020194,breathingExercise,tikTok,Europe/Madrid,1.5,openedApp,Inodoro
False,1750773253.8305058,breathingExercise,tikTok,Europe/Madrid,1.5,dismissedAppOpening,
False,1750773524.069014,breathingExercise,instagram,Europe/Madrid,1.5,dismissedAppOpening,
False,1750773701.2614698,breathingExercise,instagram,Europe/Madrid,1.5,dismissedAppOpening,
False,1750773805.452419,breathingExercise,instagram,Europe/Madrid,1.5,dismissedAppOpening,
False,1750774346.08412,breathingExercise,instagram,Europe/Madrid,1.5,dismissedAppOpening,
False,1750774741.884235,breathingExercise,instagram,Europe/Madrid,1.5,openedApp,Aburrido
False,1750775205.9433851,breathingExercise,instagram,Europe/Madrid,1.5,dismissedAppOpening,
False,1750775284.019388,breathingExercise,instagram,Europe/Madrid,1.5,dismissedAppOpening,
False,1750776392.044389,breathingExercise,instagram,Europe/Madrid,1.5,dismissedAppOpening,
False,1750777135.5171762,breathingExercise,instagram,Europe/Madrid,1.5,dismissedAppOpening,
False,1750777714.3221889,breathingExercise,instagram,Europe/Madrid,1.5,dismissedAppOpening,
False,1750777722.5049791,breathingExercise,tikTok,Europe/Madrid,1.5,dismissedAppOpening,
False,1750778201.653129,breathingExercise,instagram,Europe/Madrid,1.5,openedApp,Birra
False,1750778291.7152271,breathingExercise,instagram,Europe/Madrid,1.5,dismissedAppOpening,
False,1750778893.087996,breathingExercise,instagram,Europe/Madrid,1.5,dismissedAppOpening,
False,1750779288.914422,breathingExercise,instagram,Europe/Madrid,1.5,dismissedAppOpening,
False,1750781372.442832,breathingExercise,instagram,Europe/Madrid,1.5,dismissedAppOpening,
False,1750783235.342805,breathingExercise,instagram,Europe/Madrid,1.5,dismissedAppOpening,
False,1750783239.7414541,breathingExercise,instagram,Europe/Madrid,1.5,dismissedAppOpening,
False,1750783243.914332,breathingExercise,instagram,Europe/Madrid,1.5,dismissedAppOpening,
False,1750783248.7394361,breathingExercise,instagram,Europe/Madrid,1.5,dismissedAppOpening,
False,1750783252.008638,breathingExercise,instagram,Europe/Madrid,1.5,dismissedAppOpening,
False,1750783259.804398,breathingExercise,instagram,Europe/Madrid,1.5,openedApp,Escapar / Evitar
False,1750783378.789195,breathingExercise,instagram,Europe/Madrid,1.5,dismissedAppOpening,
False,1750783862.068637,breathingExercise,tikTok,Europe/Madrid,1.5,dismissedAppOpening,
False,1750783873.5276852,breathingExercise,tikTok,Europe/Madrid,1.5,openedApp,Relajarse
False,1750786436.910098,breathingExercise,instagram,Europe/Madrid,1.5,dismissedAppOpening,
False,1750786451.741451,breathingExercise,tikTok,Europe/Madrid,1.5,openedApp,Aburrido
False,1750787697.12009,breathingExercise,tikTok,Europe/Madrid,1.5,dismissedAppOpening,
False,1750787702.4940438,breathingExercise,tikTok,Europe/Madrid,1.5,dismissedAppOpening,
False,1750788377.350865,breathingExercise,instagram,Europe/Madrid,1.5,dismissedAppOpening,
False,1750788950.779753,breathingExercise,instagram,Europe/Madrid,1.5,dismissedAppOpening,
False,1750789077.575015,breathingExercise,instagram,Europe/Madrid,1.5,dismissedAppOpening,
False,1750789227.205402,breathingExercise,instagram,Europe/Madrid,1.5,dismissedAppOpening,
False,1750789238.302342,breathingExercise,tikTok,Europe/Madrid,1.5,openedApp,Entretenimiento
False,1750789400.056498,breathingExercise,instagram,Europe/Madrid,1.5,dismissedAppOpening,
False,1750789414.719228,breathingExercise,instagram,Europe/Madrid,1.5,dismissedAppOpening,
False,1750790980.272239,breathingExercise,tikTok,Europe/Madrid,1.5,dismissedAppOpening,
False,1750793316.153873,breathingExercise,instagram,Europe/Madrid,1.5,dismissedAppOpening,
False,1750793326.364979,breathingExercise,instagram,Europe/Madrid,1.5,dismissedAppOpening,
False,1750793823.73427,breathingExercise,tikTok,Europe/Madrid,1.5,openedApp,Relajarse
False,1750801312.508636,breathingExercise,instagram,Europe/Madrid,1.5,dismissedAppOpening,
False,1750829702.935813,breathingExercise,instagram,Europe/Madrid,1.5,openedApp,Publicar algo
False,1750833451.433916,breathingExercise,instagram,Europe/Madrid,1.5,openedApp,Publicar algo
False,1750833575.477175,breathingExercise,tikTok,Europe/Madrid,1.5,openedApp,Relajarse
False,1750835807.616849,breathingExercise,instagram,Europe/Madrid,1.5,openedApp,Publicar algo
False,1750836434.9337,breathingExercise,instagram,Europe/Madrid,1.5,openedApp,Publicar algo
False,1750836973.068088,breathingExercise,instagram,Europe/Madrid,1.5,dismissedAppOpening,
False,1750836980.842824,breathingExercise,instagram,Europe/Madrid,1.5,openedApp,Birra
False,1750837692.028236,breathingExercise,instagram,Europe/Madrid,1.5,openedApp,Birra
False,1750837813.462277,breathingExercise,instagram,Europe/Madrid,1.5,dismissedAppOpening,
