timezone,app,interventionDuration,interventionType,timestamp,isReIntervention,resolution,purpose,timeIntervalUntilReIntervention,terminationReason
America/Winnipeg,instagram,1.5,breathingExercise,1750222710.994036,0.0,dismissedAppOpening,,,
America/Winnipeg,instagram,1.5,breathingExercise,1750261624.99505,0.0,dismissedAppOpening,,,
America/Winnipeg,instagram,,structured,1750262915.3470268,0.0,dismissedByStructuredIntervention,,,
America/Winnipeg,instagram,,structured,1750264063.69777,0.0,dismissedByStructuredIntervention,,,
America/Winnipeg,instagram,1.5,breathingExercise,1750267259.53309,0.0,openedApp,Search Info,120.0,
America/Winnipeg,instagram,,,1750267425.1588311,0.0,closedApp,,,
America/Winnipeg,tikTok,1.5,breathingExercise,1750267463.992908,0.0,dismissedAppOpening,,,
America/Winnipeg,instagram,,structured,1750267949.4152222,0.0,dismissedByStructuredIntervention,,,
America/Winnipeg,tikTok,,structured,1750268175.796359,0.0,dismissedByStructuredIntervention,,,
America/Winnipeg,tikTok,,structured,1750268183.4946299,0.0,dismissedByStructuredIntervention,,,
America/Winnipeg,instagram,,structured,1750268275.564193,0.0,dismissedByStructuredIntervention,,,
America/Winnipeg,instagram,,structured,1750268278.907298,0.0,dismissedByStructuredIntervention,,,
America/Winnipeg,instagram,,structured,1750269824.60912,0.0,dismissedByStructuredIntervention,,,
America/Winnipeg,instagram,,structured,1750269827.3523788,0.0,dismissedByStructuredIntervention,,,
America/Winnipeg,instagram,,structured,1750271994.35918,0.0,dismissedByStructuredIntervention,,,
America/Winnipeg,instagram,,structured,1750276866.4283218,0.0,dismissedByStructuredIntervention,,,
America/Winnipeg,instagram,,structured,1750276877.5270061,0.0,dismissedByStructuredIntervention,,,
America/Winnipeg,instagram,,structured,1750276896.006711,0.0,dismissedByStructuredIntervention,,,
America/Winnipeg,instagram,1.5,breathingExercise,1750276921.919455,0.0,openedApp,Relax,600.0,
America/Winnipeg,instagram,,structured,1750276922.044164,0.0,dismissedByStructuredIntervention,,,
America/Winnipeg,instagram,,,1750276973.710513,0.0,closedApp,,,
,,,,1750277186.429146,,,,,terminatedByUser
