timezone,interventionDuration,resolution,isReIntervention,app,timestamp,interventionType,purpose
Europe/Sofia,1.5,dismissedAppOpening,False,instagram,1750970557.507862,breathingExercise,
Europe/Sofia,1.5,dismissedAppOpening,False,instagram,1750970559.252249,breathingExercise,
Europe/Sofia,1.5,dismissedAppOpening,False,instagram,1750970561.144764,breathingExercise,
Europe/Sofia,1.5,openedApp,False,instagram,1750970751.6983871,breathingExercise,Auf dem Laufenden bleiben
Europe/Sofia,,closedApp,False,instagram,1750970791.877893,,
Europe/Sofia,1.5,dismissedAppOpening,False,instagram,1750990230.3807821,breathingExercise,
Europe/Sofia,1.5,openedApp,False,snapchat,1750990247.2502918,breathingExercise,Nachricht / Schreiben
Europe/Sofia,,closedApp,False,snapchat,1750990280.4690418,,
Europe/Sofia,1.5,openedApp,False,instagram,1750990289.682992,breathingExercise,Auf dem Laufenden bleiben
Europe/Sofia,,closedApp,False,instagram,1750990336.256782,,
Europe/Sofia,1.5,openedApp,False,snapchat,1750990348.403615,breathingExercise,Auf dem Laufenden bleiben
Europe/Sofia,1.5,dismissedAppOpening,False,snapchat,1750990550.40257,breathingExercise,
Europe/Sofia,1.5,dismissedAppOpening,False,instagram,1750990552.5190701,breathingExercise,
Europe/Sofia,1.5,openedApp,False,instagram,1750990584.843451,breathingExercise,Auf dem Laufenden bleiben
Europe/Sofia,,closedApp,False,instagram,1750990679.938282,,
Europe/Sofia,1.5,dismissedAppOpening,False,instagram,1750990985.812469,breathingExercise,
Europe/Sofia,1.5,dismissedAppOpening,False,instagram,1750990988.534545,breathingExercise,
Europe/Sofia,1.5,openedApp,False,instagram,1750992228.546036,breathingExercise,Auf dem Laufenden bleiben
Europe/Sofia,,closedApp,False,instagram,1750992583.9170198,,
Europe/Sofia,1.5,dismissedAppOpening,False,snapchat,1750992585.662099,breathingExercise,
Europe/Sofia,1.5,openedApp,False,instagram,1750993163.2200742,breathingExercise,Ablenkung
Europe/Sofia,,closedApp,False,instagram,1750993186.1532102,,
Europe/Sofia,1.5,openedApp,False,instagram,1750993278.723351,breathingExercise,Nachricht / Schreiben
