app,interventionDuration,interventionType,resolution,timestamp,isReIntervention,timezone
instagram,1.5,breathingExercise,openedApp,1748517861.07768,False,Europe/Berlin
instagram,1.5,breathingExercise,openedApp,1748521456.32674,False,Europe/Berlin
instagram,1.5,breathingExercise,openedApp,1748526982.161036,False,Europe/Berlin
instagram,1.5,breathingExercise,openedApp,1748531283.308737,False,Europe/Berlin
instagram,1.5,breathingExercise,openedApp,1748533637.646255,False,Europe/Berlin
instagram,1.5,breathingExercise,openedApp,1748542301.667894,False,Europe/Berlin
instagram,1.5,breathingExercise,openedApp,1748542833.740035,False,Europe/Berlin
instagram,1.5,breathingExercise,openedApp,1748543518.526113,False,Europe/Berlin
instagram,1.5,breathingExercise,openedApp,1748543558.530375,False,Europe/Berlin
instagram,1.5,breathingExercise,openedApp,1748543715.783037,False,Europe/Berlin
instagram,1.5,breathingExercise,openedApp,1748544149.121218,False,Europe/Berlin
instagram,1.5,breathingExercise,openedApp,1748544536.297935,False,Europe/Berlin
instagram,1.5,breathingExercise,openedApp,1748544603.037317,False,Europe/Berlin
instagram,1.5,breathingExercise,openedApp,1748544729.862777,False,Europe/Berlin
instagram,1.5,breathingExercise,openedApp,1748548989.053563,False,Europe/Berlin
instagram,1.5,breathingExercise,dismissedAppOpening,1748549023.709114,False,Europe/Berlin
instagram,1.5,breathingExercise,dismissedAppOpening,1748549941.30236,False,Europe/Berlin
instagram,1.5,breathingExercise,dismissedAppOpening,1748550754.739853,False,Europe/Berlin
instagram,1.5,breathingExercise,dismissedAppOpening,1748550907.271847,False,Europe/Berlin
instagram,1.5,breathingExercise,openedApp,1748551731.9591231,False,Europe/Berlin
instagram,1.5,breathingExercise,openedApp,1748592967.648984,False,Europe/Berlin
instagram,1.5,breathingExercise,openedApp,1748593243.865234,False,Europe/Berlin
instagram,1.5,breathingExercise,dismissedAppOpening,1748593842.072628,False,Europe/Berlin
tikTok,1.5,breathingExercise,openedApp,1748593899.3360748,False,Europe/Berlin
