app,isReIntervention,interventionDuration,timestamp,interventionType,resolution,timezone
tikTok,False,1.5,1751719928.096431,breathingExercise,openedApp,Asia/Manila
tikTok,False,1.5,1751720776.748797,breathingExercise,openedApp,Asia/Manila
tikTok,False,1.5,1751723636.177084,breathingExercise,openedApp,Asia/Manila
tikTok,False,1.5,1751723722.089778,breathingExercise,openedApp,Asia/Manila
tikTok,False,1.5,1751723780.9136472,breathingExercise,dismissedAppOpening,Asia/Manila
tikTok,False,1.5,1751723799.210063,breathingExercise,openedApp,Asia/Manila
tikTok,False,1.5,1751723880.0113258,breathingExercise,dismissedAppOpening,Asia/Manila
tikTok,False,1.5,1751724385.863152,breathingExercise,dismissedAppOpening,Asia/Manila
tikTok,False,1.5,1751724960.2958279,breathingExercise,dismissedAppOpening,Asia/Manila
tikTok,False,1.5,1751727921.145163,breathingExercise,openedApp,Asia/Manila
tikTok,False,1.5,1751728764.169874,breathingExercise,openedApp,Asia/Manila
tikTok,False,1.5,1751729854.761239,breathingExercise,openedApp,Asia/Manila
tikTok,False,1.5,1751734027.070633,breathingExercise,openedApp,Asia/Manila
tikTok,False,1.5,1751738139.456244,breathingExercise,openedApp,Asia/Manila
tikTok,False,1.5,1751740426.551755,breathingExercise,dismissedAppOpening,Asia/Manila
tikTok,False,1.5,1751769235.233958,breathingExercise,openedApp,Asia/Manila
tikTok,False,1.5,1751769475.6146731,breathingExercise,openedApp,Asia/Manila
tikTok,False,1.5,1751769699.937268,breathingExercise,openedApp,Asia/Manila
tikTok,False,1.5,1751770164.6535192,breathingExercise,dismissedAppOpening,Asia/Manila
tikTok,False,1.5,1751770302.0900831,breathingExercise,dismissedAppOpening,Asia/Manila
tikTok,False,1.5,1751770392.092212,breathingExercise,openedApp,Asia/Manila
tikTok,False,1.5,1751771506.2297158,breathingExercise,dismissedAppOpening,Asia/Manila
tikTok,False,1.5,1751771605.416244,breathingExercise,openedApp,Asia/Manila
tikTok,False,1.5,1751774507.482586,breathingExercise,openedApp,Asia/Manila
tikTok,False,1.5,1751777584.954688,breathingExercise,openedApp,Asia/Manila
tikTok,False,1.5,1751787629.033894,breathingExercise,openedApp,Asia/Manila
tikTok,False,1.5,1751791482.059125,breathingExercise,openedApp,Asia/Manila
tikTok,False,1.5,1751791759.6817899,breathingExercise,dismissedAppOpening,Asia/Manila
tikTok,False,1.5,1751792323.351886,breathingExercise,openedApp,Asia/Manila
tikTok,False,1.5,1751792803.311894,breathingExercise,openedApp,Asia/Manila
tikTok,False,1.5,1751796890.553218,breathingExercise,openedApp,Asia/Manila
tikTok,False,1.5,1751798414.094974,breathingExercise,openedApp,Asia/Manila
tikTok,False,1.5,1751801109.59522,breathingExercise,openedApp,Asia/Manila
tikTok,False,1.5,1751804059.0137749,breathingExercise,openedApp,Asia/Manila
tikTok,False,1.5,1751804598.368527,breathingExercise,openedApp,Asia/Manila
tikTok,False,1.5,1751805672.734652,breathingExercise,openedApp,Asia/Manila
tikTok,False,1.5,1751806579.692431,breathingExercise,openedApp,Asia/Manila
tikTok,False,1.5,1751810404.312471,breathingExercise,openedApp,Asia/Manila
tikTok,False,1.5,1751814676.221988,breathingExercise,openedApp,Asia/Manila
tikTok,False,1.5,1751815523.773493,breathingExercise,openedApp,Asia/Manila
tikTok,False,1.5,1751816018.002414,breathingExercise,dismissedAppOpening,Asia/Manila
tikTok,False,1.5,1751817043.268752,breathingExercise,openedApp,Asia/Manila
tikTok,False,1.5,1751817604.78655,breathingExercise,openedApp,Asia/Manila
tikTok,False,1.5,1751843215.382309,breathingExercise,openedApp,Asia/Manila
tikTok,False,1.5,1751855361.979795,breathingExercise,openedApp,Asia/Manila
tikTok,False,1.5,1751864858.47241,breathingExercise,openedApp,Asia/Manila
tikTok,False,1.5,1751866049.133378,breathingExercise,openedApp,Asia/Manila
tikTok,False,1.5,1751866509.268028,breathingExercise,openedApp,Asia/Manila
tikTok,False,1.5,1751870031.882804,breathingExercise,openedApp,Asia/Manila
tikTok,False,1.5,1751870116.654747,breathingExercise,dismissedAppOpening,Asia/Manila
tikTok,False,1.5,1751883401.0632339,breathingExercise,openedApp,Asia/Manila
tikTok,False,1.5,1751886620.438932,breathingExercise,openedApp,Asia/Manila
tikTok,False,1.5,1751890600.674683,breathingExercise,dismissedAppOpening,Asia/Manila
tikTok,False,1.5,1751895419.705254,breathingExercise,openedApp,Asia/Manila
tikTok,False,1.5,1751895466.095736,breathingExercise,openedApp,Asia/Manila
tikTok,False,1.5,1751899169.574072,breathingExercise,openedApp,Asia/Manila
tikTok,False,1.5,1751902736.8538451,breathingExercise,openedApp,Asia/Manila
tikTok,False,1.5,1751903625.1113582,breathingExercise,dismissedAppOpening,Asia/Manila
tikTok,False,1.5,1751933232.1210132,breathingExercise,openedApp,Asia/Manila
tikTok,False,1.5,1751942763.8327951,breathingExercise,openedApp,Asia/Manila
tikTok,False,1.5,1751968464.413439,breathingExercise,openedApp,Asia/Manila
tikTok,False,1.5,1751973835.063346,breathingExercise,openedApp,Asia/Manila
tikTok,False,1.5,1751974625.53212,breathingExercise,openedApp,Asia/Manila
tikTok,False,1.5,1751978246.2068338,breathingExercise,openedApp,Asia/Manila
tikTok,False,1.5,1751988473.904525,breathingExercise,openedApp,Asia/Manila
tikTok,False,1.5,1751989111.291461,breathingExercise,dismissedAppOpening,Asia/Manila
tikTok,False,1.5,1751989171.492171,breathingExercise,openedApp,Asia/Manila
tikTok,False,1.5,1751991959.011997,breathingExercise,dismissedAppOpening,Asia/Manila
tikTok,False,1.5,1752036132.690562,breathingExercise,openedApp,Asia/Manila
tikTok,False,1.5,1752038060.323045,breathingExercise,openedApp,Asia/Manila
tikTok,False,1.5,1752046634.141787,breathingExercise,dismissedAppOpening,Asia/Manila
tikTok,False,1.5,1752046770.66648,breathingExercise,dismissedAppOpening,Asia/Manila
tikTok,False,1.5,1752046839.491097,breathingExercise,dismissedAppOpening,Asia/Manila
tikTok,False,1.5,1752048598.8015919,breathingExercise,openedApp,Asia/Manila
tikTok,False,1.5,1752057017.018557,breathingExercise,openedApp,Asia/Manila
tikTok,False,1.5,1752057360.995574,breathingExercise,openedApp,Asia/Manila
tikTok,False,1.5,1752057563.987235,breathingExercise,openedApp,Asia/Manila
tikTok,False,1.5,1752057786.536335,breathingExercise,openedApp,Asia/Manila
tikTok,False,1.5,1752058207.111659,breathingExercise,openedApp,Asia/Manila
tikTok,False,1.5,1752058289.1519098,breathingExercise,openedApp,Asia/Manila
tikTok,False,1.5,1752058671.341795,breathingExercise,openedApp,Asia/Manila
tikTok,False,1.5,1752058879.5050468,breathingExercise,dismissedAppOpening,Asia/Manila
tikTok,False,1.5,1752059254.243339,breathingExercise,openedApp,Asia/Manila
tikTok,False,1.5,1752059772.565496,breathingExercise,openedApp,Asia/Manila
tikTok,False,1.5,1752060770.098274,breathingExercise,dismissedAppOpening,Asia/Manila
tikTok,False,1.5,1752060774.178479,breathingExercise,dismissedAppOpening,Asia/Manila
tikTok,False,1.5,1752070102.208508,breathingExercise,openedApp,Asia/Manila
tikTok,False,1.5,1752110513.88018,breathingExercise,openedApp,Asia/Manila
tikTok,False,1.5,1752112861.192014,breathingExercise,openedApp,Asia/Manila
tikTok,False,1.5,1752124623.23908,breathingExercise,openedApp,Asia/Manila
tikTok,False,1.5,1752124894.4976258,breathingExercise,openedApp,Asia/Manila
tikTok,False,1.5,1752131064.373763,breathingExercise,openedApp,Asia/Manila
tikTok,False,1.5,1752134806.794177,breathingExercise,openedApp,Asia/Manila
tikTok,False,1.5,1752139761.6341848,breathingExercise,openedApp,Asia/Manila
tikTok,False,1.5,1752139841.677249,breathingExercise,openedApp,Asia/Manila
tikTok,False,1.5,1752147777.2723022,breathingExercise,dismissedAppOpening,Asia/Manila
tikTok,False,1.5,1752155781.903595,breathingExercise,openedApp,Asia/Manila
tikTok,False,1.5,1752156781.637557,breathingExercise,openedApp,Asia/Manila
tikTok,False,1.5,1752156926.673594,breathingExercise,openedApp,Asia/Manila
tikTok,False,1.5,1752157348.398752,breathingExercise,openedApp,Asia/Manila
tikTok,False,1.5,1752201453.9077969,breathingExercise,openedApp,Asia/Manila
tikTok,False,1.5,1752212031.948581,breathingExercise,openedApp,Asia/Manila
tikTok,False,1.5,1752213187.837661,breathingExercise,dismissedAppOpening,Asia/Manila
tikTok,False,1.5,1752214860.281209,breathingExercise,openedApp,Asia/Manila
tikTok,False,1.5,1752220454.237294,breathingExercise,openedApp,Asia/Manila
tikTok,False,1.5,1752221654.273108,breathingExercise,openedApp,Asia/Manila
tikTok,False,1.5,1752221853.81615,breathingExercise,openedApp,Asia/Manila
tikTok,False,1.5,1752222945.347725,breathingExercise,openedApp,Asia/Manila
tikTok,False,1.5,1752231253.925756,breathingExercise,openedApp,Asia/Manila
tikTok,False,1.5,1752234586.739973,breathingExercise,openedApp,Asia/Manila
tikTok,False,1.5,1752234867.561805,breathingExercise,openedApp,Asia/Manila
tikTok,False,1.5,1752235068.960397,breathingExercise,openedApp,Asia/Manila
tikTok,False,1.5,1752235313.2681189,breathingExercise,openedApp,Asia/Manila
tikTok,False,1.5,1752238969.792974,breathingExercise,openedApp,Asia/Manila
tikTok,False,1.5,1752239004.398247,breathingExercise,openedApp,Asia/Manila
tikTok,False,1.5,1752239950.952821,breathingExercise,openedApp,Asia/Manila
tikTok,False,1.5,1752243039.363934,breathingExercise,openedApp,Asia/Manila
tikTok,False,1.5,1752243066.7538261,breathingExercise,openedApp,Asia/Manila
tikTok,False,1.5,1752290790.7105,breathingExercise,openedApp,Asia/Manila
tikTok,False,1.5,1752296738.224215,breathingExercise,openedApp,Asia/Manila
tikTok,False,1.5,1752297525.899293,breathingExercise,dismissedAppOpening,Asia/Manila
tikTok,False,1.5,1752298038.654841,breathingExercise,openedApp,Asia/Manila
tikTok,False,1.5,1752333667.383889,breathingExercise,openedApp,Asia/Manila
tikTok,False,1.5,1752382306.3321729,breathingExercise,openedApp,Asia/Manila
tikTok,False,1.5,1752387009.713408,breathingExercise,openedApp,Asia/Manila
tikTok,False,1.5,1752388972.309338,breathingExercise,openedApp,Asia/Manila
tikTok,False,1.5,1752392689.3195338,breathingExercise,openedApp,Asia/Manila
tikTok,False,1.5,1752396474.2134871,breathingExercise,openedApp,Asia/Manila
tikTok,False,1.5,1752466517.086652,breathingExercise,openedApp,Asia/Manila
tikTok,False,1.5,1752470055.380408,breathingExercise,openedApp,Asia/Manila
tikTok,False,1.5,1752483066.97408,breathingExercise,openedApp,Asia/Manila
tikTok,False,1.5,1752488470.164617,breathingExercise,openedApp,Asia/Manila
tikTok,False,1.5,1752489246.502775,breathingExercise,openedApp,Asia/Manila
tikTok,False,1.5,1752492050.080385,breathingExercise,dismissedAppOpening,Asia/Manila
tikTok,False,1.5,1752495142.8131208,breathingExercise,openedApp,Asia/Manila
tikTok,False,1.5,1752498299.912796,breathingExercise,openedApp,Asia/Manila
tikTok,False,1.5,1752508873.579731,breathingExercise,openedApp,Asia/Manila
tikTok,False,1.5,1752557626.0096068,breathingExercise,openedApp,Asia/Manila
tikTok,False,1.5,1752558259.945544,breathingExercise,openedApp,Asia/Manila
tikTok,False,1.5,1752559349.064725,breathingExercise,openedApp,Asia/Manila
tikTok,False,1.5,1752562656.460624,breathingExercise,openedApp,Asia/Manila
tikTok,False,1.5,1752562967.238134,breathingExercise,openedApp,Asia/Manila
tikTok,False,1.5,1752563091.853778,breathingExercise,openedApp,Asia/Manila
tikTok,False,1.5,1752564741.8349771,breathingExercise,openedApp,Asia/Manila
tikTok,False,1.5,1752565245.570785,breathingExercise,openedApp,Asia/Manila
tikTok,False,1.5,1752566266.197839,breathingExercise,openedApp,Asia/Manila
tikTok,False,1.5,1752571389.500025,breathingExercise,openedApp,Asia/Manila
tikTok,False,1.5,1752571592.318408,breathingExercise,openedApp,Asia/Manila
tikTok,False,1.5,1752572164.2320251,breathingExercise,openedApp,Asia/Manila
tikTok,False,1.5,1752572499.465114,breathingExercise,openedApp,Asia/Manila
tikTok,False,1.5,1752576188.77941,breathingExercise,openedApp,Asia/Manila
tikTok,False,1.5,1752583052.09318,breathingExercise,openedApp,Asia/Manila
tikTok,False,1.5,1752583635.358111,breathingExercise,openedApp,Asia/Manila
tikTok,False,1.5,1752583940.4888592,breathingExercise,openedApp,Asia/Manila
tikTok,False,1.5,1752584188.279702,breathingExercise,openedApp,Asia/Manila
tikTok,False,1.5,1752584560.918473,breathingExercise,openedApp,Asia/Manila
tikTok,False,1.5,1752584695.362071,breathingExercise,openedApp,Asia/Manila
tikTok,False,1.5,1752585636.952529,breathingExercise,openedApp,Asia/Manila
tikTok,False,1.5,1752585740.611007,breathingExercise,openedApp,Asia/Manila
tikTok,False,1.5,1752585881.5714831,breathingExercise,openedApp,Asia/Manila
tikTok,False,1.5,1752590064.308786,breathingExercise,dismissedAppOpening,Asia/Manila
tikTok,False,1.5,1752590967.119433,breathingExercise,openedApp,Asia/Manila
tikTok,False,1.5,1752591079.26115,breathingExercise,openedApp,Asia/Manila
tikTok,False,1.5,1752594122.5240312,breathingExercise,openedApp,Asia/Manila
tikTok,False,1.5,1752594892.22648,breathingExercise,openedApp,Asia/Manila
tikTok,False,1.5,1752595018.665811,breathingExercise,openedApp,Asia/Manila
tikTok,False,1.5,1752595248.104181,breathingExercise,openedApp,Asia/Manila
tikTok,False,1.5,1752595668.953123,breathingExercise,openedApp,Asia/Manila
tikTok,False,1.5,1752596622.223278,breathingExercise,openedApp,Asia/Manila
tikTok,False,1.5,1752596811.683809,breathingExercise,openedApp,Asia/Manila
tikTok,False,1.5,1752597055.552175,breathingExercise,dismissedAppOpening,Asia/Manila
tikTok,False,1.5,1752599568.461076,breathingExercise,openedApp,Asia/Manila
tikTok,False,1.5,1752600439.952281,breathingExercise,openedApp,Asia/Manila
tikTok,False,1.5,1752601746.652079,breathingExercise,openedApp,Asia/Manila
tikTok,False,1.5,1752601818.811018,breathingExercise,openedApp,Asia/Manila
tikTok,False,1.5,1752602688.407864,breathingExercise,openedApp,Asia/Manila
tikTok,False,1.5,1752603160.956317,breathingExercise,openedApp,Asia/Manila
tikTok,False,1.5,1752603513.083178,breathingExercise,openedApp,Asia/Manila
tikTok,False,1.5,1752603886.386513,breathingExercise,openedApp,Asia/Manila
tikTok,False,1.5,1752603959.9117088,breathingExercise,openedApp,Asia/Manila
tikTok,False,1.5,1752604074.327221,breathingExercise,openedApp,Asia/Manila
tikTok,False,1.5,1752604181.892417,breathingExercise,openedApp,Asia/Manila
tikTok,False,1.5,1752605074.855684,breathingExercise,openedApp,Asia/Manila
tikTok,False,1.5,1752605434.018817,breathingExercise,openedApp,Asia/Manila
tikTok,False,1.5,1752605833.4568272,breathingExercise,openedApp,Asia/Manila
tikTok,False,1.5,1752606203.586535,breathingExercise,dismissedAppOpening,Asia/Manila
tikTok,False,1.5,1752606439.070483,breathingExercise,openedApp,Asia/Manila
tikTok,False,1.5,1752606680.4307442,breathingExercise,openedApp,Asia/Manila
tikTok,False,1.5,1752607156.619307,breathingExercise,openedApp,Asia/Manila
tikTok,False,1.5,1752607568.583527,breathingExercise,openedApp,Asia/Manila
tikTok,False,1.5,1752628808.081727,breathingExercise,openedApp,Asia/Manila
tikTok,False,1.5,1752630553.786442,breathingExercise,openedApp,Asia/Manila
tikTok,False,1.5,1752632073.672995,breathingExercise,openedApp,Asia/Manila
tikTok,False,1.5,1752632463.751988,breathingExercise,openedApp,Asia/Manila
tikTok,False,1.5,1752633650.406827,breathingExercise,dismissedAppOpening,Asia/Manila
tikTok,False,1.5,1752633891.67138,breathingExercise,openedApp,Asia/Manila
tikTok,False,1.5,1752635081.655199,breathingExercise,openedApp,Asia/Manila
tikTok,False,1.5,1752642729.431273,breathingExercise,openedApp,Asia/Manila
tikTok,False,1.5,1752664549.815515,breathingExercise,openedApp,Asia/Manila
tikTok,False,1.5,1752673977.7660131,breathingExercise,openedApp,Asia/Manila
tikTok,False,1.5,1752674839.957495,breathingExercise,openedApp,Asia/Manila
tikTok,False,1.5,1752674968.607843,breathingExercise,openedApp,Asia/Manila
tikTok,False,1.5,1752675060.6170778,breathingExercise,openedApp,Asia/Manila
tikTok,False,1.5,1752675356.6430779,breathingExercise,openedApp,Asia/Manila
tikTok,False,1.5,1752676763.454835,breathingExercise,openedApp,Asia/Manila
tikTok,False,1.5,1752679700.937732,breathingExercise,openedApp,Asia/Manila
tikTok,False,1.5,1752680159.833319,breathingExercise,openedApp,Asia/Manila
tikTok,False,1.5,1752680802.1465302,breathingExercise,openedApp,Asia/Manila
tikTok,False,1.5,1752681260.0549679,breathingExercise,openedApp,Asia/Manila
tikTok,False,1.5,1752681809.103302,breathingExercise,openedApp,Asia/Manila
tikTok,False,1.5,1752682170.18713,breathingExercise,openedApp,Asia/Manila
tikTok,False,1.5,1752682858.035005,breathingExercise,openedApp,Asia/Manila
tikTok,False,1.5,1752683741.006507,breathingExercise,openedApp,Asia/Manila
tikTok,False,1.5,1752683878.624994,breathingExercise,openedApp,Asia/Manila
tikTok,False,1.5,1752745428.109451,breathingExercise,openedApp,Asia/Manila
tikTok,False,1.5,1752753229.768725,breathingExercise,openedApp,Asia/Manila
tikTok,False,1.5,1752760129.3104959,breathingExercise,openedApp,Asia/Manila
tikTok,False,1.5,1752761888.0188441,breathingExercise,openedApp,Asia/Manila
tikTok,False,1.5,1752766690.2271671,breathingExercise,openedApp,Asia/Manila
tikTok,False,1.5,1752771334.21119,breathingExercise,openedApp,Asia/Manila
tikTok,False,1.5,1752771428.0093632,breathingExercise,openedApp,Asia/Manila
tikTok,False,1.5,1752815093.150848,breathingExercise,openedApp,Asia/Manila
tikTok,False,1.5,1752821604.554712,breathingExercise,openedApp,Asia/Manila
tikTok,False,1.5,1752821675.025974,breathingExercise,openedApp,Asia/Manila
tikTok,False,1.5,1752822597.874702,breathingExercise,openedApp,Asia/Manila
tikTok,False,1.5,1752824318.567982,breathingExercise,openedApp,Asia/Manila
tikTok,False,1.5,1752837420.83857,breathingExercise,openedApp,Asia/Manila
tikTok,False,1.5,1752853321.536603,breathingExercise,openedApp,Asia/Manila
tikTok,False,1.5,1752867719.054584,breathingExercise,openedApp,Asia/Manila
tikTok,False,1.5,1752868802.356545,breathingExercise,openedApp,Asia/Manila
tikTok,False,1.5,1752868974.3558521,breathingExercise,openedApp,Asia/Manila
tikTok,False,1.5,1752901068.918769,breathingExercise,openedApp,Asia/Manila
tikTok,False,1.5,1752909704.529676,breathingExercise,openedApp,Asia/Manila
tikTok,False,1.5,1752917584.107079,breathingExercise,openedApp,Asia/Manila
tikTok,False,1.5,1752917799.1950989,breathingExercise,dismissedAppOpening,Asia/Manila
