interventionDuration,purpose,timeIntervalUntilReIntervention,timestamp,isReIntervention,timezone,resolution,app,interventionType
1.5,Check likes,300.0,1748443619.7575622,False,America/New_York,openedApp,instagram,breathingExercise
,,,1748443751.3294601,False,America/New_York,closedApp,instagram,
,,,1748443897.689114,False,America/New_York,closedApp,instagram,
1.5,Entertainment,300.0,1748445537.110354,False,America/New_York,openedApp,twitter,breathingExercise
,,,1748445659.991661,False,America/New_York,closedApp,twitter,
,,,1748445872.8147001,False,America/New_York,closedApp,twitter,
1.5,Message,60.0,1748445880.996509,False,America/New_York,openedApp,instagram,breathingExercise
1.5,Escape / Avoid,240.0,1748445959.036845,True,America/New_York,openedApp,instagram,breathingExercise
,,,1748445950.089803,False,America/New_York,closedApp,instagram,
,,,1748446069.33387,False,America/New_York,closedApp,instagram,
1.5,,,1748447350.045049,False,America/New_York,dismissedAppOpening,instagram,breathingExercise
1.5,Check likes,240.0,1748455906.947175,False,America/New_York,openedApp,twitter,breathingExercise
,,,1748455931.5559611,False,America/New_York,closedApp,twitter,
,,,1748456131.776005,False,America/New_York,closedApp,twitter,
1.5,Message,300.0,1748457072.1211472,False,America/New_York,openedApp,instagram,breathingExercise
,,,1748457322.936764,False,America/New_York,closedApp,instagram,
1.5,Message,60.0,1748458919.740334,False,America/New_York,openedApp,instagram,breathingExercise
,,,1748458987.916323,False,America/New_York,closedApp,instagram,
1.5,,,1748459085.6617022,False,America/New_York,dismissedAppOpening,instagram,breathingExercise
1.5,,,1748459093.3372722,False,America/New_York,dismissedAppOpening,instagram,breathingExercise
1.5,Message,60.0,1748463353.643178,False,America/New_York,openedApp,instagram,breathingExercise
,,,1748463371.283012,False,America/New_York,closedApp,instagram,
1.5,Stay In the Loop,60.0,1748463642.786049,False,America/New_York,openedApp,twitter,breathingExercise
1.5,Stay In the Loop,300.0,1748463724.85428,True,America/New_York,openedApp,twitter,breathingExercise
,,,1748463711.8562732,False,America/New_York,closedApp,twitter,
,,,1748463960.291966,False,America/New_York,closedApp,twitter,
1.5,Entertainment,60.0,1748472326.15445,False,America/New_York,openedApp,instagram,breathingExercise
