resolution,interventionType,isReIntervention,interventionDuration,timezone,app,timestamp,timeIntervalUntilReIntervention
openedApp,breathingExercise,False,40.0,Europe/Dublin,shortcuts,1748641770.176937,
openedApp,breathingExercise,False,1.5,Europe/Dublin,snapchat,1748641917.81462,
dismissedAppOpening,breathingExercise,False,1.5,Europe/Dublin,snapchat,1748642255.041945,
dismissedAppOpening,breathingExercise,False,1.5,Europe/Dublin,snapchat,1748642461.7654572,
dismissedAppOpening,breathingExercise,False,1.5,Europe/Dublin,snapchat,1748642471.2973309,
dismissedAppOpening,breathingExercise,False,1.5,Europe/Dublin,snapchat,1748642513.058941,
dismissedAppOpening,breathingExercise,False,1.5,Europe/Dublin,snapchat,1748642528.966744,
openedApp,breathingExercise,False,1.5,Europe/Dublin,snapchat,1748677649.126827,60.0
openedApp,breathingExercise,False,1.5,Europe/Dublin,snapchat,1748680929.6990762,60.0
openedApp,breathingExercise,True,1.5,Europe/Dublin,snapchat,1748681003.728006,60.0
openedApp,breathingExercise,False,1.5,Europe/Dublin,snapchat,1748696572.952182,60.0
dismissedAppOpening,breathingExercise,False,1.5,Europe/Dublin,snapchat,1748696801.82822,
dismissedAppOpening,breathingExercise,False,1.5,Europe/Dublin,snapchat,1748696811.561307,
openedApp,breathingExercise,False,1.5,Europe/Dublin,snapchat,1748698631.486957,60.0
openedApp,breathingExercise,False,1.5,Europe/Dublin,snapchat,1748707928.786718,180.0
dismissedAppOpening,breathingExercise,False,1.5,Europe/Dublin,snapchat,1748708088.004708,
openedApp,breathingExercise,False,1.5,Europe/Dublin,snapchat,1748708527.961494,120.0
openedApp,breathingExercise,False,1.5,Europe/Dublin,snapchat,1748710269.622548,60.0
openedApp,breathingExercise,False,1.5,Europe/Dublin,snapchat,1748710486.012793,60.0
openedApp,breathingExercise,False,1.5,Europe/Dublin,snapchat,1748713611.2369452,180.0
openedApp,breathingExercise,True,1.5,Europe/Dublin,snapchat,1748713807.5938768,300.0
openedApp,breathingExercise,False,1.5,Europe/Dublin,snapchat,1748773035.424938,120.0
openedApp,breathingExercise,False,1.5,Europe/Dublin,snapchat,1748778973.102209,300.0
openedApp,breathingExercise,False,1.5,Europe/Dublin,snapchat,1748779283.51524,300.0
dismissedAppOpening,breathingExercise,False,1.5,Europe/Dublin,snapchat,1748779477.333046,
openedApp,breathingExercise,False,1.5,Europe/Dublin,snapchat,1748781797.4006062,180.0
openedApp,breathingExercise,False,1.5,Europe/Dublin,snapchat,1748783390.389348,300.0
openedApp,breathingExercise,False,1.5,Europe/Dublin,snapchat,1748796267.857926,300.0
openedApp,breathingExercise,True,1.5,Europe/Dublin,snapchat,1748796682.8478498,300.0
openedApp,breathingExercise,True,1.5,Europe/Dublin,snapchat,1748796994.802789,300.0
openedApp,breathingExercise,False,1.5,Europe/Dublin,snapchat,1748801979.727499,120.0
openedApp,breathingExercise,False,40.0,Europe/Dublin,shortcuts,1748812026.484894,
openedApp,breathingExercise,False,1.5,Europe/Dublin,snapchat,1748856135.1966949,120.0
openedApp,breathingExercise,False,1.5,Europe/Dublin,snapchat,1748861865.414237,60.0
dismissedAppOpening,breathingExercise,False,1.5,Europe/Dublin,snapchat,1748868260.265397,
openedApp,breathingExercise,False,1.5,Europe/Dublin,snapchat,1748868266.54958,60.0
openedApp,breathingExercise,False,1.5,Europe/Dublin,snapchat,1748870831.860398,60.0
openedApp,breathingExercise,False,1.5,Europe/Dublin,snapchat,1748877745.552901,60.0
openedApp,breathingExercise,False,1.5,Europe/Dublin,snapchat,1748879098.1372418,60.0
dismissedAppOpening,breathingExercise,False,1.5,Europe/Dublin,snapchat,1748879110.61077,
openedApp,breathingExercise,False,1.5,Europe/Dublin,snapchat,1748894708.286459,60.0
dismissedAppOpening,breathingExercise,False,1.5,Europe/Dublin,snapchat,1748894708.686291,
openedApp,breathingExercise,False,1.5,Europe/Dublin,snapchat,1748898037.705591,60.0
dismissedAppOpening,breathingExercise,False,1.5,Europe/Dublin,snapchat,1748899102.652454,
openedApp,breathingExercise,False,1.5,Europe/Dublin,snapchat,1748899124.4411511,300.0
openedApp,breathingExercise,False,1.5,Europe/Dublin,snapchat,1748899173.314817,120.0
