interventionDuration,timezone,interventionType,timestamp,resolution,isReIntervention,app
1.5,Europe/Berlin,breathingExercise,1749849223.3323789,openedApp,False,instagram
1.5,Europe/Berlin,breathingExercise,1749853413.968423,openedApp,False,instagram
1.5,Europe/Berlin,breathingExercise,1749854674.66032,dismissedAppOpening,False,instagram
1.5,Europe/Berlin,breathingExercise,1749854795.408403,dismissedAppOpening,False,instagram
1.5,Europe/Berlin,breathingExercise,1749855943.120905,dismissedAppOpening,False,instagram
1.5,Europe/Berlin,breathingExercise,1749855969.990394,openedApp,False,instagram
1.5,Europe/Berlin,breathingExercise,1749856944.928607,dismissedAppOpening,False,instagram
1.5,Europe/Berlin,breathingExercise,1749858178.103075,dismissedAppOpening,False,instagram
1.5,Europe/Berlin,breathingExercise,1749881802.850517,openedApp,False,instagram
1.5,Europe/Berlin,breathingExercise,1749903975.955782,openedApp,False,instagram
1.5,Europe/Berlin,breathingExercise,1749911725.122215,openedApp,False,instagram
1.5,Europe/Berlin,breathingExercise,1749914309.5402489,openedApp,False,instagram
1.5,Europe/Berlin,breathingExercise,1749926418.2492762,openedApp,False,instagram
1.5,Europe/Berlin,breathingExercise,1749926675.043674,dismissedAppOpening,False,instagram
1.5,Europe/Berlin,breathingExercise,1749929026.5009398,openedApp,False,instagram
1.5,Europe/Berlin,breathingExercise,1749930209.363659,openedApp,False,instagram
1.5,Europe/Berlin,breathingExercise,1749932597.765454,dismissedAppOpening,False,instagram
1.5,Europe/Berlin,breathingExercise,1749933130.464566,dismissedAppOpening,False,instagram
1.5,Europe/Berlin,breathingExercise,1749935420.673573,openedApp,False,instagram
1.5,Europe/Berlin,breathingExercise,1749936882.712203,dismissedAppOpening,False,instagram
1.5,Europe/Berlin,breathingExercise,1749939009.092517,openedApp,False,instagram
1.5,Europe/Berlin,breathingExercise,1749939672.630032,openedApp,False,instagram
1.5,Europe/Berlin,breathingExercise,1749988123.4820318,openedApp,False,instagram
1.5,Europe/Berlin,breathingExercise,1749993523.5648398,openedApp,False,instagram
