app,timezone,isReIntervention,timestamp,purpose,timeIntervalUntilReIntervention,interventionType,resolution,interventionDuration,terminationReason
instagram,Asia/Qatar,0.0,1750083018.6393209,Message,60.0,breathingExercise,openedApp,1.5,
instagram,Asia/Qatar,0.0,1750083402.721911,,,breathingExercise,dismissedAppOpening,1.5,
instagram,Asia/Qatar,0.0,1750083414.860993,Escape / Avoid,60.0,breathingExercise,openedApp,1.5,
instagram,Asia/Qatar,0.0,1750084262.124479,,,breathingExercise,dismissedAppOpening,1.5,
instagram,Asia/Qatar,0.0,1750084271.520232,Message,60.0,breathingExercise,openedApp,1.5,
instagram,Asia/Qatar,0.0,1750084322.4143481,,,breathingExercise,dismissedAppOpening,1.5,
instagram,Asia/Qatar,0.0,1750084915.561737,Message,600.0,breathingExercise,openedApp,1.5,
instagram,Asia/Qatar,0.0,1750085048.72985,,,breathingExercise,dismissedAppOpening,1.5,
instagram,Asia/Qatar,0.0,1750085057.165368,Message,180.0,breathingExercise,openedApp,1.5,
instagram,Asia/Qatar,0.0,1750085432.064444,Message,240.0,breathingExercise,openedApp,1.5,
instagram,Asia/Qatar,0.0,1750089851.093875,Message,60.0,breathingExercise,openedApp,1.5,
instagram,Asia/Qatar,0.0,1750090243.0953798,,,breathingExercise,dismissedAppOpening,1.5,
instagram,Asia/Qatar,0.0,1750090346.7741652,Message,180.0,breathingExercise,openedApp,1.5,
instagram,Asia/Qatar,0.0,1750090648.686664,,,breathingExercise,dismissedAppOpening,1.5,
instagram,Asia/Qatar,0.0,1750090651.719135,,,breathingExercise,dismissedAppOpening,1.5,
instagram,Asia/Qatar,0.0,1750090709.84094,,,breathingExercise,dismissedAppOpening,1.5,
instagram,Asia/Qatar,0.0,1750095149.646704,,,breathingExercise,dismissedAppOpening,1.5,
instagram,Asia/Qatar,0.0,1750095159.633531,Message,180.0,breathingExercise,openedApp,1.5,
instagram,Asia/Qatar,0.0,1750096386.000484,Bored,600.0,breathingExercise,openedApp,1.5,
instagram,Asia/Qatar,0.0,1750096467.45277,Message,600.0,breathingExercise,openedApp,1.5,
instagram,Asia/Qatar,0.0,1750096721.494365,,,breathingExercise,dismissedAppOpening,1.5,
instagram,Asia/Qatar,0.0,1750096748.78578,,,breathingExercise,dismissedAppOpening,1.5,
instagram,Asia/Qatar,0.0,1750096789.824147,,,breathingExercise,dismissedAppOpening,1.5,
instagram,Asia/Qatar,0.0,1750100495.2670078,Bored,600.0,breathingExercise,openedApp,1.5,
instagram,Asia/Qatar,0.0,1750101031.29216,Bored,600.0,breathingExercise,openedApp,1.5,
instagram,Asia/Qatar,0.0,1750101116.204792,,,breathingExercise,dismissedAppOpening,1.5,
instagram,Asia/Qatar,0.0,1750101218.982403,,,breathingExercise,dismissedAppOpening,1.5,
instagram,Asia/Qatar,0.0,1750102646.2140741,Bored,120.0,breathingExercise,openedApp,1.5,
instagram,Asia/Qatar,0.0,1750103308.409021,,,breathingExercise,dismissedAppOpening,1.5,
instagram,Asia/Qatar,0.0,1750104814.0133538,Bored,,breathingExercise,openedApp,1.5,
instagram,Asia/Qatar,0.0,1750105279.769079,,,breathingExercise,dismissedAppOpening,1.5,
instagram,Asia/Qatar,0.0,1750105309.9248729,Message,,breathingExercise,openedApp,1.5,
instagram,Asia/Qatar,0.0,1750107498.701221,Message,,breathingExercise,openedApp,1.5,
instagram,Asia/Qatar,0.0,1750108423.899691,Message,,breathingExercise,openedApp,1.5,
instagram,Asia/Qatar,0.0,1750111720.725717,Message,,breathingExercise,openedApp,1.5,
instagram,Asia/Qatar,0.0,1750111837.92284,Message,,breathingExercise,openedApp,1.5,
instagram,Asia/Qatar,0.0,1750112008.1463308,,,breathingExercise,dismissedAppOpening,1.5,
instagram,Asia/Qatar,0.0,1750112048.009862,,,breathingExercise,dismissedAppOpening,1.5,
instagram,Asia/Qatar,0.0,1750138070.411391,Message,,breathingExercise,openedApp,1.5,
instagram,Asia/Qatar,0.0,1750138304.07547,Bored,,breathingExercise,openedApp,1.5,
instagram,Asia/Qatar,0.0,1750138351.5524511,Bored,,breathingExercise,openedApp,1.5,
instagram,Asia/Qatar,0.0,1750138508.501884,Message,,breathingExercise,openedApp,1.5,
instagram,Asia/Qatar,0.0,1750138702.7331228,Bored,,breathingExercise,openedApp,1.5,
instagram,Asia/Qatar,0.0,1750139390.286666,,,breathingExercise,dismissedAppOpening,1.5,
instagram,Asia/Qatar,0.0,1750139511.053214,Bored,,breathingExercise,openedApp,1.5,
instagram,Asia/Qatar,0.0,1750143362.5741758,Entertainment,,breathingExercise,openedApp,1.5,
instagram,Asia/Qatar,0.0,1750144253.626821,Escape / Avoid,,breathingExercise,openedApp,1.5,
instagram,Asia/Qatar,0.0,1750144626.28828,Escape / Avoid,,breathingExercise,openedApp,1.5,
instagram,Asia/Qatar,0.0,1750145752.5855088,Escape / Avoid,,breathingExercise,openedApp,1.5,
instagram,Asia/Qatar,0.0,1750149838.032969,Escape / Avoid,,breathingExercise,openedApp,1.5,
instagram,Asia/Qatar,0.0,1750150337.294709,,,breathingExercise,dismissedAppOpening,1.5,
instagram,Asia/Qatar,0.0,1750150366.6919808,,,breathingExercise,dismissedAppOpening,1.5,
instagram,Asia/Qatar,0.0,1750150374.932194,Escape / Avoid,,breathingExercise,openedApp,1.5,
instagram,Asia/Qatar,0.0,1750151089.184997,,,breathingExercise,dismissedAppOpening,1.5,
instagram,Asia/Qatar,0.0,1750151091.235074,,,breathingExercise,dismissedAppOpening,1.5,
instagram,Asia/Qatar,0.0,1750151549.473662,,,breathingExercise,dismissedAppOpening,1.5,
instagram,Asia/Qatar,0.0,1750151878.899695,,,breathingExercise,dismissedAppOpening,1.5,
instagram,Asia/Qatar,0.0,1750152387.335141,,,breathingExercise,dismissedAppOpening,1.5,
instagram,Asia/Qatar,0.0,1750152389.7567139,,,breathingExercise,dismissedAppOpening,1.5,
instagram,Asia/Qatar,0.0,1750156911.481979,Escape / Avoid,,breathingExercise,openedApp,1.5,
instagram,Asia/Qatar,0.0,1750158142.825819,Escape / Avoid,,breathingExercise,openedApp,1.5,
instagram,Asia/Qatar,0.0,1750158336.377792,Post something,,breathingExercise,openedApp,1.5,
instagram,Asia/Qatar,0.0,1750159420.584395,Can’t sleep,,breathingExercise,openedApp,1.5,
instagram,Asia/Qatar,0.0,1750160556.1156921,Post something,,breathingExercise,openedApp,1.5,
instagram,Asia/Qatar,0.0,1750161657.020222,Relax,,breathingExercise,openedApp,1.5,
instagram,Asia/Qatar,0.0,1750161736.2623081,Relax,,breathingExercise,openedApp,1.5,
instagram,Asia/Qatar,0.0,1750162173.2105088,Can’t sleep,,breathingExercise,openedApp,1.5,
instagram,Asia/Qatar,0.0,1750163572.777017,Post something,,breathingExercise,openedApp,1.5,
instagram,Asia/Qatar,0.0,1750163877.9864988,,,breathingExercise,dismissedAppOpening,1.5,
instagram,Asia/Qatar,0.0,1750170666.3155851,Message,,breathingExercise,openedApp,1.5,
instagram,Asia/Qatar,0.0,1750170713.371097,Message,,breathingExercise,openedApp,1.5,
instagram,Asia/Qatar,0.0,1750170779.933414,Message,,breathingExercise,openedApp,1.5,
instagram,Asia/Qatar,0.0,1750170925.6533751,Message,,breathingExercise,openedApp,1.5,
instagram,Asia/Qatar,0.0,1750171014.944656,Toilet,,breathingExercise,openedApp,1.5,
instagram,Asia/Qatar,0.0,1750171347.878295,Search Info,,breathingExercise,openedApp,1.5,
instagram,Asia/Qatar,0.0,1750171424.3437328,Message,,breathingExercise,openedApp,1.5,
instagram,Asia/Qatar,0.0,1750171583.76994,Stay In the Loop,,breathingExercise,openedApp,1.5,
instagram,Asia/Qatar,0.0,1750172205.9719129,,,breathingExercise,dismissedAppOpening,1.5,
instagram,Asia/Qatar,0.0,1750172826.897074,Message,,breathingExercise,openedApp,1.5,
instagram,Asia/Qatar,0.0,1750173745.079663,,,breathingExercise,dismissedAppOpening,1.5,
instagram,Asia/Qatar,0.0,1750174536.2550402,Message,,breathingExercise,openedApp,1.5,
instagram,Asia/Qatar,0.0,1750174717.474637,Message,,breathingExercise,openedApp,1.5,
instagram,Asia/Qatar,0.0,1750174807.556723,,,breathingExercise,dismissedAppOpening,1.5,
instagram,Asia/Qatar,0.0,1750174816.155024,Message,,breathingExercise,openedApp,1.5,
instagram,Asia/Qatar,0.0,1750175685.236105,,,breathingExercise,dismissedAppOpening,1.5,
instagram,Asia/Qatar,0.0,1750175809.449961,Message,,breathingExercise,openedApp,1.5,
instagram,Asia/Qatar,0.0,1750176863.965194,Message,,breathingExercise,openedApp,1.5,
instagram,Asia/Qatar,0.0,1750177449.0950851,,,breathingExercise,dismissedAppOpening,1.5,
instagram,Asia/Qatar,0.0,1750177474.5135279,Message,,breathingExercise,openedApp,1.5,
instagram,Asia/Qatar,0.0,1750177789.782774,Message,,breathingExercise,openedApp,1.5,
instagram,Asia/Qatar,0.0,1750178274.272816,,,breathingExercise,dismissedAppOpening,1.5,
instagram,Asia/Qatar,0.0,1750179121.695508,,,breathingExercise,dismissedAppOpening,1.5,
instagram,Asia/Qatar,0.0,1750179549.175267,Message,,breathingExercise,openedApp,1.5,
instagram,Asia/Qatar,0.0,1750180367.637496,Message,,breathingExercise,openedApp,1.5,
instagram,Asia/Qatar,0.0,1750182799.310571,Message,,breathingExercise,openedApp,1.5,
instagram,Asia/Qatar,0.0,1750182858.30471,Message,,breathingExercise,openedApp,1.5,
instagram,Asia/Qatar,0.0,1750183291.626023,Message,,breathingExercise,openedApp,1.5,
instagram,Asia/Qatar,0.0,1750183423.7362309,Message,,breathingExercise,openedApp,1.5,
instagram,Asia/Qatar,0.0,1750183495.141292,Message,,breathingExercise,openedApp,1.5,
instagram,Asia/Qatar,0.0,1750183610.921545,Message,,breathingExercise,openedApp,1.5,
instagram,Asia/Qatar,0.0,1750183803.7201982,Message,,breathingExercise,openedApp,1.5,
instagram,Asia/Qatar,0.0,1750183835.481063,,,breathingExercise,dismissedAppOpening,1.5,
instagram,Asia/Qatar,0.0,1750183838.360032,,,breathingExercise,dismissedAppOpening,1.5,
instagram,Asia/Qatar,0.0,1750183858.198283,Message,,breathingExercise,openedApp,1.5,
instagram,Asia/Qatar,0.0,1750184083.7568421,Message,,breathingExercise,openedApp,1.5,
instagram,Asia/Qatar,0.0,1750184142.286244,Message,,breathingExercise,openedApp,1.5,
instagram,Asia/Qatar,0.0,1750184292.078329,,,breathingExercise,dismissedAppOpening,1.5,
instagram,Asia/Qatar,0.0,1750184327.152394,Message,,breathingExercise,openedApp,1.5,
instagram,Asia/Qatar,0.0,1750184387.596221,Message,,breathingExercise,openedApp,1.5,
instagram,Asia/Qatar,0.0,1750184799.996845,Message,,breathingExercise,openedApp,1.5,
instagram,Asia/Qatar,0.0,1750184962.659958,Message,,breathingExercise,openedApp,1.5,
instagram,Asia/Qatar,0.0,1750186845.1161342,Message,,breathingExercise,openedApp,1.5,
instagram,Asia/Qatar,0.0,1750187149.445095,Message,,breathingExercise,openedApp,1.5,
instagram,Asia/Qatar,0.0,1750187908.483593,Message,,breathingExercise,openedApp,1.5,
instagram,Asia/Qatar,0.0,1750188000.807298,Message,,breathingExercise,openedApp,1.5,
instagram,Asia/Qatar,0.0,1750188306.842807,Message,,breathingExercise,openedApp,1.5,
instagram,Asia/Qatar,0.0,1750188395.375042,,,breathingExercise,dismissedAppOpening,1.5,
instagram,Asia/Qatar,0.0,1750188700.598977,Message,,breathingExercise,openedApp,1.5,
