interventionType,timezone,isReIntervention,timestamp,interventionDuration,app,resolution
breathingExercise,America/New_York,False,1751836585.444831,1.5,youtube,openedApp
breathingExercise,America/New_York,False,1751837414.7825909,1.5,youtube,dismissedAppOpening
breathingExercise,America/New_York,False,1751837422.010857,1.5,youtube,openedApp
breathingExercise,America/New_York,False,1751838283.4505491,1.5,youtube,openedApp
breathingExercise,America/New_York,False,1751840657.4428139,1.5,youtube,openedApp
breathingExercise,America/New_York,False,1751860140.668737,1.5,youtube,openedApp
breathingExercise,America/New_York,False,1751861991.250706,1.5,youtube,dismissedAppOpening
breathingExercise,America/New_York,False,1751930912.4802608,1.5,youtube,dismissedAppOpening
breathingExercise,America/New_York,False,1751931036.9340081,1.5,youtube,dismissedAppOpening
breathingExercise,America/New_York,False,1751931359.8485599,1.5,youtube,openedApp
breathingExercise,America/New_York,False,1751932523.3889189,1.5,youtube,openedApp
breathingExercise,America/New_York,False,1751933145.170697,1.5,youtube,openedApp
breathingExercise,America/New_York,False,1751934565.0184178,1.5,youtube,openedApp
breathingExercise,America/New_York,False,1751935479.823108,1.5,youtube,openedApp
breathingExercise,America/New_York,False,1751937398.1792831,1.5,youtube,dismissedAppOpening
breathingExercise,America/New_York,False,1751937403.4536629,1.5,youtube,openedApp
breathingExercise,America/New_York,False,1751940351.565001,1.5,youtube,openedApp
breathingExercise,America/New_York,False,1751943677.2309241,1.5,youtube,openedApp
breathingExercise,America/New_York,False,1751971084.7985291,1.5,youtube,openedApp
breathingExercise,America/New_York,False,1751972036.302594,1.5,youtube,openedApp
breathingExercise,America/New_York,False,1751972155.873866,1.5,youtube,openedApp
breathingExercise,America/New_York,False,1751972760.089751,1.5,youtube,openedApp
breathingExercise,America/New_York,False,1751973900.076194,1.5,youtube,dismissedAppOpening
breathingExercise,America/New_York,False,1751973977.443147,1.5,youtube,openedApp
breathingExercise,America/New_York,False,1751974153.815206,1.5,youtube,openedApp
breathingExercise,America/New_York,False,1751974798.1783671,1.5,youtube,openedApp
breathingExercise,America/Denver,False,1752092086.616364,1.5,youtube,dismissedAppOpening
breathingExercise,America/Denver,False,1752112025.05881,1.5,youtube,dismissedAppOpening
breathingExercise,America/Denver,False,1752384165.0601768,1.5,youtube,openedApp
breathingExercise,America/Denver,False,1752385410.6760712,1.5,youtube,dismissedAppOpening
breathingExercise,America/Denver,False,1752385412.1959229,1.5,youtube,dismissedAppOpening
breathingExercise,America/Denver,False,1752385416.952672,1.5,youtube,openedApp
breathingExercise,America/Denver,False,1752385912.177785,1.5,youtube,dismissedAppOpening
breathingExercise,America/Denver,False,1752385932.065422,1.5,youtube,openedApp
breathingExercise,America/Denver,False,1752386434.2479181,1.5,youtube,openedApp
breathingExercise,America/Denver,False,1752470495.159569,1.5,youtube,openedApp
breathingExercise,America/Denver,False,1752471724.8136702,1.5,youtube,openedApp
breathingExercise,America/Denver,False,1752473389.857535,1.5,youtube,openedApp
breathingExercise,America/Denver,False,1752485200.882639,1.5,youtube,openedApp
breathingExercise,America/Denver,False,1752524810.4954991,1.5,youtube,openedApp
breathingExercise,America/Denver,False,1752524858.003675,1.5,youtube,openedApp
breathingExercise,America/Denver,False,1752553111.818945,1.5,youtube,openedApp
breathingExercise,America/Denver,False,1752555560.967001,1.5,youtube,openedApp
breathingExercise,America/Denver,False,1752555736.172158,1.5,youtube,openedApp
breathingExercise,America/Denver,False,1752641737.76748,1.5,youtube,openedApp
breathingExercise,America/Denver,False,1752642783.390826,1.5,youtube,openedApp
breathingExercise,America/Denver,False,1752656546.611052,1.5,youtube,openedApp
breathingExercise,America/Denver,False,1752730078.143889,1.5,youtube,openedApp
breathingExercise,America/Denver,False,1752775637.419095,1.5,youtube,openedApp
breathingExercise,America/Denver,False,1752775695.649365,1.5,youtube,openedApp
breathingExercise,America/Denver,False,1752775822.8199291,1.5,youtube,openedApp
breathingExercise,America/Denver,False,1752786158.852466,1.5,youtube,dismissedAppOpening
breathingExercise,America/Denver,False,1752815700.795031,1.5,youtube,openedApp
breathingExercise,America/Denver,False,1752816145.568357,1.5,youtube,openedApp
breathingExercise,America/Denver,False,1752818264.110532,1.5,youtube,openedApp
breathingExercise,America/Denver,False,1752896568.1068978,1.5,youtube,dismissedAppOpening
breathingExercise,America/Denver,False,1752900671.796986,1.5,youtube,openedApp
breathingExercise,America/Denver,False,1752902025.0004191,1.5,youtube,openedApp
breathingExercise,America/Denver,False,1752922159.494349,1.5,youtube,openedApp
breathingExercise,America/Denver,False,1752972460.3245978,1.5,youtube,openedApp
breathingExercise,America/Denver,False,1752983601.183212,1.5,youtube,openedApp
breathingExercise,America/Denver,False,1752985107.175858,1.5,youtube,openedApp
breathingExercise,America/Denver,False,1752986448.0007238,1.5,youtube,openedApp
breathingExercise,America/Denver,False,1752990286.79794,1.5,youtube,openedApp
breathingExercise,America/Denver,False,1753054427.35744,3.0,youtube,openedApp
breathingExercise,America/Denver,False,1753072045.48329,3.0,youtube,openedApp
breathingExercise,America/Denver,False,1753072659.389256,3.0,youtube,dismissedAppOpening
breathingExercise,America/Denver,False,1753072689.721192,3.0,youtube,openedApp
breathingExercise,America/Denver,False,1753085463.472705,3.0,youtube,openedApp
breathingExercise,America/Denver,False,1753096660.1958718,3.0,youtube,openedApp
breathingExercise,America/Denver,False,1753157978.934216,3.0,youtube,openedApp
breathingExercise,America/Denver,False,1753158656.167629,3.0,youtube,openedApp
breathingExercise,America/Denver,False,1753159075.77951,3.0,youtube,openedApp
breathingExercise,America/Denver,False,1753159896.3608232,3.0,youtube,openedApp
breathingExercise,America/Denver,False,1753171417.543855,3.0,youtube,openedApp
breathingExercise,America/Denver,False,1753171563.4254332,3.0,youtube,openedApp
breathingExercise,America/Denver,False,1753244968.904886,3.0,youtube,openedApp
breathingExercise,America/Denver,False,1753245132.974402,3.0,youtube,openedApp
breathingExercise,America/Denver,False,1753245764.031246,3.0,youtube,openedApp
breathingExercise,America/Denver,False,1753247609.0910568,3.0,youtube,openedApp
breathingExercise,America/Denver,False,1753331191.7403588,3.0,youtube,openedApp
breathingExercise,America/Denver,False,1753331942.085614,3.0,youtube,dismissedAppOpening
breathingExercise,America/Denver,False,1753331945.757745,3.0,youtube,dismissedAppOpening
breathingExercise,America/Denver,False,1753331957.911306,3.0,youtube,openedApp
breathingExercise,America/Denver,False,1753332490.631751,3.0,youtube,openedApp
breathingExercise,America/Denver,False,1753333641.226022,3.0,youtube,openedApp
breathingExercise,America/Denver,False,1753333672.396926,3.0,youtube,dismissedAppOpening
breathingExercise,America/Denver,False,1753334022.577796,3.0,youtube,openedApp
