timestamp,timezone,resolution,purpose,app,interventionType,interventionDuration,isReIntervention
1753278336.749106,Europe/Berlin,openedApp,Nachricht / Schreiben,instagram,breathingExercise,1.5,False
1753278631.892128,Europe/Berlin,closedApp,,instagram,,,False
1753295632.837858,Europe/Berlin,dismissedAppOpening,,instagram,breathingExercise,1.5,False
1753295674.232078,Europe/Berlin,openedApp,Nachricht / Schreiben,instagram,breathingExercise,1.5,False
1753295784.454864,Europe/Berlin,closedApp,,instagram,,,False
1753296068.345104,Europe/Berlin,openedApp,Entspannung,instagram,breathingExercise,1.5,False
1753296102.181738,Europe/Berlin,closedApp,,instagram,,,False
1753302711.162925,Europe/Berlin,openedApp,Langeweile,instagram,breathingExercise,1.5,False
1753337908.995358,Europe/Berlin,openedApp,Crush stalken,instagram,breathingExercise,1.5,False
1753337949.7298388,Europe/Berlin,openedApp,Auf dem Laufenden bleiben,instagram,breathingExercise,1.5,False
1753338432.209422,Europe/Berlin,closedApp,,instagram,,,False
1753349746.667904,Europe/Berlin,openedApp,Nachricht / Schreiben,instagram,breathingExercise,1.5,False
1753349853.2920709,Europe/Berlin,closedApp,,instagram,,,False
1753350150.028193,Europe/Berlin,openedApp,Nachricht / Schreiben,instagram,breathingExercise,1.5,False
1753350254.208668,Europe/Berlin,closedApp,,instagram,,,False
1753353608.959276,Europe/Berlin,openedApp,Nachricht / Schreiben,instagram,breathingExercise,1.5,False
1753353733.074662,Europe/Berlin,closedApp,,instagram,,,False
1753361078.735645,Europe/Berlin,openedApp,Nachricht / Schreiben,instagram,breathingExercise,1.5,False
1753361122.930046,Europe/Berlin,closedApp,,instagram,,,False
1753372837.552747,Europe/Berlin,openedApp,Nachricht / Schreiben,instagram,breathingExercise,1.5,False
1753372986.496464,Europe/Berlin,closedApp,,instagram,,,False
1753381365.210051,Europe/Berlin,openedApp,Langeweile,instagram,breathingExercise,1.5,False
1753381660.36812,Europe/Berlin,closedApp,,instagram,,,False
1753399092.274616,Europe/Berlin,openedApp,Ablenkung,instagram,breathingExercise,1.5,False
1753399139.9846501,Europe/Berlin,closedApp,,instagram,,,False
1753425276.401196,Europe/Berlin,openedApp,Entspannung,instagram,breathingExercise,1.5,False
1753425745.790282,Europe/Berlin,openedApp,Kann nicht schlafen,instagram,breathingExercise,1.5,False
1753425866.92091,Europe/Berlin,closedApp,,instagram,,,False
1753425994.367094,Europe/Berlin,openedApp,Langeweile,instagram,breathingExercise,1.5,False
1753426061.400106,Europe/Berlin,closedApp,,instagram,,,False
1753426076.77233,Europe/Berlin,openedApp,Auf dem Laufenden bleiben,instagram,breathingExercise,1.5,False
1753427800.067733,Europe/Berlin,closedApp,,instagram,,,False
1753427826.375718,Europe/Berlin,openedApp,Ablenkung,instagram,breathingExercise,1.5,False
1753430638.013064,Europe/Berlin,closedApp,,instagram,,,False
1753442728.470234,Europe/Berlin,openedApp,Klo,instagram,breathingExercise,1.5,False
1753447055.827285,Europe/Berlin,closedApp,,instagram,,,False
1753447085.569741,Europe/Berlin,openedApp,Langeweile,instagram,breathingExercise,1.5,False
1753447491.1003141,Europe/Berlin,closedApp,,instagram,,,False
1753447582.1791248,Europe/Berlin,openedApp,Nachricht / Schreiben,instagram,breathingExercise,1.5,False
1753447707.782011,Europe/Berlin,closedApp,,instagram,,,False
1753450704.618525,Europe/Berlin,openedApp,Auf dem Laufenden bleiben,instagram,breathingExercise,1.5,False
1753450704.981982,Europe/Berlin,openedApp,Auf dem Laufenden bleiben,instagram,breathingExercise,1.5,False
1753450895.182489,Europe/Berlin,closedApp,,instagram,,,False
1753456423.768561,Europe/Berlin,openedApp,Nachricht / Schreiben,instagram,breathingExercise,1.5,False
1753456455.136497,Europe/Berlin,closedApp,,instagram,,,False
1753460051.261915,Europe/Berlin,dismissedAppOpening,,instagram,breathingExercise,1.5,False
1753460074.1305928,Europe/Berlin,dismissedAppOpening,,instagram,breathingExercise,1.5,False
1753460089.08512,Europe/Berlin,openedApp,Nachricht / Schreiben,instagram,breathingExercise,1.5,False
1753460649.999515,Europe/Berlin,closedApp,,instagram,,,False
1753460739.216656,Europe/Berlin,openedApp,Klo,instagram,breathingExercise,1.5,False
1753461714.156995,Europe/Berlin,closedApp,,instagram,,,False
1753479464.3331718,Europe/Berlin,openedApp,Auf dem Laufenden bleiben,instagram,breathingExercise,1.5,False
1753480124.7890968,Europe/Berlin,openedApp,Nachricht / Schreiben,instagram,breathingExercise,1.5,False
1753480900.758514,Europe/Berlin,closedApp,,instagram,,,False
1753514201.44047,Europe/Berlin,openedApp,Infos suchen,instagram,breathingExercise,1.5,False
1753515829.607257,Europe/Berlin,closedApp,,instagram,,,False
1753534050.320661,Europe/Berlin,openedApp,Kann nicht schlafen,instagram,breathingExercise,1.5,False
1753534157.8619409,Europe/Berlin,closedApp,,instagram,,,False
1753546803.904409,Europe/Berlin,openedApp,Nachricht / Schreiben,instagram,breathingExercise,1.5,False
1753546889.64803,Europe/Berlin,closedApp,,instagram,,,False
1753548776.7406158,Europe/Berlin,openedApp,Kann nicht schlafen,instagram,breathingExercise,1.5,False
1753549157.656111,Europe/Berlin,closedApp,,instagram,,,False
1753549670.6207762,Europe/Berlin,openedApp,Nachricht / Schreiben,instagram,breathingExercise,1.5,False
1753550110.6338239,Europe/Berlin,closedApp,,instagram,,,False
1753550228.5467138,Europe/Berlin,openedApp,Klo,instagram,breathingExercise,1.5,False
1753553823.0867481,Europe/Berlin,closedApp,,instagram,,,False
1753632269.375371,Europe/Berlin,openedApp,Langeweile,instagram,breathingExercise,1.5,False
1753632332.83164,Europe/Berlin,closedApp,,instagram,,,False
1753632908.025233,Europe/Berlin,openedApp,Nachricht / Schreiben,instagram,breathingExercise,1.5,False
1753633122.31251,Europe/Berlin,closedApp,,instagram,,,False
1753635745.067762,Europe/Berlin,openedApp,Unterhaltung,instagram,breathingExercise,1.5,False
1753635791.60646,Europe/Berlin,closedApp,,instagram,,,False
1753646076.041511,Europe/Berlin,openedApp,Langeweile,instagram,breathingExercise,1.5,False
1753646089.0884671,Europe/Berlin,closedApp,,instagram,,,False
1753649097.8963861,Europe/Berlin,openedApp,Nachricht / Schreiben,instagram,breathingExercise,1.5,False
1753649446.940376,Europe/Berlin,closedApp,,instagram,,,False
1753679009.857644,Europe/Berlin,openedApp,Nachricht / Schreiben,instagram,breathingExercise,1.5,False
1753679104.3988671,Europe/Berlin,closedApp,,instagram,,,False
1753699526.307887,Europe/Berlin,openedApp,Nachricht / Schreiben,instagram,breathingExercise,1.5,False
1753699944.717629,Europe/Berlin,closedApp,,instagram,,,False
1753708586.7906852,Europe/Berlin,openedApp,Nachricht / Schreiben,instagram,breathingExercise,1.5,False
1753708608.1759338,Europe/Berlin,closedApp,,instagram,,,False
1753730656.439546,Europe/Berlin,openedApp,Nachricht / Schreiben,instagram,breathingExercise,1.5,False
1753730705.477638,Europe/Berlin,closedApp,,instagram,,,False
1753731770.624785,Europe/Berlin,openedApp,Nachricht / Schreiben,instagram,breathingExercise,1.5,False
1753735660.465085,Europe/Berlin,closedApp,,instagram,,,False
1753737198.800315,Europe/Berlin,openedApp,Auf dem Laufenden bleiben,instagram,breathingExercise,1.5,False
1753737288.205227,Europe/Berlin,closedApp,,instagram,,,False
1753737337.9135451,Europe/Berlin,openedApp,Ablenkung,instagram,breathingExercise,1.5,False
1753738217.261605,Europe/Berlin,closedApp,,instagram,,,False
1753780797.112564,Europe/Berlin,openedApp,Nachricht / Schreiben,instagram,breathingExercise,1.5,False
1753781001.559609,Europe/Berlin,closedApp,,instagram,,,False
1753785867.694808,Europe/Berlin,openedApp,Langeweile,instagram,breathingExercise,1.5,False
1753793815.876468,Europe/Berlin,dismissedAppOpening,,instagram,breathingExercise,1.5,False
1753793826.1204472,Europe/Berlin,openedApp,Nachricht / Schreiben,instagram,breathingExercise,1.5,False
1753793866.542305,Europe/Berlin,closedApp,,instagram,,,False
1753818581.325204,Europe/Berlin,openedApp,Nachricht / Schreiben,instagram,breathingExercise,1.5,False
1753822834.334544,Europe/Berlin,closedApp,,instagram,,,False
1753822890.260443,Europe/Berlin,openedApp,Nachricht / Schreiben,instagram,breathingExercise,1.5,False
1753823411.370448,Europe/Berlin,closedApp,,instagram,,,False
1753823499.1500921,Europe/Berlin,openedApp,Langeweile,instagram,breathingExercise,1.5,False
1753825079.396398,Europe/Berlin,closedApp,,instagram,,,False
1753825874.3502312,Europe/Berlin,openedApp,Ablenkung,instagram,breathingExercise,1.5,False
1753827393.37921,Europe/Berlin,closedApp,,instagram,,,False
1753886357.3449821,Europe/Berlin,openedApp,Nachricht / Schreiben,instagram,breathingExercise,1.5,False
1753886443.162516,Europe/Berlin,closedApp,,instagram,,,False
1753895603.073499,Europe/Berlin,openedApp,Nachricht / Schreiben,instagram,breathingExercise,1.5,False
1753895905.254012,Europe/Berlin,closedApp,,instagram,,,False
1753897848.7629662,Europe/Berlin,openedApp,Ablenkung,instagram,breathingExercise,1.5,False
1753900962.0495539,Europe/Berlin,closedApp,,instagram,,,False
1753902518.359338,Europe/Berlin,openedApp,Nachricht / Schreiben,instagram,breathingExercise,1.5,False
1753903482.785297,Europe/Berlin,closedApp,,instagram,,,False
1753904619.1616778,Europe/Berlin,openedApp,Unterhaltung,instagram,breathingExercise,1.5,False
1753905200.68402,Europe/Berlin,openedApp,Langeweile,instagram,breathingExercise,1.5,False
1753905295.2138782,Europe/Berlin,closedApp,,instagram,,,False
1753905314.403784,Europe/Berlin,dismissedAppOpening,,instagram,breathingExercise,1.5,False
1753907709.4434838,Europe/Berlin,dismissedAppOpening,,instagram,breathingExercise,1.5,False
1753958475.041967,Europe/Berlin,openedApp,Langeweile,instagram,breathingExercise,1.5,False
1753958764.187275,Europe/Berlin,closedApp,,instagram,,,False
1753967715.499516,Europe/Berlin,openedApp,Nachricht / Schreiben,instagram,breathingExercise,1.5,False
1753968331.116231,Europe/Berlin,closedApp,,instagram,,,False
1753999667.024342,Europe/Berlin,openedApp,Langeweile,instagram,breathingExercise,1.5,False
1754000067.82697,Europe/Berlin,closedApp,,instagram,,,False
1754000802.896519,Europe/Berlin,openedApp,Langeweile,instagram,breathingExercise,1.5,False
1754030225.598333,Europe/Berlin,openedApp,Nachricht / Schreiben,instagram,breathingExercise,1.5,False
1754031516.552485,Europe/Berlin,closedApp,,instagram,,,False
1754033721.750238,Europe/Berlin,dismissedAppOpening,,instagram,breathingExercise,1.5,False
1754049744.933195,Europe/Berlin,openedApp,Langeweile,instagram,breathingExercise,1.5,False
1754050700.277257,Europe/Berlin,closedApp,,instagram,,,False
1754052158.389431,Europe/Berlin,openedApp,Nachricht / Schreiben,instagram,breathingExercise,1.5,False
1754056768.363251,Europe/Berlin,closedApp,,instagram,,,False
1754068100.773096,Europe/Berlin,openedApp,Nachricht / Schreiben,instagram,breathingExercise,1.5,False
1754068364.443615,Europe/Berlin,closedApp,,instagram,,,False
1754068572.1507201,Europe/Berlin,openedApp,Langeweile,instagram,breathingExercise,1.5,False
1754069284.6680532,Europe/Berlin,closedApp,,instagram,,,False
1754093354.934803,Europe/Berlin,openedApp,Nachricht / Schreiben,instagram,breathingExercise,1.5,False
1754093959.895436,Europe/Berlin,closedApp,,instagram,,,False
1754094011.9482589,Europe/Berlin,openedApp,Ablenkung,instagram,breathingExercise,1.5,False
1754097759.218548,Europe/Berlin,closedApp,,instagram,,,False
