timezone,interventionType,app,resolution,isReIntervention,interventionDuration,timestamp,timeIntervalUntilReIntervention
America/Toronto,breathingExercise,instagram,dismissedAppOpening,False,1.5,1750332610.745974,
America/Toronto,breathingExercise,instagram,openedApp,False,1.5,1750341697.887429,
America/Toronto,breathingExercise,instagram,dismissedAppOpening,False,1.5,1750342184.896068,
America/Toronto,breathingExercise,instagram,dismissedAppOpening,False,1.5,1750353818.9326792,
America/Toronto,breathingExercise,instagram,dismissedAppOpening,False,1.5,1750353826.581843,
America/Toronto,breathingExercise,instagram,dismissedAppOpening,False,1.5,1750353832.853307,
America/Toronto,breathingExercise,instagram,dismissedAppOpening,False,1.5,1750353838.3286881,
America/Toronto,breathingExercise,instagram,dismissedAppOpening,False,1.5,1750353847.111052,
America/Toronto,breathingExercise,instagram,dismissedAppOpening,False,1.5,1750354173.0924768,
America/Toronto,breathingExercise,instagram,dismissedAppOpening,False,1.5,1750360053.409656,
America/Toronto,breathingExercise,instagram,openedApp,False,1.5,1750361967.761949,
America/Toronto,breathingExercise,instagram,dismissedAppOpening,False,1.5,1750362091.4835858,
America/Toronto,breathingExercise,instagram,dismissedAppOpening,False,1.5,1750362168.795061,
America/Toronto,breathingExercise,instagram,dismissedAppOpening,False,1.5,1750362217.4752831,
America/Toronto,breathingExercise,instagram,dismissedAppOpening,False,1.5,1750366771.885974,
America/Toronto,breathingExercise,instagram,openedApp,False,1.5,1750370358.618129,
America/Toronto,breathingExercise,instagram,openedApp,False,1.5,1750381274.242639,
America/Toronto,breathingExercise,instagram,openedApp,False,1.5,1750387741.855983,
America/Toronto,breathingExercise,instagram,openedApp,False,1.5,1750415392.2863169,
America/Toronto,breathingExercise,instagram,openedApp,False,1.5,1750420602.822854,
America/Toronto,breathingExercise,instagram,dismissedAppOpening,False,1.5,1750420857.4495559,
America/Toronto,breathingExercise,instagram,openedApp,False,1.5,1750422885.838716,60.0
America/Toronto,breathingExercise,instagram,openedApp,False,1.5,1750436345.166605,60.0
America/Toronto,breathingExercise,instagram,openedApp,False,1.5,1750439882.837901,60.0
America/Toronto,breathingExercise,instagram,openedApp,False,1.5,1750444288.000649,60.0
America/Toronto,breathingExercise,instagram,dismissedAppOpening,False,1.5,1750444447.56949,
America/Toronto,breathingExercise,instagram,openedApp,False,1.5,1750455690.909272,60.0
America/Toronto,breathingExercise,instagram,openedApp,False,1.5,1750465884.1605191,60.0
America/Toronto,breathingExercise,instagram,dismissedAppOpening,False,1.5,1750466005.5183039,
America/Toronto,breathingExercise,instagram,openedApp,False,1.5,1750470817.6165528,60.0
America/Toronto,breathingExercise,instagram,openedApp,False,1.5,1750477598.1731691,60.0
America/Toronto,breathingExercise,instagram,openedApp,False,1.5,1750506373.252407,60.0
America/Toronto,breathingExercise,instagram,openedApp,False,1.5,1750511909.223845,60.0
America/Toronto,breathingExercise,instagram,openedApp,False,1.5,1750525489.56921,60.0
America/Toronto,breathingExercise,instagram,openedApp,False,1.5,1750528943.770859,60.0
America/Toronto,breathingExercise,instagram,dismissedAppOpening,False,1.5,1750531767.735557,
America/Toronto,breathingExercise,instagram,openedApp,False,1.5,1750557326.559504,60.0
America/Toronto,breathingExercise,instagram,dismissedAppOpening,False,1.5,1750558437.27401,
America/Toronto,breathingExercise,instagram,openedApp,False,1.5,1750561725.8187242,60.0
America/Toronto,breathingExercise,instagram,dismissedAppOpening,False,1.5,1750567089.859483,
America/Toronto,breathingExercise,instagram,openedApp,False,1.5,1750595080.3237062,60.0
America/Toronto,breathingExercise,instagram,openedApp,False,1.5,1750603478.367947,60.0
America/Toronto,breathingExercise,instagram,openedApp,False,1.5,1750682238.3640819,60.0
America/Toronto,breathingExercise,instagram,openedApp,False,1.5,1750682257.608165,60.0
America/Toronto,breathingExercise,instagram,dismissedAppOpening,False,1.5,1750686987.61829,
America/Toronto,breathingExercise,instagram,openedApp,False,1.5,1750687026.8716722,60.0
America/Toronto,breathingExercise,instagram,openedApp,False,1.5,1750705369.847911,60.0
America/Toronto,breathingExercise,instagram,dismissedAppOpening,False,1.5,1750707268.251607,
America/Toronto,breathingExercise,instagram,openedApp,False,1.5,1750713833.534329,60.0
America/Toronto,breathingExercise,instagram,openedApp,True,1.5,1750713912.017877,60.0
America/Toronto,breathingExercise,instagram,dismissedAppOpening,False,1.5,1750729077.337193,
America/Toronto,breathingExercise,instagram,openedApp,False,1.5,1750731862.0151072,60.0
America/Toronto,breathingExercise,instagram,dismissedAppOpening,False,1.5,1750731945.25041,
America/Toronto,breathingExercise,instagram,dismissedAppOpening,False,1.5,1750731954.73154,
