timestamp,interventionType,resolution,interventionDuration,app,timezone,isReIntervention,purpose,timeIntervalUntilReIntervention
1751825171.1304522,breathingExercise,dismissedAppOpening,1.5,snapchat,Europe/Berlin,False,,
1751825187.3292131,breathingExercise,dismissedAppOpening,1.5,snapchat,Europe/Berlin,False,,
1751825278.5271192,breathingExercise,dismissedAppOpening,1.5,snapchat,Europe/Berlin,False,,
1751830270.442109,breathingExercise,openedApp,1.5,instagram,Europe/Berlin,False,Auf dem Laufenden bleiben,
1751835285.686944,breathingExercise,openedApp,1.5,instagram,Europe/Berlin,False,Auf dem Laufenden bleiben,
1751837747.5577269,breathingExercise,dismissedAppOpening,1.5,instagram,Europe/Berlin,False,,
1751838642.7656279,breathingExercise,dismissedAppOpening,1.5,instagram,Europe/Berlin,False,,
1751840986.1119561,breathingExercise,dismissedAppOpening,1.5,instagram,Europe/Berlin,False,,
1751841018.398946,breathingExercise,openedApp,1.5,instagram,Europe/Berlin,False,Ablenkung,
1751875994.74964,breathingExercise,openedApp,1.5,instagram,Europe/Berlin,False,Auf dem Laufenden bleiben,
1751876386.947511,breathingExercise,openedApp,1.5,instagram,Europe/Berlin,False,Auf dem Laufenden bleiben,
1751876873.974277,breathingExercise,dismissedAppOpening,1.5,instagram,Europe/Berlin,False,,
1751879311.386726,breathingExercise,dismissedAppOpening,1.5,instagram,Europe/Berlin,False,,
1751880066.040153,breathingExercise,openedApp,1.5,instagram,Europe/Berlin,False,Auf dem Laufenden bleiben,120.0
1751880130.670321,breathingExercise,dismissedAppOpening,1.5,instagram,Europe/Berlin,False,,
1751880146.672653,breathingExercise,dismissedAppOpening,1.5,instagram,Europe/Berlin,False,,
1751880150.360838,breathingExercise,dismissedAppOpening,1.5,instagram,Europe/Berlin,False,,
1751880155.859478,breathingExercise,dismissedAppOpening,1.5,instagram,Europe/Berlin,False,,
1751880162.30661,breathingExercise,dismissedAppOpening,1.5,instagram,Europe/Berlin,False,,
1751880166.081678,breathingExercise,dismissedAppOpening,1.5,instagram,Europe/Berlin,False,,
1751880185.0184078,breathingExercise,dismissedAppOpening,1.5,instagram,Europe/Berlin,False,,
1751880314.28963,breathingExercise,openedApp,1.5,tikTok,Europe/Berlin,False,Auf dem Laufenden bleiben,
1751880343.36311,breathingExercise,openedApp,1.5,tikTok,Europe/Berlin,False,Unterhaltung,
1751880365.1661339,breathingExercise,dismissedAppOpening,1.5,snapchat,Europe/Berlin,False,,
1751880380.549199,breathingExercise,openedApp,1.5,snapchat,Europe/Berlin,False,Auf dem Laufenden bleiben,60.0
1751889989.473226,breathingExercise,openedApp,1.5,instagram,Europe/Berlin,False,Auf dem Laufenden bleiben,60.0
1751895067.657745,breathingExercise,dismissedAppOpening,1.5,instagram,Europe/Berlin,False,,
1751895082.380622,breathingExercise,openedApp,1.5,instagram,Europe/Berlin,False,Auf dem Laufenden bleiben,120.0
1751902099.295656,breathingExercise,openedApp,1.5,tikTok,Europe/Berlin,False,Entspannung,
1751902112.316469,breathingExercise,dismissedAppOpening,1.5,tikTok,Europe/Berlin,False,,
1751902259.907045,breathingExercise,openedApp,1.5,instagram,Europe/Berlin,False,Entspannung,300.0
1751903682.326168,breathingExercise,openedApp,1.5,snapchat,Europe/Berlin,False,Auf dem Laufenden bleiben,480.0
1751903717.1404982,breathingExercise,dismissedAppOpening,1.5,snapchat,Europe/Berlin,False,,
1751905087.668563,breathingExercise,openedApp,1.5,tikTok,Europe/Berlin,False,Entspannung,
1751913283.928951,breathingExercise,openedApp,1.5,instagram,Europe/Berlin,False,Auf dem Laufenden bleiben,300.0
1751918492.1474838,breathingExercise,openedApp,1.5,tikTok,Europe/Berlin,False,Langeweile,
1751920829.275363,breathingExercise,openedApp,1.5,tikTok,Europe/Berlin,False,Infos suchen,
1751921127.547793,breathingExercise,openedApp,1.5,instagram,Europe/Berlin,False,Langeweile,360.0
1751921513.341868,breathingExercise,openedApp,1.5,instagram,Europe/Berlin,True,Langeweile,360.0
1751966142.140146,breathingExercise,openedApp,1.5,snapchat,Europe/Berlin,False,Auf dem Laufenden bleiben,360.0
1751976239.275768,breathingExercise,openedApp,1.5,instagram,Europe/Berlin,False,Auf dem Laufenden bleiben,300.0
1751976320.066349,breathingExercise,openedApp,1.5,snapchat,Europe/Berlin,False,Entspannung,300.0
1751976338.695097,breathingExercise,openedApp,1.5,tikTok,Europe/Berlin,False,Entspannung,
1751977889.721583,breathingExercise,openedApp,1.5,instagram,Europe/Berlin,False,Auf dem Laufenden bleiben,120.0
1751980370.9104152,breathingExercise,openedApp,1.5,instagram,Europe/Berlin,False,Klo,240.0
1751985036.821261,breathingExercise,openedApp,1.5,instagram,Europe/Berlin,False,Auf dem Laufenden bleiben,120.0
1751985173.668219,breathingExercise,openedApp,1.5,tikTok,Europe/Berlin,False,Entspannung,
1751988007.569557,breathingExercise,openedApp,1.5,instagram,Europe/Berlin,False,Auf dem Laufenden bleiben,120.0
1751991102.0480819,breathingExercise,dismissedAppOpening,1.5,tikTok,Europe/Berlin,False,,
1751999393.768577,breathingExercise,openedApp,1.5,instagram,Europe/Berlin,False,Auf dem Laufenden bleiben,120.0
1751999531.128567,breathingExercise,openedApp,1.5,instagram,Europe/Berlin,True,Auf dem Laufenden bleiben,300.0
1752010202.809925,breathingExercise,openedApp,1.5,instagram,Europe/Berlin,False,Auf dem Laufenden bleiben,300.0
1752010321.579735,breathingExercise,openedApp,1.5,tikTok,Europe/Berlin,False,Klo,
1752010751.659086,breathingExercise,openedApp,1.5,tikTok,Europe/Berlin,False,Unterhaltung,
1752013443.572483,breathingExercise,openedApp,1.5,tikTok,Europe/Berlin,False,Unterhaltung,
1752014133.578973,breathingExercise,openedApp,1.5,tikTok,Europe/Berlin,False,Langeweile,
1752014216.405744,breathingExercise,openedApp,1.5,tikTok,Europe/Berlin,False,Unterhaltung,
1752015218.053529,breathingExercise,dismissedAppOpening,1.5,tikTok,Europe/Berlin,False,,
1752015733.06452,breathingExercise,openedApp,1.5,instagram,Europe/Berlin,False,Auf dem Laufenden bleiben,240.0
1752015947.2220922,breathingExercise,dismissedAppOpening,1.5,instagram,Europe/Berlin,False,,
1752017322.611453,breathingExercise,openedApp,1.5,tikTok,Europe/Berlin,False,Unterhaltung,
1752044457.73673,breathingExercise,openedApp,1.5,instagram,Europe/Berlin,False,Klo,300.0
1752047141.4597569,breathingExercise,openedApp,1.5,instagram,Europe/Berlin,False,Auf dem Laufenden bleiben,180.0
1752057700.684826,breathingExercise,openedApp,1.5,instagram,Europe/Berlin,False,Auf dem Laufenden bleiben,180.0
1752057904.8662848,breathingExercise,openedApp,1.5,instagram,Europe/Berlin,True,Nachricht / Schreiben,300.0
1752058129.677912,breathingExercise,openedApp,1.5,tikTok,Europe/Berlin,False,Auf dem Laufenden bleiben,
1752064303.660252,breathingExercise,openedApp,1.5,instagram,Europe/Berlin,False,Auf dem Laufenden bleiben,120.0
1752066675.697777,breathingExercise,openedApp,1.5,tikTok,Europe/Berlin,False,Unterhaltung,
1752073020.868002,breathingExercise,openedApp,1.5,instagram,Europe/Berlin,False,Auf dem Laufenden bleiben,300.0
1752073150.260227,breathingExercise,openedApp,1.5,snapchat,Europe/Berlin,False,Auf dem Laufenden bleiben,300.0
1752079450.28751,breathingExercise,openedApp,1.5,instagram,Europe/Berlin,False,Auf dem Laufenden bleiben,180.0
1752079604.4135342,breathingExercise,openedApp,1.5,instagram,Europe/Berlin,False,Nachricht / Schreiben,300.0
1752079917.7634091,breathingExercise,openedApp,1.5,tikTok,Europe/Berlin,False,Unterhaltung,
1752080592.071677,breathingExercise,dismissedAppOpening,1.5,tikTok,Europe/Berlin,False,,
1752081905.124951,breathingExercise,openedApp,1.5,snapchat,Europe/Berlin,False,Nachricht / Schreiben,480.0
1752081927.723113,breathingExercise,openedApp,1.5,snapchat,Europe/Berlin,False,Nachricht / Schreiben,600.0
