app,interventionDuration,resolution,isReIntervention,timezone,timestamp,interventionType,terminationReason
mail,1.5,dismissedAppOpening,0.0,Asia/Kolkata,1749872863.7125669,breathingExercise,
whastapp,1.5,dismissedAppOpening,0.0,Asia/Kolkata,1749872871.1455379,breathingExercise,
mail,1.5,dismissedAppOpening,0.0,Asia/Kolkata,1749872885.7975469,breathingExercise,
imessage,1.5,dismissedAppOpening,0.0,Asia/Kolkata,1749873239.447452,breathingExercise,
imessage,1.5,openedApp,0.0,Asia/Kolkata,1749873256.027806,breathingExercise,
imessage,1.5,dismissedAppOpening,0.0,Asia/Kolkata,1749873499.98798,breathingExercise,
safari,1.5,dismissedAppOpening,0.0,Asia/Kolkata,1749873510.1125278,breathingExercise,
applePhotos,1.5,dismissedAppOpening,0.0,Asia/Kolkata,1749873775.70928,breathingExercise,
imessage,1.5,openedApp,0.0,Asia/Kolkata,1749875401.827647,breathingExercise,
amazon,1.5,openedApp,0.0,Asia/Kolkata,1749875608.932847,breathingExercise,
mail,1.5,openedApp,0.0,Asia/Kolkata,1749879763.765668,breathingExercise,
safari,1.5,openedApp,0.0,Asia/Kolkata,1749879785.462893,breathingExercise,
,,,,,1749880075.611415,,terminatedByUser
