resolution,timezone,timestamp,isReIntervention,interventionType,app,interventionDuration
openedApp,Europe/Berlin,1748802820.63594,False,breathingExercise,instagram,1.5
dismissedAppOpening,Europe/Berlin,1748803139.879983,False,breathingExercise,instagram,1.5
openedApp,Europe/Berlin,1748805650.4250898,False,breathingExercise,instagram,1.5
openedApp,Europe/Berlin,1748808520.994897,False,breathingExercise,instagram,1.5
dismissedAppOpening,Europe/Berlin,1748808669.724526,False,breathingExercise,instagram,1.5
openedApp,Europe/Berlin,1748809484.6770291,False,breathingExercise,instagram,1.5
dismissedAppOpening,Europe/Berlin,1748812421.9867911,False,breathingExercise,instagram,1.5
dismissedAppOpening,Europe/Berlin,1748812424.258625,False,breathingExercise,instagram,1.5
dismissedAppOpening,Europe/Berlin,1748812426.38046,False,breathingExercise,instagram,1.5
dismissedAppOpening,Europe/Berlin,1748812428.2804961,False,breathingExercise,instagram,1.5
openedApp,Europe/Berlin,1748812433.2281442,False,breathingExercise,instagram,1.5
openedApp,Europe/Berlin,1748813528.937553,False,breathingExercise,instagram,1.5
dismissedAppOpening,Europe/Berlin,1748813670.15804,False,breathingExercise,instagram,1.5
openedApp,Europe/Berlin,1748839484.181621,False,breathingExercise,instagram,1.5
openedApp,Europe/Berlin,1748839527.749741,False,breathingExercise,instagram,1.5
openedApp,Europe/Berlin,1748840639.555204,False,breathingExercise,instagram,1.5
openedApp,Europe/Berlin,1748855000.2497969,False,breathingExercise,instagram,1.5
dismissedAppOpening,Europe/Berlin,1748855742.137144,False,breathingExercise,instagram,1.5
dismissedAppOpening,Europe/Berlin,1748855745.131752,False,breathingExercise,instagram,1.5
dismissedAppOpening,Europe/Berlin,1748856554.649228,False,breathingExercise,instagram,1.5
openedApp,Europe/Berlin,1748856913.004688,False,breathingExercise,instagram,1.5
openedApp,Europe/Berlin,1748860016.79384,False,breathingExercise,instagram,1.5
dismissedAppOpening,Europe/Berlin,1748861747.334423,False,breathingExercise,instagram,1.5
