timestamp,resolution,app,isReIntervention,purpose,interventionDuration,timezone,interventionType
1749605487.676153,openedApp,instagram,False,Bored,1.5,America/Toronto,breathingExercise
1749605552.0372071,openedApp,tikTok,False,Bored,1.5,America/Toronto,breathingExercise
1749608003.628284,openedApp,instagram,False,Bored,1.5,America/Toronto,breathingExercise
1749608612.862551,openedApp,instagram,False,Bored,1.5,America/Toronto,breathingExercise
1749609020.3737102,openedApp,tikTok,False,Bored,1.5,America/Toronto,breathingExercise
1749610350.445224,openedApp,instagram,False,Bored,1.5,America/Toronto,breathingExercise
1749610397.692949,openedApp,tikTok,False,Bored,1.5,America/Toronto,breathingExercise
1749632619.924076,openedApp,instagram,False,Bored,1.5,America/Toronto,breathingExercise
1749632640.219408,openedApp,tikTok,False,Bored,1.5,America/Toronto,breathingExercise
1749635064.930877,dismissedAppOpening,instagram,False,,1.5,America/Toronto,breathingExercise
1749635073.013286,openedApp,tikTok,False,Bored,1.5,America/Toronto,breathingExercise
1749635253.056788,openedApp,tikTok,False,Bored,1.5,America/Toronto,breathingExercise
1749642636.274704,openedApp,instagram,False,Bored,1.5,America/Toronto,breathingExercise
1749643063.592098,dismissedAppOpening,instagram,False,,1.5,America/Toronto,breathingExercise
1749643628.7513509,openedApp,instagram,False,Bored,1.5,America/Toronto,breathingExercise
1749644490.946156,openedApp,tikTok,False,Bored,1.5,America/Toronto,breathingExercise
1749645394.661021,dismissedAppOpening,instagram,False,,1.5,America/Toronto,breathingExercise
1749645421.607162,openedApp,instagram,False,Bored,1.5,America/Toronto,breathingExercise
1749645597.75014,openedApp,tikTok,False,Bored,1.5,America/Toronto,breathingExercise
1749651216.425397,openedApp,instagram,False,Bored,1.5,America/Toronto,breathingExercise
1749651406.799941,openedApp,tikTok,False,Bored,1.5,America/Toronto,breathingExercise
1749654441.687851,openedApp,instagram,False,Bored,1.5,America/Toronto,breathingExercise
1749654657.130989,openedApp,tikTok,False,Bored,1.5,America/Toronto,breathingExercise
1749655663.1868382,openedApp,instagram,False,Bored,1.5,America/Toronto,breathingExercise
1749655805.3406758,openedApp,tikTok,False,Bored,1.5,America/Toronto,breathingExercise
1749657269.905421,openedApp,instagram,False,Bored,1.5,America/Toronto,breathingExercise
1749657478.5759249,openedApp,instagram,False,Bored,1.5,America/Toronto,breathingExercise
1749657648.499291,openedApp,tikTok,False,Bored,1.5,America/Toronto,breathingExercise
1749657867.6218262,openedApp,instagram,False,Bored,1.5,America/Toronto,breathingExercise
1749658463.764638,dismissedAppOpening,instagram,False,,1.5,America/Toronto,breathingExercise
1749659813.418962,openedApp,instagram,False,Bored,1.5,America/Toronto,breathingExercise
1749660270.060621,dismissedAppOpening,instagram,False,,1.5,America/Toronto,breathingExercise
1749665419.230813,openedApp,instagram,False,Bored,1.5,America/Toronto,breathingExercise
1749665567.8522758,dismissedAppOpening,instagram,False,,1.5,America/Toronto,breathingExercise
1749665577.9683352,openedApp,instagram,False,Bored,1.5,America/Toronto,breathingExercise
1749665624.4248,dismissedAppOpening,instagram,False,,1.5,America/Toronto,breathingExercise
1749665633.517355,openedApp,instagram,False,Bored,1.5,America/Toronto,breathingExercise
1749665739.2501159,dismissedAppOpening,instagram,False,,1.5,America/Toronto,breathingExercise
1749665745.5433831,openedApp,instagram,False,Bored,1.5,America/Toronto,breathingExercise
1749665782.624306,openedApp,instagram,False,Bored,1.5,America/Toronto,breathingExercise
1749665836.402338,openedApp,tikTok,False,Bored,1.5,America/Toronto,breathingExercise
1749669003.601577,openedApp,instagram,False,Bored,1.5,America/Toronto,breathingExercise
1749669728.6976318,dismissedAppOpening,instagram,False,,1.5,America/Toronto,breathingExercise
1749670712.277344,dismissedAppOpening,instagram,False,,1.5,America/Toronto,breathingExercise
1749670930.075832,openedApp,instagram,False,Bored,1.5,America/Toronto,breathingExercise
1749672234.184371,openedApp,instagram,False,Bored,1.5,America/Toronto,breathingExercise
