interventionType,timestamp,resolution,interventionDuration,timezone,app,isReIntervention
breathingExercise,1749573263.818797,dismissedAppOpening,1.5,America/New_York,instagram,False
breathingExercise,1749573606.786625,dismissedAppOpening,1.5,America/New_York,instagram,False
breathingExercise,1749573651.460958,openedApp,1.5,America/New_York,instagram,False
breathingExercise,1749573691.3861861,openedApp,1.5,America/New_York,instagram,False
breathingExercise,1749574135.256484,dismissedAppOpening,1.5,America/New_York,instagram,False
breathingExercise,1749574534.370442,dismissedAppOpening,1.5,America/New_York,instagram,False
breathingExercise,1749576018.110664,openedApp,1.5,America/New_York,instagram,False
breathingExercise,1749577071.608117,dismissedAppOpening,1.5,America/New_York,instagram,False
breathingExercise,1749579411.44401,dismissedAppOpening,1.5,America/New_York,instagram,False
breathingExercise,1749580343.957395,openedApp,1.5,America/New_York,instagram,False
breathingExercise,1749580773.663791,dismissedAppOpening,1.5,America/New_York,instagram,False
breathingExercise,1749581383.596492,dismissedAppOpening,1.5,America/New_York,instagram,False
breathingExercise,1749584759.587091,openedApp,1.5,America/New_York,instagram,False
breathingExercise,1749586032.535355,dismissedAppOpening,1.5,America/New_York,instagram,False
breathingExercise,1749586093.441102,dismissedAppOpening,1.5,America/New_York,instagram,False
breathingExercise,1749586849.858257,dismissedAppOpening,1.5,America/New_York,instagram,False
breathingExercise,1749590982.130163,openedApp,1.5,America/New_York,instagram,False
breathingExercise,1749591633.1150432,openedApp,1.5,America/New_York,instagram,False
breathingExercise,1749591937.147692,openedApp,1.5,America/New_York,instagram,False
breathingExercise,1749593448.0600882,dismissedAppOpening,1.5,America/New_York,instagram,False
breathingExercise,1749593780.081458,dismissedAppOpening,1.5,America/New_York,instagram,False
breathingExercise,1749594782.875725,dismissedAppOpening,1.5,America/New_York,instagram,False
breathingExercise,1749604962.629901,dismissedAppOpening,1.5,America/New_York,instagram,False
breathingExercise,1749605869.163155,dismissedAppOpening,1.5,America/New_York,instagram,False
breathingExercise,1749606703.7704802,dismissedAppOpening,1.5,America/New_York,instagram,False
breathingExercise,1749607215.4715672,openedApp,1.5,America/New_York,instagram,False
breathingExercise,1749607913.9904032,dismissedAppOpening,1.5,America/New_York,instagram,False
breathingExercise,1749613333.841749,dismissedAppOpening,1.5,America/New_York,instagram,False
breathingExercise,1749615013.881141,openedApp,1.5,America/New_York,instagram,False
breathingExercise,1749615101.401235,dismissedAppOpening,1.5,America/New_York,instagram,False
breathingExercise,1749615107.9288502,openedApp,1.5,America/New_York,instagram,False
breathingExercise,1749615923.741653,openedApp,1.5,America/New_York,instagram,False
breathingExercise,1749616244.081321,dismissedAppOpening,1.5,America/New_York,instagram,False
breathingExercise,1749640573.489421,dismissedAppOpening,1.5,America/New_York,instagram,False
breathingExercise,1749645847.8348,openedApp,1.5,America/New_York,instagram,False
breathingExercise,1749646585.774781,openedApp,1.5,America/New_York,instagram,False
breathingExercise,1749647126.9112148,openedApp,1.5,America/New_York,instagram,False
breathingExercise,1749650048.899002,openedApp,1.5,America/New_York,instagram,False
breathingExercise,1749650306.493814,dismissedAppOpening,1.5,America/New_York,instagram,False
breathingExercise,1749650312.345522,openedApp,1.5,America/New_York,instagram,False
breathingExercise,1749651274.895679,openedApp,1.5,America/New_York,instagram,False
breathingExercise,1749652579.606962,openedApp,1.5,America/New_York,instagram,False
breathingExercise,1749653203.684691,dismissedAppOpening,1.5,America/New_York,instagram,False
breathingExercise,1749660827.755178,dismissedAppOpening,1.5,America/New_York,instagram,False
breathingExercise,1749661074.717767,openedApp,1.5,America/New_York,instagram,False
breathingExercise,1749661962.0969682,dismissedAppOpening,1.5,America/New_York,instagram,False
breathingExercise,1749661965.065366,dismissedAppOpening,1.5,America/New_York,instagram,False
breathingExercise,1749662473.215952,dismissedAppOpening,1.5,America/New_York,instagram,False
breathingExercise,1749662475.7766008,dismissedAppOpening,1.5,America/New_York,instagram,False
breathingExercise,1749667207.3342838,dismissedAppOpening,1.5,America/New_York,instagram,False
breathingExercise,1749667371.714023,openedApp,1.5,America/New_York,instagram,False
breathingExercise,1749667678.8829389,openedApp,1.5,America/New_York,instagram,False
breathingExercise,1749670492.6132488,dismissedAppOpening,1.5,America/New_York,instagram,False
breathingExercise,1749670699.272637,dismissedAppOpening,1.5,America/New_York,instagram,False
breathingExercise,1749672087.116509,openedApp,1.5,America/New_York,instagram,False
breathingExercise,1749674629.91264,openedApp,1.5,America/New_York,instagram,False
breathingExercise,1749674843.274214,openedApp,1.5,America/New_York,instagram,False
breathingExercise,1749675337.0448608,openedApp,1.5,America/New_York,instagram,False
breathingExercise,1749676641.994684,dismissedAppOpening,1.5,America/New_York,instagram,False
breathingExercise,1749679170.565094,dismissedAppOpening,1.5,America/New_York,instagram,False
breathingExercise,1749679181.090792,openedApp,1.5,America/New_York,instagram,False
breathingExercise,1749681455.194839,openedApp,1.5,America/New_York,instagram,False
breathingExercise,1749681609.070668,openedApp,1.5,America/New_York,instagram,False
breathingExercise,1749681857.605608,openedApp,1.5,America/New_York,instagram,False
breathingExercise,1749683112.317689,openedApp,1.5,America/New_York,instagram,False
breathingExercise,1749687953.743517,dismissedAppOpening,1.5,America/New_York,instagram,False
breathingExercise,1749687960.714404,openedApp,1.5,America/New_York,instagram,False
breathingExercise,1749688699.700351,dismissedAppOpening,1.5,America/New_York,instagram,False
breathingExercise,1749689189.753402,openedApp,1.5,America/New_York,instagram,False
breathingExercise,1749689272.2976298,dismissedAppOpening,1.5,America/New_York,instagram,False
breathingExercise,1749689504.253024,dismissedAppOpening,1.5,America/New_York,instagram,False
breathingExercise,1749689577.221724,dismissedAppOpening,1.5,America/New_York,instagram,False
breathingExercise,1749690384.618661,dismissedAppOpening,1.5,America/New_York,instagram,False
breathingExercise,1749690484.1856189,openedApp,1.5,America/New_York,instagram,False
