resolution,interventionType,app,interventionDuration,timezone,timestamp,isReIntervention,purpose
dismissedAppOpening,breathingExercise,instagram,1.5,Asia/Hong_Kong,1750646932.433793,False,
dismissedAppOpening,breathingExercise,instagram,1.5,Asia/Hong_Kong,1750647389.968285,False,
openedApp,breathingExercise,instagram,1.5,Asia/Hong_Kong,1750648227.590838,False,
openedApp,breathingExercise,instagram,1.5,Asia/Hong_Kong,1750648341.939036,False,
dismissedAppOpening,breathingExercise,instagram,1.5,Asia/Hong_Kong,1750648827.007646,False,
dismissedAppOpening,breathingExercise,instagram,1.5,Asia/Hong_Kong,1750650439.9561849,False,
openedApp,breathingExercise,instagram,1.5,Asia/Hong_Kong,1750652660.55855,False,
openedApp,breathingExercise,instagram,1.5,Asia/Hong_Kong,1750656975.76191,False,
openedApp,breathingExercise,instagram,1.5,Asia/Hong_Kong,1750663469.9797401,False,
dismissedAppOpening,breathingExercise,instagram,1.5,Asia/Hong_Kong,1750663822.81615,False,
dismissedAppOpening,breathingExercise,instagram,1.5,Asia/Hong_Kong,1750666848.7215981,False,
dismissedAppOpening,breathingExercise,instagram,1.5,Asia/Hong_Kong,1750668081.057509,False,
openedApp,breathingExercise,instagram,1.5,Asia/Hong_Kong,1750672254.422882,False,
dismissedAppOpening,breathingExercise,instagram,1.5,Asia/Hong_Kong,1750674170.2834702,False,
dismissedAppOpening,breathingExercise,instagram,1.5,Asia/Hong_Kong,1750681734.1534991,False,
dismissedAppOpening,breathingExercise,instagram,1.5,Asia/Hong_Kong,1750686182.8444672,False,
dismissedAppOpening,breathingExercise,instagram,1.5,Asia/Hong_Kong,1750686740.845707,False,
openedApp,breathingExercise,instagram,1.5,Asia/Hong_Kong,1750687243.02176,False,
dismissedAppOpening,breathingExercise,instagram,1.5,Asia/Hong_Kong,1750691027.510905,False,
openedApp,breathingExercise,instagram,1.5,Asia/Hong_Kong,1750692478.9713979,False,
dismissedAppOpening,breathingExercise,instagram,1.5,Asia/Hong_Kong,1750692531.8578439,False,
openedApp,breathingExercise,instagram,1.5,Asia/Hong_Kong,1750720864.703392,False,
openedApp,breathingExercise,instagram,1.5,Asia/Hong_Kong,1750727219.5100799,False,
dismissedAppOpening,breathingExercise,instagram,1.5,Asia/Hong_Kong,1750737762.790543,False,
dismissedAppOpening,breathingExercise,instagram,1.5,Asia/Hong_Kong,1750742027.153621,False,
dismissedAppOpening,breathingExercise,instagram,1.5,Asia/Hong_Kong,1750746324.7506518,False,
dismissedAppOpening,breathingExercise,instagram,1.5,Asia/Hong_Kong,1750746331.427205,False,
dismissedAppOpening,breathingExercise,instagram,1.5,Asia/Hong_Kong,1750758928.192389,False,
openedApp,breathingExercise,instagram,1.5,Asia/Hong_Kong,1750759391.605258,False,
openedApp,breathingExercise,instagram,1.5,Asia/Hong_Kong,1750774655.301574,False,
openedApp,breathingExercise,instagram,1.5,Asia/Hong_Kong,1750775037.678015,False,
dismissedAppOpening,breathingExercise,instagram,1.5,Asia/Hong_Kong,1750776856.1231651,False,
openedApp,breathingExercise,instagram,1.5,Asia/Hong_Kong,1750808073.5306911,False,
dismissedAppOpening,breathingExercise,instagram,1.5,Asia/Hong_Kong,1750814544.512296,False,
openedApp,breathingExercise,instagram,1.5,Asia/Hong_Kong,1750815505.225858,False,
dismissedAppOpening,breathingExercise,instagram,1.5,Asia/Hong_Kong,1750820172.8398309,False,
dismissedAppOpening,breathingExercise,instagram,1.5,Asia/Hong_Kong,1750820823.517891,False,
dismissedAppOpening,breathingExercise,instagram,1.5,Asia/Hong_Kong,1750823240.215148,False,
openedApp,breathingExercise,instagram,1.5,Asia/Hong_Kong,1750833891.239095,False,
dismissedAppOpening,breathingExercise,instagram,1.5,Asia/Hong_Kong,1750835373.104564,False,
openedApp,breathingExercise,instagram,1.5,Asia/Hong_Kong,1750837111.9497771,False,
openedApp,breathingExercise,instagram,1.5,Asia/Hong_Kong,1750845843.3932061,False,
dismissedAppOpening,breathingExercise,instagram,1.5,Asia/Hong_Kong,1750852864.416007,False,
dismissedAppOpening,breathingExercise,instagram,1.5,Asia/Hong_Kong,1750860682.031374,False,
dismissedAppOpening,breathingExercise,instagram,1.5,Asia/Hong_Kong,1750863856.8379931,False,
openedApp,breathingExercise,instagram,1.5,Asia/Hong_Kong,1750894418.332429,False,
openedApp,breathingExercise,instagram,1.5,Asia/Hong_Kong,1750898544.662837,False,
openedApp,breathingExercise,instagram,1.5,Asia/Hong_Kong,1750899283.484489,False,
openedApp,breathingExercise,instagram,1.5,Asia/Hong_Kong,1750902614.574657,False,
openedApp,breathingExercise,instagram,1.5,Asia/Hong_Kong,1750907298.347077,False,
openedApp,breathingExercise,instagram,1.5,Asia/Hong_Kong,1750908739.192384,False,
openedApp,breathingExercise,instagram,1.5,Asia/Hong_Kong,1750908880.926966,False,
openedApp,breathingExercise,instagram,1.5,Asia/Hong_Kong,1750909371.459029,False,
openedApp,breathingExercise,instagram,1.5,Asia/Hong_Kong,1750913750.76265,False,
openedApp,breathingExercise,instagram,1.5,Asia/Hong_Kong,1750914803.4371738,False,
dismissedAppOpening,breathingExercise,instagram,1.5,Asia/Hong_Kong,1750926789.62154,False,
openedApp,breathingExercise,instagram,1.5,Asia/Hong_Kong,1750929493.561028,False,
openedApp,breathingExercise,instagram,1.5,Asia/Hong_Kong,1750943448.800844,False,
dismissedAppOpening,breathingExercise,instagram,1.5,Asia/Hong_Kong,1750948585.7355719,False,
dismissedAppOpening,breathingExercise,instagram,1.5,Asia/Hong_Kong,1750950291.7655911,False,
openedApp,breathingExercise,instagram,1.5,Asia/Hong_Kong,1750995018.751093,False,
openedApp,breathingExercise,instagram,1.5,Asia/Hong_Kong,1751003342.466982,False,
dismissedAppOpening,breathingExercise,instagram,1.5,Asia/Hong_Kong,1751008228.39987,False,
openedApp,breathingExercise,instagram,1.5,Asia/Hong_Kong,1751020470.3894649,False,
openedApp,breathingExercise,instagram,1.5,Asia/Hong_Kong,1751020675.7277799,False,
dismissedAppOpening,breathingExercise,instagram,1.5,Asia/Hong_Kong,1751021832.079368,False,
openedApp,breathingExercise,instagram,1.5,Asia/Hong_Kong,1751035680.6577,False,
openedApp,breathingExercise,instagram,1.5,Asia/Hong_Kong,1751073797.20983,False,
openedApp,breathingExercise,instagram,1.5,Asia/Hong_Kong,1751078612.261652,False,
dismissedAppOpening,breathingExercise,instagram,1.5,Asia/Hong_Kong,1751079075.013795,False,
dismissedAppOpening,breathingExercise,instagram,1.5,Asia/Hong_Kong,1751081593.274969,False,
openedApp,breathingExercise,instagram,1.5,Asia/Hong_Kong,1751121525.788408,False,
dismissedAppOpening,breathingExercise,instagram,1.5,Asia/Hong_Kong,1751121705.830596,False,
openedApp,breathingExercise,instagram,1.5,Asia/Hong_Kong,1751156672.679576,False,
dismissedAppOpening,breathingExercise,instagram,1.5,Asia/Hong_Kong,1751159311.662447,False,
openedApp,breathingExercise,instagram,1.5,Asia/Hong_Kong,1751166871.827565,False,
dismissedAppOpening,breathingExercise,instagram,1.5,Asia/Hong_Kong,1751167312.912348,False,
dismissedAppOpening,breathingExercise,instagram,1.5,Asia/Hong_Kong,1751168256.094285,False,
dismissedAppOpening,breathingExercise,instagram,1.5,Asia/Hong_Kong,1751189646.779068,False,
dismissedAppOpening,breathingExercise,instagram,1.5,Asia/Hong_Kong,1751200764.835455,False,
openedApp,breathingExercise,instagram,1.5,Asia/Hong_Kong,1751206663.3694391,False,
openedApp,breathingExercise,instagram,1.5,Asia/Hong_Kong,1751258788.306944,False,
