interventionDuration,timestamp,timezone,app,isReIntervention,resolution,interventionType,purpose
1.5,1753393826.825053,Europe/Rome,instagram,False,dismissedAppOpening,breathingExercise,
1.5,1753393836.134438,Europe/Rome,instagram,False,dismissedAppOpening,breathingExercise,
1.5,1753393981.2439442,Europe/Rome,instagram,False,dismissedAppOpening,breathingExercise,
1.5,1753422417.693146,Europe/Rome,instagram,False,dismissedAppOpening,breathingExercise,
1.5,1753424077.554055,Europe/Rome,instagram,False,dismissedAppOpening,breathingExercise,
1.5,1753424097.130904,Europe/Rome,instagram,False,dismissedAppOpening,breathingExercise,
1.5,1753424133.271347,Europe/Rome,instagram,False,dismissedAppOpening,breathingExercise,
1.5,1753424302.902478,Europe/Rome,instagram,False,openedApp,breathingExercise,Message
1.5,1753425074.0122561,Europe/Rome,instagram,False,dismissedAppOpening,breathingExercise,
1.5,1753427277.669018,Europe/Rome,instagram,False,openedApp,breathingExercise,Check likes
1.5,1753427514.782877,Europe/Rome,instagram,False,dismissedAppOpening,breathingExercise,
1.5,1753427695.1921868,Europe/Rome,instagram,False,openedApp,breathingExercise,Work
1.5,1753429716.41925,Europe/Rome,instagram,False,dismissedAppOpening,breathingExercise,
1.5,1753429723.004987,Europe/Rome,instagram,False,dismissedAppOpening,breathingExercise,
1.5,1753432796.703623,Europe/Rome,instagram,False,dismissedAppOpening,breathingExercise,
1.5,1753432803.730331,Europe/Rome,instagram,False,dismissedAppOpening,breathingExercise,
1.5,1753433021.956826,Europe/Rome,instagram,False,dismissedAppOpening,breathingExercise,
1.5,1753434494.1822639,Europe/Rome,instagram,False,dismissedAppOpening,breathingExercise,
1.5,1753434892.964911,Europe/Rome,instagram,False,dismissedAppOpening,breathingExercise,
1.5,1753435460.80071,Europe/Rome,instagram,False,dismissedAppOpening,breathingExercise,
1.5,1753437755.0434399,Europe/Rome,instagram,False,dismissedAppOpening,breathingExercise,
1.5,1753437762.842344,Europe/Rome,instagram,False,dismissedAppOpening,breathingExercise,
1.5,1753437882.202338,Europe/Rome,instagram,False,dismissedAppOpening,breathingExercise,
1.5,1753438583.6004338,Europe/Rome,instagram,False,dismissedAppOpening,breathingExercise,
1.5,1753439494.6125422,Europe/Rome,instagram,False,openedApp,breathingExercise,Entertainment
1.5,1753439805.7753859,Europe/Rome,instagram,False,dismissedAppOpening,breathingExercise,
1.5,1753440382.492079,Europe/Rome,instagram,False,dismissedAppOpening,breathingExercise,
1.5,1753441658.6787338,Europe/Rome,instagram,False,dismissedAppOpening,breathingExercise,
1.5,1753441840.038662,Europe/Rome,instagram,False,dismissedAppOpening,breathingExercise,
1.5,1753442142.4645329,Europe/Rome,instagram,False,dismissedAppOpening,breathingExercise,
1.5,1753442149.392137,Europe/Rome,instagram,False,openedApp,breathingExercise,Escape / Avoid
1.5,1753443115.92085,Europe/Rome,instagram,False,dismissedAppOpening,breathingExercise,
1.5,1753443173.7257,Europe/Rome,instagram,False,dismissedAppOpening,breathingExercise,
1.5,1753443476.763422,Europe/Rome,instagram,False,dismissedAppOpening,breathingExercise,
1.5,1753450361.066441,Europe/Rome,instagram,False,dismissedAppOpening,breathingExercise,
1.5,1753450373.77599,Europe/Rome,instagram,False,openedApp,breathingExercise,Bored
1.5,1753452422.0450668,Europe/Rome,instagram,False,dismissedAppOpening,breathingExercise,
1.5,1753454414.884948,Europe/Rome,instagram,False,dismissedAppOpening,breathingExercise,
1.5,1753454456.409823,Europe/Rome,instagram,False,dismissedAppOpening,breathingExercise,
1.5,1753455878.166898,Europe/Rome,instagram,False,dismissedAppOpening,breathingExercise,
1.5,1753455887.1014361,Europe/Rome,instagram,False,openedApp,breathingExercise,Escape / Avoid
1.5,1753457704.072418,Europe/Rome,instagram,False,dismissedAppOpening,breathingExercise,
1.5,1753458316.65934,Europe/Rome,instagram,False,dismissedAppOpening,breathingExercise,
1.5,1753458360.283802,Europe/Rome,instagram,False,dismissedAppOpening,breathingExercise,
1.5,1753458369.14149,Europe/Rome,instagram,False,openedApp,breathingExercise,Check likes
1.5,1753458518.8428621,Europe/Rome,instagram,False,dismissedAppOpening,breathingExercise,
1.5,1753459561.578405,Europe/Rome,instagram,False,dismissedAppOpening,breathingExercise,
1.5,1753459965.247407,Europe/Rome,instagram,False,dismissedAppOpening,breathingExercise,
1.5,1753460349.757997,Europe/Rome,instagram,False,dismissedAppOpening,breathingExercise,
1.5,1753460351.1241379,Europe/Rome,instagram,False,dismissedAppOpening,breathingExercise,
1.5,1753460791.8654609,Europe/Rome,instagram,False,dismissedAppOpening,breathingExercise,
1.5,1753460796.071614,Europe/Rome,instagram,False,dismissedAppOpening,breathingExercise,
1.5,1753461021.7388082,Europe/Rome,instagram,False,openedApp,breathingExercise,Toilet
1.5,1753461316.4237719,Europe/Rome,instagram,False,dismissedAppOpening,breathingExercise,
1.5,1753461559.759263,Europe/Rome,instagram,False,dismissedAppOpening,breathingExercise,
1.5,1753461562.949904,Europe/Rome,instagram,False,dismissedAppOpening,breathingExercise,
1.5,1753461759.533494,Europe/Rome,instagram,False,openedApp,breathingExercise,Stay In the Loop
1.5,1753462043.4541368,Europe/Rome,instagram,False,dismissedAppOpening,breathingExercise,
1.5,1753462294.964864,Europe/Rome,instagram,False,dismissedAppOpening,breathingExercise,
1.5,1753462449.3311,Europe/Rome,instagram,False,dismissedAppOpening,breathingExercise,
1.5,1753462593.774297,Europe/Rome,instagram,False,dismissedAppOpening,breathingExercise,
1.5,1753462694.4904032,Europe/Rome,instagram,False,dismissedAppOpening,breathingExercise,
1.5,1753464307.506593,Europe/Rome,instagram,False,dismissedAppOpening,breathingExercise,
1.5,1753464314.863735,Europe/Rome,instagram,False,openedApp,breathingExercise,Escape / Avoid
1.5,1753465838.257623,Europe/Rome,instagram,False,dismissedAppOpening,breathingExercise,
1.5,1753467428.517599,Europe/Rome,instagram,False,openedApp,breathingExercise,Escape / Avoid
1.5,1753467451.93203,Europe/Rome,instagram,False,dismissedAppOpening,breathingExercise,
1.5,1753467459.864284,Europe/Rome,instagram,False,openedApp,breathingExercise,Message
1.5,1753468537.6402001,Europe/Rome,instagram,False,openedApp,breathingExercise,Escape / Avoid
1.5,1753468922.955095,Europe/Rome,instagram,False,dismissedAppOpening,breathingExercise,
1.5,1753469085.0715451,Europe/Rome,instagram,False,dismissedAppOpening,breathingExercise,
1.5,1753469238.298693,Europe/Rome,instagram,False,dismissedAppOpening,breathingExercise,
1.5,1753470781.360338,Europe/Rome,instagram,False,dismissedAppOpening,breathingExercise,
1.5,1753470789.762871,Europe/Rome,instagram,False,dismissedAppOpening,breathingExercise,
1.5,1753470887.87111,Europe/Rome,instagram,False,openedApp,breathingExercise,Relax
1.5,1753471993.15186,Europe/Rome,instagram,False,dismissedAppOpening,breathingExercise,
1.5,1753472181.9792318,Europe/Rome,instagram,False,openedApp,breathingExercise,Entertainment
1.5,1753473737.6246948,Europe/Rome,instagram,False,dismissedAppOpening,breathingExercise,
1.5,1753476515.977662,Europe/Rome,instagram,False,openedApp,breathingExercise,Post something
1.5,1753479107.9370952,Europe/Rome,instagram,False,dismissedAppOpening,breathingExercise,
1.5,1753481261.624284,Europe/Rome,instagram,False,openedApp,breathingExercise,Relax
1.5,1753481349.943009,Europe/Rome,instagram,False,dismissedAppOpening,breathingExercise,
1.5,1753481353.786649,Europe/Rome,instagram,False,dismissedAppOpening,breathingExercise,
1.5,1753481356.614536,Europe/Rome,instagram,False,dismissedAppOpening,breathingExercise,
1.5,1753481487.6978831,Europe/Rome,instagram,False,openedApp,breathingExercise,Relax
1.5,1753481828.301355,Europe/Rome,instagram,False,dismissedAppOpening,breathingExercise,
1.5,1753482476.233032,Europe/Rome,instagram,False,openedApp,breathingExercise,Check likes
1.5,1753482680.394851,Europe/Rome,instagram,False,dismissedAppOpening,breathingExercise,
1.5,1753482687.0529652,Europe/Rome,instagram,False,openedApp,breathingExercise,Post something
1.5,1753482832.733111,Europe/Rome,instagram,False,dismissedAppOpening,breathingExercise,
1.5,1753482847.555132,Europe/Rome,instagram,False,dismissedAppOpening,breathingExercise,
1.5,1753509219.8432,Europe/Rome,instagram,False,dismissedAppOpening,breathingExercise,
1.5,1753509805.8718429,Europe/Rome,instagram,False,dismissedAppOpening,breathingExercise,
1.5,1753511205.749671,Europe/Rome,instagram,False,dismissedAppOpening,breathingExercise,
1.5,1753511954.685762,Europe/Rome,instagram,False,dismissedAppOpening,breathingExercise,
1.5,1753512240.4723,Europe/Rome,instagram,False,openedApp,breathingExercise,Check likes
1.5,1753516721.1746402,Europe/Rome,instagram,False,openedApp,breathingExercise,Message
1.5,1753518638.268147,Europe/Rome,instagram,False,dismissedAppOpening,breathingExercise,
1.5,1753518732.5167608,Europe/Rome,instagram,False,dismissedAppOpening,breathingExercise,
1.5,1753519164.666729,Europe/Rome,instagram,False,openedApp,breathingExercise,Relax
1.5,1753519839.2598271,Europe/Rome,instagram,False,dismissedAppOpening,breathingExercise,
1.5,1753519874.2955651,Europe/Rome,instagram,False,dismissedAppOpening,breathingExercise,
1.5,1753521871.168407,Europe/Rome,instagram,False,openedApp,breathingExercise,Relax
1.5,1753523123.475672,Europe/Rome,instagram,False,dismissedAppOpening,breathingExercise,
1.5,1753524690.021055,Europe/Rome,instagram,False,dismissedAppOpening,breathingExercise,
1.5,1753524850.344046,Europe/Rome,instagram,False,dismissedAppOpening,breathingExercise,
1.5,1753525003.034769,Europe/Rome,instagram,False,dismissedAppOpening,breathingExercise,
1.5,1753525118.936857,Europe/Rome,instagram,False,openedApp,breathingExercise,Relax
1.5,1753526742.588016,Europe/Rome,instagram,False,dismissedAppOpening,breathingExercise,
1.5,1753527510.405879,Europe/Rome,instagram,False,dismissedAppOpening,breathingExercise,
1.5,1753528622.8068352,Europe/Rome,instagram,False,openedApp,breathingExercise,Entertainment
1.5,1753529708.235547,Europe/Rome,instagram,False,dismissedAppOpening,breathingExercise,
1.5,1753531757.6745281,Europe/Rome,instagram,False,dismissedAppOpening,breathingExercise,
1.5,1753531763.852957,Europe/Rome,instagram,False,openedApp,breathingExercise,Work
1.5,1753532428.914367,Europe/Rome,instagram,False,dismissedAppOpening,breathingExercise,
1.5,1753532594.8069448,Europe/Rome,instagram,False,dismissedAppOpening,breathingExercise,
1.5,1753532714.91335,Europe/Rome,instagram,False,openedApp,breathingExercise,Work
1.5,1753532983.539639,Europe/Rome,instagram,False,openedApp,breathingExercise,Entertainment
1.5,1753533400.711067,Europe/Rome,instagram,False,dismissedAppOpening,breathingExercise,
1.5,1753533427.904922,Europe/Rome,instagram,False,dismissedAppOpening,breathingExercise,
1.5,1753534055.038272,Europe/Rome,instagram,False,dismissedAppOpening,breathingExercise,
1.5,1753534479.3161201,Europe/Rome,instagram,False,dismissedAppOpening,breathingExercise,
1.5,1753534823.8907928,Europe/Rome,instagram,False,dismissedAppOpening,breathingExercise,
1.5,1753534831.100569,Europe/Rome,instagram,False,openedApp,breathingExercise,Relax
1.5,1753536066.9111419,Europe/Rome,instagram,False,dismissedAppOpening,breathingExercise,
1.5,1753536073.1205978,Europe/Rome,instagram,False,dismissedAppOpening,breathingExercise,
1.5,1753538171.5316281,Europe/Rome,instagram,False,openedApp,breathingExercise,Entertainment
1.5,1753538633.952489,Europe/Rome,instagram,False,dismissedAppOpening,breathingExercise,
1.5,1753538673.539394,Europe/Rome,instagram,False,openedApp,breathingExercise,Can’t sleep
1.5,1753538925.867595,Europe/Rome,instagram,False,dismissedAppOpening,breathingExercise,
1.5,1753538928.108427,Europe/Rome,instagram,False,dismissedAppOpening,breathingExercise,
1.5,1753538937.489272,Europe/Rome,instagram,False,openedApp,breathingExercise,Relax
1.5,1753544678.6601949,Europe/Rome,instagram,False,dismissedAppOpening,breathingExercise,
1.5,1753545133.222225,Europe/Rome,instagram,False,dismissedAppOpening,breathingExercise,
1.5,1753545154.173337,Europe/Rome,instagram,False,openedApp,breathingExercise,Post something
1.5,1753545182.718027,Europe/Rome,instagram,False,dismissedAppOpening,breathingExercise,
1.5,1753545184.902309,Europe/Rome,instagram,False,dismissedAppOpening,breathingExercise,
1.5,1753545187.677701,Europe/Rome,instagram,False,dismissedAppOpening,breathingExercise,
1.5,1753545264.276103,Europe/Rome,instagram,False,dismissedAppOpening,breathingExercise,
1.5,1753546744.620707,Europe/Rome,instagram,False,dismissedAppOpening,breathingExercise,
1.5,1753546747.079752,Europe/Rome,instagram,False,dismissedAppOpening,breathingExercise,
1.5,1753546821.539485,Europe/Rome,instagram,False,dismissedAppOpening,breathingExercise,
1.5,1753546826.406558,Europe/Rome,instagram,False,dismissedAppOpening,breathingExercise,
1.5,1753546833.0312319,Europe/Rome,instagram,False,openedApp,breathingExercise,Relax
1.5,1753546923.060117,Europe/Rome,instagram,False,openedApp,breathingExercise,Relax
1.5,1753546938.370856,Europe/Rome,instagram,False,dismissedAppOpening,breathingExercise,
1.5,1753546944.957576,Europe/Rome,instagram,False,openedApp,breathingExercise,Entertainment
1.5,1753547020.986126,Europe/Rome,instagram,False,dismissedAppOpening,breathingExercise,
