isReIntervention,interventionDuration,interventionType,resolution,app,timestamp,timezone
False,1.5,breathingExercise,openedApp,instagram,1750355932.51631,Europe/Berlin
False,1.5,breathingExercise,dismissedAppOpening,instagram,1750359290.997045,Europe/Berlin
False,1.5,breathingExercise,openedApp,instagram,1750361284.648777,Europe/Berlin
False,1.5,breathingExercise,openedApp,instagram,1750392979.289129,Europe/Berlin
False,1.5,breathingExercise,dismissedAppOpening,instagram,1750394405.007586,Europe/Berlin
False,1.5,breathingExercise,openedApp,instagram,1750395390.743566,Europe/Berlin
False,1.5,breathingExercise,openedApp,instagram,1750403259.6290941,Europe/Berlin
False,1.5,breathingExercise,dismissedAppOpening,instagram,1750406893.495606,Europe/Berlin
False,1.5,breathingExercise,openedApp,instagram,1750407013.023545,Europe/Berlin
False,1.5,breathingExercise,openedApp,instagram,1750418430.331308,Europe/Berlin
False,1.5,breathingExercise,dismissedAppOpening,instagram,1750418518.311419,Europe/Berlin
False,1.5,breathingExercise,dismissedAppOpening,instagram,1750421991.397674,Europe/Berlin
False,1.5,breathingExercise,dismissedAppOpening,instagram,1750422661.641654,Europe/Berlin
False,1.5,breathingExercise,dismissedAppOpening,instagram,1750425554.1132689,Europe/Berlin
False,1.5,breathingExercise,openedApp,instagram,1750426219.088152,Europe/Berlin
False,1.5,breathingExercise,dismissedAppOpening,instagram,1750426341.7990232,Europe/Berlin
False,1.5,breathingExercise,openedApp,instagram,1750426348.879914,Europe/Berlin
False,1.5,breathingExercise,openedApp,instagram,1750434816.098233,Europe/Berlin
False,1.5,breathingExercise,openedApp,instagram,1750436196.8994079,Europe/Berlin
False,1.5,breathingExercise,dismissedAppOpening,instagram,1750436821.801179,Europe/Berlin
False,1.5,breathingExercise,openedApp,instagram,1750439871.56903,Europe/Berlin
False,1.5,breathingExercise,openedApp,instagram,1750445032.981354,Europe/Berlin
False,1.5,breathingExercise,openedApp,instagram,1750458928.923677,Europe/Berlin
False,1.5,breathingExercise,openedApp,instagram,1750460024.2753038,Europe/Berlin
False,1.5,breathingExercise,openedApp,instagram,1750460878.8158479,Europe/Berlin
False,1.5,breathingExercise,openedApp,instagram,1750508578.404745,Europe/Berlin
False,1.5,breathingExercise,dismissedAppOpening,instagram,1750511456.5670838,Europe/Berlin
False,1.5,breathingExercise,openedApp,instagram,1750522104.451294,Europe/Berlin
False,1.5,breathingExercise,openedApp,instagram,1750534095.7075171,Europe/Berlin
False,1.5,breathingExercise,dismissedAppOpening,instagram,1750534943.46457,Europe/Berlin
False,1.5,breathingExercise,openedApp,instagram,1750537292.7001638,Europe/Berlin
False,1.5,breathingExercise,openedApp,instagram,1750537400.580658,Europe/Berlin
False,1.5,breathingExercise,openedApp,instagram,1750537555.7910872,Europe/Berlin
False,1.5,breathingExercise,dismissedAppOpening,instagram,1750537681.0024052,Europe/Berlin
False,1.5,breathingExercise,dismissedAppOpening,instagram,1750537844.5206308,Europe/Berlin
False,1.5,breathingExercise,dismissedAppOpening,instagram,1750537856.6037068,Europe/Berlin
False,1.5,breathingExercise,openedApp,instagram,1750538069.9788861,Europe/Berlin
False,1.5,breathingExercise,dismissedAppOpening,instagram,1750538151.606886,Europe/Berlin
False,1.5,breathingExercise,dismissedAppOpening,instagram,1750538591.963047,Europe/Berlin
False,1.5,breathingExercise,openedApp,instagram,1750538707.297093,Europe/Berlin
False,1.5,breathingExercise,dismissedAppOpening,instagram,1750539982.946896,Europe/Berlin
False,1.5,breathingExercise,dismissedAppOpening,instagram,1750541963.428561,Europe/Berlin
False,1.5,breathingExercise,openedApp,instagram,1750542025.101861,Europe/Berlin
False,1.5,breathingExercise,openedApp,instagram,1750542216.881767,Europe/Berlin
False,1.5,breathingExercise,dismissedAppOpening,instagram,1750542305.615793,Europe/Berlin
False,1.5,breathingExercise,openedApp,instagram,1750542355.8187408,Europe/Berlin
False,1.5,breathingExercise,openedApp,instagram,1750542503.141813,Europe/Berlin
False,1.5,breathingExercise,dismissedAppOpening,instagram,1750543594.0917869,Europe/Berlin
