interventionType,resolution,timezone,isReIntervention,interventionDuration,timestamp,app,timeIntervalUntilReIntervention
askForTimeLimit,openedApp,Australia/Perth,False,1.5,1751517627.1045141,instagram,180.0
askForTimeLimit,openedApp,Australia/Perth,False,1.5,1751528157.168932,instagram,300.0
breathingExercise,openedApp,Australia/Perth,True,1.5,1751528476.882678,instagram,360.0
askForTimeLimit,dismissedAppOpening,Australia/Perth,False,1.5,1751536178.5919309,instagram,
askForTimeLimit,openedApp,Australia/Perth,False,1.5,1751536185.924366,instagram,1620.0
askForTimeLimit,openedApp,Australia/Perth,False,1.5,1751536735.723172,instagram,2700.0
askForTimeLimit,openedApp,Australia/Perth,False,1.5,1751536851.232758,instagram,2340.0
askForTimeLimit,openedApp,Australia/Perth,False,1.5,1751545540.2433128,instagram,60.0
breathingExercise,dismissedAppOpening,Australia/Perth,True,1.5,1751545618.9097528,instagram,
breathingExercise,openedApp,Australia/Perth,False,1.5,1751545666.792464,instagram,120.0
breathingExercise,openedApp,Australia/Perth,True,1.5,1751545804.740176,instagram,1200.0
askForTimeLimit,openedApp,Australia/Perth,False,1.5,1751583235.714971,instagram,180.0
breathingExercise,openedApp,Australia/Perth,False,1.5,1751583439.174747,instagram,420.0
askForTimeLimit,dismissedAppOpening,Australia/Perth,False,1.5,1751590992.641765,instagram,
askForTimeLimit,openedApp,Australia/Perth,False,1.5,1751591000.542447,instagram,180.0
breathingExercise,dismissedAppOpening,Australia/Perth,False,1.5,1751591196.886228,instagram,
askForTimeLimit,openedApp,Australia/Perth,False,1.5,1751595541.1489658,instagram,120.0
breathingExercise,openedApp,Australia/Perth,True,1.5,1751595676.2759318,instagram,60.0
askForTimeLimit,openedApp,Australia/Perth,False,1.5,1751614412.8949962,instagram,240.0
askForTimeLimit,openedApp,Australia/Perth,False,1.5,1751614560.333468,instagram,180.0
breathingExercise,dismissedAppOpening,Australia/Perth,False,1.5,1751614752.7905731,instagram,
askForTimeLimit,dismissedAppOpening,Australia/Perth,False,1.5,1751623055.6781101,instagram,
askForTimeLimit,openedApp,Australia/Perth,False,1.5,1751623060.477085,instagram,2700.0
askForTimeLimit,dismissedAppOpening,Australia/Perth,False,1.5,1751626648.8194618,instagram,
askForTimeLimit,dismissedAppOpening,Australia/Perth,False,1.5,1751626655.248934,instagram,
askForTimeLimit,dismissedAppOpening,Australia/Perth,False,1.5,1751626660.459813,instagram,
askForTimeLimit,openedApp,Australia/Perth,False,1.5,1751626666.144124,instagram,2520.0
askForTimeLimit,openedApp,Australia/Perth,False,1.5,1751630967.720286,instagram,240.0
askForTimeLimit,openedApp,Australia/Perth,False,1.5,1751631586.1930032,instagram,720.0
askForTimeLimit,openedApp,Australia/Perth,False,1.5,1751631793.6052818,instagram,1620.0
askForTimeLimit,openedApp,Australia/Perth,False,1.5,1751633604.836688,instagram,1320.0
askForTimeLimit,openedApp,Australia/Perth,False,1.5,1751633750.737248,instagram,1200.0
askForTimeLimit,openedApp,Australia/Perth,False,1.5,1751633869.7964911,instagram,1740.0
askForTimeLimit,openedApp,Australia/Perth,False,1.5,1751634041.59488,instagram,60.0
