resolution,interventionType,isReIntervention,timestamp,interventionDuration,app,timezone,purpose
dismissedAppOpening,breathingExercise,False,1748965119.496973,1.5,instagram,Europe/Zurich,
openedApp,breathingExercise,False,1748965603.519151,1.5,firefox,Europe/Zurich,Search Info
dismissedAppOpening,breathingExercise,False,1748965647.482908,1.5,instagram,Europe/Zurich,
dismissedAppOpening,breathingExercise,False,1748972535.562776,1.5,firefox,Europe/Zurich,
dismissedAppOpening,breathingExercise,False,1748972541.284838,1.5,firefox,Europe/Zurich,
openedApp,breathingExercise,False,1748972549.8708029,1.5,firefox,Europe/Zurich,Search Info
dismissedAppOpening,breathingExercise,False,1748973336.802216,1.5,firefox,Europe/Zurich,
dismissedAppOpening,breathingExercise,False,1748975004.4535499,1.5,firefox,Europe/Zurich,
openedApp,breathingExercise,False,1748975012.771632,1.5,firefox,Europe/Zurich,Search Info
openedApp,breathingExercise,False,1748976247.5659661,1.5,firefox,Europe/Zurich,Search Info
dismissedAppOpening,breathingExercise,False,1748976279.798913,1.5,instagram,Europe/Zurich,
openedApp,breathingExercise,False,1748976295.052981,1.5,instagram,Europe/Zurich,Message
openedApp,breathingExercise,False,1748976347.91065,1.5,instagram,Europe/Zurich,Search Info
openedApp,breathingExercise,False,1748989539.506053,1.5,firefox,Europe/Zurich,Entertainment
openedApp,breathingExercise,False,1748990605.652158,1.5,firefox,Europe/Zurich,Search Info
openedApp,breathingExercise,False,1749019807.238091,1.5,firefox,Europe/Zurich,Message
openedApp,breathingExercise,False,1749022334.9072409,1.5,firefox,Europe/Zurich,Entertainment
openedApp,breathingExercise,False,1749025346.693419,1.5,firefox,Europe/Zurich,Search Info
dismissedAppOpening,breathingExercise,False,1749036146.530036,1.5,instagram,Europe/Zurich,
openedApp,breathingExercise,False,1749036547.784799,1.5,firefox,Europe/Zurich,Search Info
openedApp,breathingExercise,False,1749043541.141899,1.5,firefox,Europe/Zurich,Search Info
openedApp,breathingExercise,False,1749043889.369152,1.5,firefox,Europe/Zurich,Search Info
openedApp,breathingExercise,False,1749044051.339531,1.5,firefox,Europe/Zurich,Search Info
openedApp,breathingExercise,False,1749068162.552505,1.5,firefox,Europe/Zurich,Search Info
openedApp,breathingExercise,False,1749068205.7097769,1.5,firefox,Europe/Zurich,Search Info
openedApp,breathingExercise,False,1749069132.889587,1.5,firefox,Europe/Zurich,Search Info
openedApp,breathingExercise,False,1749069211.232991,1.5,firefox,Europe/Zurich,Search Info
openedApp,breathingExercise,False,1749069247.985815,1.5,firefox,Europe/Zurich,Search Info
