timestamp,isReIntervention,app,timezone,resolution,interventionType,interventionDuration
1752232515.256325,False,instagram,Europe/Berlin,openedApp,,
1752233415.256325,False,instagram,Europe/Berlin,closedApp,,
1752233415.256325,False,instagram,Europe/Berlin,dismissedAppOpening,,
1752272720.502984,False,instagram,Europe/Berlin,openedApp,,
1752273620.502984,False,instagram,Europe/Berlin,closedApp,,
1752273620.502984,False,instagram,Europe/Berlin,dismissedAppOpening,,
1752312351.989852,False,instagram,Europe/Berlin,openedApp,,
1752313251.989852,False,instagram,Europe/Berlin,closedApp,,
1752313251.989852,False,instagram,Europe/Berlin,dismissedAppOpening,,
1752441911.8874788,False,instagram,Europe/Berlin,openedApp,,
1752442811.8874788,False,instagram,Europe/Berlin,closedApp,,
1752442811.8874788,False,instagram,Europe/Berlin,dismissedAppOpening,,
1752604639.932791,False,instagram,Europe/Berlin,openedApp,,
1752605239.932791,False,instagram,Europe/Berlin,closedApp,,
1752605239.932791,False,instagram,Europe/Berlin,dismissedAppOpening,,
1752660444.550552,False,instagram,Europe/Berlin,openedApp,,
1752661044.550552,False,instagram,Europe/Berlin,closedApp,,
1752661044.550552,False,instagram,Europe/Berlin,dismissedAppOpening,,
1752681449.0496578,False,instagram,Europe/Berlin,openedApp,breathingExercise,1.5
1752863453.1278439,False,instagram,Europe/Berlin,openedApp,,
1752864053.1278439,False,instagram,Europe/Berlin,closedApp,,
1752864053.1278439,False,instagram,Europe/Berlin,dismissedAppOpening,,
1752909445.117732,False,instagram,Europe/Berlin,openedApp,,
1752910045.117733,False,instagram,Europe/Berlin,closedApp,,
1752910045.117733,False,instagram,Europe/Berlin,dismissedAppOpening,,
1752968923.533812,False,instagram,Europe/Berlin,openedApp,,
1752969523.533812,False,instagram,Europe/Berlin,closedApp,,
1752969523.533812,False,instagram,Europe/Berlin,dismissedAppOpening,,
1753000487.149018,False,instagram,Europe/Berlin,openedApp,breathingExercise,1.5
