isReIntervention,app,timestamp,timezone,interventionDuration,interventionType,resolution
False,instagram,1752348783.659079,Europe/Berlin,1.5,breathingExercise,openedApp
False,instagram,1752350223.476264,Europe/Berlin,1.5,breathingExercise,openedApp
False,instagram,1752350656.789266,Europe/Berlin,1.5,breathingExercise,openedApp
False,instagram,1752384032.2677069,Europe/Berlin,1.5,breathingExercise,openedApp
False,instagram,1752401824.52465,Europe/Berlin,1.5,breathingExercise,openedApp
False,instagram,1752407271.5662951,Europe/Berlin,1.5,breathingExercise,openedApp
False,instagram,1752407401.591411,Europe/Berlin,1.5,breathingExercise,openedApp
False,instagram,1752407429.5737271,Europe/Berlin,1.5,breathingExercise,openedApp
False,instagram,1752408296.041722,Europe/Berlin,1.5,breathingExercise,openedApp
False,instagram,1752412603.8264961,Europe/Berlin,1.5,breathingExercise,openedApp
False,instagram,1752412954.776437,Europe/Berlin,1.5,breathingExercise,openedApp
False,instagram,1752423477.2849731,Europe/Berlin,1.5,breathingExercise,openedApp
False,instagram,1752474890.49739,Europe/Berlin,1.5,breathingExercise,openedApp
False,instagram,1752498955.523577,Europe/Berlin,1.5,breathingExercise,openedApp
False,instagram,1752499033.2857141,Europe/Berlin,1.5,breathingExercise,openedApp
False,instagram,1752499422.0019789,Europe/Berlin,1.5,breathingExercise,openedApp
False,instagram,1752500588.3044739,Europe/Berlin,1.5,breathingExercise,openedApp
False,instagram,1752500869.705155,Europe/Berlin,1.5,breathingExercise,openedApp
False,instagram,1752501017.89152,Europe/Berlin,1.5,breathingExercise,openedApp
False,instagram,1752513357.920223,Europe/Berlin,1.5,breathingExercise,openedApp
False,instagram,1752518679.643993,Europe/Berlin,1.5,breathingExercise,openedApp
False,instagram,1752568273.863456,Europe/Berlin,1.5,breathingExercise,openedApp
False,instagram,1752589561.430389,Europe/Berlin,1.5,breathingExercise,openedApp
False,instagram,1752592215.341919,Europe/Berlin,1.5,breathingExercise,openedApp
False,instagram,1752592305.806272,Europe/Berlin,1.5,breathingExercise,openedApp
False,instagram,1752592550.620012,Europe/Berlin,1.5,breathingExercise,dismissedAppOpening
False,instagram,1752604552.89976,Europe/Berlin,1.5,breathingExercise,openedApp
False,instagram,1752668245.808558,Europe/Berlin,1.5,breathingExercise,openedApp
False,instagram,1752668322.812253,Europe/Berlin,1.5,breathingExercise,openedApp
False,instagram,1752668357.474643,Europe/Berlin,1.5,breathingExercise,openedApp
False,instagram,1752672927.902911,Europe/Berlin,1.5,breathingExercise,openedApp
False,instagram,1752673227.588451,Europe/Berlin,1.5,breathingExercise,openedApp
False,instagram,1752674994.536594,Europe/Berlin,1.5,breathingExercise,openedApp
False,instagram,1752675034.362165,Europe/Berlin,1.5,breathingExercise,openedApp
False,instagram,1752675273.941386,Europe/Berlin,1.5,breathingExercise,openedApp
