isReIntervention,timezone,timestamp,resolution,app,interventionDuration,interventionType
False,America/Toronto,1749405648.931254,dismissedAppOpening,instagram,1.5,breathingExercise
False,America/Toronto,1749408644.5786881,openedApp,instagram,1.5,breathingExercise
False,America/Toronto,1749408683.0143619,dismissedAppOpening,instagram,1.5,breathingExercise
False,America/Toronto,1749418028.523865,dismissedAppOpening,youtube,1.5,breathingExercise
False,America/Toronto,1749418952.482513,openedApp,instagram,1.5,breathingExercise
False,America/Toronto,1749429911.3735209,openedApp,instagram,1.5,breathingExercise
False,America/Toronto,1749434945.596105,openedApp,instagram,1.5,breathingExercise
False,America/Toronto,1749466130.1861491,openedApp,instagram,1.5,breathingExercise
False,America/Toronto,1749472199.856063,dismissedAppOpening,youtube,1.5,breathingExercise
False,America/Toronto,1749472219.515993,openedApp,instagram,1.5,breathingExercise
False,America/Toronto,1749472230.135854,dismissedAppOpening,instagram,1.5,breathingExercise
False,America/Toronto,1749477589.942055,dismissedAppOpening,instagram,1.5,breathingExercise
False,America/Toronto,1749477621.200049,openedApp,instagram,1.5,breathingExercise
False,America/Toronto,1749501204.3308291,openedApp,instagram,1.5,breathingExercise
False,America/Toronto,1749503022.853373,openedApp,instagram,1.5,breathingExercise
False,America/Toronto,1749507846.654561,openedApp,instagram,1.5,breathingExercise
False,America/Toronto,1749508182.155782,dismissedAppOpening,instagram,1.5,breathingExercise
False,America/Toronto,1749511639.476715,openedApp,instagram,1.5,breathingExercise
False,America/Toronto,1749513477.609715,openedApp,instagram,1.5,breathingExercise
False,America/Toronto,1749515176.2899098,dismissedAppOpening,instagram,1.5,breathingExercise
False,America/Toronto,1749520267.972035,openedApp,instagram,1.5,breathingExercise
False,America/Toronto,1749522050.98055,openedApp,instagram,1.5,breathingExercise
False,America/Toronto,1749553480.310103,openedApp,instagram,1.5,breathingExercise
False,America/Toronto,1749560198.395671,openedApp,instagram,1.5,breathingExercise
False,America/Toronto,1749561140.4889421,openedApp,instagram,1.5,breathingExercise
False,America/Toronto,1749589714.9294071,openedApp,instagram,1.5,breathingExercise
False,America/Toronto,1749591598.3672562,dismissedAppOpening,instagram,1.5,breathingExercise
False,America/Toronto,1749593882.2048578,openedApp,instagram,1.5,breathingExercise
False,America/Toronto,1749594136.541584,openedApp,instagram,1.5,breathingExercise
False,America/Toronto,1749594502.691472,openedApp,instagram,1.5,breathingExercise
False,America/Toronto,1749598575.247179,openedApp,instagram,1.5,breathingExercise
False,America/Toronto,1749599025.367197,dismissedAppOpening,instagram,1.5,breathingExercise
False,America/Toronto,1749599431.541641,openedApp,instagram,1.5,breathingExercise
False,America/Toronto,1749603667.389566,openedApp,instagram,1.5,breathingExercise
False,America/Toronto,1749604114.648752,dismissedAppOpening,instagram,1.5,breathingExercise
False,America/Toronto,1749607026.757621,openedApp,instagram,1.5,breathingExercise
False,America/Toronto,1749607069.859273,dismissedAppOpening,instagram,1.5,breathingExercise
False,America/Toronto,1749607076.6455069,openedApp,instagram,1.5,breathingExercise
False,America/Toronto,1749642985.947424,openedApp,instagram,1.5,breathingExercise
False,America/Toronto,1749644620.2264361,openedApp,instagram,1.5,breathingExercise
False,America/Toronto,1749646685.688122,openedApp,instagram,1.5,breathingExercise
False,America/Toronto,1749663814.451285,openedApp,instagram,1.5,breathingExercise
False,America/Toronto,1749675843.8145962,openedApp,instagram,1.5,breathingExercise
False,America/Toronto,1749676637.213413,openedApp,instagram,1.5,breathingExercise
False,America/Toronto,1749676658.275031,openedApp,instagram,1.5,breathingExercise
False,America/Toronto,1749676722.371999,dismissedAppOpening,instagram,1.5,breathingExercise
False,America/Toronto,1749677277.331139,openedApp,instagram,1.5,breathingExercise
False,America/Toronto,1749678533.721373,openedApp,instagram,1.5,breathingExercise
False,America/Toronto,1749678661.300215,dismissedAppOpening,instagram,1.5,breathingExercise
False,America/Toronto,1749680342.445653,openedApp,instagram,1.5,breathingExercise
False,America/Toronto,1749681066.96635,openedApp,instagram,1.5,breathingExercise
False,America/Toronto,1749681279.326551,openedApp,instagram,1.5,breathingExercise
False,America/Toronto,1749681328.367177,openedApp,instagram,1.5,breathingExercise
False,America/Toronto,1749681525.9108171,openedApp,instagram,1.5,breathingExercise
False,America/Toronto,1749681622.969503,openedApp,instagram,1.5,breathingExercise
False,America/Toronto,1749683381.631227,dismissedAppOpening,instagram,1.5,breathingExercise
False,America/Toronto,1749683624.9785829,openedApp,instagram,1.5,breathingExercise
False,America/Toronto,1749684199.000376,openedApp,instagram,1.5,breathingExercise
False,America/Toronto,1749684626.065517,openedApp,instagram,1.5,breathingExercise
False,America/Toronto,1749684685.414072,dismissedAppOpening,instagram,1.5,breathingExercise
False,America/Toronto,1749688117.991524,openedApp,instagram,1.5,breathingExercise
False,America/Toronto,1749689584.9579182,openedApp,instagram,1.5,breathingExercise
False,America/Toronto,1749690488.629374,openedApp,instagram,1.5,breathingExercise
False,America/Toronto,1749694636.435668,openedApp,instagram,1.5,breathingExercise
False,America/Toronto,1749695046.75933,dismissedAppOpening,instagram,1.5,breathingExercise
False,America/Toronto,1749695829.0857549,dismissedAppOpening,instagram,1.5,breathingExercise
False,America/Toronto,1749696046.0974011,openedApp,instagram,1.5,breathingExercise
False,America/Toronto,1749728771.4227839,openedApp,instagram,1.5,breathingExercise
False,America/Toronto,1749731220.459591,openedApp,instagram,1.5,breathingExercise
False,America/Toronto,1749731452.7253609,openedApp,instagram,1.5,breathingExercise
False,America/Toronto,1749732715.9682531,openedApp,instagram,1.5,breathingExercise
False,America/Toronto,1749736827.4631538,openedApp,instagram,1.5,breathingExercise
False,America/Toronto,1749737654.123303,openedApp,instagram,1.5,breathingExercise
False,America/Toronto,1749737889.2511091,openedApp,instagram,1.5,breathingExercise
False,America/Toronto,1749740321.615727,dismissedAppOpening,instagram,1.5,breathingExercise
False,America/Toronto,1749748559.5681062,openedApp,instagram,1.5,breathingExercise
False,America/Toronto,1749748737.6183171,openedApp,instagram,1.5,breathingExercise
False,America/Toronto,1749748840.443923,openedApp,instagram,1.5,breathingExercise
False,America/Toronto,1749749349.622436,dismissedAppOpening,instagram,1.5,breathingExercise
False,America/Toronto,1749749505.971568,openedApp,instagram,1.5,breathingExercise
False,America/Toronto,1749749580.1959848,openedApp,instagram,1.5,breathingExercise
False,America/Toronto,1749750113.697351,dismissedAppOpening,instagram,1.5,breathingExercise
False,America/Toronto,1749750121.5903602,openedApp,instagram,1.5,breathingExercise
False,America/Toronto,1749750819.913552,openedApp,instagram,1.5,breathingExercise
False,America/Toronto,1749754375.988261,openedApp,instagram,1.5,breathingExercise
False,America/Toronto,1749755416.85588,openedApp,instagram,1.5,breathingExercise
False,America/Toronto,1749756001.3899589,dismissedAppOpening,instagram,1.5,breathingExercise
False,America/Toronto,1749756051.00524,dismissedAppOpening,instagram,1.5,breathingExercise
False,America/Toronto,1749756248.498361,openedApp,instagram,1.5,breathingExercise
False,America/Toronto,1749757193.6555948,openedApp,instagram,1.5,breathingExercise
False,America/Toronto,1749758386.823804,dismissedAppOpening,instagram,1.5,breathingExercise
False,America/Toronto,1749758391.322318,openedApp,instagram,1.5,breathingExercise
False,America/Toronto,1749760410.381383,openedApp,instagram,1.5,breathingExercise
False,America/Toronto,1749760901.410346,openedApp,instagram,1.5,breathingExercise
False,America/Toronto,1749761031.480938,openedApp,instagram,1.5,breathingExercise
False,America/Toronto,1749761163.72036,openedApp,instagram,1.5,breathingExercise
False,America/Toronto,1749761428.836088,openedApp,instagram,1.5,breathingExercise
False,America/Toronto,1749761918.3669739,openedApp,instagram,1.5,breathingExercise
False,America/Toronto,1749762051.72608,openedApp,instagram,1.5,breathingExercise
False,America/Toronto,1749763244.261108,openedApp,instagram,1.5,breathingExercise
False,America/Toronto,1749763665.3897681,dismissedAppOpening,instagram,1.5,breathingExercise
False,America/Toronto,1749764443.219981,openedApp,instagram,1.5,breathingExercise
False,America/Toronto,1749766623.3850598,openedApp,instagram,1.5,breathingExercise
