interventionDuration,resolution,timestamp,interventionType,timezone,isReIntervention,app,purpose,timeIntervalUntilReIntervention,terminationReason
1.5,dismissedAppOpening,1752113598.499975,breathingExercise,America/New_York,0.0,instagram,,,
1.5,dismissedAppOpening,1752113602.290534,breathingExercise,America/New_York,0.0,instagram,,,
1.5,dismissedAppOpening,1752113610.614801,breathingExercise,America/New_York,0.0,tikTok,,,
1.5,openedApp,1752113648.818289,breathingExercise,America/New_York,0.0,instagram,Message,,
1.5,openedApp,1752114335.5100698,breathingExercise,America/New_York,0.0,instagram,Message,,
1.5,openedApp,1752114418.618231,breathingExercise,America/New_York,0.0,youtube,Bored,,
1.5,openedApp,1752114520.0967,breathingExercise,America/New_York,0.0,youtube,Entertainment,,
1.5,dismissedAppOpening,1752114560.039216,breathingExercise,America/New_York,0.0,instagram,,,
1.5,openedApp,1752114571.788743,breathingExercise,America/New_York,0.0,instagram,Message,,
1.5,openedApp,1752114665.907308,breathingExercise,America/New_York,0.0,instagram,Message,,
1.5,dismissedAppOpening,1752114891.018958,breathingExercise,America/New_York,0.0,youtube,,,
1.5,openedApp,1752116605.120455,breathingExercise,America/New_York,0.0,instagram,Stay In the Loop,,
1.5,openedApp,1752116784.391078,breathingExercise,America/New_York,0.0,youtube,Relax,,
1.5,openedApp,1752117562.62817,breathingExercise,America/New_York,0.0,youtube,Bored,,
1.5,dismissedAppOpening,1752117940.751663,breathingExercise,America/New_York,0.0,youtube,,,
1.5,openedApp,1752117950.983726,breathingExercise,America/New_York,0.0,youtube,Bored,,
1.5,openedApp,1752118006.963371,breathingExercise,America/New_York,0.0,youtube,Bored,,
1.5,openedApp,1752118683.42412,breathingExercise,America/New_York,0.0,youtube,Relax,,
1.5,openedApp,1752121364.595382,breathingExercise,America/New_York,0.0,instagram,Bored,60.0,
1.5,openedApp,1752121519.346003,breathingExercise,America/New_York,0.0,instagram,Bored,180.0,
1.5,dismissedAppOpening,1752121546.137906,breathingExercise,America/New_York,0.0,instagram,,,
1.5,openedApp,1752121921.4938312,breathingExercise,America/New_York,0.0,instagram,Stay In the Loop,60.0,
1.5,openedApp,1752122277.217027,breathingExercise,America/New_York,0.0,instagram,Message,60.0,
1.5,openedApp,1752122471.750729,breathingExercise,America/New_York,0.0,instagram,Bored,60.0,
1.5,openedApp,1752122569.193203,breathingExercise,America/New_York,0.0,instagram,Bored,60.0,
1.5,openedApp,1752122665.682929,breathingExercise,America/New_York,0.0,instagram,Bored,660.0,
1.5,openedApp,1752122767.946382,breathingExercise,America/New_York,0.0,instagram,Bored,900.0,
1.5,openedApp,1752122894.243411,breathingExercise,America/New_York,0.0,instagram,Bored,900.0,
1.5,openedApp,1752122997.625822,breathingExercise,America/New_York,0.0,instagram,Bored,900.0,
1.5,openedApp,1752123299.2019339,breathingExercise,America/New_York,0.0,instagram,Bored,660.0,
1.5,dismissedAppOpening,1752123640.90011,breathingExercise,America/New_York,0.0,instagram,,,
1.5,openedApp,1752149763.764905,breathingExercise,America/New_York,0.0,instagram,Bored,240.0,
1.5,dismissedAppOpening,1752150523.3501701,breathingExercise,America/New_York,0.0,instagram,,,
1.5,dismissedAppOpening,1752150527.979519,breathingExercise,America/New_York,0.0,instagram,,,
1.5,dismissedAppOpening,1752150989.159089,breathingExercise,America/New_York,0.0,instagram,,,
