isReIntervention,interventionType,resolution,app,timezone,interventionDuration,timestamp,timeIntervalUntilReIntervention
False,breathingExercise,dismissedAppOpening,instagram,Europe/Berlin,1.5,1750764076.473717,
False,breathingExercise,dismissedAppOpening,instagram,Europe/Berlin,1.5,1750764210.5215921,
False,breathingExercise,openedApp,instagram,Europe/Berlin,1.5,1750782485.061548,
False,breathingExercise,dismissedAppOpening,instagram,Europe/Berlin,1.5,1750789883.415607,
False,breathingExercise,dismissedAppOpening,instagram,Europe/Berlin,1.5,1750789898.654263,
False,breathingExercise,dismissedAppOpening,instagram,Europe/Berlin,1.5,1750789906.125057,
False,breathingExercise,dismissedAppOpening,instagram,Europe/Berlin,1.5,1750796048.1203,
False,breathingExercise,dismissedAppOpening,instagram,Europe/Berlin,1.5,1750796102.3644872,
False,breathingExercise,dismissedAppOpening,instagram,Europe/Berlin,1.5,1750796110.979465,
False,breathingExercise,openedApp,instagram,Europe/Berlin,1.5,1750796129.730947,
False,breathingExercise,openedApp,instagram,Europe/Berlin,1.5,1750841114.7391949,
False,breathingExercise,dismissedAppOpening,instagram,Europe/Berlin,1.5,1750849206.519339,
False,breathingExercise,dismissedAppOpening,instagram,Europe/Berlin,1.5,1750849213.411027,
False,breathingExercise,openedApp,instagram,Europe/Berlin,1.5,1750850338.298624,
False,breathingExercise,openedApp,instagram,Europe/Berlin,1.5,1750864783.208996,
False,breathingExercise,openedApp,instagram,Europe/Berlin,1.5,1750866249.650249,
False,breathingExercise,dismissedAppOpening,instagram,Europe/Berlin,1.5,1750870292.4214768,
False,breathingExercise,dismissedAppOpening,instagram,Europe/Berlin,1.5,1750871972.100556,
False,breathingExercise,dismissedAppOpening,instagram,Europe/Berlin,1.5,1750872144.4778662,
False,breathingExercise,openedApp,instagram,Europe/Berlin,1.5,1750872172.60351,240.0
False,breathingExercise,openedApp,instagram,Europe/Berlin,1.5,1750872326.157806,420.0
False,breathingExercise,openedApp,instagram,Europe/Berlin,1.5,1750874589.578527,240.0
False,breathingExercise,dismissedAppOpening,instagram,Europe/Berlin,1.5,1750874881.454438,
False,breathingExercise,dismissedAppOpening,instagram,Europe/Berlin,1.5,1750876793.878629,
False,breathingExercise,openedApp,instagram,Europe/Berlin,1.5,1750922599.981586,300.0
True,breathingExercise,dismissedAppOpening,instagram,Europe/Berlin,1.5,1750922922.360256,
False,breathingExercise,dismissedAppOpening,instagram,Europe/Berlin,1.5,1750933657.430244,
False,breathingExercise,openedApp,instagram,Europe/Berlin,1.5,1750933668.5921621,240.0
False,breathingExercise,dismissedAppOpening,instagram,Europe/Berlin,1.5,1750942687.628557,
False,breathingExercise,openedApp,instagram,Europe/Berlin,1.5,1750950151.435741,900.0
False,breathingExercise,openedApp,instagram,Europe/Berlin,1.5,1750951336.852614,300.0
False,breathingExercise,openedApp,instagram,Europe/Berlin,1.5,1750951650.248244,420.0
False,breathingExercise,dismissedAppOpening,instagram,Europe/Berlin,1.5,1750952859.1590471,
False,breathingExercise,dismissedAppOpening,instagram,Europe/Berlin,1.5,1750964717.7145782,
False,breathingExercise,openedApp,instagram,Europe/Berlin,1.5,1750964725.655655,240.0
False,breathingExercise,openedApp,instagram,Europe/Berlin,1.5,1750966778.4868069,180.0
True,breathingExercise,openedApp,instagram,Europe/Berlin,1.5,1750966974.7104611,420.0
False,breathingExercise,openedApp,instagram,Europe/Berlin,1.5,1750969331.067137,300.0
False,breathingExercise,openedApp,instagram,Europe/Berlin,1.5,1751006386.2639918,180.0
False,breathingExercise,dismissedAppOpening,instagram,Europe/Berlin,1.5,1751015240.731451,
False,breathingExercise,dismissedAppOpening,instagram,Europe/Berlin,1.5,1751015252.4382482,
False,breathingExercise,dismissedAppOpening,instagram,Europe/Berlin,1.5,1751030683.068517,
False,breathingExercise,dismissedAppOpening,instagram,Europe/Berlin,1.5,1751034758.285249,
False,breathingExercise,dismissedAppOpening,instagram,Europe/Berlin,1.5,1751045747.025854,
False,breathingExercise,dismissedAppOpening,instagram,Europe/Berlin,1.5,1751062127.106714,
False,breathingExercise,openedApp,instagram,Europe/Berlin,1.5,1751062144.841866,900.0
False,breathingExercise,openedApp,instagram,Europe/Berlin,1.5,1751062688.504228,900.0
True,breathingExercise,openedApp,instagram,Europe/Berlin,1.5,1751063602.967375,900.0
False,breathingExercise,dismissedAppOpening,instagram,Europe/Berlin,1.5,1751078937.428473,
False,breathingExercise,dismissedAppOpening,instagram,Europe/Berlin,1.5,1751095773.673907,
False,breathingExercise,openedApp,instagram,Europe/Berlin,1.5,1751095785.7010741,360.0
True,breathingExercise,openedApp,instagram,Europe/Berlin,1.5,1751096159.2914639,480.0
False,breathingExercise,openedApp,instagram,Europe/Berlin,1.5,1751098108.927184,600.0
False,breathingExercise,openedApp,instagram,Europe/Berlin,1.5,1751103035.506493,540.0
True,breathingExercise,openedApp,instagram,Europe/Berlin,1.5,1751103597.355696,480.0
False,breathingExercise,openedApp,instagram,Europe/Berlin,1.5,1751104349.2216449,540.0
False,breathingExercise,openedApp,instagram,Europe/Berlin,1.5,1751104584.3112512,540.0
