interventionType,app,resolution,isReIntervention,interventionDuration,timezone,timestamp,purpose,timeIntervalUntilReIntervention
breathingExercise,pinterest,dismissedAppOpening,False,1.5,Europe/Berlin,1752182217.3116999,,
journaling,pinterest,dismissedAppOpening,False,,Europe/Berlin,1752182919.123276,,
breathingExercise,pinterest,openedApp,False,1.5,Europe/Berlin,1752182959.6240602,Ablenkung,
askForTimeLimit,youtube,openedApp,False,1.5,Europe/Berlin,1752183230.648263,,60.0
breathingExercise,pinterest,dismissedAppOpening,False,1.5,Europe/Berlin,1752222917.070559,,
breathingExercise,pinterest,openedApp,False,1.5,Europe/Berlin,1752266212.096422,Unterhaltung,
breathingExercise,pinterest,dismissedAppOpening,False,1.5,Europe/Berlin,1752266374.873602,,
breathingExercise,pinterest,openedApp,False,1.5,Europe/Berlin,1752266387.342062,Auf dem Laufenden bleiben,
breathingExercise,pinterest,dismissedAppOpening,False,1.5,Europe/Berlin,1752266685.938446,,
breathingExercise,pinterest,dismissedAppOpening,False,1.5,Europe/Berlin,1752266692.439663,,
breathingExercise,pinterest,openedApp,False,1.5,Europe/Berlin,1752266703.4543881,Ablenkung,
breathingExercise,pinterest,openedApp,False,1.5,Europe/Berlin,1752266837.495147,Auf dem Laufenden bleiben,
breathingExercise,pinterest,openedApp,False,1.5,Europe/Berlin,1752267018.0723429,Entspannung,
breathingExercise,pinterest,dismissedAppOpening,False,1.5,Europe/Berlin,1752267190.157212,,
breathingExercise,pinterest,dismissedAppOpening,False,1.5,Europe/Berlin,1752267197.687737,,
askForTimeLimit,youtube,openedApp,False,1.5,Europe/Berlin,1752268806.504576,,300.0
breathingExercise,pinterest,dismissedAppOpening,False,1.5,Europe/Berlin,1752314120.5120049,,
breathingExercise,pinterest,dismissedAppOpening,False,1.5,Europe/Berlin,1752314598.534669,,
breathingExercise,instagram,dismissedAppOpening,False,1.5,Europe/Berlin,1752349126.959522,,
breathingExercise,pinterest,openedApp,False,1.5,Europe/Berlin,1752349166.1900558,Entspannung,
breathingExercise,pinterest,openedApp,False,1.5,Europe/Berlin,1752349835.468358,Unterhaltung,
breathingExercise,pinterest,openedApp,False,1.5,Europe/Berlin,1752349958.4743629,Unterhaltung,
breathingExercise,pinterest,dismissedAppOpening,False,1.5,Europe/Berlin,1752350072.095453,,
breathingExercise,pinterest,openedApp,False,1.5,Europe/Berlin,1752350082.085468,Unterhaltung,
breathingExercise,pinterest,openedApp,False,1.5,Europe/Berlin,1752352210.0497742,Unterhaltung,
breathingExercise,pinterest,openedApp,False,1.5,Europe/Berlin,1752352245.84265,Entspannung,
breathingExercise,pinterest,openedApp,False,1.5,Europe/Berlin,1752352485.1319752,Unterhaltung,
breathingExercise,pinterest,openedApp,False,1.5,Europe/Berlin,1752352505.143172,Unterhaltung,
breathingExercise,pinterest,openedApp,False,1.5,Europe/Berlin,1752352582.176437,Unterhaltung,
breathingExercise,pinterest,openedApp,False,1.5,Europe/Berlin,1752352860.1218882,Entspannung,
breathingExercise,pinterest,openedApp,False,1.5,Europe/Berlin,1752352991.928765,Entspannung,
breathingExercise,pinterest,openedApp,False,1.5,Europe/Berlin,1752353029.391772,Entspannung,
breathingExercise,instagram,openedApp,False,1.5,Europe/Berlin,1752357289.696827,Nachricht / Schreiben,
breathingExercise,pinterest,dismissedAppOpening,False,1.5,Europe/Berlin,1752397494.452342,,
breathingExercise,pinterest,dismissedAppOpening,False,1.5,Europe/Berlin,1752397501.55942,,
askForTimeLimit,youtube,dismissedAppOpening,False,1.5,Europe/Berlin,1752397539.978235,,
askForTimeLimit,youtube,openedApp,False,1.5,Europe/Berlin,1752399307.7717009,,300.0
breathingExercise,instagram,openedApp,False,1.5,Europe/Berlin,1752401218.25851,Nachricht / Schreiben,
askForTimeLimit,youtube,openedApp,False,1.5,Europe/Berlin,1752401339.2917519,,300.0
breathingExercise,instagram,openedApp,False,1.5,Europe/Berlin,1752405108.660161,Auf dem Laufenden bleiben,
askForTimeLimit,youtube,openedApp,False,1.5,Europe/Berlin,1752405339.90997,,300.0
breathingExercise,pinterest,openedApp,False,1.5,Europe/Berlin,1752408316.188535,Entspannung,
breathingExercise,pinterest,dismissedAppOpening,False,1.5,Europe/Berlin,1752408651.155273,,
askForTimeLimit,youtube,openedApp,False,1.5,Europe/Berlin,1752409048.0099192,,300.0
askForTimeLimit,youtube,openedApp,False,1.5,Europe/Berlin,1752409076.658294,,300.0
askForTimeLimit,youtube,dismissedAppOpening,False,1.5,Europe/Berlin,1752409502.133728,,
breathingExercise,instagram,openedApp,False,1.5,Europe/Berlin,1752417410.6079779,Nachricht / Schreiben,
breathingExercise,instagram,openedApp,False,1.5,Europe/Berlin,1752417533.997223,Auf dem Laufenden bleiben,
breathingExercise,instagram,openedApp,False,1.5,Europe/Berlin,1752417821.322424,Nachricht / Schreiben,
breathingExercise,instagram,openedApp,False,1.5,Europe/Berlin,1752417956.047137,Auf dem Laufenden bleiben,
breathingExercise,pinterest,dismissedAppOpening,False,1.5,Europe/Berlin,1752418194.750173,,
breathingExercise,pinterest,openedApp,False,1.5,Europe/Berlin,1752418277.943249,Unterhaltung,
breathingExercise,pinterest,openedApp,False,1.5,Europe/Berlin,1752418313.377516,Unterhaltung,
breathingExercise,instagram,openedApp,False,1.5,Europe/Berlin,1752422457.310857,Auf dem Laufenden bleiben,
breathingExercise,instagram,openedApp,False,1.5,Europe/Berlin,1752423335.934931,Langeweile,
breathingExercise,instagram,openedApp,False,1.5,Europe/Berlin,1752438431.722394,Auf dem Laufenden bleiben,
breathingExercise,instagram,dismissedAppOpening,False,1.5,Europe/Berlin,1752438687.42718,,
