app,interventionType,isReIntervention,interventionDuration,resolution,timestamp,timezone,timeIntervalUntilReIntervention
instagram,breathingExercise,False,1.5,dismissedAppOpening,1750620757.447792,Europe/Berlin,
instagram,breathingExercise,False,1.5,openedApp,1750620773.555161,Europe/Berlin,120.0
instagram,breathingExercise,False,1.5,dismissedAppOpening,1750621344.316763,Europe/Berlin,
instagram,breathingExercise,False,1.5,openedApp,1750621379.434239,Europe/Berlin,60.0
instagram,breathingExercise,False,1.5,openedApp,1750623616.343213,Europe/Berlin,60.0
instagram,breathingExercise,False,1.5,openedApp,1750623701.1158938,Europe/Berlin,240.0
instagram,breathingExercise,False,1.5,openedApp,1750624411.68507,Europe/Berlin,240.0
instagram,breathingExercise,False,1.5,dismissedAppOpening,1750624948.409864,Europe/Berlin,
instagram,breathingExercise,False,1.5,dismissedAppOpening,1750624951.30952,Europe/Berlin,
instagram,breathingExercise,False,1.5,dismissedAppOpening,1750624953.728941,Europe/Berlin,
instagram,breathingExercise,False,1.5,dismissedAppOpening,1750625176.200527,Europe/Berlin,
instagram,breathingExercise,False,1.5,openedApp,1750625284.531131,Europe/Berlin,180.0
instagram,breathingExercise,False,1.5,openedApp,1750625390.440458,Europe/Berlin,240.0
instagram,breathingExercise,False,1.5,dismissedAppOpening,1750625759.566963,Europe/Berlin,
instagram,breathingExercise,False,1.5,openedApp,1750626163.782072,Europe/Berlin,180.0
instagram,breathingExercise,False,1.5,openedApp,1750626331.767644,Europe/Berlin,420.0
instagram,breathingExercise,False,1.5,dismissedAppOpening,1750626574.297643,Europe/Berlin,
instagram,breathingExercise,False,1.5,dismissedAppOpening,1750626778.961392,Europe/Berlin,
instagram,breathingExercise,False,1.5,dismissedAppOpening,1750626781.820219,Europe/Berlin,
instagram,breathingExercise,False,1.5,dismissedAppOpening,1750627096.5196118,Europe/Berlin,
instagram,breathingExercise,False,1.5,openedApp,1750627110.06514,Europe/Berlin,180.0
instagram,breathingExercise,False,1.5,dismissedAppOpening,1750627492.668694,Europe/Berlin,
instagram,breathingExercise,False,1.5,dismissedAppOpening,1750629306.370654,Europe/Berlin,
instagram,breathingExercise,False,1.5,dismissedAppOpening,1750631337.185329,Europe/Berlin,
instagram,breathingExercise,False,1.5,openedApp,1750631348.0679278,Europe/Berlin,120.0
instagram,breathingExercise,False,1.5,openedApp,1750647329.277542,Europe/Berlin,60.0
instagram,breathingExercise,False,1.5,openedApp,1750658345.6792932,Europe/Berlin,180.0
instagram,breathingExercise,False,1.5,openedApp,1750660217.347309,Europe/Berlin,60.0
instagram,breathingExercise,False,1.5,openedApp,1750665440.311843,Europe/Berlin,60.0
instagram,breathingExercise,False,1.5,openedApp,1750669048.095752,Europe/Berlin,60.0
instagram,breathingExercise,False,1.5,dismissedAppOpening,1750669988.85216,Europe/Berlin,
